AT name,ZTF name,Gaia alert name,eRASS name,Alternative name,RA,DEC,Redshift,Host name,Discovery internal name,Discovery mag/flux,Discovery filter,Discovery date (UT)
AT 2024agqx,ZTF25aabebve,,,GOTO25lf,11:18:55.204,+19:44:33.17,0.194,,ZTF25aabebve,20.7453,g-ZTF,2024-12-30 11:28:48.999
AT 2024admt,ZTF24abwsfdk,,,ATLAS24rvz/GOTO24ixe,10:33:58.907,+14:41:17.19,0.11,SDSS J103358.88+144117.0,ZTF24abwsfdk,19.7619,g-ZTF,2024-12-02 11:35:38.000
AT 2024aepd,ZTF24abyhjvc,,,ATLAS24rqf/GOTO24jqq,15:25:39.284,+17:40:50.53,0.0835,SDSS J152539.29+174050.3,ZTF24abyhjvc,19.7968,r-ZTF,2024-12-05 13:24:45.996
AT 2024yqo,ZTF24abmybnp,,,ATLAS24pvc,08:11:12.484,+20:22:49.44,0.06168,2MASS J08111248+2022493,ZTF24abmybnp,20.0867,g-ZTF,2024-10-14 10:51:10.995
AT 2024zau,ZTF24abmzcpa,,,PS24oef/ATLAS24qbw/GOTO24isw,06:47:16.365,+41:57:55.38,0.0815,,ZTF24abmzcpa,20.9604,g-ZTF,2024-10-12 10:50:09.003
AT 2024ymu,ZTF24abmaujk,,,,00:06:52.569,-17:20:12.61,0.12,Gaia DR3 2414562036069843712,ZTF24abmaujk,19.4506,g-ZTF,2024-10-11 05:34:38.003
AT 2024wsd,ZTF24abjfuew,,,PS24jti/GOTO24haq/ATLAS24owa,05:26:38.327,-17:54:54.60,0.063,,ZTF24abjfuew,20.0047,g-ZTF,2024-09-25 11:27:40.000
AT 2024vip,ZTF24abfuwbm,,,,05:20:50.109,-20:32:32.23,0.089,Gaia DR3 2969002250532776832,ZTF24abfuwbm,19.7964,r-ZTF,2024-09-11 11:09:29.001
AT 2024ule,ZTF24abfaake,,,ATLAS24pgo/GOTO24gjt,08:14:27.141,+09:00:01.47,0.112,,ZTF24abfaake,19.5963,r-ZTF,2024-09-02 12:09:13.996
AT 2024tvd,ZTF22aaigqsr,,,PS24iyu,17:10:42.574,+28:50:15.16,0.044938,LEDA 1847516,ZTF22aaigqsr,19.6828,g-ZTF,2024-08-25 04:05:51.996
AT 2024rny,ZTF24aazlori,,,GOTO24git/ATLAS24oct,22:57:28.808,+39:25:44.37,0.1055,PS1 155313443699515427,ZTF24aazlori,20.744,g-ZTF,2024-08-03 08:08:17.000
AT 2024pvu,ZTF18abxnvoz,,,PS21oqk/GOTO24erd/ZTF24abiqyej,23:31:11.947,+22:15:31.71,0.048,,ZTF18abxnvoz,18.9182,g-ZTF,2024-07-10 10:41:47.996
AT 2024qab,ZTF24aatxshz,,,GOTO24dts/ATLAS24lsw,18:14:06.192,+36:14:59.69,0.1398,,ZTF24aatxshz,20.824,g-ZTF,2024-06-15 09:00:16.001
AT 2024mvz,ZTF24aasteui,Gaia24bny,,,23:40:27.800,-07:00:51.66,0.08,,Gaia24bny,18.18,G-Gaia,2024-05-25 12:01:26.400
AT 2024lhc,ZTF24aaoxmyb,,,GOTO24dlg/ATLAS24jvc/PS20nxv,16:50:54.154,+32:52:36.38,0.2045,SDSS J165054.16+325236.2,ZTF24aaoxmyb,20.9267,g-ZTF,2024-05-01 08:47:56.996
AT 2024gxr,ZTF24aakaiha,,,,17:22:32.637,+18:13:58.20,0.051,LEDA 1553798,ZTF24aakaiha,19.3893,r-ZTF,2024-04-17 09:07:25.003
AT 2024gre,ZTF24aajvvhj,,,PS24cev/ATLAS24gie,10:31:38.891,+34:54:30.07,0.12,SDSS J103138.88+345430.0,ZTF24aajvvhj,20.2065,g-ZTF,2024-04-12 07:41:42.000
AT 2024eqp,ZTF24aahgxiz,,,ATLAS24goi,09:45:15.593,+06:39:48.56,0.33,,ZTF24aahgxiz,20.36,g-ZTF,2024-03-11 06:05:45.600
AT 2024doo,,Gaia24asm,,ATLAS24iog,13:12:35.010,-35:38:34.69,0.042,LEDA 646328,Gaia24asm,16.52,G-Gaia,2024-02-26 07:46:33.600
AT 2024bgz,ZTF24aaecooj,Gaia24beb,,,09:44:04.764,-04:12:04.89,0.0585,2MASX J09440480-0412051,ZTF24aaecooj,18.19,g-ZTF,2024-02-01 06:04:19.200
AT 2024kt,ZTF23abvzeqp,,,ATLAS24bbj/PS24im,06:47:43.551,+40:58:07.48,0.11,WISEA J064743.64+405806.9,ZTF23abvzeqp,19.7995,g-ZTF,2024-01-05 06:18:23.000
AT 2024as,ZTF24aaahxwr,,,ATLAS24acr,10:05:06.320,+17:29:21.05,0.13,,ATLAS24acr,18.371,orange-ATLAS,2024-01-02 08:20:53.376
AT 2023xen,ZTF23abohtqf,,,ATLAS23vko,07:52:12.679,+37:21:34.15,0.1335,,ZTF23abohtqf,20.94,g-ZTF,2023-10-21 10:43:40.800
AT 2023wdb,ZTF23abkixdb,,,,18:25:20.915,+30:11:21.46,0.06,,ZTF23abkixdb,20.49,g-ZTF,2023-10-10 04:49:26.400
AT 2023ugy,,Gaia23ctp,,,21:40:44.020,+21:00:58.57,0.106,SDSS J214044.01+210058.4,Gaia23ctp,18,G-Gaia,2023-10-06 06:59:02.400
AT 2023tmq,ZTF23abgnxfv,,,PS23lkc,09:19:05.890,+13:26:52.80,0.07785505,SDSS J091905.90+132652.4,ZTF23abgnxfv,18.3249,r-ZTF,2023-09-24 12:27:16.001
AT 2023vto,ZTF23abcvbqq,,,,00:24:34.709,+47:13:21.55,0.4846,,ZTF23abcvbqq,20.98,g-ZTF,2023-09-09 07:45:07.200
AT 2023rvb,ZTF23abaujuy,,,ATLAS23spi,19:21:12.547,-22:38:39.61,0.0815,,ZTF23abaujuy,19.6439,r-ZTF,2023-09-04 04:02:19.997
AT 2023mhs,ZTF23aaqdjhi,,,ATLAS23njv,13:43:15.681,+19:15:00.90,0.0482,WISEA J134315.65+191500.9,ZTF23aaqdjhi,18.7772,g-ZTF,2023-06-30 07:12:02.998
AT 2023mfm,ZTF23aapyidj,,,PS23fqo,21:37:27.961,-04:20:43.16,0.087,LEDA 1059524,ZTF23aapyidj,19.88,g-ZTF,2023-06-28 09:34:33.600
AT 2023lli,,Gaia23cbw,,GOTO23ml,22:57:39.470,+40:32:40.02,0.036,,GOTO23ml,18.84,L-GOTO,2023-06-23 02:13:16.320
AT 2023kvy,ZTF23aamsetv,,,ATLAS23mok,23:39:47.964,+08:09:53.62,0.16,,ATLAS23mok,19.352,cyan-ATLAS,2023-05-28 03:58:34.752
AT 2023cvb,ZTF23aadcbay,,,ATLAS23dht,19:14:25.680,+41:40:09.28,0.071,WISEA J191425.67+414009.4,ATLAS23dht,17.33,orange-ATLAS,2023-03-06 14:47:31.776
AT 2023clx,ZTF18aabkvpi,,,ASASSN-23bd,11:40:09.397,+15:19:38.54,0.01107,NGC 3799,ASASSN-23bd,16.3,g-Sloan,2023-02-22 05:02:24.000
AT 2022wtn,ZTF22abkfhua,,,ATLAS22bikj/PS22jwq,23:23:23.778,+10:41:07.99,0.049,,ZTF22abkfhua,19.57,g-ZTF,2022-10-02 06:07:12.000
AT 2022upj,ZTF22abegjtx,,,ATLAS22bfuo,00:23:56.846,-14:25:23.22,0.054,WISEA J002356.88-142523.9,ZTF22abegjtx,19.86,g-ZTF,2022-08-31 09:04:19.200
AT 2022pna,ZTF22aavvqyh,Gaia22dgl,,ATLAS22wax,01:41:55.550,-03:17:22.60,0.095,WISEA J014155.56-031722.7,ATLAS22wax,18.677,cyan-ATLAS,2022-07-24 14:21:50.400
AT 2022lri,ZTF22abajudi,,,PS22hiq/ATLAS22pnz,02:20:08.009,-22:43:15.42,0.032,,ATLAS22pnz,17.199,orange-ATLAS,2022-06-01 03:45:42.336
AT 2022hvp,ZTF22aagyuao,Gaia22clk,,ATLAS22mlo,09:54:45.240,+55:26:25.37,0.12,SDSS J095445.24+552625.2,ZTF22aagyuao,17.9606,g-ZTF,2022-04-19 06:43:17.003
AT 2022gdw,ZTF22aaftmjp,,,,13:53:58.219,+50:02:30.35,0.105,SDSS J135358.16+500230.4,ZTF22aaddwbo,19.3082,g-ZTF,2022-04-03 07:52:26.000
AT 2022gri,ZTF20aahmtso,,,ATLAS23doq/PS22nfs,07:18:20.778,+33:59:41.58,0.028,,ZTF20aahmtso,18.23,g-ZTF,2022-04-03 03:46:04.800
AT 2022ibq,ZTF22aagvrlq,,,PS22ext,17:50:35.785,+21:16:29.92,0.395,,ZTF22aagvrlq,20.27,g-ZTF,2022-04-01 12:00:00.000
AT 2022fpx,ZTF22aadesap,Gaia22cwy,,PS23bdt/ATLAS22kjn,15:31:03.700,+53:24:19.26,0.073,SDSS J153103.70+532419.3,ATLAS22kjn,18.542,orange-ATLAS,2022-03-31 12:28:31.584
AT 2022exr,ZTF22aafvrnw,Gaia22cgf,,ATLAS22jix,17:29:50.510,+25:50:31.92,0.096,SDSS J172950.50+255031.8,ATLAS22jix,18.397,orange-ATLAS,2022-03-20 14:41:17.664
AT 2022dsb,ZTF22aacabjk,,,ATLAS22iav/ASASSN-22cs,15:42:21.743,-22:40:14.04,0.023,ESO 583- G 004,ASASSN-22cs,17.3,g-Sloan,2022-03-01 13:40:47.000
AT 2022dyt,ZTF22aacgcwv,,,ATLAS22jju,10:00:08.008,+26:27:38.57,0.072,WISEA J100007.99+262738.4,ZTF22aacgcwv,20.3437,g-ZTF,2022-02-26 05:38:37.997
AT 2022dbl,ZTF18aabdajx,Gaia22bdt,,ASASSN-22ci/AT 2018mac,12:20:45.010,+49:33:04.68,0.0284,WISEA J122045.05+493304.7,ASASSN-22ci,17.1,,2022-02-22 14:52:48.000
AT 2022czy,,Gaia22cay,,PS22bvf/ATLAS22gtw,12:22:01.130,+16:59:44.02,0.109,,ATLAS22gtw,19.046,orange-ATLAS,2022-02-22 11:58:09.408
AT 2022csn,ZTF22aabimec,Gaia22ayp,,PS22bju/ATLAS22ggz,07:28:54.924,+26:53:49.43,0.148,,ZTF22aabimec,19.18,r-ZTF,2022-02-19 07:52:19.200
AT 2022cmc,ZTF22aaajecp,,,,13:34:43.200,+33:13:00.44,1.193,,ZTF22aaajecp,20.73,r-Sloan,2022-02-11 10:42:40.320
AT 2022bdw,ZTF22aaahtqz,Gaia22baj,,PS22avi/ATLAS22dth,08:25:10.360,+18:34:57.50,0.03782,CGCG 089-021,ATLAS22dth,19.11,orange-ATLAS,2022-01-31 09:37:26.400
AT 2022arb,ZTF22aaaihgr,,,PS22aqk/ATLAS22dls,10:24:10.331,-00:49:22.79,0.062,SDSS J102410.31-004922.9,ATLAS22dls,19.53,orange-ATLAS,2022-01-28 11:31:12.000
AT 2022adm,ZTF22aaaekqh,Gaia22anq,,,14:27:51.440,+28:10:29.03,0.061,SDSS J142751.44+281029.1,ZTF22aaaekqh,17.9069,r-ZTF,2022-01-21 11:51:31.000
AT 2022agi,,Gaia22ahd,,IRAS F01004-2237,01:02:49.990,-22:21:57.24,0.11783,LEDA3095492,Gaia22ahd,17.53,G-Gaia,2022-01-21 09:25:55.200
AT 2022aee,ZTF22aaabovl,,,,08:48:43.248,+80:52:59.88,0.124,WISEA J084843.28+805300.1,ZTF22aaabovl,18.5361,r-ZTF,2022-01-21 07:14:32.997
AT 2022rz,ZTF22aaaedas,,,ATLAS22bqy,15:37:57.610,+56:16:17.91,0.107,SDSS J153757.61+561617.8,ATLAS22bqy,19.367,cyan-ATLAS,2022-01-13 14:26:52.800
AT 2021yte,ZTF21acafvhf,,,,06:55:04.726,+12:38:02.96,0.053,SDSS J065504.74+123802.8,ZTF21acafvhf,19.3385,r-ZTF,2021-09-12 11:25:19.998
AT 2021yzv,ZTF21abxngcz,,,,07:01:06.597,+40:49:30.66,0.286,,ZTF21abxngcz,20.02,r-ZTF,2021-08-16 12:01:26.400
AT 2021utq,ZTF21abqtckk,Gaia21eqh,,ATLAS21bgtn,15:18:29.080,+73:21:31.43,0.127,,ZTF21abqtckk,20.4512,g-ZTF,2021-08-01 06:46:50.998
AT 2021uqv,ZTF21abqhkjd,Gaia21drx,,ATLAS21beiz,00:32:39.880,+22:32:56.04,0.106,SDSS J003239.88+223256.0,ZTF21abqhkjd,20.388,g-ZTF,2021-07-29 10:28:14.998
AT 2021uvz,ZTF21abpldky,,,ATLAS21bdzu,17:32:50.506,+33:01:58.40,0.176,,ZTF21abmwftm,20.94,g-ZTF,2021-07-12 06:15:50.400
AT 2021sdu,ZTF21abjrysr,,,ATLAS21bbpg,01:11:23.924,+50:34:29.67,0.059,WISEA J011123.92+503429.7,ZTF21abjrysr,19.7696,g-ZTF,2021-07-05 09:46:33.001
AT 2021qth,ZTF21abhrchb,,,PS21gzs/ATLAS21zpc,20:11:38.926,-21:09:36.64,0.0805,,ZTF21abhrchb,20.1027,g-ZTF,2021-06-17 09:58:28.998
AT 2021mhg,ZTF21abaxaqq,Gaia21cwh,,ATLAS21wwe/ATLAS21qbq,00:19:42.900,+29:19:00.70,0.073,SDSS J001942.89+291900.6,ZTF21abaxaqq,19.7464,r-ZTF,2021-05-11 11:36:49.003
AT 2021nwa,ZTF21abcgnqn,,,ATLAS21sjl,15:53:51.279,+55:35:19.67,0.047,,ZTF21abcgnqn,20.5804,g-ZTF,2021-05-11 09:17:54.816
AT 2021qxv,ZTF21abbxhhx,,,PS21grp,15:18:59.295,-03:11:45.08,0.183,,PS21grp,20.73,g-Sloan,2021-05-10 10:50:52.800
AT 2021jjm,ZTF21aauuybx,,,PS21fhy/ATLAS21mwd,14:39:30.646,-27:51:30.19,0.153,,ZTF21aauuybx,20.1062,g-ZTF,2021-04-08 10:04:45.002
AT 2021gje,ZTF21aapvvtb,,,ATLAS21kpm,16:50:07.332,+34:49:07.82,0.358,SDSS J165007.34+344907.8,ZTF21aapvvtb,19.8882,g-ZTF,2021-03-18 11:44:33.999
AT 2021ehb,ZTF21aanxhjv,,,ATLAS21jdy,03:07:47.806,+40:18:40.57,0.018,WISEA J030747.82+401840.9,ZTF21aanxhjv,19.0973,g-ZTF,2021-03-01 03:26:03.002
AT 2021crk,ZTF21aakfqwq,,,PS21cpw/ATLAS21hdc,11:45:06.949,+18:32:25.29,0.1555,SDSS J114506.93+183225.2,ZTF21aakfqwq,21.0414,g-ZTF,2021-02-07 11:44:58.001
AT 2021blz,,,,ATLAS21djg,04:32:31.252,-32:25:50.37,0.045,,ATLAS21djg,18.317,orange-ATLAS,2021-01-31 06:47:31.200
AT 2021axu,ZTF21aaaokyp,,,PS21csc/ATLAS21bsh,11:46:36.356,+30:05:07.43,0.192,,ATLAS21bsh,19.218,cyan-ATLAS,2021-01-17 12:17:16.800
AT 2021ack,ZTF20acyydkh,,,ATLAS21blz,13:53:09.988,+09:44:25.35,0.133,,ATLAS21blz,19.205,cyan-ATLAS,2021-01-12 14:52:48.000
AT 2021jsg,ZTF21aaeoitd,,,,11:08:36.715,+30:45:40.58,0.126,,ZTF21aaeoitd,20.6369,g-ZTF,2021-01-07 11:28:45.984
AT 2021lo,ZTF21aabiipy,,,ATLAS21dma,03:04:26.347,+04:44:44.32,0.152,SDSS J030426.33+044444.2,ZTF21aabiipy,20.1812,r-ZTF,2021-01-04 04:13:49.996
AT 2020acka,ZTF20acwytxn,,,ATLAS21cuo,15:55:01.935,+16:18:16.17,0.338,SDSS J155501.93+161816.2,ZTF20acwytxn,18.5655,r-ZTF,2020-12-11 13:17:09.001
AT 2020zso,ZTF20acqoiyt,Gaia20fqa,,ATLAS20bfok,22:22:17.130,-07:15:59.08,0.061,SDSS J222217.13-071558.9,ZTF20acqoiyt,20.402,g-ZTF,2020-11-12 03:36:05.003
AT 2020yue,ZTF20acnznms,,,,11:00:00.329,+21:06:45.85,0.204,,ZTF20acnznms,19.17,g-ZTF,2020-11-03 11:56:11.904
AT 2020ysg,ZTF20abnorit,,,PS21cru/ATLAS20bjqp,11:25:26.028,+27:26:26.00,0.277,,ZTF20abnorit,18.65,g-ZTF,2020-10-28 12:23:04.128
