MJD;Magnitude;Error;Facility;Filter;Observer
50896.35639999993;15.881;0.073;2MASS;2MASS(J);2MASS
50896.35639999993;14.86;0.129;2MASS;2MASS(K);2MASS
50896.35639999993;15.224;0.081;2MASS;2MASS(H);2MASS
53495.19207;16.84;0.09;CRTS;CRTS(CL);CRTS
53495.1985;16.89;0.08;CRTS;CRTS(CL);CRTS
53495.20495;16.7;0.09;CRTS;CRTS(CL);CRTS
53496.17823;16.85;0.08;CRTS;CRTS(CL);CRTS
53496.18466;16.73;0.08;CRTS;CRTS(CL);CRTS
53496.1911;16.75;0.08;CRTS;CRTS(CL);CRTS
53496.19762;16.84;0.08;CRTS;CRTS(CL);CRTS
53527.20691;16.82;0.08;CRTS;CRTS(CL);CRTS
53527.21521;16.79;0.08;CRTS;CRTS(CL);CRTS
53527.22365;16.84;0.08;CRTS;CRTS(CL);CRTS
53527.23207;16.81;0.08;CRTS;CRTS(CL);CRTS
53537.20089;17.0;0.09;CRTS;CRTS(CL);CRTS
53537.207;16.8;0.09;CRTS;CRTS(CL);CRTS
53537.21288;16.93;0.09;CRTS;CRTS(CL);CRTS
53537.21889;16.86;0.09;CRTS;CRTS(CL);CRTS
53711.44012;16.86;0.08;CRTS;CRTS(CL);CRTS
53711.44827;16.8;0.08;CRTS;CRTS(CL);CRTS
53711.45647;16.84;0.08;CRTS;CRTS(CL);CRTS
53711.46476;16.85;0.08;CRTS;CRTS(CL);CRTS
53737.43264;16.87;0.08;CRTS;CRTS(CL);CRTS
53737.44114;16.96;0.09;CRTS;CRTS(CL);CRTS
53737.44968;16.8;0.08;CRTS;CRTS(CL);CRTS
53737.4582;17.9;0.22;CRTS;CRTS(CL);CRTS
53741.45758;16.87;0.08;CRTS;CRTS(CL);CRTS
53741.46669;16.82;0.08;CRTS;CRTS(CL);CRTS
53741.47641;16.81;0.08;CRTS;CRTS(CL);CRTS
53741.4862;16.83;0.08;CRTS;CRTS(CL);CRTS
53757.49063;16.83;0.08;CRTS;CRTS(CL);CRTS
53757.49721;16.84;0.08;CRTS;CRTS(CL);CRTS
53757.50378;16.84;0.08;CRTS;CRTS(CL);CRTS
53757.51037;16.85;0.08;CRTS;CRTS(CL);CRTS
53770.36664;16.86;0.08;CRTS;CRTS(CL);CRTS
53770.37419;16.88;0.08;CRTS;CRTS(CL);CRTS
53770.38175;16.81;0.08;CRTS;CRTS(CL);CRTS
53770.38932;16.88;0.08;CRTS;CRTS(CL);CRTS
53796.31394;16.83;0.08;CRTS;CRTS(CL);CRTS
53796.32169;16.85;0.08;CRTS;CRTS(CL);CRTS
53796.32947;16.82;0.08;CRTS;CRTS(CL);CRTS
53796.33721;16.81;0.08;CRTS;CRTS(CL);CRTS
53817.30841;16.8;0.08;CRTS;CRTS(CL);CRTS
53817.31699;16.72;0.08;CRTS;CRTS(CL);CRTS
53817.32558;16.74;0.08;CRTS;CRTS(CL);CRTS
53817.33416;16.8;0.08;CRTS;CRTS(CL);CRTS
53852.16255;16.87;0.08;CRTS;CRTS(CL);CRTS
53852.17026;16.79;0.08;CRTS;CRTS(CL);CRTS
53852.17796;16.77;0.08;CRTS;CRTS(CL);CRTS
53852.18566;16.84;0.08;CRTS;CRTS(CL);CRTS
53866.26651;16.92;0.17;CRTS;CRTS(CL);CRTS
53866.26727;16.62;0.15;CRTS;CRTS(CL);CRTS
53866.26801;16.81;0.16;CRTS;CRTS(CL);CRTS
53866.26877;16.88;0.17;CRTS;CRTS(CL);CRTS
53885.21004;16.8;0.07;CRTS;CRTS(CL);CRTS
53885.22192;16.73;0.07;CRTS;CRTS(CL);CRTS
53885.2338;16.81;0.08;CRTS;CRTS(CL);CRTS
53885.24573;16.78;0.07;CRTS;CRTS(CL);CRTS
53902.22637;16.77;0.17;CRTS;CRTS(CL);CRTS
53902.22736;16.53;0.15;CRTS;CRTS(CL);CRTS
53902.22834;16.86;0.17;CRTS;CRTS(CL);CRTS
53902.22932;16.68;0.16;CRTS;CRTS(CL);CRTS
54066.40674;16.84;0.07;CRTS;CRTS(CL);CRTS
54066.4176;16.8;0.07;CRTS;CRTS(CL);CRTS
54066.4286;16.79;0.07;CRTS;CRTS(CL);CRTS
54066.43953;16.85;0.07;CRTS;CRTS(CL);CRTS
54158.256;16.75;0.08;CRTS;CRTS(CL);CRTS
54158.26144;16.79;0.08;CRTS;CRTS(CL);CRTS
54158.26688;16.8;0.08;CRTS;CRTS(CL);CRTS
54158.2723;16.78;0.08;CRTS;CRTS(CL);CRTS
54169.22597;16.79;0.08;CRTS;CRTS(CL);CRTS
54169.23413;16.76;0.08;CRTS;CRTS(CL);CRTS
54169.24231;16.74;0.08;CRTS;CRTS(CL);CRTS
54169.25048;16.84;0.08;CRTS;CRTS(CL);CRTS
54176.30459;16.85;0.08;CRTS;CRTS(CL);CRTS
54176.31308;16.83;0.08;CRTS;CRTS(CL);CRTS
54176.32148;16.84;0.08;CRTS;CRTS(CL);CRTS
54176.3298;16.79;0.08;CRTS;CRTS(CL);CRTS
54209.21926;16.79;0.08;CRTS;CRTS(CL);CRTS
54209.22572;16.86;0.08;CRTS;CRTS(CL);CRTS
54209.23218;16.78;0.08;CRTS;CRTS(CL);CRTS
54209.23867;16.79;0.08;CRTS;CRTS(CL);CRTS
54232.27921;16.86;0.08;CRTS;CRTS(CL);CRTS
54232.28577;16.77;0.08;CRTS;CRTS(CL);CRTS
54232.2923;16.81;0.08;CRTS;CRTS(CL);CRTS
54232.29883;16.88;0.08;CRTS;CRTS(CL);CRTS
54260.19303;16.76;0.07;CRTS;CRTS(CL);CRTS
54260.20101;16.77;0.07;CRTS;CRTS(CL);CRTS
54260.20904;16.83;0.07;CRTS;CRTS(CL);CRTS
54260.21702;16.8;0.07;CRTS;CRTS(CL);CRTS
54273.19469;16.85;0.08;CRTS;CRTS(CL);CRTS
54273.2006;16.86;0.08;CRTS;CRTS(CL);CRTS
54273.20651;16.69;0.07;CRTS;CRTS(CL);CRTS
