MJD;Magnitude;Error;Facility;Filter;Observer
53469.32067;15.11;0.06;CRTS;CRTS(CL);CRTS
53469.32881;15.12;0.06;CRTS;CRTS(CL);CRTS
53469.33691;15.11;0.06;CRTS;CRTS(CL);CRTS
53469.34501;15.14;0.06;CRTS;CRTS(CL);CRTS
53500.28924;15.18;0.06;CRTS;CRTS(CL);CRTS
53500.29567;17.05;0.08;CRTS;CRTS(CL);CRTS
53500.29567;15.41;0.06;CRTS;CRTS(CL);CRTS
53500.30212;16.79;0.08;CRTS;CRTS(CL);CRTS
53500.30212;15.39;0.06;CRTS;CRTS(CL);CRTS
53500.30862;17.1;0.08;CRTS;CRTS(CL);CRTS
53500.30862;15.33;0.06;CRTS;CRTS(CL);CRTS
53507.25496;15.05;0.06;CRTS;CRTS(CL);CRTS
53507.26405;15.22;0.06;CRTS;CRTS(CL);CRTS
53507.27045;15.17;0.06;CRTS;CRTS(CL);CRTS
53507.27696;15.17;0.06;CRTS;CRTS(CL);CRTS
53524.17095;17.01;0.08;CRTS;CRTS(CL);CRTS
53524.17095;15.33;0.06;CRTS;CRTS(CL);CRTS
53524.17741;15.2;0.06;CRTS;CRTS(CL);CRTS
53524.18383;15.11;0.06;CRTS;CRTS(CL);CRTS
53524.19029;15.42;0.06;CRTS;CRTS(CL);CRTS
53524.19029;17.06;0.08;CRTS;CRTS(CL);CRTS
53525.25189713;16.234457;0.015998483;SDSS;SDSS(r);SDSS
53525.25189713;16.235056;0.017752692;SDSS;SDSS(r);SDSS
53525.25189713;16.234512;0.01599843;SDSS;SDSS(r);SDSS
53525.2527264;16.076569;0.014496654;SDSS;SDSS(i);SDSS
53525.2527264;16.077185;0.01617706;SDSS;SDSS(i);SDSS
53525.2527264;16.07684;0.014512041;SDSS;SDSS(i);SDSS
53525.25355566;18.126593;0.025382755;SDSS;SDSS(u);SDSS
53525.25355566;18.000088;0.024566418;SDSS;SDSS(u);SDSS
53525.25355566;17.99819;0.02455054;SDSS;SDSS(u);SDSS
53525.25355566;18.115286;0.025059333;SDSS;SDSS(u);SDSS
53525.25438493;15.819463;0.014456098;SDSS;SDSS(z);SDSS
53525.25438493;15.822299;0.0153150465;SDSS;SDSS(z);SDSS
53525.25438493;15.820109;0.014454387;SDSS;SDSS(z);SDSS
53525.25521419;16.7002;0.018237697;SDSS;SDSS(g);SDSS
53525.25521419;16.7011;0.020044435;SDSS;SDSS(g);SDSS
53525.25521419;16.700409;0.018237637;SDSS;SDSS(g);SDSS
53527.18712272;16.486572;0.018520514;SDSS;SDSS(r);SDSS
53527.18795199;16.34535;0.022456598;SDSS;SDSS(i);SDSS
53527.18878125;18.36089;0.034111913;SDSS;SDSS(u);SDSS
53527.18961052;16.141855;0.017533256;SDSS;SDSS(z);SDSS
53527.19043978;16.894657;0.02652463;SDSS;SDSS(g);SDSS
53558.15756;16.93;0.07;CRTS;CRTS(CL);CRTS
53558.15756;15.39;0.06;CRTS;CRTS(CL);CRTS
53558.16301;17.01;0.07;CRTS;CRTS(CL);CRTS
53558.16301;15.43;0.06;CRTS;CRTS(CL);CRTS
53558.16851;15.33;0.06;CRTS;CRTS(CL);CRTS
53558.16851;17.14;0.07;CRTS;CRTS(CL);CRTS
53558.17398;17.18;0.07;CRTS;CRTS(CL);CRTS
53558.17398;15.34;0.06;CRTS;CRTS(CL);CRTS
53736.4702;15.15;0.06;CRTS;CRTS(CL);CRTS
53736.47664;15.18;0.06;CRTS;CRTS(CL);CRTS
53736.48311;15.16;0.06;CRTS;CRTS(CL);CRTS
53736.48956;15.13;0.06;CRTS;CRTS(CL);CRTS
53763.48873;15.16;0.06;CRTS;CRTS(CL);CRTS
53763.49637;15.14;0.06;CRTS;CRTS(CL);CRTS
53763.50406;15.17;0.06;CRTS;CRTS(CL);CRTS
53763.51171;15.15;0.06;CRTS;CRTS(CL);CRTS
53790.39229;15.15;0.06;CRTS;CRTS(CL);CRTS
53790.401;15.14;0.06;CRTS;CRTS(CL);CRTS
53790.40973;15.16;0.06;CRTS;CRTS(CL);CRTS
53790.41851;15.14;0.06;CRTS;CRTS(CL);CRTS
