MJD;Magnitude;Error;Facility;Filter;Observer
57249.532;15.45;0.129;LCO;I;LCO
57321.794;17.14;0.077;LCO;V;LCO
57252.002;15.54;0.158;LCO;I;LCO
57327.129;17.26;0.045;LCO;V;LCO
57256.428;15.46;0.133;LCO;I;LCO
57329.844;17.25;0.055;LCO;V;LCO
57258.008;15.43;0.143;LCO;I;LCO
57332.791;17.28;0.051;LCO;V;LCO
57262.251;15.34;0.193;LCO;I;LCO
57335.816;17.29;0.065;LCO;V;LCO
57264.083;15.83;0.15;LCO;I;LCO
57344.415;17.22;0.06;LCO;V;LCO
57268.052;15.72;0.129;LCO;I;LCO
57346.42;17.17;0.066;LCO;V;LCO
57269.908;15.71;0.133;LCO;I;LCO
57349.423;17.32;0.056;LCO;V;LCO
57271.882;15.7;0.143;LCO;I;LCO
57355.035;17.25;0.052;LCO;V;LCO
57273.924;15.8;0.148;LCO;I;LCO
57264.392;16.52;0.061;Swift;V;Swift
57276.874;15.8;0.142;LCO;I;LCO
57268.788;16.92;0.1;Swift;V;Swift
57279.895;15.81;0.14;LCO;I;LCO
57272.514;16.89;0.071;Swift;V;Swift
57282.476;15.85;0.133;LCO;I;LCO
57276.096;17.01;0.071;Swift;V;Swift
57291.383;15.98;0.154;LCO;I;LCO
57280.688;17.07;0.071;Swift;V;Swift
57294.522;15.99;0.141;LCO;I;LCO
57285.415;17.01;0.091;Swift;V;Swift
57299.495;15.8;0.139;LCO;I;LCO
57291.59;17.06;0.13;Swift;V;Swift
57302.481;15.95;0.2;LCO;I;LCO
57294.588;17.08;0.091;Swift;V;Swift
57304.921;15.86;0.262;LCO;I;LCO
57300.236;17.36;0.1;Swift;V;Swift
57307.106;15.93;0.126;LCO;I;LCO
57303.628;17.13;0.1;Swift;V;Swift
57307.14;15.96;0.125;LCO;I;LCO
57306.494;17.13;0.1;Swift;V;Swift
57316.018;15.98;0.134;LCO;I;LCO
57309.413;17.18;0.1;Swift;V;Swift
57319.059;16.05;0.152;LCO;I;LCO
57312.137;17.22;0.11;Swift;V;Swift
57321.796;16.04;0.116;LCO;I;LCO
57318.671;17.43;0.15;Swift;V;Swift
57327.133;16.03;0.126;LCO;I;LCO
57324.051;17.81;0.21;Swift;V;Swift
57329.849;15.88;0.128;LCO;I;LCO
57327.961;17.25;0.12;Swift;V;Swift
57332.796;16.02;0.159;LCO;I;LCO
57330.42;17.06;0.1;Swift;V;Swift
57335.821;16.06;0.157;LCO;I;LCO
57333.48;17.52;0.16;Swift;V;Swift
57346.424;15.83;0.14;LCO;I;LCO
57336.141;17.42;0.14;Swift;V;Swift
57349.419;15.87;0.133;LCO;I;LCO
57339.334;17.12;0.12;Swift;V;Swift
57355.039;15.92;0.121;LCO;I;LCO
57342.069;16.96;0.13;Swift;V;Swift
57249.533;16.01;0.053;LCO;V;LCO
57345.793;17.15;0.16;Swift;V;Swift
57252.004;16.06;0.055;LCO;V;LCO
57348.384;17.39;0.14;Swift;V;Swift
57256.429;16.1;0.053;LCO;V;LCO
57468.704;17.13;0.11;Swift;V;Swift
57258.009;16.3;0.225;LCO;V;LCO
57476.354;17.14;0.11;Swift;V;Swift
57259.334;16.2;0.051;Swift;V;Swift
57506.2;17.23;0.1;Swift;V;Swift
57262.252;16.52;0.144;LCO;V;LCO
57533.509;17.16;0.19;Swift;V;Swift
57266.065;16.55;0.112;LCO;V;LCO
57558.821;17.35;0.11;Swift;V;Swift
57268.053;16.63;0.047;LCO;V;LCO
57572.057;17.31;0.13;Swift;V;Swift
57269.909;16.76;0.05;LCO;V;LCO
57580.496;17.24;0.12;Swift;V;Swift
57271.883;16.79;0.062;LCO;V;LCO
57586.741;17.41;0.12;Swift;V;Swift
57273.926;16.83;0.058;LCO;V;LCO
57593.652;17.41;0.12;Swift;V;Swift
57276.875;16.93;0.057;LCO;V;LCO
57600.036;17.56;0.13;Swift;V;Swift
57278.172;16.94;0.062;LCO;V;LCO
57607.674;17.32;0.18;Swift;V;Swift
57282.475;16.98;0.05;LCO;V;LCO
57610.592;17.41;0.3;Swift;V;Swift
57285.424;16.9;0.13;LCO;V;LCO
57611.184;17.2;0.2;Swift;V;Swift
57291.382;17.03;0.081;LCO;V;LCO
57249.531;16.09;0.055;LCO;B;LCO
57294.521;17.13;0.074;LCO;V;LCO
57252.001;16.2;0.075;LCO;B;LCO
57304.919;17.22;0.074;LCO;V;LCO
57256.426;16.34;0.042;LCO;B;LCO
57307.104;17.18;0.047;LCO;V;LCO
57258.007;16.44;0.065;LCO;B;LCO
57307.138;17.18;0.056;LCO;V;LCO
57262.25;16.52;0.082;LCO;B;LCO
57312.17;17.2;0.068;LCO;V;LCO
57264.081;16.58;0.062;LCO;B;LCO
57315.877;17.28;0.082;LCO;V;LCO
57266.062;16.87;0.063;LCO;B;LCO
57315.894;17.14;0.073;LCO;V;LCO
57268.051;16.99;0.068;LCO;B;LCO
57316.016;17.24;0.075;LCO;V;LCO
57269.906;17.05;0.06;LCO;B;LCO
57319.057;17.23;0.059;LCO;V;LCO
57271.88;17.19;0.074;LCO;B;LCO
57273.923;17.38;0.067;LCO;B;LCO
57580.493;18.31;0.122;Swift;B;Swift
57276.872;17.26;0.069;LCO;B;LCO
57586.737;18.17;0.102;Swift;B;Swift
57278.169;17.42;0.076;LCO;B;LCO
57593.648;18.28;0.102;Swift;B;Swift
57282.474;17.47;0.065;LCO;B;LCO
57600.033;18.16;0.102;Swift;B;Swift
57285.423;17.62;0.083;LCO;B;LCO
57607.671;18.23;0.161;Swift;B;Swift
57291.381;17.7;0.115;LCO;B;LCO
57294.52;17.58;0.242;LCO;B;LCO
57611.181;18.2;0.181;Swift;B;Swift
57295.13;17.67;0.085;LCO;B;LCO
57259.328;15.43;0.036;Swift;U;Swift
57299.493;17.95;0.098;LCO;B;LCO
57264.383;15.87;0.036;Swift;U;Swift
57304.918;17.59;0.086;LCO;B;LCO
57268.722;16.19;0.046;Swift;U;Swift
57307.137;17.93;0.067;LCO;B;LCO
57272.506;16.38;0.045;Swift;U;Swift
57312.168;17.98;0.077;LCO;B;LCO
57276.088;16.6;0.045;Swift;U;Swift
57315.873;18.27;0.13;LCO;B;LCO
57280.678;16.84;0.054;Swift;U;Swift
57315.891;18.09;0.122;LCO;B;LCO
57285.412;16.92;0.063;Swift;U;Swift
57316.015;18.09;0.086;LCO;B;LCO
57291.387;17.04;0.063;Swift;U;Swift
57319.055;18.21;0.108;LCO;B;LCO
57294.581;17.27;0.073;Swift;U;Swift
57321.792;18.45;0.179;LCO;B;LCO
57300.229;17.43;0.082;Swift;U;Swift
57327.124;18.12;0.058;LCO;B;LCO
57303.621;17.38;0.082;Swift;U;Swift
57329.839;18.14;0.049;LCO;B;LCO
57306.486;17.49;0.082;Swift;U;Swift
57332.786;18.31;0.099;LCO;B;LCO
57309.408;17.62;0.092;Swift;U;Swift
57335.812;18.18;0.102;LCO;B;LCO
57312.131;17.68;0.112;Swift;U;Swift
57344.411;18.25;0.077;LCO;B;LCO
57318.667;17.65;0.092;Swift;U;Swift
57346.415;18.11;0.131;LCO;B;LCO
57324.048;17.87;0.151;Swift;U;Swift
57349.414;18.27;0.076;LCO;B;LCO
57327.91;17.68;0.102;Swift;U;Swift
57353.42;18.24;0.064;LCO;B;LCO
57330.418;17.86;0.122;Swift;U;Swift
57355.03;18.35;0.071;LCO;B;LCO
57333.413;17.92;0.122;Swift;U;Swift
57259.329;16.38;0.036;Swift;B;Swift
57336.134;17.67;0.122;Swift;U;Swift
57264.384;16.75;0.045;Swift;B;Swift
57339.331;18.1;0.152;Swift;U;Swift
57268.724;16.94;0.045;Swift;B;Swift
57342.066;17.93;0.162;Swift;U;Swift
57272.507;17.2;0.045;Swift;B;Swift
57345.787;18.08;0.202;Swift;U;Swift
57276.089;17.31;0.054;Swift;B;Swift
57348.377;18.02;0.141;Swift;U;Swift
57280.679;17.43;0.054;Swift;B;Swift
57468.701;18.64;0.215;Swift;U;Swift
57285.413;17.55;0.063;Swift;B;Swift
57476.35;18.59;0.194;Swift;U;Swift
57291.388;17.64;0.063;Swift;B;Swift
57506.198;18.44;0.142;Swift;U;Swift
57294.582;17.77;0.073;Swift;B;Swift
57533.506;18.54;0.305;Swift;U;Swift
57300.23;17.8;0.073;Swift;B;Swift
57558.815;18.5;0.152;Swift;U;Swift
57303.622;17.83;0.082;Swift;B;Swift
57572.053;18.22;0.162;Swift;U;Swift
57306.487;17.75;0.073;Swift;B;Swift
57580.493;18.56;0.203;Swift;U;Swift
57309.409;17.9;0.082;Swift;B;Swift
57586.736;18.95;0.235;Swift;U;Swift
57312.132;17.75;0.082;Swift;B;Swift
57593.648;18.53;0.162;Swift;U;Swift
57318.668;18.0;0.092;Swift;B;Swift
57600.033;18.8;0.213;Swift;U;Swift
57324.049;18.1;0.132;Swift;B;Swift
57607.67;18.18;0.212;Swift;U;Swift
57327.911;18.04;0.092;Swift;B;Swift
57330.418;18.0;0.102;Swift;B;Swift
57611.181;18.25;0.273;Swift;U;Swift
57333.414;18.05;0.102;Swift;B;Swift
57259.325;14.62;0.042;Swift;W1;Swift
57336.135;18.13;0.132;Swift;B;Swift
57264.379;15.0;0.042;Swift;W1;Swift
57339.332;18.23;0.132;Swift;B;Swift
57268.719;15.31;0.042;Swift;W1;Swift
57342.066;17.98;0.132;Swift;B;Swift
57272.503;15.53;0.042;Swift;W1;Swift
57345.788;18.26;0.171;Swift;B;Swift
57276.085;15.84;0.042;Swift;W1;Swift
57348.378;18.36;0.141;Swift;B;Swift
57280.675;16.06;0.05;Swift;W1;Swift
57468.701;18.23;0.122;Swift;B;Swift
57285.411;16.27;0.05;Swift;W1;Swift
57476.348;18.4;0.122;Swift;B;Swift
57291.384;16.53;0.05;Swift;W1;Swift
57506.198;18.23;0.092;Swift;B;Swift
57294.579;16.64;0.058;Swift;W1;Swift
57533.506;18.12;0.161;Swift;B;Swift
57297.048;16.91;0.076;Swift;W1;Swift
57558.812;18.27;0.102;Swift;B;Swift
57300.226;16.92;0.058;Swift;W1;Swift
57572.051;18.53;0.151;Swift;B;Swift
57303.618;17.1;0.067;Swift;W1;Swift
57580.491;19.78;0.361;Swift;W1;Swift
57306.483;17.18;0.067;Swift;W1;Swift
57586.735;19.36;0.222;Swift;W1;Swift
57309.407;17.21;0.067;Swift;W1;Swift
57593.646;19.67;0.262;Swift;W1;Swift
57312.128;17.36;0.076;Swift;W1;Swift
57600.031;19.37;0.222;Swift;W1;Swift
57318.666;17.47;0.076;Swift;W1;Swift
57324.047;17.73;0.104;Swift;W1;Swift
57327.909;17.84;0.085;Swift;W1;Swift
57330.416;17.67;0.085;Swift;W1;Swift
57259.335;14.43;0.042;Swift;M2;Swift
57333.412;17.9;0.095;Swift;W1;Swift
57264.394;14.86;0.042;Swift;M2;Swift
