MJD;Magnitude;Error;Facility;Filter;Observer
50767.281299999915;15.011;0.102;2MASS;2MASS(H);2MASS
50767.281299999915;14.321;0.047;2MASS;2MASS(J);2MASS
50767.281299999915;13.493;0.062;2MASS;2MASS(K);2MASS
50767.281299999915;13.789;0.06;2MASS;2MASS(H);2MASS
53537.40478;14.87;0.06;CRTS;CRTS(CL);CRTS
53537.41068;14.84;0.06;CRTS;CRTS(CL);CRTS
53537.41659;14.87;0.06;CRTS;CRTS(CL);CRTS
53537.42248;14.8;0.06;CRTS;CRTS(CL);CRTS
53642.27163;14.89;0.06;CRTS;CRTS(CL);CRTS
53642.28032;14.88;0.06;CRTS;CRTS(CL);CRTS
53642.28902;14.9;0.06;CRTS;CRTS(CL);CRTS
53642.2977;14.87;0.06;CRTS;CRTS(CL);CRTS
53657.1822;14.87;0.06;CRTS;CRTS(CL);CRTS
53657.1875;14.81;0.06;CRTS;CRTS(CL);CRTS
53657.1928;14.89;0.06;CRTS;CRTS(CL);CRTS
53657.19814;14.89;0.06;CRTS;CRTS(CL);CRTS
53668.18262;14.89;0.06;CRTS;CRTS(CL);CRTS
53668.19124;14.9;0.06;CRTS;CRTS(CL);CRTS
53668.19989;14.89;0.06;CRTS;CRTS(CL);CRTS
53668.20849;14.89;0.06;CRTS;CRTS(CL);CRTS
53676.25388;14.9;0.06;CRTS;CRTS(CL);CRTS
53676.26029;14.94;0.06;CRTS;CRTS(CL);CRTS
53676.26686;14.9;0.06;CRTS;CRTS(CL);CRTS
53676.2734;14.89;0.06;CRTS;CRTS(CL);CRTS
53684.15971;14.87;0.06;CRTS;CRTS(CL);CRTS
53684.16657;14.86;0.06;CRTS;CRTS(CL);CRTS
53684.17337;14.87;0.06;CRTS;CRTS(CL);CRTS
53684.18026;14.82;0.06;CRTS;CRTS(CL);CRTS
53695.16483;14.91;0.06;CRTS;CRTS(CL);CRTS
53695.1714;14.9;0.06;CRTS;CRTS(CL);CRTS
53695.17794;14.9;0.06;CRTS;CRTS(CL);CRTS
53695.18444;14.83;0.06;CRTS;CRTS(CL);CRTS
53708.20758;14.89;0.06;CRTS;CRTS(CL);CRTS
53708.21337;14.91;0.06;CRTS;CRTS(CL);CRTS
53708.21914;14.88;0.06;CRTS;CRTS(CL);CRTS
53708.22493;14.89;0.06;CRTS;CRTS(CL);CRTS
53735.12562;14.87;0.06;CRTS;CRTS(CL);CRTS
53735.13203;14.93;0.06;CRTS;CRTS(CL);CRTS
53735.13843;14.87;0.06;CRTS;CRTS(CL);CRTS
53735.14486;14.89;0.06;CRTS;CRTS(CL);CRTS
53768.11342;14.87;0.06;CRTS;CRTS(CL);CRTS
53768.11868;14.89;0.06;CRTS;CRTS(CL);CRTS
53768.12349;14.9;0.06;CRTS;CRTS(CL);CRTS
53768.12832;14.91;0.06;CRTS;CRTS(CL);CRTS
53889.46024;14.84;0.08;CRTS;CRTS(CL);CRTS
53889.4613;14.79;0.08;CRTS;CRTS(CL);CRTS
53889.46236;14.92;0.09;CRTS;CRTS(CL);CRTS
53889.46339;14.88;0.08;CRTS;CRTS(CL);CRTS
53902.46551;14.74;0.08;CRTS;CRTS(CL);CRTS
53902.46658;14.87;0.08;CRTS;CRTS(CL);CRTS
53902.4677;14.92;0.08;CRTS;CRTS(CL);CRTS
53902.46875;14.72;0.08;CRTS;CRTS(CL);CRTS
53997.27204;14.89;0.06;CRTS;CRTS(CL);CRTS
53997.28257;14.86;0.06;CRTS;CRTS(CL);CRTS
53997.29314;14.88;0.06;CRTS;CRTS(CL);CRTS
53997.30374;14.9;0.06;CRTS;CRTS(CL);CRTS
54003.22969;14.89;0.06;CRTS;CRTS(CL);CRTS
54003.23784;14.89;0.06;CRTS;CRTS(CL);CRTS
54003.24599;14.87;0.06;CRTS;CRTS(CL);CRTS
54003.25418;14.89;0.06;CRTS;CRTS(CL);CRTS
54010.29957;14.86;0.06;CRTS;CRTS(CL);CRTS
54010.30797;14.89;0.06;CRTS;CRTS(CL);CRTS
54010.31641;14.86;0.06;CRTS;CRTS(CL);CRTS
54010.32485;14.88;0.06;CRTS;CRTS(CL);CRTS
54010.43649267;16.701921;0.012039384;SDSS;SDSS(r);SDSS
54010.43649267;16.701921;0.012030166;SDSS;SDSS(r);SDSS
54010.43732193;16.566166;0.012707597;SDSS;SDSS(i);SDSS
54010.43732193;16.566166;0.012690822;SDSS;SDSS(i);SDSS
54010.4381512;18.557535;0.026822917;SDSS;SDSS(u);SDSS
54010.4381512;18.557535;0.026819963;SDSS;SDSS(u);SDSS
54010.43898046;16.427616;0.019038768;SDSS;SDSS(z);SDSS
54010.43898046;16.427616;0.019032922;SDSS;SDSS(z);SDSS
54010.43980973;17.154911;0.017570302;SDSS;SDSS(g);SDSS
54010.43980973;17.154911;0.017564781;SDSS;SDSS(g);SDSS
54031.2603;14.87;0.06;CRTS;CRTS(CL);CRTS
54031.26896;14.89;0.06;CRTS;CRTS(CL);CRTS
54031.27767;14.89;0.06;CRTS;CRTS(CL);CRTS
54031.28637;14.89;0.06;CRTS;CRTS(CL);CRTS
54037.21899;14.88;0.06;CRTS;CRTS(CL);CRTS
54037.22685;14.89;0.06;CRTS;CRTS(CL);CRTS
54037.23375;14.88;0.06;CRTS;CRTS(CL);CRTS
54037.24041;14.83;0.06;CRTS;CRTS(CL);CRTS
54055.17536;14.89;0.06;CRTS;CRTS(CL);CRTS
54055.18693;14.87;0.06;CRTS;CRTS(CL);CRTS
54055.19853;14.86;0.06;CRTS;CRTS(CL);CRTS
54055.21017;14.88;0.06;CRTS;CRTS(CL);CRTS
54061.17636;14.88;0.06;CRTS;CRTS(CL);CRTS
54061.18596;14.88;0.06;CRTS;CRTS(CL);CRTS
54061.19559;14.86;0.06;CRTS;CRTS(CL);CRTS
54061.20519;14.89;0.06;CRTS;CRTS(CL);CRTS
54085.07167;14.91;0.06;CRTS;CRTS(CL);CRTS
54085.07994;14.9;0.06;CRTS;CRTS(CL);CRTS
54085.0882;14.88;0.06;CRTS;CRTS(CL);CRTS
54085.09643;14.89;0.06;CRTS;CRTS(CL);CRTS
54271.42339;14.9;0.05;CRTS;CRTS(CL);CRTS
54271.43325;14.91;0.05;CRTS;CRTS(CL);CRTS
54271.44306;14.89;0.05;CRTS;CRTS(CL);CRTS
54271.45289;14.91;0.05;CRTS;CRTS(CL);CRTS
54299.38357;14.87;0.06;CRTS;CRTS(CL);CRTS
54299.39;14.88;0.06;CRTS;CRTS(CL);CRTS
54299.39646;14.89;0.06;CRTS;CRTS(CL);CRTS
54299.40671;14.89;0.06;CRTS;CRTS(CL);CRTS
54358.24201;14.88;0.06;CRTS;CRTS(CL);CRTS
54358.24854;14.86;0.06;CRTS;CRTS(CL);CRTS
54358.25512;14.88;0.06;CRTS;CRTS(CL);CRTS
54358.26169;14.87;0.06;CRTS;CRTS(CL);CRTS
54382.24022;14.84;0.06;CRTS;CRTS(CL);CRTS
54382.24793;14.87;0.06;CRTS;CRTS(CL);CRTS
54382.25562;14.88;0.06;CRTS;CRTS(CL);CRTS
54382.26334;14.85;0.06;CRTS;CRTS(CL);CRTS
54389.1539;14.9;0.06;CRTS;CRTS(CL);CRTS
54389.16195;14.89;0.06;CRTS;CRTS(CL);CRTS
54389.17004;14.86;0.06;CRTS;CRTS(CL);CRTS
54389.17812;14.91;0.06;CRTS;CRTS(CL);CRTS
54394.18978;14.85;0.06;CRTS;CRTS(CL);CRTS
54394.2006;14.87;0.06;CRTS;CRTS(CL);CRTS
54394.21141;14.85;0.06;CRTS;CRTS(CL);CRTS
54394.22224;14.86;0.06;CRTS;CRTS(CL);CRTS
54407.30919;14.9;0.06;CRTS;CRTS(CL);CRTS
54407.31465;14.88;0.06;CRTS;CRTS(CL);CRTS
54407.32009;14.87;0.06;CRTS;CRTS(CL);CRTS
54407.32552;14.89;0.06;CRTS;CRTS(CL);CRTS
54417.22387;14.9;0.06;CRTS;CRTS(CL);CRTS
54417.231;14.9;0.06;CRTS;CRTS(CL);CRTS
54417.23813;14.88;0.06;CRTS;CRTS(CL);CRTS
54417.24526;14.88;0.06;CRTS;CRTS(CL);CRTS
54423.07214;14.82;0.06;CRTS;CRTS(CL);CRTS
54423.08197;14.88;0.06;CRTS;CRTS(CL);CRTS
54423.09181;14.87;0.06;CRTS;CRTS(CL);CRTS
54423.1016;14.88;0.06;CRTS;CRTS(CL);CRTS
54452.13989;14.88;0.06;CRTS;CRTS(CL);CRTS
54452.14637;14.91;0.06;CRTS;CRTS(CL);CRTS
54452.15287;14.94;0.06;CRTS;CRTS(CL);CRTS
