MJD;Magnitude;Error;Facility;Filter;Observer
54028.19737;20.32;0.31;CRTS;CRTS(CL);CRTS
54028.20706;20.09;0.28;CRTS;CRTS(CL);CRTS
54054.11785;20.75;0.4;CRTS;CRTS(CL);CRTS
54062.10804;21.01;0.46;CRTS;CRTS(CL);CRTS
54264.39553;20.41;0.36;CRTS;CRTS(CL);CRTS
54271.36634;20.91;0.49;CRTS;CRTS(CL);CRTS
54353.17575;20.4;0.35;CRTS;CRTS(CL);CRTS
54362.24118;20.22;0.31;CRTS;CRTS(CL);CRTS
54362.2477;20.2;0.31;CRTS;CRTS(CL);CRTS
54381.23341;19.87;0.25;CRTS;CRTS(CL);CRTS
54387.21326;21.24;0.53;CRTS;CRTS(CL);CRTS
54387.23766;20.23;0.3;CRTS;CRTS(CL);CRTS
54407.11604;20.36;0.33;CRTS;CRTS(CL);CRTS
54625.40601;20.42;0.35;CRTS;CRTS(CL);CRTS
54625.41315;20.01;0.28;CRTS;CRTS(CL);CRTS
54625.42748;21.25;0.57;CRTS;CRTS(CL);CRTS
54737.19017;20.25;0.3;CRTS;CRTS(CL);CRTS
54737.19689;20.46;0.34;CRTS;CRTS(CL);CRTS
54737.2035;20.1;0.28;CRTS;CRTS(CL);CRTS
54737.21015;20.4;0.33;CRTS;CRTS(CL);CRTS
54737.21735;20.14;0.36;CRTS;CRTS(CL);CRTS
54737.22276;20.74;0.51;CRTS;CRTS(CL);CRTS
54737.22807;20.23;0.38;CRTS;CRTS(CL);CRTS
54749.13522;19.48;0.2;CRTS;CRTS(CL);CRTS
54765.17392;19.43;0.2;CRTS;CRTS(CL);CRTS
54765.19094;20.17;0.29;CRTS;CRTS(CL);CRTS
54833.09494;20.47;0.35;CRTS;CRTS(CL);CRTS
54833.10284;20.19;0.3;CRTS;CRTS(CL);CRTS
55004.38163;20.38;0.34;CRTS;CRTS(CL);CRTS
55004.40334;20.33;0.33;CRTS;CRTS(CL);CRTS
55031.2392972;19.768659591674805;0.11524812132120132;PTF;PTF(R);PTF
55039.2184872;19.869770050048828;0.18021410703659058;PTF;PTF(R);PTF
55039.2941272;19.74612808227539;0.14265231788158417;PTF;PTF(R);PTF
55043.26954;19.36;0.26;CRTS;CRTS(CL);CRTS
55045.2043372;19.82981300354004;0.19498109817504883;PTF;PTF(R);PTF
55045.2906072;19.802032470703125;0.14200934767723083;PTF;PTF(R);PTF
55056.3535572;19.514982223510742;0.11538450419902802;PTF;PTF(R);PTF
55061.2749672;19.427610397338867;0.08926641196012497;PTF;PTF(R);PTF
55061.3591372;19.54633331298828;0.09622379392385483;PTF;PTF(R);PTF
55066.2763672;19.199106216430664;0.10297685861587524;PTF;PTF(R);PTF
55066.3205172;20.206811904907227;0.095424123108387;PTF;PTF(R);PTF
55084.3572272;19.416297912597656;0.16941288113594055;PTF;PTF(R);PTF
55085.35766;20.81;0.44;CRTS;CRTS(CL);CRTS
55085.36742;19.96;0.28;CRTS;CRTS(CL);CRTS
55091.22177;21.09;0.51;CRTS;CRTS(CL);CRTS
55119.30369157;20.491873;0.03929368;SDSS;SDSS(r);SDSS
55119.30452083;20.16239;0.043018796;SDSS;SDSS(i);SDSS
55119.3053501;22.946657;0.65541035;SDSS;SDSS(u);SDSS
55119.30617936;19.902205;0.10587593;SDSS;SDSS(z);SDSS
55119.30700862;21.26959;0.045883723;SDSS;SDSS(g);SDSS
55131.16457;20.67;0.39;CRTS;CRTS(CL);CRTS
55131.16805;19.44;1.08;CRTS;CRTS(CL);CRTS
55131.17138;20.82;0.43;CRTS;CRTS(CL);CRTS
55131.17865;19.57;0.22;CRTS;CRTS(CL);CRTS
55144.16532;20.39;0.34;CRTS;CRTS(CL);CRTS
55144.17265;19.87;0.26;CRTS;CRTS(CL);CRTS
55336.42597;19.96;0.28;CRTS;CRTS(CL);CRTS
55351.613406;17.009;0.534;ALLWISE;WISE(W1);ALLWISE
55354.7224818;16.932;0.487;ALLWISE;WISE(W1);ALLWISE
55354.9870894;16.017;0.208;ALLWISE;WISE(W1);ALLWISE
55362.37969;20.24;0.32;CRTS;CRTS(CL);CRTS
55365.3987372;19.897594451904297;0.0803428664803505;PTF;PTF(R);PTF
55365.4428972;20.02981185913086;0.07761379331350327;PTF;PTF(R);PTF
55370.3964572;20.01221466064453;0.153980553150177;PTF;PTF(R);PTF
55370.4406372;19.991790771484375;0.10811642557382584;PTF;PTF(R);PTF
55416.3237472;20.226167678833008;0.21668702363967896;PTF;PTF(R);PTF
55419.3608372;20.1256160736084;0.25159379839897156;PTF;PTF(R);PTF
55419.4041072;19.98847770690918;0.24347664415836334;PTF;PTF(R);PTF
55422.3591372;19.38604164123535;0.10733802616596222;PTF;PTF(R);PTF
55425.3850672;18.929767608642578;0.0988762229681015;PTF;PTF(R);PTF
55428.3885072;20.250429153442383;0.11769168823957443;PTF;PTF(R);PTF
55428.4347872;20.125917434692383;0.09164232015609741;PTF;PTF(R);PTF
55439.1839672;19.89695167541504;0.1642080843448639;PTF;PTF(R);PTF
55439.2284772;19.841266632080078;0.14073555171489716;PTF;PTF(R);PTF
55443.3076572;19.98796272277832;0.08640239387750626;PTF;PTF(R);PTF
55446.2735572;20.023605346679688;0.09609700739383698;PTF;PTF(R);PTF
55446.3169072;20.223827362060547;0.0963127538561821;PTF;PTF(R);PTF
55452.1701772;20.095239639282227;0.10017365962266922;PTF;PTF(R);PTF
55452.2143672;19.97515296936035;0.08705255389213562;PTF;PTF(R);PTF
55458.2886272;20.30885887145996;0.1857174187898636;PTF;PTF(R);PTF
