MJD;Magnitude;Error;Facility;Filter;Observer
51335.38540000003;15.003;0.14;2MASS;2MASS(K);2MASS
51335.38540000003;15.531;0.154;2MASS;2MASS(H);2MASS
51335.38540000003;16.185;0.128;2MASS;2MASS(J);2MASS
52665.4644644;16.52;0.068;LINEAR;LINEAR(CL);LINEAR
52665.4787625;16.551;0.065;LINEAR;LINEAR(CL);LINEAR
52665.4930596;16.554;0.063;LINEAR;LINEAR(CL);LINEAR
52665.5074708;16.544;0.059;LINEAR;LINEAR(CL);LINEAR
52665.5217952;16.489;0.055;LINEAR;LINEAR(CL);LINEAR
52677.4606307;16.533;0.07;LINEAR;LINEAR(CL);LINEAR
52677.4749032;16.579;0.072;LINEAR;LINEAR(CL);LINEAR
52677.4891914;16.448;0.061;LINEAR;LINEAR(CL);LINEAR
52677.5035132;16.536;0.065;LINEAR;LINEAR(CL);LINEAR
52677.5178014;16.564;0.065;LINEAR;LINEAR(CL);LINEAR
52706.4457216;16.53;0.061;LINEAR;LINEAR(CL);LINEAR
52706.4610864;16.559;0.061;LINEAR;LINEAR(CL);LINEAR
52706.4754704;16.499;0.058;LINEAR;LINEAR(CL);LINEAR
52706.4905058;16.403;0.054;LINEAR;LINEAR(CL);LINEAR
52724.4175057;16.485;0.052;LINEAR;LINEAR(CL);LINEAR
52724.4292703;16.529;0.054;LINEAR;LINEAR(CL);LINEAR
52724.4408357;16.528;0.055;LINEAR;LINEAR(CL);LINEAR
52724.4523867;16.498;0.055;LINEAR;LINEAR(CL);LINEAR
52724.4639477;16.525;0.059;LINEAR;LINEAR(CL);LINEAR
52753.3244858;16.553;0.059;LINEAR;LINEAR(CL);LINEAR
52753.3364994;16.563;0.055;LINEAR;LINEAR(CL);LINEAR
52753.3485336;16.564;0.055;LINEAR;LINEAR(CL);LINEAR
52753.3606062;16.539;0.054;LINEAR;LINEAR(CL);LINEAR
52753.3726442;16.56;0.055;LINEAR;LINEAR(CL);LINEAR
52758.41190822;19.127193;0.017991953;SDSS;SDSS(r);SDSS
52758.41190822;19.127193;0.018291008;SDSS;SDSS(r);SDSS
52758.41190822;19.126646;0.019131098;SDSS;SDSS(r);SDSS
52758.41273748;18.636765;0.017549405;SDSS;SDSS(i);SDSS
52758.41273748;18.637634;0.017017076;SDSS;SDSS(i);SDSS
52758.41273748;18.637634;0.017420627;SDSS;SDSS(i);SDSS
52758.41356675;20.786518;0.05347591;SDSS;SDSS(u);SDSS
52758.41356675;20.795103;0.05455113;SDSS;SDSS(u);SDSS
52758.41356675;20.786518;0.054398358;SDSS;SDSS(u);SDSS
52758.41439601;18.322386;0.02722312;SDSS;SDSS(z);SDSS
52758.41439601;18.322386;0.02725955;SDSS;SDSS(z);SDSS
52758.41439601;18.323807;0.027173169;SDSS;SDSS(z);SDSS
52758.41522528;19.68929;0.018371087;SDSS;SDSS(g);SDSS
52758.41522528;19.68972;0.018359289;SDSS;SDSS(g);SDSS
52758.41522528;19.68929;0.018516384;SDSS;SDSS(g);SDSS
52772.2755696;16.76;0.194;LINEAR;LINEAR(CL);LINEAR
52772.2874983;16.563;0.187;LINEAR;LINEAR(CL);LINEAR
52772.299191;16.477;0.115;LINEAR;LINEAR(CL);LINEAR
52772.3111042;16.4;0.139;LINEAR;LINEAR(CL);LINEAR
52787.2708955;16.587;0.054;LINEAR;LINEAR(CL);LINEAR
52787.2815613;16.535;0.052;LINEAR;LINEAR(CL);LINEAR
52787.2921629;16.539;0.054;LINEAR;LINEAR(CL);LINEAR
52787.3027901;16.514;0.054;LINEAR;LINEAR(CL);LINEAR
52787.3135445;16.609;0.059;LINEAR;LINEAR(CL);LINEAR
52797.2684817;16.654;0.081;LINEAR;LINEAR(CL);LINEAR
52797.2785244;16.547;0.072;LINEAR;LINEAR(CL);LINEAR
52797.288553;16.538;0.07;LINEAR;LINEAR(CL);LINEAR
52797.2986335;16.574;0.072;LINEAR;LINEAR(CL);LINEAR
52797.3086837;16.548;0.067;LINEAR;LINEAR(CL);LINEAR
52811.227413;16.575;0.065;LINEAR;LINEAR(CL);LINEAR
52811.2372641;16.538;0.061;LINEAR;LINEAR(CL);LINEAR
52811.2470381;16.58;0.065;LINEAR;LINEAR(CL);LINEAR
52811.256825;16.542;0.061;LINEAR;LINEAR(CL);LINEAR
52811.2665838;16.543;0.061;LINEAR;LINEAR(CL);LINEAR
52812.2298709;16.453;0.061;LINEAR;LINEAR(CL);LINEAR
52812.2398797;16.418;0.058;LINEAR;LINEAR(CL);LINEAR
52812.250085;16.409;0.058;LINEAR;LINEAR(CL);LINEAR
52812.2601607;16.582;0.066;LINEAR;LINEAR(CL);LINEAR
