MJD;Magnitude;Error;Facility;Filter;Observer
51638.21926866;17.629204;0.009593794;SDSS;SDSS(r);SDSS
51638.21926866;17.628864;0.009453873;SDSS;SDSS(r);SDSS
51638.21926866;17.628864;0.009453473;SDSS;SDSS(r);SDSS
51638.22009792;17.293982;0.012042961;SDSS;SDSS(i);SDSS
51638.22009792;17.293718;0.0119351;SDSS;SDSS(i);SDSS
51638.22009792;17.293718;0.011934633;SDSS;SDSS(i);SDSS
51638.22092719;20.069056;0.03426102;SDSS;SDSS(u);SDSS
51638.22092719;19.861006;0.034256704;SDSS;SDSS(u);SDSS
51638.22092719;20.078558;0.039802123;SDSS;SDSS(u);SDSS
51638.22175645;16.865173;0.014881828;SDSS;SDSS(z);SDSS
51638.22175645;16.866678;0.014949514;SDSS;SDSS(z);SDSS
51638.22175645;16.865173;0.014883684;SDSS;SDSS(z);SDSS
51638.22258572;18.410984;0.019340469;SDSS;SDSS(g);SDSS
51638.22258572;18.411695;0.01934806;SDSS;SDSS(g);SDSS
51638.22258572;18.410984;0.019339696;SDSS;SDSS(g);SDSS
52618.4013809;15.63;0.069;LINEAR;LINEAR(CL);LINEAR
52618.4165623;15.608;0.028;LINEAR;LINEAR(CL);LINEAR
52618.4317229;15.591;0.031;LINEAR;LINEAR(CL);LINEAR
52636.353724;15.619;0.03;LINEAR;LINEAR(CL);LINEAR
52636.367859;15.669;0.031;LINEAR;LINEAR(CL);LINEAR
52636.3820227;15.635;0.03;LINEAR;LINEAR(CL);LINEAR
52636.3962303;15.655;0.03;LINEAR;LINEAR(CL);LINEAR
52636.410397;15.631;0.028;LINEAR;LINEAR(CL);LINEAR
52650.2595012;15.648;0.033;LINEAR;LINEAR(CL);LINEAR
52650.2758352;15.569;0.028;LINEAR;LINEAR(CL);LINEAR
52650.2912313;15.631;0.03;LINEAR;LINEAR(CL);LINEAR
52650.3066496;15.615;0.028;LINEAR;LINEAR(CL);LINEAR
52653.3076061;15.632;0.031;LINEAR;LINEAR(CL);LINEAR
52653.3229391;15.615;0.03;LINEAR;LINEAR(CL);LINEAR
52653.3383288;15.613;0.03;LINEAR;LINEAR(CL);LINEAR
52653.3536749;15.658;0.031;LINEAR;LINEAR(CL);LINEAR
52653.3690505;15.643;0.031;LINEAR;LINEAR(CL);LINEAR
52660.3144069;15.637;0.041;LINEAR;LINEAR(CL);LINEAR
52695.2607548;15.647;0.022;LINEAR;LINEAR(CL);LINEAR
52695.2766625;15.658;0.022;LINEAR;LINEAR(CL);LINEAR
52695.293042;15.648;0.024;LINEAR;LINEAR(CL);LINEAR
52695.3094265;15.629;0.024;LINEAR;LINEAR(CL);LINEAR
52711.2166712;15.677;0.041;LINEAR;LINEAR(CL);LINEAR
52711.2304237;15.688;0.039;LINEAR;LINEAR(CL);LINEAR
52722.1944869;15.686;0.022;LINEAR;LINEAR(CL);LINEAR
52722.2081783;15.668;0.02;LINEAR;LINEAR(CL);LINEAR
52722.221745;15.652;0.022;LINEAR;LINEAR(CL);LINEAR
52722.2350615;15.66;0.022;LINEAR;LINEAR(CL);LINEAR
52722.2524805;15.642;0.022;LINEAR;LINEAR(CL);LINEAR
52751.1395379;15.597;0.03;LINEAR;LINEAR(CL);LINEAR
52751.1501309;15.623;0.055;LINEAR;LINEAR(CL);LINEAR
52751.1608212;15.628;0.03;LINEAR;LINEAR(CL);LINEAR
52751.1714437;15.624;0.044;LINEAR;LINEAR(CL);LINEAR
52751.1822404;15.617;0.03;LINEAR;LINEAR(CL);LINEAR
52914.4346274;15.68;0.08;LINEAR;LINEAR(CL);LINEAR
52914.4476038;15.627;0.033;LINEAR;LINEAR(CL);LINEAR
52914.4736053;15.658;0.063;LINEAR;LINEAR(CL);LINEAR
52914.4870386;15.653;0.054;LINEAR;LINEAR(CL);LINEAR
52927.4429417;15.606;0.059;LINEAR;LINEAR(CL);LINEAR
52927.4548034;15.649;0.061;LINEAR;LINEAR(CL);LINEAR
52964.4260209;15.636;0.02;LINEAR;LINEAR(CL);LINEAR
52964.4399636;15.664;0.02;LINEAR;LINEAR(CL);LINEAR
52964.4547916;15.649;0.02;LINEAR;LINEAR(CL);LINEAR
52964.4738496;15.631;0.02;LINEAR;LINEAR(CL);LINEAR
52967.2412905;15.665;0.028;LINEAR;LINEAR(CL);LINEAR
52967.2493195;15.595;0.026;LINEAR;LINEAR(CL);LINEAR
52967.2580909;15.652;0.03;LINEAR;LINEAR(CL);LINEAR
52967.2661204;15.637;0.028;LINEAR;LINEAR(CL);LINEAR
52977.3854033;15.624;0.026;LINEAR;LINEAR(CL);LINEAR
52978.3792712;15.605;0.03;LINEAR;LINEAR(CL);LINEAR
52978.3919919;15.66;0.03;LINEAR;LINEAR(CL);LINEAR
52978.4047156;15.68;0.031;LINEAR;LINEAR(CL);LINEAR
52978.4174493;15.664;0.03;LINEAR;LINEAR(CL);LINEAR
52978.4303124;15.621;0.028;LINEAR;LINEAR(CL);LINEAR
