MJD;Magnitude;Error;Facility;Filter;Observer
51035.99170000013;13.324;0.082;2MASS;2MASS(H);2MASS
51035.99170000013;14.074;0.074;2MASS;2MASS(J);2MASS
51035.99170000013;12.902;0.07;2MASS;2MASS(K);2MASS
55257.8155579;11.569;0.031;ALLWISE;WISE(W2);ALLWISE
55257.8155579;11.456;0.026;ALLWISE;WISE(W1);ALLWISE
55257.947862;11.598;0.033;ALLWISE;WISE(W2);ALLWISE
55257.947862;11.558;0.026;ALLWISE;WISE(W1);ALLWISE
55258.0801661;11.661;0.036;ALLWISE;WISE(W2);ALLWISE
55258.0801661;11.543;0.026;ALLWISE;WISE(W1);ALLWISE
55258.1462545;11.647;0.033;ALLWISE;WISE(W2);ALLWISE
55258.1462545;11.523;0.034;ALLWISE;WISE(W1);ALLWISE
55258.1463818;11.546;0.024;ALLWISE;WISE(W1);ALLWISE
55258.1463818;11.64;0.035;ALLWISE;WISE(W2);ALLWISE
55258.2124701;11.469;0.024;ALLWISE;WISE(W1);ALLWISE
55258.2124701;11.675;0.033;ALLWISE;WISE(W2);ALLWISE
55258.2786858;11.611;0.032;ALLWISE;WISE(W2);ALLWISE
55258.2786858;11.564;0.026;ALLWISE;WISE(W1);ALLWISE
55258.3447741;11.499;0.028;ALLWISE;WISE(W1);ALLWISE
55258.3447741;11.704;0.042;ALLWISE;WISE(W2);ALLWISE
55258.4109899;11.527;0.025;ALLWISE;WISE(W1);ALLWISE
55258.4109899;11.717;0.041;ALLWISE;WISE(W2);ALLWISE
55258.4770782;11.647;0.036;ALLWISE;WISE(W2);ALLWISE
55258.4770782;11.429;0.024;ALLWISE;WISE(W1);ALLWISE
55258.4772056;11.567;0.028;ALLWISE;WISE(W1);ALLWISE
55258.4772056;11.659;0.036;ALLWISE;WISE(W2);ALLWISE
55258.5432939;11.704;0.034;ALLWISE;WISE(W2);ALLWISE
55258.5432939;11.575;0.025;ALLWISE;WISE(W1);ALLWISE
55258.675598;11.629;0.038;ALLWISE;WISE(W2);ALLWISE
55258.675598;11.628;0.024;ALLWISE;WISE(W1);ALLWISE
55258.8079021;11.531;0.03;ALLWISE;WISE(W2);ALLWISE
