MJD;Magnitude;Error;Facility;Filter;Observer
53636.43204;18.43;0.14;CRTS;CRTS(CL);CRTS
53636.44017;18.39;0.14;CRTS;CRTS(CL);CRTS
53636.44845;18.54;0.15;CRTS;CRTS(CL);CRTS
53636.45662;18.38;0.14;CRTS;CRTS(CL);CRTS
53644.33838;18.37;0.13;CRTS;CRTS(CL);CRTS
53644.34757;18.54;0.14;CRTS;CRTS(CL);CRTS
53644.35677;18.73;0.16;CRTS;CRTS(CL);CRTS
53644.36595;18.75;0.16;CRTS;CRTS(CL);CRTS
53651.28503;18.56;0.15;CRTS;CRTS(CL);CRTS
53651.29905;18.49;0.15;CRTS;CRTS(CL);CRTS
53651.30608;18.59;0.15;CRTS;CRTS(CL);CRTS
53672.24007;18.56;0.14;CRTS;CRTS(CL);CRTS
53672.24954;18.44;0.13;CRTS;CRTS(CL);CRTS
53672.25907;18.61;0.14;CRTS;CRTS(CL);CRTS
53672.26868;18.42;0.13;CRTS;CRTS(CL);CRTS
53679.27618;18.49;0.1;CRTS;CRTS(CL);CRTS
53679.28157;18.52;0.1;CRTS;CRTS(CL);CRTS
53679.28697;18.47;0.1;CRTS;CRTS(CL);CRTS
53679.29237;18.6;0.11;CRTS;CRTS(CL);CRTS
53696.22681;18.81;0.16;CRTS;CRTS(CL);CRTS
53696.23377;18.6;0.14;CRTS;CRTS(CL);CRTS
53696.24073;18.65;0.15;CRTS;CRTS(CL);CRTS
53696.24773;18.55;0.14;CRTS;CRTS(CL);CRTS
53702.18125;18.63;0.14;CRTS;CRTS(CL);CRTS
53708.27411;18.64;0.15;CRTS;CRTS(CL);CRTS
53708.28043;18.41;0.13;CRTS;CRTS(CL);CRTS
53708.28674;18.75;0.15;CRTS;CRTS(CL);CRTS
53708.29308;18.45;0.13;CRTS;CRTS(CL);CRTS
53728.11097;18.47;0.14;CRTS;CRTS(CL);CRTS
53728.11952;18.73;0.16;CRTS;CRTS(CL);CRTS
53728.12805;18.44;0.13;CRTS;CRTS(CL);CRTS
53728.13657;18.33;0.13;CRTS;CRTS(CL);CRTS
53740.07361;18.35;0.13;CRTS;CRTS(CL);CRTS
53740.08002;18.66;0.15;CRTS;CRTS(CL);CRTS
53740.08641;18.31;0.13;CRTS;CRTS(CL);CRTS
