MJD;Magnitude;Error;Facility;Filter;Observer
53464.23223;16.91;0.08;CRTS;CRTS(CL);CRTS
53464.24082;16.93;0.08;CRTS;CRTS(CL);CRTS
53464.24903;16.91;0.08;CRTS;CRTS(CL);CRTS
53464.25712;16.92;0.08;CRTS;CRTS(CL);CRTS
53494.20537;16.86;0.08;CRTS;CRTS(CL);CRTS
53494.21346;16.77;0.08;CRTS;CRTS(CL);CRTS
53494.22158;16.88;0.08;CRTS;CRTS(CL);CRTS
53494.22962;16.78;0.08;CRTS;CRTS(CL);CRTS
53525.16386;16.9;0.08;CRTS;CRTS(CL);CRTS
53525.17037;16.83;0.08;CRTS;CRTS(CL);CRTS
53525.1769;16.89;0.08;CRTS;CRTS(CL);CRTS
53525.18344;16.83;0.08;CRTS;CRTS(CL);CRTS
53710.4385;16.95;0.08;CRTS;CRTS(CL);CRTS
53710.44549;16.93;0.08;CRTS;CRTS(CL);CRTS
53710.45255;16.8;0.08;CRTS;CRTS(CL);CRTS
53710.45958;16.89;0.08;CRTS;CRTS(CL);CRTS
53729.37;16.86;0.08;CRTS;CRTS(CL);CRTS
53729.37881;16.88;0.08;CRTS;CRTS(CL);CRTS
53729.38755;16.89;0.08;CRTS;CRTS(CL);CRTS
53729.39626;16.87;0.08;CRTS;CRTS(CL);CRTS
53736.40712;16.85;0.08;CRTS;CRTS(CL);CRTS
53736.41409;16.86;0.08;CRTS;CRTS(CL);CRTS
53736.42109;16.78;0.08;CRTS;CRTS(CL);CRTS
53736.42811;16.86;0.08;CRTS;CRTS(CL);CRTS
53742.389;16.86;0.08;CRTS;CRTS(CL);CRTS
53742.39651;16.87;0.08;CRTS;CRTS(CL);CRTS
53742.40403;16.9;0.08;CRTS;CRTS(CL);CRTS
53742.41158;16.87;0.08;CRTS;CRTS(CL);CRTS
53758.29158;16.86;0.08;CRTS;CRTS(CL);CRTS
53758.29806;16.86;0.08;CRTS;CRTS(CL);CRTS
53758.30454;16.86;0.08;CRTS;CRTS(CL);CRTS
53758.31102;16.87;0.08;CRTS;CRTS(CL);CRTS
53766.36446;16.86;0.08;CRTS;CRTS(CL);CRTS
53766.37038;16.9;0.08;CRTS;CRTS(CL);CRTS
53766.37631;16.86;0.08;CRTS;CRTS(CL);CRTS
53766.38223;16.81;0.08;CRTS;CRTS(CL);CRTS
53773.32995;16.92;0.08;CRTS;CRTS(CL);CRTS
53773.33675;16.78;0.08;CRTS;CRTS(CL);CRTS
53773.34357;16.81;0.08;CRTS;CRTS(CL);CRTS
53773.35037;16.9;0.08;CRTS;CRTS(CL);CRTS
53788.28966;16.9;0.08;CRTS;CRTS(CL);CRTS
53788.29663;16.9;0.08;CRTS;CRTS(CL);CRTS
53788.30365;16.91;0.08;CRTS;CRTS(CL);CRTS
53788.31071;16.92;0.08;CRTS;CRTS(CL);CRTS
53803.278;16.84;0.09;CRTS;CRTS(CL);CRTS
53803.2847;16.85;0.09;CRTS;CRTS(CL);CRTS
53803.29146;16.84;0.09;CRTS;CRTS(CL);CRTS
53803.29833;16.84;0.09;CRTS;CRTS(CL);CRTS
53845.19767;16.88;0.08;CRTS;CRTS(CL);CRTS
53845.20573;16.88;0.08;CRTS;CRTS(CL);CRTS
53845.21382;16.85;0.08;CRTS;CRTS(CL);CRTS
53845.22188;16.84;0.08;CRTS;CRTS(CL);CRTS
53856.15759;16.88;0.08;CRTS;CRTS(CL);CRTS
53856.16304;16.85;0.08;CRTS;CRTS(CL);CRTS
53856.16844;16.82;0.08;CRTS;CRTS(CL);CRTS
53856.17382;16.86;0.08;CRTS;CRTS(CL);CRTS
53866.20872;16.89;0.17;CRTS;CRTS(CL);CRTS
53866.20944;16.87;0.17;CRTS;CRTS(CL);CRTS
53866.21019;17.0;0.18;CRTS;CRTS(CL);CRTS
53866.21102;16.88;0.17;CRTS;CRTS(CL);CRTS
53887.15003;16.87;0.08;CRTS;CRTS(CL);CRTS
53887.15913;16.83;0.08;CRTS;CRTS(CL);CRTS
53887.16821;16.93;0.08;CRTS;CRTS(CL);CRTS
53887.1773;16.87;0.08;CRTS;CRTS(CL);CRTS
54057.46159;16.88;0.08;CRTS;CRTS(CL);CRTS
54057.46766;16.89;0.08;CRTS;CRTS(CL);CRTS
54057.4738;16.87;0.08;CRTS;CRTS(CL);CRTS
54057.47989;16.88;0.08;CRTS;CRTS(CL);CRTS
54070.45983;16.9;0.08;CRTS;CRTS(CL);CRTS
54070.46747;16.83;0.08;CRTS;CRTS(CL);CRTS
54070.47536;16.85;0.08;CRTS;CRTS(CL);CRTS
54070.483;16.88;0.08;CRTS;CRTS(CL);CRTS
54084.44584;16.81;0.08;CRTS;CRTS(CL);CRTS
54084.4524;16.94;0.09;CRTS;CRTS(CL);CRTS
54084.45895;16.88;0.08;CRTS;CRTS(CL);CRTS
54084.4655;16.8;0.08;CRTS;CRTS(CL);CRTS
54090.47443;16.86;0.08;CRTS;CRTS(CL);CRTS
54090.48102;16.87;0.08;CRTS;CRTS(CL);CRTS
54090.4876;16.86;0.08;CRTS;CRTS(CL);CRTS
54090.4942;16.91;0.08;CRTS;CRTS(CL);CRTS
54115.30175;16.91;0.08;CRTS;CRTS(CL);CRTS
54115.31282;16.88;0.08;CRTS;CRTS(CL);CRTS
54115.32377;16.83;0.08;CRTS;CRTS(CL);CRTS
54115.33465;16.8;0.08;CRTS;CRTS(CL);CRTS
54125.35372;16.88;0.08;CRTS;CRTS(CL);CRTS
54127.24877;16.77;0.08;CRTS;CRTS(CL);CRTS
54127.25713;16.83;0.08;CRTS;CRTS(CL);CRTS
54127.26553;16.81;0.08;CRTS;CRTS(CL);CRTS
54127.27392;16.87;0.08;CRTS;CRTS(CL);CRTS
54141.26806;16.91;0.08;CRTS;CRTS(CL);CRTS
54141.27446;16.89;0.08;CRTS;CRTS(CL);CRTS
54141.28088;16.91;0.08;CRTS;CRTS(CL);CRTS
54141.28733;16.84;0.08;CRTS;CRTS(CL);CRTS
54168.35806;16.9;0.08;CRTS;CRTS(CL);CRTS
54168.36562;16.84;0.08;CRTS;CRTS(CL);CRTS
54168.37313;16.95;0.08;CRTS;CRTS(CL);CRTS
54168.38077;16.84;0.08;CRTS;CRTS(CL);CRTS
54174.22811;16.87;0.08;CRTS;CRTS(CL);CRTS
54174.23744;16.85;0.08;CRTS;CRTS(CL);CRTS
54174.24675;16.86;0.08;CRTS;CRTS(CL);CRTS
54174.2561;16.86;0.08;CRTS;CRTS(CL);CRTS
54206.12634;16.87;0.08;CRTS;CRTS(CL);CRTS
54206.13127;16.79;0.08;CRTS;CRTS(CL);CRTS
54206.1362;16.89;0.08;CRTS;CRTS(CL);CRTS
54206.14111;16.86;0.08;CRTS;CRTS(CL);CRTS
54392.48993;16.85;0.08;CRTS;CRTS(CL);CRTS
54392.49426;16.88;0.08;CRTS;CRTS(CL);CRTS
54392.49861;16.81;0.08;CRTS;CRTS(CL);CRTS
54392.503;16.83;0.08;CRTS;CRTS(CL);CRTS
54415.46287;16.79;0.08;CRTS;CRTS(CL);CRTS
54415.47147;16.87;0.08;CRTS;CRTS(CL);CRTS
54415.48009;16.88;0.08;CRTS;CRTS(CL);CRTS
54415.48867;16.94;0.08;CRTS;CRTS(CL);CRTS
54423.44562;16.85;0.08;CRTS;CRTS(CL);CRTS
54423.45495;16.8;0.08;CRTS;CRTS(CL);CRTS
54423.46427;16.81;0.08;CRTS;CRTS(CL);CRTS
54423.47373;16.84;0.08;CRTS;CRTS(CL);CRTS
54439.41474;16.86;0.08;CRTS;CRTS(CL);CRTS
54439.42123;16.86;0.08;CRTS;CRTS(CL);CRTS
54439.42776;16.86;0.08;CRTS;CRTS(CL);CRTS
54439.43421;16.83;0.08;CRTS;CRTS(CL);CRTS
54453.40897;16.84;0.08;CRTS;CRTS(CL);CRTS
54453.41607;16.87;0.08;CRTS;CRTS(CL);CRTS
