MJD;Magnitude;Error;Facility;Filter;Observer
51991.38267776;19.376352;0.057600114;SDSS;SDSS(r);SDSS
51991.38350702;18.905256;0.052123368;SDSS;SDSS(i);SDSS
51991.3843362901;23.7885;1.0978339;SDSS;SDSS(u);SDSS
51991.38516555;18.618208;0.067726694;SDSS;SDSS(z);SDSS
51991.38599482;20.630167;0.06271265;SDSS;SDSS(g);SDSS
51991.4839053;19.359053;0.041195948;SDSS;SDSS(r);SDSS
51991.48431993;19.407307;0.045205057;SDSS;SDSS(r);SDSS
51991.48473456;18.912584;0.045843337;SDSS;SDSS(i);SDSS
51991.4851491901;18.935194;0.048150893;SDSS;SDSS(i);SDSS
51991.48556383;22.680536;0.31713286;SDSS;SDSS(u);SDSS
51991.48597846;22.789225;0.34163603;SDSS;SDSS(u);SDSS
51991.48639309;18.616123;0.048600405;SDSS;SDSS(z);SDSS
51991.48680772;18.652826;0.05513257;SDSS;SDSS(z);SDSS
51991.48722236;20.685408;0.03877227;SDSS;SDSS(g);SDSS
51991.4876369901;20.710516;0.04413535;SDSS;SDSS(g);SDSS
52815.37608901;19.473906;0.019338394;SDSS;SDSS(r);SDSS
52815.37608901;19.515713;0.043939732;SDSS;SDSS(r);SDSS
52815.37691827;18.995121;0.02101831;SDSS;SDSS(i);SDSS
52815.37691827;19.04459;0.046038944;SDSS;SDSS(i);SDSS
52815.37774754;24.031414;0.94368786;SDSS;SDSS(u);SDSS
52815.37774754;24.846117;1.191247;SDSS;SDSS(u);SDSS
52815.3785768;18.576326;0.039990563;SDSS;SDSS(z);SDSS
52815.3785768;18.652834;0.06487178;SDSS;SDSS(z);SDSS
52815.37940606;20.698652;0.03076309;SDSS;SDSS(g);SDSS
52815.37940606;20.764286;0.052096006;SDSS;SDSS(g);SDSS
53470.42023;17.42;0.1;CRTS;CRTS(CL);CRTS
53470.42741;17.44;0.1;CRTS;CRTS(CL);CRTS
53470.43464;17.41;0.1;CRTS;CRTS(CL);CRTS
53470.44181;17.24;0.09;CRTS;CRTS(CL);CRTS
53479.41055;17.38;0.09;CRTS;CRTS(CL);CRTS
53479.41926;17.39;0.09;CRTS;CRTS(CL);CRTS
53479.42794;17.43;0.09;CRTS;CRTS(CL);CRTS
53479.43662;17.46;0.09;CRTS;CRTS(CL);CRTS
53509.3761;17.34;0.09;CRTS;CRTS(CL);CRTS
53509.38418;17.41;0.09;CRTS;CRTS(CL);CRTS
53509.39224;17.31;0.09;CRTS;CRTS(CL);CRTS
53509.40035;17.21;0.09;CRTS;CRTS(CL);CRTS
53527.36697;17.42;0.09;CRTS;CRTS(CL);CRTS
53527.37572;17.28;0.09;CRTS;CRTS(CL);CRTS
53527.38455;17.34;0.09;CRTS;CRTS(CL);CRTS
53527.39315;17.3;0.09;CRTS;CRTS(CL);CRTS
53534.34988;17.35;0.09;CRTS;CRTS(CL);CRTS
53534.35804;17.29;0.09;CRTS;CRTS(CL);CRTS
53534.37434;17.41;0.09;CRTS;CRTS(CL);CRTS
53549.31132;17.33;0.09;CRTS;CRTS(CL);CRTS
53549.3184;17.28;0.09;CRTS;CRTS(CL);CRTS
53549.32546;17.41;0.09;CRTS;CRTS(CL);CRTS
53549.33249;17.44;0.1;CRTS;CRTS(CL);CRTS
53557.3007;17.25;0.09;CRTS;CRTS(CL);CRTS
53557.30721;17.32;0.09;CRTS;CRTS(CL);CRTS
53557.31372;17.43;0.09;CRTS;CRTS(CL);CRTS
53557.32024;17.4;0.09;CRTS;CRTS(CL);CRTS
53562.27675;17.4;0.09;CRTS;CRTS(CL);CRTS
53562.28328;17.4;0.09;CRTS;CRTS(CL);CRTS
53562.28984;17.42;0.09;CRTS;CRTS(CL);CRTS
53562.29637;17.29;0.09;CRTS;CRTS(CL);CRTS
53627.15144;17.52;0.11;CRTS;CRTS(CL);CRTS
53627.15846;17.33;0.1;CRTS;CRTS(CL);CRTS
53627.16545;17.35;0.1;CRTS;CRTS(CL);CRTS
53627.17251;17.26;0.1;CRTS;CRTS(CL);CRTS
53646.10374;17.38;0.1;CRTS;CRTS(CL);CRTS
53646.10911;17.16;0.09;CRTS;CRTS(CL);CRTS
53646.11455;17.28;0.09;CRTS;CRTS(CL);CRTS
53655.10866;17.26;0.09;CRTS;CRTS(CL);CRTS
