MJD;Magnitude;Error;Facility;Filter;Observer
53680.44967;19.63;0.1;CRTS;CRTS(CL);CRTS
53680.45304;19.65;0.1;CRTS;CRTS(CL);CRTS
53680.45637;19.58;0.1;CRTS;CRTS(CL);CRTS
53680.45977;19.53;0.1;CRTS;CRTS(CL);CRTS
53702.37632;19.75;0.12;CRTS;CRTS(CL);CRTS
53702.38359;19.79;0.12;CRTS;CRTS(CL);CRTS
53702.39097;19.71;0.11;CRTS;CRTS(CL);CRTS
53702.39819;19.72;0.11;CRTS;CRTS(CL);CRTS
53703.4205;19.4;0.11;CRTS;CRTS(CL);CRTS
53703.43517;19.57;0.11;CRTS;CRTS(CL);CRTS
53703.44984;19.62;0.11;CRTS;CRTS(CL);CRTS
53703.46445;19.69;0.12;CRTS;CRTS(CL);CRTS
53742.27034;19.55;0.11;CRTS;CRTS(CL);CRTS
53742.27657;19.64;0.11;CRTS;CRTS(CL);CRTS
53742.28281;19.67;0.11;CRTS;CRTS(CL);CRTS
53742.28905;19.59;0.11;CRTS;CRTS(CL);CRTS
53757.23774;19.57;0.1;CRTS;CRTS(CL);CRTS
53757.24538;19.66;0.1;CRTS;CRTS(CL);CRTS
53757.25301;19.62;0.1;CRTS;CRTS(CL);CRTS
53757.26066;19.58;0.1;CRTS;CRTS(CL);CRTS
53789.2153;19.66;0.13;CRTS;CRTS(CL);CRTS
53789.2234;19.62;0.11;CRTS;CRTS(CL);CRTS
53789.23147;19.69;0.12;CRTS;CRTS(CL);CRTS
53789.23953;20.19;0.2;CRTS;CRTS(CL);CRTS
53818.13711;19.68;0.12;CRTS;CRTS(CL);CRTS
53818.1428;19.64;0.12;CRTS;CRTS(CL);CRTS
53818.14867;19.64;0.12;CRTS;CRTS(CL);CRTS
53818.15436;19.6;0.12;CRTS;CRTS(CL);CRTS
53833.16175;19.61;0.12;CRTS;CRTS(CL);CRTS
53833.1681;19.55;0.11;CRTS;CRTS(CL);CRTS
53833.17445;19.5;0.11;CRTS;CRTS(CL);CRTS
53833.18086;19.57;0.11;CRTS;CRTS(CL);CRTS
54058.42637;19.67;0.12;CRTS;CRTS(CL);CRTS
54058.43137;19.64;0.11;CRTS;CRTS(CL);CRTS
54058.43632;19.49;0.11;CRTS;CRTS(CL);CRTS
54058.44128;19.64;0.11;CRTS;CRTS(CL);CRTS
54127.14103;19.71;0.12;CRTS;CRTS(CL);CRTS
54127.14765;19.78;0.12;CRTS;CRTS(CL);CRTS
54127.15418;19.69;0.12;CRTS;CRTS(CL);CRTS
54127.16071;19.59;0.12;CRTS;CRTS(CL);CRTS
54152.20323;19.51;0.11;CRTS;CRTS(CL);CRTS
54153.18552;19.64;0.12;CRTS;CRTS(CL);CRTS
54153.19213;19.55;0.11;CRTS;CRTS(CL);CRTS
54153.19876;19.65;0.12;CRTS;CRTS(CL);CRTS
54153.20567;19.49;0.11;CRTS;CRTS(CL);CRTS
54504.24354;19.66;0.11;CRTS;CRTS(CL);CRTS
54504.25161;19.58;0.11;CRTS;CRTS(CL);CRTS
54504.25976;19.67;0.11;CRTS;CRTS(CL);CRTS
54504.2679;19.61;0.11;CRTS;CRTS(CL);CRTS
54560.16538;19.57;0.11;CRTS;CRTS(CL);CRTS
54560.17263;19.55;0.11;CRTS;CRTS(CL);CRTS
54560.17987;19.63;0.11;CRTS;CRTS(CL);CRTS
54560.18709;19.6;0.11;CRTS;CRTS(CL);CRTS
54883.2017;19.54;0.12;CRTS;CRTS(CL);CRTS
54883.20978;19.57;0.11;CRTS;CRTS(CL);CRTS
54883.21778;19.59;0.12;CRTS;CRTS(CL);CRTS
54883.22588;19.65;0.12;CRTS;CRTS(CL);CRTS
54893.14928;19.52;0.11;CRTS;CRTS(CL);CRTS
54893.157;19.38;0.11;CRTS;CRTS(CL);CRTS
