MJD;Magnitude;Error;Facility;Filter;Observer
54907.1341972;19.65509605407715;0.0822860524058342;PTF;PTF(R);PTF
54907.2171572;19.880111694335938;0.10070643573999405;PTF;PTF(R);PTF
55094.3677172;19.662839889526367;0.07054979354143143;PTF;PTF(R);PTF
55107.2992972;19.908973693847656;0.18233096599578857;PTF;PTF(R);PTF
55120.4322272;19.424617767333984;0.16859175264835358;PTF;PTF(R);PTF
55120.4768872;19.907451629638672;0.10745446383953094;PTF;PTF(R);PTF
55126.4893672;19.83056640625;0.09303329885005951;PTF;PTF(R);PTF
55126.5333872;19.74481201171875;0.09268620610237122;PTF;PTF(R);PTF
55135.3349372;19.60491180419922;0.13764198124408722;PTF;PTF(R);PTF
55135.3787472;19.752243041992188;0.17235201597213745;PTF;PTF(R);PTF
55137.2188072;19.713829040527344;0.15293312072753906;PTF;PTF(R);PTF
55137.2637772;19.604124069213867;0.15349122881889343;PTF;PTF(R);PTF
55139.5252272;19.9715633392334;0.16402007639408112;PTF;PTF(R);PTF
55142.2874472;20.194639205932617;0.13780832290649414;PTF;PTF(R);PTF
55142.3314872;19.973711013793945;0.11930502951145172;PTF;PTF(R);PTF
55144.3154672;19.93229866027832;0.1424257755279541;PTF;PTF(R);PTF
55144.3592072;19.609498977661133;0.11751265823841095;PTF;PTF(R);PTF
55151.3638272;19.58812713623047;0.10414782166481018;PTF;PTF(R);PTF
55151.4081672;19.716787338256836;0.10550481826066971;PTF;PTF(R);PTF
55181.0986772;19.806886672973633;0.22966629266738892;PTF;PTF(R);PTF
55183.2870072;19.639570236206055;0.20622709393501282;PTF;PTF(R);PTF
55183.3312072;19.869598388671875;0.21110978722572327;PTF;PTF(R);PTF
55192.0976072;19.819944381713867;0.13873688876628876;PTF;PTF(R);PTF
55192.4658472;19.611865997314453;0.1570776402950287;PTF;PTF(R);PTF
55203.3165572;19.7850284576416;0.14169065654277802;PTF;PTF(R);PTF
55203.3609172;19.635726928710938;0.14225921034812927;PTF;PTF(R);PTF
55207.3419372;19.668481826782227;0.08131750673055649;PTF;PTF(R);PTF
55207.3870672;19.704660415649414;0.08133913576602936;PTF;PTF(R);PTF
55213.1662472;19.78667640686035;0.8416633009910583;PTF;PTF(R);PTF
55221.2198172;20.00968360900879;0.11192582547664642;PTF;PTF(R);PTF
55246.1339572;19.64230728149414;0.21668677031993866;PTF;PTF(R);PTF
55246.3204372;19.808940887451172;0.21514436602592468;PTF;PTF(R);PTF
55251.1300872;20.043521881103516;0.2670840620994568;PTF;PTF(R);PTF
55258.5124779;16.657;0.411;ALLWISE;WISE(W1);ALLWISE
55258.644782;16.223;0.264;ALLWISE;WISE(W1);ALLWISE
55258.6449093;16.899;0.465;ALLWISE;WISE(W1);ALLWISE
55258.7772134;16.459;0.337;ALLWISE;WISE(W1);ALLWISE
55258.8433018;16.461;0.309;ALLWISE;WISE(W1);ALLWISE
55258.8433018;15.493;0.421;ALLWISE;WISE(W2);ALLWISE
