MJD;Magnitude;Error;Facility;Filter;Observer
52620.4400851;17.712;0.18;LINEAR;LINEAR(CL);LINEAR
52620.4552489;17.546;0.149;LINEAR;LINEAR(CL);LINEAR
52620.4698841;17.533;0.157;LINEAR;LINEAR(CL);LINEAR
52620.4844989;17.693;0.229;LINEAR;LINEAR(CL);LINEAR
52620.4991364;17.06;0.101;LINEAR;LINEAR(CL);LINEAR
52636.4252492;17.42;0.152;LINEAR;LINEAR(CL);LINEAR
52636.4392981;17.41;0.152;LINEAR;LINEAR(CL);LINEAR
52636.4535502;17.303;0.131;LINEAR;LINEAR(CL);LINEAR
52636.4676439;17.345;0.13;LINEAR;LINEAR(CL);LINEAR
52636.481681;17.509;0.155;LINEAR;LINEAR(CL);LINEAR
52651.2829541;17.615;0.206;LINEAR;LINEAR(CL);LINEAR
52651.3133089;17.411;0.152;LINEAR;LINEAR(CL);LINEAR
52651.3284691;17.354;0.137;LINEAR;LINEAR(CL);LINEAR
52653.3843226;17.266;0.137;LINEAR;LINEAR(CL);LINEAR
52653.3995587;17.509;0.159;LINEAR;LINEAR(CL);LINEAR
52653.4146755;17.381;0.131;LINEAR;LINEAR(CL);LINEAR
52653.4298147;17.427;0.133;LINEAR;LINEAR(CL);LINEAR
52653.4449332;17.515;0.137;LINEAR;LINEAR(CL);LINEAR
52695.3270777;17.369;0.107;LINEAR;LINEAR(CL);LINEAR
52695.3448259;17.273;0.144;LINEAR;LINEAR(CL);LINEAR
52695.3630621;16.984;0.15;LINEAR;LINEAR(CL);LINEAR
52722.15465708;18.659658;0.027461056;SDSS;SDSS(r);SDSS
52722.15465708;18.655455;0.027454378;SDSS;SDSS(r);SDSS
52722.1554863401;18.506382;0.015964642;SDSS;SDSS(i);SDSS
52722.1554863401;18.495447;0.015829321;SDSS;SDSS(i);SDSS
52722.15631561;20.63567;0.05371959;SDSS;SDSS(u);SDSS
52722.15631561;20.662357;0.065527685;SDSS;SDSS(u);SDSS
52722.15714487;18.269045;0.0231112;SDSS;SDSS(z);SDSS
52722.15714487;18.279543;0.023231266;SDSS;SDSS(z);SDSS
52722.15797414;19.14126;0.013656457;SDSS;SDSS(g);SDSS
52722.15797414;19.14621;0.013673405;SDSS;SDSS(g);SDSS
52722.2725743;17.532;0.115;LINEAR;LINEAR(CL);LINEAR
52722.2871255;17.381;0.096;LINEAR;LINEAR(CL);LINEAR
52722.3012809;17.378;0.098;LINEAR;LINEAR(CL);LINEAR
52722.3194864;17.345;0.094;LINEAR;LINEAR(CL);LINEAR
52722.3367983;17.524;0.12;LINEAR;LINEAR(CL);LINEAR
52751.1954651;17.08;0.141;LINEAR;LINEAR(CL);LINEAR
52751.2075108;17.187;0.105;LINEAR;LINEAR(CL);LINEAR
52751.2240201;17.474;0.133;LINEAR;LINEAR(CL);LINEAR
52751.2372265;17.402;0.13;LINEAR;LINEAR(CL);LINEAR
52751.2484968;17.419;0.13;LINEAR;LINEAR(CL);LINEAR
52781.1614503;17.356;0.126;LINEAR;LINEAR(CL);LINEAR
52781.1723389;17.494;0.144;LINEAR;LINEAR(CL);LINEAR
52781.1830515;17.471;0.137;LINEAR;LINEAR(CL);LINEAR
52781.1938705;17.301;0.122;LINEAR;LINEAR(CL);LINEAR
52781.2046982;17.366;0.13;LINEAR;LINEAR(CL);LINEAR
52801.1618357;17.126;0.403;LINEAR;LINEAR(CL);LINEAR
52977.3966432;17.341;0.157;LINEAR;LINEAR(CL);LINEAR
52977.4077576;17.415;0.149;LINEAR;LINEAR(CL);LINEAR
52977.4189981;17.238;0.116;LINEAR;LINEAR(CL);LINEAR
52977.4302939;17.345;0.116;LINEAR;LINEAR(CL);LINEAR
52977.4415224;17.277;0.107;LINEAR;LINEAR(CL);LINEAR
52978.4445579;17.615;0.183;LINEAR;LINEAR(CL);LINEAR
52978.4575178;17.536;0.15;LINEAR;LINEAR(CL);LINEAR
52978.4704545;17.704;0.163;LINEAR;LINEAR(CL);LINEAR
52978.4832688;17.489;0.141;LINEAR;LINEAR(CL);LINEAR
52978.495981;17.362;0.126;LINEAR;LINEAR(CL);LINEAR
52988.3918552;17.499;0.222;LINEAR;LINEAR(CL);LINEAR
52988.4047871;17.563;0.237;LINEAR;LINEAR(CL);LINEAR
52988.4178572;17.728;0.274;LINEAR;LINEAR(CL);LINEAR
52988.4307127;17.715;0.266;LINEAR;LINEAR(CL);LINEAR
