MJD;Magnitude;Error;Facility;Filter;Observer
51961.13175938;19.105988;0.019207621;SDSS;SDSS(r);SDSS
51961.13258865;24.361841;5.687287;SDSS;SDSS(i);SDSS
51961.13341791;21.664146;0.13700214;SDSS;SDSS(u);SDSS
51961.13424718;22.82703;2.022112;SDSS;SDSS(z);SDSS
51961.13507644;20.062704;0.022254905;SDSS;SDSS(g);SDSS
53495.13991;18.27;0.13;CRTS;CRTS(CL);CRTS
53646.49002;18.17;0.13;CRTS;CRTS(CL);CRTS
53671.36946;18.1;0.12;CRTS;CRTS(CL);CRTS
53671.38401;17.92;0.12;CRTS;CRTS(CL);CRTS
53677.42285;18.29;0.15;CRTS;CRTS(CL);CRTS
53677.43061;18.06;0.13;CRTS;CRTS(CL);CRTS
53677.43837;18.19;0.15;CRTS;CRTS(CL);CRTS
53677.44631;18.09;0.15;CRTS;CRTS(CL);CRTS
53685.46883;17.83;0.12;CRTS;CRTS(CL);CRTS
53714.27305;17.92;0.11;CRTS;CRTS(CL);CRTS
53737.26462;17.99;0.13;CRTS;CRTS(CL);CRTS
53737.28656;17.94;0.13;CRTS;CRTS(CL);CRTS
53741.30571;18.04;0.11;CRTS;CRTS(CL);CRTS
53753.35109;18.14;0.12;CRTS;CRTS(CL);CRTS
53753.35911;18.08;0.12;CRTS;CRTS(CL);CRTS
53759.29743;17.98;0.11;CRTS;CRTS(CL);CRTS
53797.22687;17.92;0.11;CRTS;CRTS(CL);CRTS
53797.23532;17.88;0.11;CRTS;CRTS(CL);CRTS
53819.13687;17.97;0.11;CRTS;CRTS(CL);CRTS
53819.14474;18.05;0.12;CRTS;CRTS(CL);CRTS
53854.1622;17.84;0.11;CRTS;CRTS(CL);CRTS
53854.16873;17.95;0.12;CRTS;CRTS(CL);CRTS
53854.17521;18.06;0.12;CRTS;CRTS(CL);CRTS
53854.1817;18.03;0.12;CRTS;CRTS(CL);CRTS
53862.17801;18.28;0.13;CRTS;CRTS(CL);CRTS
53862.18529;18.0;0.12;CRTS;CRTS(CL);CRTS
53862.19261;17.96;0.12;CRTS;CRTS(CL);CRTS
54035.42242;15.93;0.06;CRTS;CRTS(CL);CRTS
54035.42894;16.48;0.07;CRTS;CRTS(CL);CRTS
54035.4355;18.02;0.11;CRTS;CRTS(CL);CRTS
54035.44208;18.02;0.11;CRTS;CRTS(CL);CRTS
54060.38763;14.74;0.06;CRTS;CRTS(CL);CRTS
54060.39417;13.61;0.05;CRTS;CRTS(CL);CRTS
54060.40725;14.37;0.05;CRTS;CRTS(CL);CRTS
54080.50651;18.0;0.27;CRTS;CRTS(CL);CRTS
54080.50763;18.07;0.28;CRTS;CRTS(CL);CRTS
54080.50873;18.64;0.38;CRTS;CRTS(CL);CRTS
54080.50982;18.46;0.34;CRTS;CRTS(CL);CRTS
54085.36206;16.16;0.07;CRTS;CRTS(CL);CRTS
54085.38426;16.96;0.08;CRTS;CRTS(CL);CRTS
54085.39473;15.91;0.07;CRTS;CRTS(CL);CRTS
54095.29937;17.91;0.12;CRTS;CRTS(CL);CRTS
54095.30951;17.29;0.09;CRTS;CRTS(CL);CRTS
54095.31972;17.97;0.11;CRTS;CRTS(CL);CRTS
54095.32998;16.2;0.07;CRTS;CRTS(CL);CRTS
54108.38908;17.87;0.11;CRTS;CRTS(CL);CRTS
54108.39564;17.59;0.1;CRTS;CRTS(CL);CRTS
54108.40215;17.81;0.1;CRTS;CRTS(CL);CRTS
54108.40861;17.85;0.1;CRTS;CRTS(CL);CRTS
54115.20467;18.17;0.12;CRTS;CRTS(CL);CRTS
54115.21455;18.12;0.11;CRTS;CRTS(CL);CRTS
54115.22445;18.05;0.11;CRTS;CRTS(CL);CRTS
54125.18486;17.9;0.11;CRTS;CRTS(CL);CRTS
54125.207;16.39;0.07;CRTS;CRTS(CL);CRTS
54125.21813;17.87;0.1;CRTS;CRTS(CL);CRTS
54138.19498122;19.381079;0.029118728;SDSS;SDSS(r);SDSS
54138.19581049;18.982288;0.016900113;SDSS;SDSS(i);SDSS
54138.19663975;21.843636;0.14878069;SDSS;SDSS(u);SDSS
54138.19746902;18.623163;0.031797912;SDSS;SDSS(z);SDSS
54138.19829828;20.003294;0.017850641;SDSS;SDSS(g);SDSS
54139.11732;18.14;0.13;CRTS;CRTS(CL);CRTS
54139.13391;18.04;0.11;CRTS;CRTS(CL);CRTS
54139.13934;18.01;0.11;CRTS;CRTS(CL);CRTS
54157.17107;16.5;0.08;CRTS;CRTS(CL);CRTS
54157.18029;17.75;0.11;CRTS;CRTS(CL);CRTS
54157.19025;17.95;0.12;CRTS;CRTS(CL);CRTS
54157.20033;17.89;0.11;CRTS;CRTS(CL);CRTS
54175.20177;18.04;0.11;CRTS;CRTS(CL);CRTS
54175.20717;18.06;0.11;CRTS;CRTS(CL);CRTS
54175.21253;18.05;0.11;CRTS;CRTS(CL);CRTS
54175.21791;18.14;0.12;CRTS;CRTS(CL);CRTS
54209.12182;18.19;0.17;CRTS;CRTS(CL);CRTS
54209.12542;17.77;0.14;CRTS;CRTS(CL);CRTS
54209.12907;17.83;0.14;CRTS;CRTS(CL);CRTS
54209.1327;18.02;0.15;CRTS;CRTS(CL);CRTS
54237.13886;18.49;0.14;CRTS;CRTS(CL);CRTS
54237.14534;17.93;0.11;CRTS;CRTS(CL);CRTS
54237.15185;18.24;0.13;CRTS;CRTS(CL);CRTS
54237.15837;18.14;0.13;CRTS;CRTS(CL);CRTS
54364.47528;18.2;0.12;CRTS;CRTS(CL);CRTS
54364.4819;18.02;0.11;CRTS;CRTS(CL);CRTS
54382.45205;17.88;0.11;CRTS;CRTS(CL);CRTS
54382.46195;17.91;0.11;CRTS;CRTS(CL);CRTS
54382.47175;17.97;0.11;CRTS;CRTS(CL);CRTS
54382.4816;17.93;0.11;CRTS;CRTS(CL);CRTS
54409.40475;18.02;0.11;CRTS;CRTS(CL);CRTS
54409.42084;13.01;0.05;CRTS;CRTS(CL);CRTS
