MJD;Magnitude;Error;Facility;Filter;Observer
50821.254300000146;13.504;0.058;2MASS;2MASS(H);2MASS
50821.254300000146;14.037;0.045;2MASS;2MASS(J);2MASS
50821.254300000146;13.399;0.067;2MASS;2MASS(K);2MASS
52668.16398453;16.135818;0.010502555;SDSS;SDSS(r);SDSS
52668.16398453;16.135664;0.010494802;SDSS;SDSS(r);SDSS
52668.16398453;16.135664;0.010494871;SDSS;SDSS(r);SDSS
52668.16481379;16.066093;0.01566086;SDSS;SDSS(i);SDSS
52668.16481379;16.064463;0.015660757;SDSS;SDSS(i);SDSS
52668.16481379;16.064463;0.01566068;SDSS;SDSS(i);SDSS
52668.16564306;17.896645;0.019684516;SDSS;SDSS(u);SDSS
52668.16564306;17.896889;0.019395953;SDSS;SDSS(u);SDSS
52668.16564306;17.896889;0.01939618;SDSS;SDSS(u);SDSS
52668.16647232;15.963229;0.014664409;SDSS;SDSS(z);SDSS
52668.16647232;15.963108;0.014665809;SDSS;SDSS(z);SDSS
52668.16647232;15.963108;0.01466539;SDSS;SDSS(z);SDSS
52668.16730159;16.465952;0.015816092;SDSS;SDSS(g);SDSS
52668.16730159;16.466072;0.01581887;SDSS;SDSS(g);SDSS
52668.16730159;16.465952;0.015818898;SDSS;SDSS(g);SDSS
53051.27322476;15.8356695;0.009710117;SDSS;SDSS(r);SDSS
53051.27322476;15.835402;0.009702047;SDSS;SDSS(r);SDSS
53051.27322476;15.835402;0.009701878;SDSS;SDSS(r);SDSS
53051.27405403;15.640027;0.013166231;SDSS;SDSS(i);SDSS
53051.27405403;15.639762;0.013157526;SDSS;SDSS(i);SDSS
53051.27405403;15.639762;0.013157692;SDSS;SDSS(i);SDSS
53051.27488329;17.595663;0.022501102;SDSS;SDSS(u);SDSS
53051.27488329;17.595663;0.02236034;SDSS;SDSS(u);SDSS
53051.27488329;17.594675;0.022495655;SDSS;SDSS(u);SDSS
53051.27571256;15.480761;0.020230507;SDSS;SDSS(z);SDSS
53051.27571256;15.480941;0.020259544;SDSS;SDSS(z);SDSS
53051.27571256;15.480761;0.02023107;SDSS;SDSS(z);SDSS
53051.27654182;16.184614;0.014086774;SDSS;SDSS(g);SDSS
53051.27654182;16.184496;0.014091949;SDSS;SDSS(g);SDSS
53051.27654182;16.184614;0.014086693;SDSS;SDSS(g);SDSS
53052.28656932;15.947271;0.018311502;SDSS;SDSS(r);SDSS
53052.28656932;15.947283;0.018311556;SDSS;SDSS(r);SDSS
53052.28656932;15.947283;0.018311635;SDSS;SDSS(r);SDSS
53052.28739858;15.857268;0.014068843;SDSS;SDSS(i);SDSS
53052.28739858;15.856111;0.014068752;SDSS;SDSS(i);SDSS
53052.28739858;15.856111;0.014060819;SDSS;SDSS(i);SDSS
53052.28822785;17.782555;0.0169765;SDSS;SDSS(u);SDSS
53052.28822785;17.781315;0.016968576;SDSS;SDSS(u);SDSS
53052.28822785;17.782555;0.01680953;SDSS;SDSS(u);SDSS
53052.28905711;15.657981;0.011662893;SDSS;SDSS(z);SDSS
53052.28905711;15.657981;0.011631116;SDSS;SDSS(z);SDSS
53052.28905711;15.6588335;0.011663312;SDSS;SDSS(z);SDSS
53052.28988638;16.26479;0.014407064;SDSS;SDSS(g);SDSS
53052.28988638;16.26485;0.014398893;SDSS;SDSS(g);SDSS
53052.28988638;16.26485;0.014398834;SDSS;SDSS(g);SDSS
55300.5816008;12.375;0.033;ALLWISE;WISE(W1);ALLWISE
55300.5816008;12.3;0.045;ALLWISE;WISE(W2);ALLWISE
55300.7139049;12.319;0.04;ALLWISE;WISE(W2);ALLWISE
55300.7139049;12.335;0.035;ALLWISE;WISE(W1);ALLWISE
55300.8462091;12.385;0.047;ALLWISE;WISE(W2);ALLWISE
55300.8462091;12.306;0.031;ALLWISE;WISE(W1);ALLWISE
55300.9785132;12.28;0.042;ALLWISE;WISE(W2);ALLWISE
55300.9785132;12.355;0.029;ALLWISE;WISE(W1);ALLWISE
55301.0446015;12.346;0.045;ALLWISE;WISE(W2);ALLWISE
55301.0446015;12.353;0.034;ALLWISE;WISE(W1);ALLWISE
55301.1108173;12.312;0.044;ALLWISE;WISE(W2);ALLWISE
55301.1108173;12.32;0.029;ALLWISE;WISE(W1);ALLWISE
55301.1769056;12.287;0.047;ALLWISE;WISE(W2);ALLWISE
55301.1769056;12.388;0.032;ALLWISE;WISE(W1);ALLWISE
55301.3092098;12.295;0.044;ALLWISE;WISE(W2);ALLWISE
55301.3092098;12.325;0.032;ALLWISE;WISE(W1);ALLWISE
55301.3093371;12.302;0.03;ALLWISE;WISE(W1);ALLWISE
