MJD;Magnitude;Error;Facility;Filter;Observer
51310.47230000002;16.188;0.101;2MASS;2MASS(J);2MASS
51310.47230000002;15.094;0.165;2MASS;2MASS(K);2MASS
51310.47230000002;15.584;0.134;2MASS;2MASS(H);2MASS
53856.40021;17.7;0.1;CRTS;CRTS(CL);CRTS
53856.40574;17.61;0.1;CRTS;CRTS(CL);CRTS
53856.41125;17.67;0.1;CRTS;CRTS(CL);CRTS
53856.41676;17.79;0.11;CRTS;CRTS(CL);CRTS
53879.3033759;18.835224;0.017321028;SDSS;SDSS(r);SDSS
53879.3033759;18.83569;0.017314827;SDSS;SDSS(r);SDSS
53879.30420516;18.452614;0.016904365;SDSS;SDSS(i);SDSS
53879.30420516;18.454796;0.016907128;SDSS;SDSS(i);SDSS
53879.30503443;20.900568;0.08792249;SDSS;SDSS(u);SDSS
53879.30503443;20.96894;0.092141315;SDSS;SDSS(u);SDSS
53879.30586369;18.301342;0.027575387;SDSS;SDSS(z);SDSS
53879.30586369;18.310993;0.027631886;SDSS;SDSS(z);SDSS
53879.30669296;19.57159;0.016946483;SDSS;SDSS(g);SDSS
53879.30669296;19.571804;0.016928766;SDSS;SDSS(g);SDSS
53901.36207;17.75;0.27;CRTS;CRTS(CL);CRTS
53901.36323;17.76;0.27;CRTS;CRTS(CL);CRTS
53901.3644;17.16;0.2;CRTS;CRTS(CL);CRTS
53901.36548;17.92;0.3;CRTS;CRTS(CL);CRTS
54210.36713;17.6;0.1;CRTS;CRTS(CL);CRTS
54210.37257;17.69;0.1;CRTS;CRTS(CL);CRTS
54210.37801;17.57;0.1;CRTS;CRTS(CL);CRTS
54210.38339;17.71;0.1;CRTS;CRTS(CL);CRTS
54235.33113;17.72;0.1;CRTS;CRTS(CL);CRTS
54235.33602;17.68;0.1;CRTS;CRTS(CL);CRTS
54235.34091;17.65;0.1;CRTS;CRTS(CL);CRTS
54235.3458;17.75;0.1;CRTS;CRTS(CL);CRTS
54270.34065;17.68;0.1;CRTS;CRTS(CL);CRTS
54270.3449;17.62;0.1;CRTS;CRTS(CL);CRTS
54270.34908;17.7;0.1;CRTS;CRTS(CL);CRTS
54270.35332;17.61;0.1;CRTS;CRTS(CL);CRTS
54277.28646;17.65;0.1;CRTS;CRTS(CL);CRTS
54277.29107;17.68;0.1;CRTS;CRTS(CL);CRTS
54277.29564;17.58;0.1;CRTS;CRTS(CL);CRTS
54277.30021;17.71;0.1;CRTS;CRTS(CL);CRTS
54631.33476;17.53;0.1;CRTS;CRTS(CL);CRTS
54631.33887;17.67;0.1;CRTS;CRTS(CL);CRTS
54631.34301;17.66;0.1;CRTS;CRTS(CL);CRTS
54631.34714;17.65;0.1;CRTS;CRTS(CL);CRTS
54866.49894;17.65;0.1;CRTS;CRTS(CL);CRTS
54866.50514;17.68;0.1;CRTS;CRTS(CL);CRTS
54866.51127;17.65;0.1;CRTS;CRTS(CL);CRTS
54866.51744;17.71;0.1;CRTS;CRTS(CL);CRTS
54915.42587;17.6;0.11;CRTS;CRTS(CL);CRTS
54915.43048;17.7;0.12;CRTS;CRTS(CL);CRTS
54915.43508;17.7;0.12;CRTS;CRTS(CL);CRTS
54915.4397;17.61;0.11;CRTS;CRTS(CL);CRTS
55214.3204167;14.519;0.077;ALLWISE;WISE(W1);ALLWISE
55214.3204167;14.303;0.156;ALLWISE;WISE(W2);ALLWISE
55214.7174583;14.391;0.071;ALLWISE;WISE(W1);ALLWISE
55214.7174583;13.951;0.109;ALLWISE;WISE(W2);ALLWISE
55216.1731923;14.153;0.154;ALLWISE;WISE(W2);ALLWISE
55216.1731923;14.382;0.077;ALLWISE;WISE(W1);ALLWISE
55218.9522756;14.049;0.132;ALLWISE;WISE(W2);ALLWISE
55218.9522756;14.373;0.065;ALLWISE;WISE(W1);ALLWISE
55219.2832274;14.348;0.062;ALLWISE;WISE(W1);ALLWISE
55219.2832274;14.007;0.145;ALLWISE;WISE(W2);ALLWISE
55219.7462288;14.397;0.062;ALLWISE;WISE(W1);ALLWISE
55219.7462288;14.068;0.134;ALLWISE;WISE(W2);ALLWISE
55221.7313026;14.454;0.067;ALLWISE;WISE(W1);ALLWISE
55221.7313026;14.043;0.13;ALLWISE;WISE(W2);ALLWISE
55222.9886392;14.457;0.079;ALLWISE;WISE(W1);ALLWISE
55222.9886392;14.109;0.14;ALLWISE;WISE(W2);ALLWISE
55225.2384495;14.301;0.161;ALLWISE;WISE(W2);ALLWISE
55225.2384495;14.46;0.067;ALLWISE;WISE(W1);ALLWISE
55225.6353624;14.373;0.066;ALLWISE;WISE(W1);ALLWISE
55225.6353624;14.264;0.149;ALLWISE;WISE(W2);ALLWISE
55226.9587874;14.336;0.198;ALLWISE;WISE(W2);ALLWISE
55226.9587874;14.336;0.061;ALLWISE;WISE(W1);ALLWISE
55227.9511332;14.531;0.07;ALLWISE;WISE(W1);ALLWISE
55227.9511332;14.491;0.211;ALLWISE;WISE(W2);ALLWISE
55228.4145166;14.313;0.068;ALLWISE;WISE(W1);ALLWISE
55228.4145166;14.075;0.134;ALLWISE;WISE(W2);ALLWISE
55228.7450863;14.405;0.064;ALLWISE;WISE(W1);ALLWISE
55228.7450863;14.21;0.168;ALLWISE;WISE(W2);ALLWISE
55229.0761654;14.153;0.14;ALLWISE;WISE(W2);ALLWISE
55229.0761654;14.554;0.074;ALLWISE;WISE(W1);ALLWISE
55229.8701186;14.443;0.067;ALLWISE;WISE(W1);ALLWISE
55229.8701186;14.21;0.175;ALLWISE;WISE(W2);ALLWISE
55230.664199;14.273;0.058;ALLWISE;WISE(W1);ALLWISE
55230.664199;14.117;0.138;ALLWISE;WISE(W2);ALLWISE
55230.8624645;14.524;0.193;ALLWISE;WISE(W2);ALLWISE
55230.8624645;14.398;0.079;ALLWISE;WISE(W1);ALLWISE
55230.9948961;14.371;0.069;ALLWISE;WISE(W1);ALLWISE
55230.9948961;14.116;0.137;ALLWISE;WISE(W2);ALLWISE
55232.0535751;14.29;0.059;ALLWISE;WISE(W1);ALLWISE
55232.0535751;14.023;0.136;ALLWISE;WISE(W2);ALLWISE
55232.3181835;14.401;0.065;ALLWISE;WISE(W1);ALLWISE
55232.3181835;14.155;0.153;ALLWISE;WISE(W2);ALLWISE
55232.8475275;14.297;0.058;ALLWISE;WISE(W1);ALLWISE
55232.8475275;14.329;0.183;ALLWISE;WISE(W2);ALLWISE
55233.7739114;14.388;0.153;ALLWISE;WISE(W2);ALLWISE
