MJD;Magnitude;Error;Facility;Filter;Observer
52666.4688058;18.215;0.305;LINEAR;LINEAR(CL);LINEAR
52666.4832625;18.228;0.278;LINEAR;LINEAR(CL);LINEAR
52666.4977224;18.123;0.246;LINEAR;LINEAR(CL);LINEAR
52666.5122551;18.004;0.259;LINEAR;LINEAR(CL);LINEAR
52666.5267248;17.895;0.218;LINEAR;LINEAR(CL);LINEAR
52680.4971191;18.595;0.342;LINEAR;LINEAR(CL);LINEAR
52698.3992277;18.471;0.548;LINEAR;LINEAR(CL);LINEAR
52698.4132061;18.557;0.348;LINEAR;LINEAR(CL);LINEAR
52698.4283409;18.138;0.239;LINEAR;LINEAR(CL);LINEAR
52698.4423049;18.041;0.226;LINEAR;LINEAR(CL);LINEAR
52712.3763544;18.445;0.42;LINEAR;LINEAR(CL);LINEAR
52712.3895257;18.274;0.346;LINEAR;LINEAR(CL);LINEAR
52712.4027508;18.363;0.357;LINEAR;LINEAR(CL);LINEAR
52712.4162801;18.152;0.29;LINEAR;LINEAR(CL);LINEAR
52712.4295184;18.246;0.305;LINEAR;LINEAR(CL);LINEAR
52724.3698171;18.452;0.309;LINEAR;LINEAR(CL);LINEAR
52724.3699324;17.872;0.177;LINEAR;LINEAR(CL);LINEAR
52724.3822681;18.257;0.264;LINEAR;LINEAR(CL);LINEAR
52724.382383;18.096;0.214;LINEAR;LINEAR(CL);LINEAR
52724.3945512;18.319;0.277;LINEAR;LINEAR(CL);LINEAR
52724.4068933;18.516;0.338;LINEAR;LINEAR(CL);LINEAR
52724.4070084;17.815;0.177;LINEAR;LINEAR(CL);LINEAR
52724.4192821;18.518;0.351;LINEAR;LINEAR(CL);LINEAR
52724.4193968;17.969;0.206;LINEAR;LINEAR(CL);LINEAR
52754.2836879;18.195;0.287;LINEAR;LINEAR(CL);LINEAR
52754.2962101;18.253;0.307;LINEAR;LINEAR(CL);LINEAR
52754.3090559;18.378;0.333;LINEAR;LINEAR(CL);LINEAR
52754.3218502;18.417;0.337;LINEAR;LINEAR(CL);LINEAR
52754.3343536;18.425;0.338;LINEAR;LINEAR(CL);LINEAR
52770.2663823;18.031;0.318;LINEAR;LINEAR(CL);LINEAR
52770.2668226;17.937;0.294;LINEAR;LINEAR(CL);LINEAR
52770.2779989;18.653;0.582;LINEAR;LINEAR(CL);LINEAR
52770.2784389;18.442;0.465;LINEAR;LINEAR(CL);LINEAR
52770.2899207;17.867;0.272;LINEAR;LINEAR(CL);LINEAR
52770.3011997;17.875;0.284;LINEAR;LINEAR(CL);LINEAR
52770.3016482;18.051;0.317;LINEAR;LINEAR(CL);LINEAR
52770.3128602;18.252;0.394;LINEAR;LINEAR(CL);LINEAR
52770.3133166;18.236;0.38;LINEAR;LINEAR(CL);LINEAR
52780.2638123;18.013;0.244;LINEAR;LINEAR(CL);LINEAR
52780.2746295;18.294;0.32;LINEAR;LINEAR(CL);LINEAR
52780.285613;18.093;0.265;LINEAR;LINEAR(CL);LINEAR
52780.2965421;18.211;0.313;LINEAR;LINEAR(CL);LINEAR
52780.3074933;18.023;0.257;LINEAR;LINEAR(CL);LINEAR
