MJD;Magnitude;Error;Facility;Filter;Observer
52313.38551875;20.816181;0.03120118;SDSS;SDSS(r);SDSS
52313.3863480099;20.422215;0.035377063;SDSS;SDSS(i);SDSS
52313.38717728;23.449362;0.43651843;SDSS;SDSS(u);SDSS
52313.3880065401;20.187176;0.10298842;SDSS;SDSS(z);SDSS
52313.38883581;21.856007;0.053019773;SDSS;SDSS(g);SDSS
53531.25218;20.18;0.34;CRTS;CRTS(CL);CRTS
53531.26801;20.51;0.41;CRTS;CRTS(CL);CRTS
53799.34196;20.31;0.32;CRTS;CRTS(CL);CRTS
53799.3492;20.59;0.38;CRTS;CRTS(CL);CRTS
53799.35656;19.37;0.2;CRTS;CRTS(CL);CRTS
53799.36394;20.22;0.31;CRTS;CRTS(CL);CRTS
53884.26272;20.08;0.3;CRTS;CRTS(CL);CRTS
53884.26823;20.78;0.44;CRTS;CRTS(CL);CRTS
53884.27372;20.03;0.29;CRTS;CRTS(CL);CRTS
53884.27925;19.47;0.22;CRTS;CRTS(CL);CRTS
54172.29875;19.71;0.23;CRTS;CRTS(CL);CRTS
54172.30979;19.82;0.24;CRTS;CRTS(CL);CRTS
54172.31523;20.23;0.3;CRTS;CRTS(CL);CRTS
54178.36733;21.04;0.46;CRTS;CRTS(CL);CRTS
54178.37385;19.73;0.23;CRTS;CRTS(CL);CRTS
54178.38039;20.12;0.28;CRTS;CRTS(CL);CRTS
54178.3869;19.85;0.24;CRTS;CRTS(CL);CRTS
54204.36946;20.08;0.28;CRTS;CRTS(CL);CRTS
54204.3793;19.68;0.23;CRTS;CRTS(CL);CRTS
54204.38416;19.9;0.25;CRTS;CRTS(CL);CRTS
54238.30892;19.62;0.24;CRTS;CRTS(CL);CRTS
54238.31383;20.94;0.49;CRTS;CRTS(CL);CRTS
54246.23984;19.98;0.27;CRTS;CRTS(CL);CRTS
54270.2592;19.83;0.26;CRTS;CRTS(CL);CRTS
54270.26792;19.62;0.23;CRTS;CRTS(CL);CRTS
54270.28537;21.0;0.51;CRTS;CRTS(CL);CRTS
54279.2509;19.31;0.2;CRTS;CRTS(CL);CRTS
54279.25961;19.51;0.22;CRTS;CRTS(CL);CRTS
54628.26816;21.01;0.47;CRTS;CRTS(CL);CRTS
54641.24706;19.85;0.26;CRTS;CRTS(CL);CRTS
54641.252;20.13;0.3;CRTS;CRTS(CL);CRTS
54862.32789;20.11;0.28;CRTS;CRTS(CL);CRTS
54862.33339;19.56;0.21;CRTS;CRTS(CL);CRTS
54862.33877;20.16;0.28;CRTS;CRTS(CL);CRTS
54892.41923;19.29;0.2;CRTS;CRTS(CL);CRTS
54892.42607;19.98;0.29;CRTS;CRTS(CL);CRTS
54892.43293;19.59;0.24;CRTS;CRTS(CL);CRTS
54892.43986;19.48;0.22;CRTS;CRTS(CL);CRTS
54908.27551;20.41;0.35;CRTS;CRTS(CL);CRTS
54908.27919;19.65;0.23;CRTS;CRTS(CL);CRTS
54908.28285;19.95;0.27;CRTS;CRTS(CL);CRTS
54908.28651;20.52;0.36;CRTS;CRTS(CL);CRTS
54915.50544;19.28;0.19;CRTS;CRTS(CL);CRTS
54915.51276;19.4;0.2;CRTS;CRTS(CL);CRTS
54947.28096;20.46;0.35;CRTS;CRTS(CL);CRTS
54947.28587;21.01;0.55;CRTS;CRTS(CL);CRTS
54950.31944;19.13;0.2;CRTS;CRTS(CL);CRTS
54950.3291;19.55;0.24;CRTS;CRTS(CL);CRTS
54958.1698872;20.215749740600586;0.17658786475658417;PTF;PTF(R);PTF
