MJD;Magnitude;Error;Facility;Filter;Observer
51833.1017;13.98;0.064;2MASS;2MASS(K);2MASS
51833.1017;14.367;0.083;2MASS;2MASS(H);2MASS
51833.1017;15.006;0.065;2MASS;2MASS(J);2MASS
55328.5920322;13.224;0.078;ALLWISE;WISE(W2);ALLWISE
55328.5920322;13.31;0.04;ALLWISE;WISE(W1);ALLWISE
55328.7243362;13.227;0.035;ALLWISE;WISE(W1);ALLWISE
55328.7243362;13.299;0.09;ALLWISE;WISE(W2);ALLWISE
55328.8566404;13.32;0.088;ALLWISE;WISE(W2);ALLWISE
55328.8566404;13.22;0.038;ALLWISE;WISE(W1);ALLWISE
55328.9889446;13.15;0.074;ALLWISE;WISE(W2);ALLWISE
55328.9889446;13.255;0.039;ALLWISE;WISE(W1);ALLWISE
55329.055033;13.218;0.036;ALLWISE;WISE(W1);ALLWISE
55329.055033;13.286;0.074;ALLWISE;WISE(W2);ALLWISE
55329.1212487;13.25;0.038;ALLWISE;WISE(W1);ALLWISE
55329.1212487;13.273;0.08;ALLWISE;WISE(W2);ALLWISE
55329.1873371;13.274;0.039;ALLWISE;WISE(W1);ALLWISE
55329.1873371;13.141;0.066;ALLWISE;WISE(W2);ALLWISE
55329.2535528;13.315;0.044;ALLWISE;WISE(W1);ALLWISE
55329.2535528;13.315;0.088;ALLWISE;WISE(W2);ALLWISE
55329.3196412;13.258;0.071;ALLWISE;WISE(W2);ALLWISE
55329.3196412;13.32;0.039;ALLWISE;WISE(W1);ALLWISE
55329.4519454;13.168;0.037;ALLWISE;WISE(W1);ALLWISE
55329.4519454;13.199;0.073;ALLWISE;WISE(W2);ALLWISE
55329.5842411;13.303;0.042;ALLWISE;WISE(W1);ALLWISE
55329.5842411;13.248;0.074;ALLWISE;WISE(W2);ALLWISE
55329.5843684;13.26;0.075;ALLWISE;WISE(W2);ALLWISE
55329.5843684;13.243;0.039;ALLWISE;WISE(W1);ALLWISE
55329.7165451;13.249;0.048;ALLWISE;WISE(W1);ALLWISE
55329.7165451;13.206;0.069;ALLWISE;WISE(W2);ALLWISE
55507.7516713;13.308;0.08;ALLWISE;WISE(W2);ALLWISE
55507.7516713;13.278;0.044;ALLWISE;WISE(W1);ALLWISE
55507.8839754;13.321;0.084;ALLWISE;WISE(W2);ALLWISE
55507.8839754;13.252;0.044;ALLWISE;WISE(W1);ALLWISE
55508.0162795;13.305;0.038;ALLWISE;WISE(W1);ALLWISE
55508.0162795;13.151;0.068;ALLWISE;WISE(W2);ALLWISE
55508.0823679;13.238;0.037;ALLWISE;WISE(W1);ALLWISE
55508.0823679;13.261;0.073;ALLWISE;WISE(W2);ALLWISE
55508.1485836;13.24;0.073;ALLWISE;WISE(W2);ALLWISE
55508.1485836;13.244;0.043;ALLWISE;WISE(W1);ALLWISE
55508.2146719;13.285;0.081;ALLWISE;WISE(W2);ALLWISE
55508.2146719;13.221;0.041;ALLWISE;WISE(W1);ALLWISE
55508.2807603;13.396;0.085;ALLWISE;WISE(W2);ALLWISE
55508.2807603;13.369;0.038;ALLWISE;WISE(W1);ALLWISE
55508.346976;13.412;0.081;ALLWISE;WISE(W2);ALLWISE
55508.346976;13.169;0.036;ALLWISE;WISE(W1);ALLWISE
55508.4130644;13.321;0.076;ALLWISE;WISE(W2);ALLWISE
55508.4130644;13.353;0.038;ALLWISE;WISE(W1);ALLWISE
55508.4791527;13.118;0.067;ALLWISE;WISE(W2);ALLWISE
55508.4791527;13.307;0.038;ALLWISE;WISE(W1);ALLWISE
55508.6114569;13.326;0.037;ALLWISE;WISE(W1);ALLWISE
55508.6114569;13.173;0.071;ALLWISE;WISE(W2);ALLWISE
55508.7437609;13.301;0.04;ALLWISE;WISE(W1);ALLWISE
55508.7437609;13.168;0.072;ALLWISE;WISE(W2);ALLWISE
55514.166707;13.276;0.091;ALLWISE;WISE(W2);ALLWISE
55514.166707;13.3;0.039;ALLWISE;WISE(W1);ALLWISE
55751.2148072;16.281269073486328;0.03367435559630394;PTF;PTF(R);PTF
55751.2597272;16.203075408935547;0.0327848345041275;PTF;PTF(R);PTF
55754.3204772;16.18711280822754;0.0275109875947237;PTF;PTF(R);PTF
55779.3234972;16.14395523071289;0.028396304696798325;PTF;PTF(R);PTF
55796.2426672;17.039836883544922;0.02722162753343582;PTF;PTF(g);PTF
55796.2884072;17.119327545166016;0.026996036991477013;PTF;PTF(g);PTF
55803.2659872;17.102937698364258;0.027304118499159813;PTF;PTF(g);PTF
55803.3096772;17.025997161865234;0.027308588847517967;PTF;PTF(g);PTF
55806.2533372;17.072437286376953;0.02883114665746689;PTF;PTF(g);PTF
55822.3252472;16.185073852539062;0.02594420127570629;PTF;PTF(R);PTF
55827.3211372;17.19212532043457;0.03883069381117821;PTF;PTF(g);PTF
55827.3646872;17.119409561157227;0.039235640317201614;PTF;PTF(g);PTF
55865.1278672;17.066875457763672;0.030418597161769867;PTF;PTF(g);PTF
55865.1812272;17.140140533447266;0.030847471207380295;PTF;PTF(g);PTF
56790.79373374;13.369;0.099;NEOWISE;WISE(W2);NEOWISE
56790.79373374;13.303;0.032;NEOWISE;WISE(W1);NEOWISE
56790.9252738;13.331;0.035;NEOWISE;WISE(W1);NEOWISE
56790.9252738;13.219;0.086;NEOWISE;WISE(W2);NEOWISE
56791.05694117;13.313;0.032;NEOWISE;WISE(W1);NEOWISE
56791.05694117;13.399;0.104;NEOWISE;WISE(W2);NEOWISE
56791.12277483;13.189;0.07;NEOWISE;WISE(W2);NEOWISE
56791.12277483;13.383;0.042;NEOWISE;WISE(W1);NEOWISE
56791.18848113;13.379;0.089;NEOWISE;WISE(W2);NEOWISE
56791.18848113;13.261;0.037;NEOWISE;WISE(W1);NEOWISE
56791.25431475;13.301;0.031;NEOWISE;WISE(W1);NEOWISE
56791.25431475;13.319;0.085;NEOWISE;WISE(W2);NEOWISE
56791.32014841;13.294;0.074;NEOWISE;WISE(W2);NEOWISE
56791.32014841;13.295;0.038;NEOWISE;WISE(W1);NEOWISE
56791.38598212;13.273;0.032;NEOWISE;WISE(W1);NEOWISE
56791.38598212;13.374;0.091;NEOWISE;WISE(W2);NEOWISE
56791.45168841;13.336;0.097;NEOWISE;WISE(W2);NEOWISE
56791.45168841;13.442;0.045;NEOWISE;WISE(W1);NEOWISE
56791.45181579;13.145;0.072;NEOWISE;WISE(W2);NEOWISE
56791.45181579;13.183;0.036;NEOWISE;WISE(W1);NEOWISE
56791.51752204;13.251;0.074;NEOWISE;WISE(W2);NEOWISE
56791.51752204;13.267;0.033;NEOWISE;WISE(W1);NEOWISE
56791.64918941;13.202;0.034;NEOWISE;WISE(W1);NEOWISE
56791.64918941;13.419;0.113;NEOWISE;WISE(W2);NEOWISE
