MJD;Magnitude;Error;Facility;Filter;Observer
52654.4941173;18.126;0.343;LINEAR;LINEAR(CL);LINEAR
52654.508962;18.319;0.328;LINEAR;LINEAR(CL);LINEAR
52654.5238375;18.123;0.35;LINEAR;LINEAR(CL);LINEAR
52662.4679151;18.457;0.483;LINEAR;LINEAR(CL);LINEAR
52662.513982;18.385;0.437;LINEAR;LINEAR(CL);LINEAR
52693.4022658;18.551;0.426;LINEAR;LINEAR(CL);LINEAR
52693.4160713;18.63;0.459;LINEAR;LINEAR(CL);LINEAR
52693.4298123;18.375;0.361;LINEAR;LINEAR(CL);LINEAR
52705.3680957;19.40023;0.019914277;SDSS;SDSS(r);SDSS
52705.36892496;19.086107;0.024914365;SDSS;SDSS(i);SDSS
52705.36975423;21.54042;0.1350553;SDSS;SDSS(u);SDSS
52705.37058349;19.000666;0.03983403;SDSS;SDSS(z);SDSS
52705.37141276;20.10015;0.029680524;SDSS;SDSS(g);SDSS
52721.3040994;18.309;0.32;LINEAR;LINEAR(CL);LINEAR
52721.3172109;18.257;0.307;LINEAR;LINEAR(CL);LINEAR
52721.329344;18.393;0.358;LINEAR;LINEAR(CL);LINEAR
52721.3419164;18.487;0.381;LINEAR;LINEAR(CL);LINEAR
52721.354065;18.353;0.343;LINEAR;LINEAR(CL);LINEAR
52750.2939846;18.534;0.459;LINEAR;LINEAR(CL);LINEAR
52750.3054434;18.632;0.462;LINEAR;LINEAR(CL);LINEAR
52750.3169188;18.053;0.317;LINEAR;LINEAR(CL);LINEAR
52750.3284588;18.157;0.345;LINEAR;LINEAR(CL);LINEAR
52781.2313855;18.245;0.309;LINEAR;LINEAR(CL);LINEAR
52781.242713;18.25;0.31;LINEAR;LINEAR(CL);LINEAR
52781.2537973;18.504;0.399;LINEAR;LINEAR(CL);LINEAR
52781.2650359;18.632;0.462;LINEAR;LINEAR(CL);LINEAR
52802.2321957;17.594;0.446;LINEAR;LINEAR(CL);LINEAR
53009.4430239;18.255;0.409;LINEAR;LINEAR(CL);LINEAR
53009.4572161;18.18;0.365;LINEAR;LINEAR(CL);LINEAR
53009.4712298;18.222;0.366;LINEAR;LINEAR(CL);LINEAR
53009.4852564;18.206;0.342;LINEAR;LINEAR(CL);LINEAR
53009.4992966;18.859;0.591;LINEAR;LINEAR(CL);LINEAR
53017.4875098;18.51;0.419;LINEAR;LINEAR(CL);LINEAR
53074.338535;18.223;0.363;LINEAR;LINEAR(CL);LINEAR
53074.3500005;18.434;0.439;LINEAR;LINEAR(CL);LINEAR
53074.3730272;18.433;0.441;LINEAR;LINEAR(CL);LINEAR
53074.3844588;18.166;0.368;LINEAR;LINEAR(CL);LINEAR
53104.3189508;18.391;0.442;LINEAR;LINEAR(CL);LINEAR
53104.3301459;18.375;0.436;LINEAR;LINEAR(CL);LINEAR
53104.3409027;18.563;0.521;LINEAR;LINEAR(CL);LINEAR
53104.3515683;18.577;0.536;LINEAR;LINEAR(CL);LINEAR
53133.2425577;18.317;0.322;LINEAR;LINEAR(CL);LINEAR
53133.251819;18.667;0.549;LINEAR;LINEAR(CL);LINEAR
53156.24705;18.135;0.417;LINEAR;LINEAR(CL);LINEAR
