MJD;Magnitude;Error;Facility;Filter;Observer
51204.32109999983;14.893;0.071;2MASS;2MASS(J);2MASS
51204.32109999983;14.183;0.09;2MASS;2MASS(H);2MASS
51204.32109999983;13.62;0.073;2MASS;2MASS(K);2MASS
51606.47357455;17.33315;0.010650932;SDSS;SDSS(r);SDSS
51606.47357455;17.332754;0.01067444;SDSS;SDSS(r);SDSS
51606.47357455;17.33315;0.010670618;SDSS;SDSS(r);SDSS
51606.47440381;16.893286;0.020160574;SDSS;SDSS(i);SDSS
51606.47440381;16.893152;0.020160204;SDSS;SDSS(i);SDSS
51606.47440381;16.893286;0.020174626;SDSS;SDSS(i);SDSS
51606.47523308;20.303282;0.049718503;SDSS;SDSS(u);SDSS
51606.47523308;20.291685;0.049004003;SDSS;SDSS(u);SDSS
51606.47523308;20.303282;0.049735848;SDSS;SDSS(u);SDSS
51606.47606234;16.575861;0.023287827;SDSS;SDSS(z);SDSS
51606.47606234;16.575861;0.02331372;SDSS;SDSS(z);SDSS
51606.47606234;16.573748;0.023279373;SDSS;SDSS(z);SDSS
51606.4768916099;18.218313;0.019759502;SDSS;SDSS(g);SDSS
51606.4768916099;18.216904;0.019794915;SDSS;SDSS(g);SDSS
51606.4768916099;18.218313;0.019776624;SDSS;SDSS(g);SDSS
52644.4909831;16.099;0.041;LINEAR;LINEAR(CL);LINEAR
52644.5058888;16.096;0.055;LINEAR;LINEAR(CL);LINEAR
52644.5207321;16.081;0.059;LINEAR;LINEAR(CL);LINEAR
52644.535947;16.128;0.043;LINEAR;LINEAR(CL);LINEAR
52648.4020093;16.115;0.054;LINEAR;LINEAR(CL);LINEAR
52648.4170616;16.196;0.055;LINEAR;LINEAR(CL);LINEAR
52648.4318682;16.129;0.052;LINEAR;LINEAR(CL);LINEAR
52648.4471344;16.079;0.044;LINEAR;LINEAR(CL);LINEAR
52648.4625388;16.119;0.044;LINEAR;LINEAR(CL);LINEAR
52667.4701861;16.089;0.043;LINEAR;LINEAR(CL);LINEAR
52667.4854616;16.05;0.044;LINEAR;LINEAR(CL);LINEAR
52667.5006638;16.07;0.044;LINEAR;LINEAR(CL);LINEAR
52667.5159496;16.077;0.044;LINEAR;LINEAR(CL);LINEAR
52667.5312676;16.084;0.044;LINEAR;LINEAR(CL);LINEAR
52671.4650884;16.056;0.039;LINEAR;LINEAR(CL);LINEAR
52671.4806603;16.127;0.041;LINEAR;LINEAR(CL);LINEAR
52671.4962961;16.109;0.041;LINEAR;LINEAR(CL);LINEAR
52671.5117123;16.057;0.039;LINEAR;LINEAR(CL);LINEAR
52674.4030165;16.12;0.041;LINEAR;LINEAR(CL);LINEAR
52674.4170082;16.099;0.041;LINEAR;LINEAR(CL);LINEAR
52674.4310169;16.096;0.043;LINEAR;LINEAR(CL);LINEAR
52674.4449811;16.074;0.041;LINEAR;LINEAR(CL);LINEAR
52674.458818;16.121;0.041;LINEAR;LINEAR(CL);LINEAR
52704.3741096;16.121;0.041;LINEAR;LINEAR(CL);LINEAR
52704.3873118;16.086;0.039;LINEAR;LINEAR(CL);LINEAR
52704.4005958;16.108;0.039;LINEAR;LINEAR(CL);LINEAR
52704.4137684;16.103;0.041;LINEAR;LINEAR(CL);LINEAR
52704.426858;16.124;0.043;LINEAR;LINEAR(CL);LINEAR
52708.375502;16.137;0.045;LINEAR;LINEAR(CL);LINEAR
52708.375617;15.973;0.045;LINEAR;LINEAR(CL);LINEAR
52708.3886202;16.132;0.045;LINEAR;LINEAR(CL);LINEAR
52708.3887351;16.033;0.049;LINEAR;LINEAR(CL);LINEAR
