MJD;Magnitude;Error;Facility;Filter;Observer
51075.26430459;19.970997;0.025172401;SDSS;SDSS(r);SDSS
51075.26513376;19.64788;0.03309224;SDSS;SDSS(i);SDSS
51075.26596293;23.05272;0.9319126;SDSS;SDSS(u);SDSS
51075.2667921;19.34982;0.09301134;SDSS;SDSS(z);SDSS
51075.26762127;20.69916;0.036209866;SDSS;SDSS(g);SDSS
51464.25218114;19.92131;0.03097876;SDSS;SDSS(r);SDSS
51464.25218114;19.921951;0.031012323;SDSS;SDSS(r);SDSS
51464.25301041;19.54809;0.027505947;SDSS;SDSS(i);SDSS
51464.25301041;19.549591;0.028458254;SDSS;SDSS(i);SDSS
51464.25383967;22.149405;0.20801741;SDSS;SDSS(u);SDSS
51464.25466894;19.295952;0.08004736;SDSS;SDSS(z);SDSS
51464.25466894;19.299593;0.08043855;SDSS;SDSS(z);SDSS
51464.2554982;20.627502;0.03783451;SDSS;SDSS(g);SDSS
51464.2554982;20.627502;0.035903323;SDSS;SDSS(g);SDSS
52196.26500078;20.124416;0.026051039;SDSS;SDSS(r);SDSS
52196.26500078;20.124416;0.026002537;SDSS;SDSS(r);SDSS
52196.26583005;19.763891;0.030202711;SDSS;SDSS(i);SDSS
52196.26583005;19.763891;0.030290924;SDSS;SDSS(i);SDSS
52196.26665931;22.142206;0.2116154;SDSS;SDSS(u);SDSS
52196.26665931;22.14221;0.21120596;SDSS;SDSS(u);SDSS
52196.26748858;19.412886;0.07935112;SDSS;SDSS(z);SDSS
52196.26748858;19.412888;0.079630785;SDSS;SDSS(z);SDSS
52196.26831784;20.837456;0.038877796;SDSS;SDSS(g);SDSS
52196.26831784;20.837456;0.038864285;SDSS;SDSS(g);SDSS
52197.2780991401;20.306301;0.028852735;SDSS;SDSS(r);SDSS
52197.27892841;19.958704;0.03025562;SDSS;SDSS(i);SDSS
52197.27975767;22.521585;0.25817817;SDSS;SDSS(u);SDSS
52197.2805869401;19.502798;0.070987776;SDSS;SDSS(z);SDSS
52197.2814162;20.91349;0.037652623;SDSS;SDSS(g);SDSS
52197.2814162;20.91349;0.036782347;SDSS;SDSS(g);SDSS
52225.12833866;20.139978;0.029526172;SDSS;SDSS(r);SDSS
52225.12833866;20.139978;0.02945586;SDSS;SDSS(r);SDSS
52225.12916792;19.822514;0.027692966;SDSS;SDSS(i);SDSS
52225.12916792;19.822514;0.028009493;SDSS;SDSS(i);SDSS
52225.1299971901;22.19149;0.17318082;SDSS;SDSS(u);SDSS
52225.1299971901;22.220318;0.18757623;SDSS;SDSS(u);SDSS
52225.13082645;19.376959;0.069016606;SDSS;SDSS(z);SDSS
52225.13082645;19.376959;0.06926076;SDSS;SDSS(z);SDSS
52225.13165572;20.779726;0.031729862;SDSS;SDSS(g);SDSS
52225.13165572;20.779726;0.031578343;SDSS;SDSS(g);SDSS
52231.16392216;20.251917;0.027911507;SDSS;SDSS(r);SDSS
52231.16475142;19.918926;0.029932206;SDSS;SDSS(i);SDSS
52231.16475142;19.91892;0.029932095;SDSS;SDSS(i);SDSS
52231.1655806901;22.0582;0.17157693;SDSS;SDSS(u);SDSS
52231.1655806901;22.058216;0.17157906;SDSS;SDSS(u);SDSS
52231.16640995;19.548431;0.075421534;SDSS;SDSS(z);SDSS
52231.16723922;20.834536;0.03706266;SDSS;SDSS(g);SDSS
52253.1503067;19.969807;0.031847626;SDSS;SDSS(r);SDSS
52253.15113596;19.668165;0.034565505;SDSS;SDSS(i);SDSS
52253.15196523;22.27699;0.3816312;SDSS;SDSS(u);SDSS
52253.1527944901;19.193314;0.07392191;SDSS;SDSS(z);SDSS
52253.15362376;20.619478;0.04767504;SDSS;SDSS(g);SDSS
52557.27102642;19.94185;0.026884263;SDSS;SDSS(r);SDSS
52557.2718556901;19.653976;0.030892037;SDSS;SDSS(i);SDSS
52557.27268495;22.05419;0.2150565;SDSS;SDSS(u);SDSS
52557.27351422;19.488317;0.07819368;SDSS;SDSS(z);SDSS
52557.27434348;20.71579;0.038504392;SDSS;SDSS(g);SDSS
52578.16702982;20.078913;0.025614228;SDSS;SDSS(r);SDSS
52578.16702982;20.07893;0.025628833;SDSS;SDSS(r);SDSS
52578.16785908;19.706863;0.028819542;SDSS;SDSS(i);SDSS
52578.16785908;19.706789;0.02856102;SDSS;SDSS(i);SDSS
52578.16868835;22.207653;0.24510303;SDSS;SDSS(u);SDSS
52578.16951761;19.392756;0.07865813;SDSS;SDSS(z);SDSS
52578.17034688;20.766165;0.03563088;SDSS;SDSS(g);SDSS
52578.17034688;20.766174;0.035659652;SDSS;SDSS(g);SDSS
52908.2464366;20.072134;0.035316657;SDSS;SDSS(r);SDSS
52908.2464366;20.072134;0.03529963;SDSS;SDSS(r);SDSS
52908.24685124;20.093863;0.036285665;SDSS;SDSS(r);SDSS
52908.24685124;20.093863;0.036308814;SDSS;SDSS(r);SDSS
52908.24726587;19.818617;0.044324428;SDSS;SDSS(i);SDSS
52908.24726587;19.818617;0.04429989;SDSS;SDSS(i);SDSS
52908.2476805;19.737974;0.033571422;SDSS;SDSS(i);SDSS
52908.2476805;19.737974;0.033633385;SDSS;SDSS(i);SDSS
52908.24809513;22.025421;0.21783458;SDSS;SDSS(u);SDSS
52908.24850977;22.087622;0.22024757;SDSS;SDSS(u);SDSS
52908.24850977;22.058157;0.21476413;SDSS;SDSS(u);SDSS
52908.2489244;19.425766;0.07344096;SDSS;SDSS(z);SDSS
52908.2489244;19.425764;0.073426045;SDSS;SDSS(z);SDSS
52908.24933903;19.444635;0.07410243;SDSS;SDSS(z);SDSS
52908.24933903;19.444635;0.07407663;SDSS;SDSS(z);SDSS
52908.24975366;20.714163;0.03446853;SDSS;SDSS(g);SDSS
