MJD;Magnitude;Error;Facility;Filter;Observer
55297.2279011;16.749;0.43;ALLWISE;WISE(W1);ALLWISE
55297.5585977;16.501;0.333;ALLWISE;WISE(W1);ALLWISE
55297.5587251;16.52;0.313;ALLWISE;WISE(W1);ALLWISE
55297.6910292;16.691;0.358;ALLWISE;WISE(W1);ALLWISE
55297.7571176;16.588;0.411;ALLWISE;WISE(W1);ALLWISE
55297.8233333;17.001;0.5;ALLWISE;WISE(W1);ALLWISE
55297.8894217;16.671;0.356;ALLWISE;WISE(W1);ALLWISE
55297.9556374;16.267;0.247;ALLWISE;WISE(W1);ALLWISE
55298.0217258;16.628;0.342;ALLWISE;WISE(W1);ALLWISE
55298.1540299;16.624;0.387;ALLWISE;WISE(W1);ALLWISE
55298.2202456;16.875;0.43;ALLWISE;WISE(W1);ALLWISE
55298.286334;16.972;0.45;ALLWISE;WISE(W1);ALLWISE
55298.286334;15.254;0.379;ALLWISE;WISE(W2);ALLWISE
55298.5509423;16.738;0.455;ALLWISE;WISE(W1);ALLWISE
55298.5509423;15.664;0.48;ALLWISE;WISE(W2);ALLWISE
55298.617158;15.58;0.484;ALLWISE;WISE(W2);ALLWISE
55298.6832463;16.398;0.325;ALLWISE;WISE(W1);ALLWISE
55298.6833737;16.2;0.249;ALLWISE;WISE(W1);ALLWISE
55298.8817662;16.54;0.307;ALLWISE;WISE(W1);ALLWISE
55299.0140703;16.594;0.4;ALLWISE;WISE(W1);ALLWISE
55299.1463744;15.631;0.483;ALLWISE;WISE(W2);ALLWISE
55477.2045965;16.513;0.292;ALLWISE;WISE(W1);ALLWISE
55477.3369004;16.763;0.342;ALLWISE;WISE(W1);ALLWISE
55477.4029888;16.107;0.211;ALLWISE;WISE(W1);ALLWISE
55477.4692044;16.202;0.229;ALLWISE;WISE(W1);ALLWISE
55477.5352927;16.507;0.287;ALLWISE;WISE(W1);ALLWISE
55477.601381;16.989;0.461;ALLWISE;WISE(W1);ALLWISE
55477.6675967;16.368;0.314;ALLWISE;WISE(W1);ALLWISE
55477.7336851;16.125;0.21;ALLWISE;WISE(W1);ALLWISE
55477.7997734;17.149;0.487;ALLWISE;WISE(W1);ALLWISE
55477.7999007;15.406;0.344;ALLWISE;WISE(W2);ALLWISE
55477.9320774;16.403;0.263;ALLWISE;WISE(W1);ALLWISE
55477.9320774;15.728;0.48;ALLWISE;WISE(W2);ALLWISE
55477.998293;16.427;0.288;ALLWISE;WISE(W1);ALLWISE
55478.1304697;16.764;0.389;ALLWISE;WISE(W1);ALLWISE
55478.1966853;17.128;0.501;ALLWISE;WISE(W1);ALLWISE
55478.2627736;17.004;0.472;ALLWISE;WISE(W1);ALLWISE
55478.3288619;16.529;0.316;ALLWISE;WISE(W1);ALLWISE
55478.3288619;15.541;0.411;ALLWISE;WISE(W2);ALLWISE
55478.3950776;16.785;0.376;ALLWISE;WISE(W1);ALLWISE
55478.3950776;15.466;0.383;ALLWISE;WISE(W2);ALLWISE
55478.7257739;16.093;0.221;ALLWISE;WISE(W1);ALLWISE
55478.8579505;17.012;0.498;ALLWISE;WISE(W1);ALLWISE
55484.2147976;16.845;0.385;ALLWISE;WISE(W1);ALLWISE
55705.0882583;20.216;0.014163;PS1;PS1(r);PS1
55836.1354622;21.0213;0.038889;PS1;PS1(g);PS1
55970.9429843;19.7234;0.028841;PS1;PS1(z);PS1
56228.282591300085;16.845910476823235;-1.0;ASASSN;ASASSN(V);ASASSN
56231.24733230006;16.7990148063209;0.2159923190061547;ASASSN;ASASSN(V);ASASSN
56234.235466899816;17.00311648996854;0.1052013938881321;ASASSN;ASASSN(V);ASASSN
56238.22417660011;17.495136031040072;0.1659768586974999;ASASSN;ASASSN(V);ASASSN
56242.22042819997;17.081371729421605;0.1259202380624117;ASASSN;ASASSN(V);ASASSN
56250.9129805;19.8458;0.007901;PS1;PS1(i);PS1
56338.60087700002;17.70652304901256;0.2150694940739722;ASASSN;ASASSN(V);ASASSN
56351.58663519984;16.918353210542605;-1.0;ASASSN;ASASSN(V);ASASSN
56352.57501679985;16.544533948036953;0.1945167900782134;ASASSN;ASASSN(V);ASASSN
56353.55856460007;17.114357364780236;-1.0;ASASSN;ASASSN(V);ASASSN
56358.65500830021;17.04895129099402;0.1370447053838114;ASASSN;ASASSN(V);ASASSN
56370.612286199816;17.47084858453922;0.1833843946941906;ASASSN;ASASSN(V);ASASSN
56380.59722740017;16.729893491127395;-1.0;ASASSN;ASASSN(V);ASASSN
56388.50591519987;17.681925829217143;-1.0;ASASSN;ASASSN(V);ASASSN
56389.49624999985;17.047094385690848;0.1721988919888331;ASASSN;ASASSN(V);ASASSN
56392.629039600026;17.458147788927928;0.1505490594245895;ASASSN;ASASSN(V);ASASSN
56396.58484329982;17.7772467009897;-1.0;ASASSN;ASASSN(V);ASASSN
56399.56156850001;17.666904561243708;-1.0;ASASSN;ASASSN(V);ASASSN
56403.52591879992;17.467535628517176;-1.0;ASASSN;ASASSN(V);ASASSN
56408.51474770019;16.42915297187625;-1.0;ASASSN;ASASSN(V);ASASSN
56409.51145769982;16.71882158792627;-1.0;ASASSN;ASASSN(V);ASASSN
56412.517997200135;16.51880822605272;-1.0;ASASSN;ASASSN(V);ASASSN
56415.51762950001;17.290999369452805;-1.0;ASASSN;ASASSN(V);ASASSN
56444.46640729997;17.21189545591622;0.1540840024955336;ASASSN;ASASSN(V);ASASSN
56448.45727699995;17.212436424726633;0.141628647606336;ASASSN;ASASSN(V);ASASSN
56450.44134429982;17.634143032159713;0.2109893053425047;ASASSN;ASASSN(V);ASASSN
56451.4437338002;17.28309027155804;0.1320109533664737;ASASSN;ASASSN(V);ASASSN
56452.44184859982;16.990828420362753;0.1501884136777972;ASASSN;ASASSN(V);ASASSN
56460.326729299966;17.073168903712535;-1.0;ASASSN;ASASSN(V);ASASSN
56462.42378140008;16.860491039493578;0.1795150301167221;ASASSN;ASASSN(V);ASASSN
56464.41404270008;16.719357053917754;-1.0;ASASSN;ASASSN(V);ASASSN
56467.42504539993;16.92076688207846;-1.0;ASASSN;ASASSN(V);ASASSN
56470.41110550007;17.105459640478106;0.1788825036821804;ASASSN;ASASSN(V);ASASSN
56473.40779779991;17.670898906923856;-1.0;ASASSN;ASASSN(V);ASASSN
56476.39969970007;17.4172065756127;-1.0;ASASSN;ASASSN(V);ASASSN
56478.40186659992;17.89247495106625;-1.0;ASASSN;ASASSN(V);ASASSN
56479.40129690012;16.88943636797265;0.1198333006058508;ASASSN;ASASSN(V);ASASSN
56482.40113910008;17.23983313322266;0.1478599197888248;ASASSN;ASASSN(V);ASASSN
56485.38933590008;17.433386692289933;0.2138633555572387;ASASSN;ASASSN(V);ASASSN
56488.37323640008;17.34447149413193;0.1568907598277651;ASASSN;ASASSN(V);ASASSN
56491.36856869981;17.050664054003896;-1.0;ASASSN;ASASSN(V);ASASSN
56493.37902709981;16.830108845112;-1.0;ASASSN;ASASSN(V);ASASSN
56497.37252000021;16.766658325334543;-1.0;ASASSN;ASASSN(V);ASASSN
56511.297247800045;17.040458897296837;0.1413819433671471;ASASSN;ASASSN(V);ASASSN
56516.33425620012;17.13224648275485;0.1831530696191025;ASASSN;ASASSN(V);ASASSN
56519.32707040012;17.29010647542133;-1.0;ASASSN;ASASSN(V);ASASSN
56522.32558330009;16.613500325752362;0.1401559334346688;ASASSN;ASASSN(V);ASASSN
56523.330159499776;16.693452940465146;-1.0;ASASSN;ASASSN(V);ASASSN
56524.32951019984;16.282191565743098;0.1714977215827172;ASASSN;ASASSN(V);ASASSN
56527.33026910015;17.007546550959876;-1.0;ASASSN;ASASSN(V);ASASSN
56532.32210690016;17.61422364460476;-1.0;ASASSN;ASASSN(V);ASASSN
56534.31233409978;17.398842738991206;0.163006751491735;ASASSN;ASASSN(V);ASASSN
56536.30552269984;17.609515706123137;-1.0;ASASSN;ASASSN(V);ASASSN
56537.31144770002;17.352974354643592;0.1697052680321042;ASASSN;ASASSN(V);ASASSN
56544.29755620007;17.292359637523248;0.1673732642497754;ASASSN;ASASSN(V);ASASSN
56554.27153419983;16.418047616539692;-1.0;ASASSN;ASASSN(V);ASASSN
56562.25483050011;17.098343741925643;0.1800575285108542;ASASSN;ASASSN(V);ASASSN
56571.24625559989;17.329627909521296;0.1957584533035893;ASASSN;ASASSN(V);ASASSN
56595.2072395999;17.60635250276176;0.1524338414860922;ASASSN;ASASSN(V);ASASSN
56597.206291399896;17.032339125560412;0.0895380220871985;ASASSN;ASASSN(V);ASASSN
56700.64473319985;17.07261138333426;0.1092121987942237;ASASSN;ASASSN(V);ASASSN
56729.625141200144;17.46337040557834;0.1364478546270325;ASASSN;ASASSN(V);ASASSN
56733.57267510006;16.840659004139425;-1.0;ASASSN;ASASSN(V);ASASSN
56734.5889818999;16.582823153008327;-1.0;ASASSN;ASASSN(V);ASASSN
56735.56494490011;17.111198924903302;0.2120088752345087;ASASSN;ASASSN(V);ASASSN
56736.531205799896;17.30857829821474;-1.0;ASASSN;ASASSN(V);ASASSN
56741.52738850005;17.221758623893493;0.1712934747566464;ASASSN;ASASSN(V);ASASSN
56743.57248569978;17.033455657111357;0.1546356687292893;ASASSN;ASASSN(V);ASASSN
56751.5656818999;17.221234947227273;0.1080443460665475;ASASSN;ASASSN(V);ASASSN
56757.47584109986;17.157156087974887;-1.0;ASASSN;ASASSN(V);ASASSN
56758.54617299978;17.501357096603556;-1.0;ASASSN;ASASSN(V);ASASSN
56759.5415957002;16.97035404349181;-1.0;ASASSN;ASASSN(V);ASASSN
56764.54963519983;17.15281797784144;-1.0;ASASSN;ASASSN(V);ASASSN
56766.53750369977;17.01882954367005;-1.0;ASASSN;ASASSN(V);ASASSN
56771.58873800002;16.84367002390539;0.1001591162508713;ASASSN;ASASSN(V);ASASSN
56783.515205900185;17.08089442960478;0.1230568473422152;ASASSN;ASASSN(V);ASASSN
56784.50329799997;17.24868918104042;0.166344843673505;ASASSN;ASASSN(V);ASASSN
56785.5141309998;17.771632552672116;0.1893649434106794;ASASSN;ASASSN(V);ASASSN
56786.50969559979;17.207310154087814;-1.0;ASASSN;ASASSN(V);ASASSN
56787.49016370019;17.143304868050887;0.1833095394727039;ASASSN;ASASSN(V);ASASSN
56788.49319289997;17.128396792597414;-1.0;ASASSN;ASASSN(V);ASASSN
56794.47868689988;16.867703348529968;0.1312661527644822;ASASSN;ASASSN(V);ASASSN
56796.490157700144;17.22457117234258;-1.0;ASASSN;ASASSN(V);ASASSN
56798.4817408002;17.418823679098484;0.1734224120003844;ASASSN;ASASSN(V);ASASSN
56800.59694499988;17.02073109850395;0.1068865779078412;ASASSN;ASASSN(V);ASASSN
56802.46755379997;17.052756715939957;0.1326629841948098;ASASSN;ASASSN(V);ASASSN
56805.47451840015;17.680602593377873;-1.0;ASASSN;ASASSN(V);ASASSN
56808.45950309979;17.695911309641986;-1.0;ASASSN;ASASSN(V);ASASSN
56809.47564900015;17.623589233414528;-1.0;ASASSN;ASASSN(V);ASASSN
56810.453917699866;17.781504539654524;0.2152670780941457;ASASSN;ASASSN(V);ASASSN
56812.4735045;17.640439030426563;0.1828285560346338;ASASSN;ASASSN(V);ASASSN
56814.44578000018;17.191788668427666;0.1218964412009612;ASASSN;ASASSN(V);ASASSN
56815.45176299987;17.252729965287624;0.1479317452831089;ASASSN;ASASSN(V);ASASSN
56816.45653080009;16.969275486313084;0.1289687715965846;ASASSN;ASASSN(V);ASASSN
56817.4637310002;16.830621587110077;0.1224427971878098;ASASSN;ASASSN(V);ASASSN
56818.45187509991;17.050490017231294;-1.0;ASASSN;ASASSN(V);ASASSN
56819.44760080008;16.571311609539265;0.1240494293785437;ASASSN;ASASSN(V);ASASSN
56820.43896079995;16.885648120308943;-1.0;ASASSN;ASASSN(V);ASASSN
56822.46821969981;17.112344745083444;-1.0;ASASSN;ASASSN(V);ASASSN
56824.45746609988;16.889652813900003;0.1610649398464842;ASASSN;ASASSN(V);ASASSN
56825.510531399865;16.35997117682382;-1.0;ASASSN;ASASSN(V);ASASSN
56826.45010610018;17.73482566143114;0.2050587671290715;ASASSN;ASASSN(V);ASASSN
56827.44720569998;16.45001461024832;0.0870147055324996;ASASSN;ASASSN(V);ASASSN
56828.2720672;20.04204559326172;0.0848989263176918;PTF;PTF(R);PTF
56828.2970472;20.13041114807129;0.0892704501748085;PTF;PTF(R);PTF
56828.3209272;19.95863151550293;0.0834343954920768;PTF;PTF(R);PTF
56828.44312359998;17.011788154822355;0.0894646021027927;ASASSN;ASASSN(V);ASASSN
56829.55585539993;17.517747843209285;0.1614764301121594;ASASSN;ASASSN(V);ASASSN
56832.42486080015;17.242892054332522;0.1181837646607431;ASASSN;ASASSN(V);ASASSN
56833.46455249982;17.46509680264093;0.1855992511165735;ASASSN;ASASSN(V);ASASSN
56835.430735500064;17.284167161707007;0.1195038702533296;ASASSN;ASASSN(V);ASASSN
56846.4091089;17.385621308024422;-1.0;ASASSN;ASASSN(V);ASASSN
56847.41498709982;17.269910891744512;-1.0;ASASSN;ASASSN(V);ASASSN
56848.415996999945;17.03406045315767;-1.0;ASASSN;ASASSN(V);ASASSN
56849.39884239994;16.70730048147678;0.1645403652470962;ASASSN;ASASSN(V);ASASSN
56850.41653330019;16.78679996893122;-1.0;ASASSN;ASASSN(V);ASASSN
56851.41027380014;15.699907225577023;-1.0;ASASSN;ASASSN(V);ASASSN
56854.50427410007;17.247849266420232;0.1846847153792327;ASASSN;ASASSN(V);ASASSN
56855.418386300094;17.55623483209597;0.1899826108301322;ASASSN;ASASSN(V);ASASSN
56856.49662149977;16.995251841580288;0.1268192551327372;ASASSN;ASASSN(V);ASASSN
56884.35851379996;17.149133434587075;0.1306913828539133;ASASSN;ASASSN(V);ASASSN
56885.35595769994;17.378112592520377;0.1250965338368804;ASASSN;ASASSN(V);ASASSN
56886.36380359996;17.573744696254046;0.1933551310400745;ASASSN;ASASSN(V);ASASSN
56887.35189109994;17.27194334319472;0.1020133447795741;ASASSN;ASASSN(V);ASASSN
56888.33487090003;17.351412406250276;0.1503881938920712;ASASSN;ASASSN(V);ASASSN
56889.334318200126;17.47790600070045;-1.0;ASASSN;ASASSN(V);ASASSN
56890.33720109984;17.4043294110032;0.168610995879875;ASASSN;ASASSN(V);ASASSN
56891.3378527998;17.403093054357864;0.1566614096507279;ASASSN;ASASSN(V);ASASSN
56892.34203880001;17.60941439605667;-1.0;ASASSN;ASASSN(V);ASASSN
56894.33999820007;17.484416749292585;0.141469443605522;ASASSN;ASASSN(V);ASASSN
56896.3311505001;17.397732806499498;0.1558325734050788;ASASSN;ASASSN(V);ASASSN
56897.31545779994;17.14642528920695;0.1277956023717691;ASASSN;ASASSN(V);ASASSN
56898.32757529989;17.234925024700296;0.1566545903918032;ASASSN;ASASSN(V);ASASSN
56900.31998369983;17.593128752683043;-1.0;ASASSN;ASASSN(V);ASASSN
56902.31762519991;17.339248586142876;0.1240900301676218;ASASSN;ASASSN(V);ASASSN
56904.31356659997;16.919528181400217;0.1661159829229809;ASASSN;ASASSN(V);ASASSN
56906.3197443001;16.938615305213702;-1.0;ASASSN;ASASSN(V);ASASSN
56907.30997749977;17.109644479899398;0.1723538133069755;ASASSN;ASASSN(V);ASASSN
56908.35144479992;15.375466200638414;-1.0;ASASSN;ASASSN(V);ASASSN
56909.30661660014;16.958318738530142;-1.0;ASASSN;ASASSN(V);ASASSN
56910.31971709989;17.063113318089364;-1.0;ASASSN;ASASSN(V);ASASSN
56911.30406890018;17.153758023160517;0.1807238207526678;ASASSN;ASASSN(V);ASASSN
56912.30624869978;16.80344528620498;0.1371403506398495;ASASSN;ASASSN(V);ASASSN
56913.30008159997;17.383926042576046;0.12327734358867;ASASSN;ASASSN(V);ASASSN
56914.30434790021;17.696499747257203;0.2013680419834826;ASASSN;ASASSN(V);ASASSN
