MJD;Magnitude;Error;Facility;Filter;Observer
52693.4546864;17.853;0.233;LINEAR;LINEAR(CL);LINEAR
52693.4553221;18.778;0.533;LINEAR;LINEAR(CL);LINEAR
52693.4687833;17.767;0.213;LINEAR;LINEAR(CL);LINEAR
52693.4971429;17.896;0.233;LINEAR;LINEAR(CL);LINEAR
52693.5108853;17.782;0.214;LINEAR;LINEAR(CL);LINEAR
52721.3655478;18.483;0.408;LINEAR;LINEAR(CL);LINEAR
52721.4029576;18.733;0.528;LINEAR;LINEAR(CL);LINEAR
52926.0985462;18.257;0.37;LINEAR;LINEAR(CL);LINEAR
53074.3933565;18.138;0.412;LINEAR;LINEAR(CL);LINEAR
53192.2203886;18.777;0.478;LINEAR;LINEAR(CL);LINEAR
53192.2301157;18.601;0.444;LINEAR;LINEAR(CL);LINEAR
53222.2097025;18.791;0.518;LINEAR;LINEAR(CL);LINEAR
53222.2287747;18.55;0.447;LINEAR;LINEAR(CL);LINEAR
53390.4736428;18.578;0.407;LINEAR;LINEAR(CL);LINEAR
53390.4863504;18.729;0.461;LINEAR;LINEAR(CL);LINEAR
53390.4990465;18.536;0.366;LINEAR;LINEAR(CL);LINEAR
53390.5117433;18.38;0.315;LINEAR;LINEAR(CL);LINEAR
53390.5249066;18.44;0.379;LINEAR;LINEAR(CL);LINEAR
53429.4113327;18.808;0.64;LINEAR;LINEAR(CL);LINEAR
53476.3412129;18.854;0.559;LINEAR;LINEAR(CL);LINEAR
53481.388619;18.507;0.536;LINEAR;LINEAR(CL);LINEAR
53481.3990339;18.692;0.627;LINEAR;LINEAR(CL);LINEAR
53598.1415754;18.65;0.633;LINEAR;LINEAR(CL);LINEAR
53598.1663019;18.508;0.566;LINEAR;LINEAR(CL);LINEAR
53608.1356793;19.087;0.618;LINEAR;LINEAR(CL);LINEAR
53608.1470662;19.071;0.605;LINEAR;LINEAR(CL);LINEAR
53608.1698461;19.058;0.638;LINEAR;LINEAR(CL);LINEAR
53850.41527;19.54;0.22;CRTS;CRTS(CL);CRTS
53850.42027;19.32;0.2;CRTS;CRTS(CL);CRTS
53850.42541;19.3;0.2;CRTS;CRTS(CL);CRTS
53850.43053;19.12;0.18;CRTS;CRTS(CL);CRTS
53856.42432;19.71;0.25;CRTS;CRTS(CL);CRTS
53856.4299;19.19;0.19;CRTS;CRTS(CL);CRTS
53856.43556;19.1;0.18;CRTS;CRTS(CL);CRTS
53856.44113;19.48;0.22;CRTS;CRTS(CL);CRTS
53860.3397041;19.081;0.579;LINEAR;LINEAR(CL);LINEAR
53880.32982;19.4;0.21;CRTS;CRTS(CL);CRTS
53880.34674;19.12;0.18;CRTS;CRTS(CL);CRTS
53880.35517;19.3;0.2;CRTS;CRTS(CL);CRTS
54021.0900662;18.16;0.356;LINEAR;LINEAR(CL);LINEAR
54158.50607;19.01;0.16;CRTS;CRTS(CL);CRTS
54158.51109;19.03;0.16;CRTS;CRTS(CL);CRTS
54158.51617;18.96;0.16;CRTS;CRTS(CL);CRTS
54158.52121;18.75;0.15;CRTS;CRTS(CL);CRTS
54210.44962;19.04;0.17;CRTS;CRTS(CL);CRTS
54210.46094;19.31;0.19;CRTS;CRTS(CL);CRTS
54210.46655;19.25;0.19;CRTS;CRTS(CL);CRTS
54270.31088;19.42;0.21;CRTS;CRTS(CL);CRTS
54270.31547;19.18;0.19;CRTS;CRTS(CL);CRTS
54277.26528;19.63;0.23;CRTS;CRTS(CL);CRTS
54277.27641;19.66;0.23;CRTS;CRTS(CL);CRTS
54277.28197;19.63;0.23;CRTS;CRTS(CL);CRTS
54495.5150218;17.99;0.234;LINEAR;LINEAR(CL);LINEAR
54523.3968698;19.124;0.564;LINEAR;LINEAR(CL);LINEAR
54523.4087331;18.882;0.457;LINEAR;LINEAR(CL);LINEAR
54523.4203882;19.119;0.561;LINEAR;LINEAR(CL);LINEAR
54523.4320017;19.142;0.569;LINEAR;LINEAR(CL);LINEAR
54523.443608;19.175;0.568;LINEAR;LINEAR(CL);LINEAR
54540.3963802;18.709;0.351;LINEAR;LINEAR(CL);LINEAR
54540.4181372;18.803;0.376;LINEAR;LINEAR(CL);LINEAR
54540.4289864;18.617;0.318;LINEAR;LINEAR(CL);LINEAR
54554.3651888;18.617;0.35;LINEAR;LINEAR(CL);LINEAR
54554.3770552;19.117;0.596;LINEAR;LINEAR(CL);LINEAR
54554.4007937;19.063;0.561;LINEAR;LINEAR(CL);LINEAR
54630.31272;19.02;0.17;CRTS;CRTS(CL);CRTS
54630.3179;19.37;0.2;CRTS;CRTS(CL);CRTS
54630.32304;19.54;0.21;CRTS;CRTS(CL);CRTS
54630.32818;19.36;0.2;CRTS;CRTS(CL);CRTS
54866.45037;18.86;0.15;CRTS;CRTS(CL);CRTS
54866.45715;19.36;0.2;CRTS;CRTS(CL);CRTS
54866.46386;19.31;0.19;CRTS;CRTS(CL);CRTS
54866.47058;19.41;0.2;CRTS;CRTS(CL);CRTS
54913.44323;19.33;0.2;CRTS;CRTS(CL);CRTS
54913.44935;19.15;0.2;CRTS;CRTS(CL);CRTS
54913.45534;18.92;0.18;CRTS;CRTS(CL);CRTS
54913.46148;19.41;0.21;CRTS;CRTS(CL);CRTS
54961.2262272;19.12373733520508;0.0738465711474418;PTF;PTF(R);PTF
54961.2839472;19.333332061767575;0.0793822184205055;PTF;PTF(R);PTF
54961.3348472;19.14187812805176;0.0871272161602974;PTF;PTF(R);PTF
54961.4474772;19.11764907836914;0.0723922178149223;PTF;PTF(R);PTF
54961.4974972;19.056182861328125;0.1081699803471565;PTF;PTF(R);PTF
54967.2960572;19.10748672485352;0.04547705873847;PTF;PTF(R);PTF
54967.4043672;19.23831367492676;0.0553303845226764;PTF;PTF(R);PTF
54968.37051;19.17;0.19;CRTS;CRTS(CL);CRTS
54968.37626;19.04;0.18;CRTS;CRTS(CL);CRTS
54968.38202;19.28;0.2;CRTS;CRTS(CL);CRTS
54968.38777;19.12;0.19;CRTS;CRTS(CL);CRTS
54971.4141572;19.202959060668945;0.1655675172805786;PTF;PTF(R);PTF
55003.4583072;19.320653915405277;0.0681003257632255;PTF;PTF(R);PTF
55020.2355272;19.25297737121582;0.0854262709617614;PTF;PTF(R);PTF
55020.3482772;19.315004348754883;0.1013686433434486;PTF;PTF(R);PTF
55031.2481072;19.13304901123047;0.0642578676342964;PTF;PTF(R);PTF
55031.3382872;19.18780517578125;0.0670362561941146;PTF;PTF(R);PTF
55041.2291972;19.1937313079834;0.0590663887560367;PTF;PTF(R);PTF
55041.3437972;19.1260986328125;0.0530548766255378;PTF;PTF(R);PTF
55214.2570022;16.576;0.34;ALLWISE;WISE(W1);ALLWISE
55214.2571296;16.889;0.483;ALLWISE;WISE(W1);ALLWISE
55214.2571296;15.709;0.497;ALLWISE;WISE(W2);ALLWISE
55214.3894343;15.384;0.389;ALLWISE;WISE(W2);ALLWISE
55214.3894343;16.163;0.282;ALLWISE;WISE(W1);ALLWISE
55214.587955;15.109;0.27;ALLWISE;WISE(W2);ALLWISE
55214.587955;16.249;0.289;ALLWISE;WISE(W1);ALLWISE
55214.6540437;16.206;0.257;ALLWISE;WISE(W1);ALLWISE
55214.6540437;15.529;0.535;ALLWISE;WISE(W2);ALLWISE
55214.7202597;16.332;0.311;ALLWISE;WISE(W1);ALLWISE
55214.7202597;15.564;0.484;ALLWISE;WISE(W2);ALLWISE
55214.7863484;15.739;0.149;ALLWISE;WISE(W1);ALLWISE
55214.7864757;16.38;0.253;ALLWISE;WISE(W1);ALLWISE
55214.8525645;16.304;0.255;ALLWISE;WISE(W1);ALLWISE
55214.9187805;16.51;0.331;ALLWISE;WISE(W1);ALLWISE
55214.9848692;16.468;0.308;ALLWISE;WISE(W1);ALLWISE
55215.0510852;16.279;0.256;ALLWISE;WISE(W1);ALLWISE
55215.249606;15.703;0.504;ALLWISE;WISE(W2);ALLWISE
55215.249606;16.304;0.261;ALLWISE;WISE(W1);ALLWISE
55215.315822;15.585;0.483;ALLWISE;WISE(W2);ALLWISE
55215.315822;16.479;0.29;ALLWISE;WISE(W1);ALLWISE
55215.3819107;16.452;0.286;ALLWISE;WISE(W1);ALLWISE
55215.5804315;16.437;0.325;ALLWISE;WISE(W1);ALLWISE
55215.6466476;16.319;0.26;ALLWISE;WISE(W1);ALLWISE
55215.7127363;16.226;0.261;ALLWISE;WISE(W1);ALLWISE
