MJD;Magnitude;Error;Facility;Filter;Observer
53620.66855;16.26;0.33;CRTS;CRTS(CL);CRTS
53620.67852;14.35;0.07;CRTS;CRTS(CL);CRTS
53620.68723;14.35;0.07;CRTS;CRTS(CL);CRTS
53620.69598;14.42;0.07;CRTS;CRTS(CL);CRTS
53620.70504;14.36;0.07;CRTS;CRTS(CL);CRTS
53654.45482;14.31;0.06;CRTS;CRTS(CL);CRTS
53654.46144;14.29;0.06;CRTS;CRTS(CL);CRTS
53654.46805;14.29;0.06;CRTS;CRTS(CL);CRTS
53654.47461;14.31;0.06;CRTS;CRTS(CL);CRTS
53667.48185;14.33;0.06;CRTS;CRTS(CL);CRTS
53667.48822;14.3;0.06;CRTS;CRTS(CL);CRTS
53667.49459;14.29;0.06;CRTS;CRTS(CL);CRTS
53667.50093;14.34;0.06;CRTS;CRTS(CL);CRTS
53673.43233;14.31;0.06;CRTS;CRTS(CL);CRTS
53673.43773;14.33;0.06;CRTS;CRTS(CL);CRTS
53673.44311;14.31;0.06;CRTS;CRTS(CL);CRTS
53673.44855;14.3;0.06;CRTS;CRTS(CL);CRTS
53679.36743;14.3;0.05;CRTS;CRTS(CL);CRTS
53679.37459;14.31;0.06;CRTS;CRTS(CL);CRTS
53679.38192;14.3;0.05;CRTS;CRTS(CL);CRTS
53679.3891;14.32;0.06;CRTS;CRTS(CL);CRTS
53704.35288;14.32;0.06;CRTS;CRTS(CL);CRTS
53704.36273;14.31;0.06;CRTS;CRTS(CL);CRTS
53704.37278;14.3;0.06;CRTS;CRTS(CL);CRTS
53704.38292;14.32;0.06;CRTS;CRTS(CL);CRTS
53710.32691;14.31;0.05;CRTS;CRTS(CL);CRTS
53710.33414;14.3;0.05;CRTS;CRTS(CL);CRTS
53710.34154;14.29;0.05;CRTS;CRTS(CL);CRTS
53710.34877;14.29;0.05;CRTS;CRTS(CL);CRTS
53729.29228;14.26;0.05;CRTS;CRTS(CL);CRTS
53729.30088;14.28;0.05;CRTS;CRTS(CL);CRTS
53729.31548;14.35;0.06;CRTS;CRTS(CL);CRTS
53729.32407;14.28;0.06;CRTS;CRTS(CL);CRTS
53740.24657;14.31;0.06;CRTS;CRTS(CL);CRTS
53740.25663;14.3;0.05;CRTS;CRTS(CL);CRTS
53740.2666;14.29;0.05;CRTS;CRTS(CL);CRTS
53740.27659;14.31;0.06;CRTS;CRTS(CL);CRTS
53766.17594;14.3;0.06;CRTS;CRTS(CL);CRTS
53766.18232;14.32;0.06;CRTS;CRTS(CL);CRTS
53766.1887;14.33;0.06;CRTS;CRTS(CL);CRTS
53766.19506;14.3;0.06;CRTS;CRTS(CL);CRTS
53773.19994;14.29;0.06;CRTS;CRTS(CL);CRTS
53773.20474;14.27;0.06;CRTS;CRTS(CL);CRTS
53773.20955;14.26;0.06;CRTS;CRTS(CL);CRTS
53773.21437;14.3;0.06;CRTS;CRTS(CL);CRTS
53791.15733;14.3;0.06;CRTS;CRTS(CL);CRTS
53791.16263;14.3;0.06;CRTS;CRTS(CL);CRTS
53791.16797;14.32;0.06;CRTS;CRTS(CL);CRTS
53791.1733;14.32;0.06;CRTS;CRTS(CL);CRTS
53832.38043;14.37;0.07;CRTS;CRTS(CL);CRTS
53832.38639;14.36;0.07;CRTS;CRTS(CL);CRTS
53832.39238;14.29;0.07;CRTS;CRTS(CL);CRTS
53832.39837;14.27;0.07;CRTS;CRTS(CL);CRTS
53968.7319;14.29;0.07;CRTS;CRTS(CL);CRTS
53968.73915;14.34;0.07;CRTS;CRTS(CL);CRTS
53968.74636;14.32;0.07;CRTS;CRTS(CL);CRTS
53968.75376;14.3;0.07;CRTS;CRTS(CL);CRTS
54006.45425;14.27;0.05;CRTS;CRTS(CL);CRTS
54006.46165;14.25;0.05;CRTS;CRTS(CL);CRTS
54006.46903;14.29;0.05;CRTS;CRTS(CL);CRTS
54006.4764;14.28;0.05;CRTS;CRTS(CL);CRTS
54011.46239;14.29;0.05;CRTS;CRTS(CL);CRTS
54011.46885;14.28;0.05;CRTS;CRTS(CL);CRTS
54011.47531;14.3;0.05;CRTS;CRTS(CL);CRTS
54011.48178;14.36;0.06;CRTS;CRTS(CL);CRTS
54029.41099;14.28;0.05;CRTS;CRTS(CL);CRTS
54029.42216;14.3;0.05;CRTS;CRTS(CL);CRTS
54029.43347;14.27;0.05;CRTS;CRTS(CL);CRTS
54029.44479;14.29;0.05;CRTS;CRTS(CL);CRTS
54040.36757;14.28;0.05;CRTS;CRTS(CL);CRTS
54040.37462;14.28;0.05;CRTS;CRTS(CL);CRTS
54040.38168;14.28;0.05;CRTS;CRTS(CL);CRTS
54040.38874;14.29;0.05;CRTS;CRTS(CL);CRTS
54056.35754;14.29;0.05;CRTS;CRTS(CL);CRTS
54056.365;14.25;0.05;CRTS;CRTS(CL);CRTS
54056.37253;14.29;0.05;CRTS;CRTS(CL);CRTS
54056.38008;14.29;0.05;CRTS;CRTS(CL);CRTS
54062.32547;14.26;0.05;CRTS;CRTS(CL);CRTS
54062.33301;14.27;0.05;CRTS;CRTS(CL);CRTS
54062.34055;14.29;0.05;CRTS;CRTS(CL);CRTS
54062.34808;14.29;0.05;CRTS;CRTS(CL);CRTS
54070.19754;14.26;0.06;CRTS;CRTS(CL);CRTS
54070.20259;14.28;0.06;CRTS;CRTS(CL);CRTS
54070.20764;14.31;0.06;CRTS;CRTS(CL);CRTS
54070.2127;14.28;0.06;CRTS;CRTS(CL);CRTS
54085.24808;14.3;0.05;CRTS;CRTS(CL);CRTS
54085.25815;14.31;0.05;CRTS;CRTS(CL);CRTS
54085.26822;14.28;0.05;CRTS;CRTS(CL);CRTS
54085.27835;14.28;0.05;CRTS;CRTS(CL);CRTS
54093.23116;14.26;0.05;CRTS;CRTS(CL);CRTS
54093.23763;14.3;0.05;CRTS;CRTS(CL);CRTS
54093.24412;14.29;0.05;CRTS;CRTS(CL);CRTS
54093.25062;14.33;0.05;CRTS;CRTS(CL);CRTS
54175.11661;14.33;0.05;CRTS;CRTS(CL);CRTS
54175.12311;14.33;0.05;CRTS;CRTS(CL);CRTS
54175.12957;14.27;0.05;CRTS;CRTS(CL);CRTS
54175.13604;14.31;0.05;CRTS;CRTS(CL);CRTS
54197.38776;14.32;0.07;CRTS;CRTS(CL);CRTS
54197.39379;14.34;0.07;CRTS;CRTS(CL);CRTS
54197.39982;14.31;0.07;CRTS;CRTS(CL);CRTS
54197.40584;14.42;0.07;CRTS;CRTS(CL);CRTS
54326.78401;14.33;0.07;CRTS;CRTS(CL);CRTS
54326.79264;14.25;0.07;CRTS;CRTS(CL);CRTS
54326.80137;14.28;0.07;CRTS;CRTS(CL);CRTS
54326.81016;14.28;0.07;CRTS;CRTS(CL);CRTS
54364.49407;14.3;0.06;CRTS;CRTS(CL);CRTS
54364.49979;14.28;0.06;CRTS;CRTS(CL);CRTS
54364.50551;14.3;0.06;CRTS;CRTS(CL);CRTS
54364.51127;14.37;0.06;CRTS;CRTS(CL);CRTS
54385.4136;14.29;0.05;CRTS;CRTS(CL);CRTS
54385.42106;14.3;0.05;CRTS;CRTS(CL);CRTS
54385.42853;14.26;0.05;CRTS;CRTS(CL);CRTS
54385.43603;14.29;0.05;CRTS;CRTS(CL);CRTS
54407.45585;14.26;0.05;CRTS;CRTS(CL);CRTS
54407.46255;14.27;0.05;CRTS;CRTS(CL);CRTS
54407.4693;14.24;0.05;CRTS;CRTS(CL);CRTS
54407.47602;14.27;0.05;CRTS;CRTS(CL);CRTS
54420.33177;14.3;0.06;CRTS;CRTS(CL);CRTS
54420.33672;14.35;0.06;CRTS;CRTS(CL);CRTS
54420.34068;14.53;0.08;CRTS;CRTS(CL);CRTS
54422.34057;14.27;0.05;CRTS;CRTS(CL);CRTS
54422.35381;14.29;0.05;CRTS;CRTS(CL);CRTS
54422.36711;14.3;0.05;CRTS;CRTS(CL);CRTS
54422.38032;14.28;0.05;CRTS;CRTS(CL);CRTS
54440.21346;14.27;0.05;CRTS;CRTS(CL);CRTS
54440.22099;14.29;0.05;CRTS;CRTS(CL);CRTS
54440.2285;14.27;0.05;CRTS;CRTS(CL);CRTS
54440.236;14.28;0.05;CRTS;CRTS(CL);CRTS
54483.24064;14.29;0.05;CRTS;CRTS(CL);CRTS
54483.24717;14.27;0.05;CRTS;CRTS(CL);CRTS
54483.25366;14.29;0.05;CRTS;CRTS(CL);CRTS
54483.26019;14.28;0.05;CRTS;CRTS(CL);CRTS
54498.21375;14.25;0.05;CRTS;CRTS(CL);CRTS
54498.21922;14.27;0.05;CRTS;CRTS(CL);CRTS
54498.22467;14.26;0.05;CRTS;CRTS(CL);CRTS
54498.23017;14.27;0.05;CRTS;CRTS(CL);CRTS
54527.14247;14.28;0.05;CRTS;CRTS(CL);CRTS
54527.14896;14.3;0.05;CRTS;CRTS(CL);CRTS
54527.15547;14.28;0.05;CRTS;CRTS(CL);CRTS
54527.16198;14.28;0.05;CRTS;CRTS(CL);CRTS
54537.11383;14.32;0.05;CRTS;CRTS(CL);CRTS
54537.11825;14.31;0.05;CRTS;CRTS(CL);CRTS
54537.12264;14.28;0.05;CRTS;CRTS(CL);CRTS
54537.12706;14.29;0.05;CRTS;CRTS(CL);CRTS
54730.68979;14.41;0.07;CRTS;CRTS(CL);CRTS
54730.69742;14.36;0.07;CRTS;CRTS(CL);CRTS
54730.70502;14.3;0.07;CRTS;CRTS(CL);CRTS
54730.72837;14.35;0.07;CRTS;CRTS(CL);CRTS
54745.47951;14.29;0.05;CRTS;CRTS(CL);CRTS
54745.48618;14.28;0.05;CRTS;CRTS(CL);CRTS
54745.49282;14.28;0.05;CRTS;CRTS(CL);CRTS
54745.49949;14.27;0.05;CRTS;CRTS(CL);CRTS
54766.38281;14.29;0.05;CRTS;CRTS(CL);CRTS
54766.3912;14.28;0.05;CRTS;CRTS(CL);CRTS
54766.39968;14.27;0.05;CRTS;CRTS(CL);CRTS
54766.40807;14.29;0.05;CRTS;CRTS(CL);CRTS
54775.334;14.3;0.05;CRTS;CRTS(CL);CRTS
54775.33937;14.28;0.05;CRTS;CRTS(CL);CRTS
54775.34472;14.27;0.06;CRTS;CRTS(CL);CRTS
54775.37021;14.27;0.05;CRTS;CRTS(CL);CRTS
54790.34726;14.27;0.05;CRTS;CRTS(CL);CRTS
54790.35565;14.29;0.05;CRTS;CRTS(CL);CRTS
54790.36402;14.28;0.05;CRTS;CRTS(CL);CRTS
54790.37241;14.33;0.05;CRTS;CRTS(CL);CRTS
54802.33808;14.28;0.05;CRTS;CRTS(CL);CRTS
54802.34351;14.28;0.05;CRTS;CRTS(CL);CRTS
54802.34899;14.28;0.05;CRTS;CRTS(CL);CRTS
54802.35437;14.28;0.05;CRTS;CRTS(CL);CRTS
54848.54327;14.32;0.06;CRTS;CRTS(CL);CRTS
54848.55403;14.29;0.06;CRTS;CRTS(CL);CRTS
54848.56476;14.32;0.06;CRTS;CRTS(CL);CRTS
54848.57548;14.34;0.06;CRTS;CRTS(CL);CRTS
54866.14999;14.33;0.05;CRTS;CRTS(CL);CRTS
54866.15662;14.31;0.05;CRTS;CRTS(CL);CRTS
54866.16323;14.32;0.05;CRTS;CRTS(CL);CRTS
54866.16987;14.36;0.05;CRTS;CRTS(CL);CRTS
54882.16636;14.27;0.05;CRTS;CRTS(CL);CRTS
54882.17231;14.29;0.05;CRTS;CRTS(CL);CRTS
54882.17831;14.28;0.05;CRTS;CRTS(CL);CRTS
