MJD;Magnitude;Error;Facility;Filter;Observer
51647.17100000009;16.14;0.193;2MASS;2MASS(H);2MASS
51647.17100000009;16.732;0.144;2MASS;2MASS(J);2MASS
52612.4628982;18.485;0.398;LINEAR;LINEAR(CL);LINEAR
52612.4780813;18.33;0.315;LINEAR;LINEAR(CL);LINEAR
52612.4932228;18.504;0.359;LINEAR;LINEAR(CL);LINEAR
52612.5085482;18.649;0.405;LINEAR;LINEAR(CL);LINEAR
52612.5237362;18.445;0.335;LINEAR;LINEAR(CL);LINEAR
52696.346856;18.575;0.337;LINEAR;LINEAR(CL);LINEAR
52696.3472225;18.076;0.213;LINEAR;LINEAR(CL);LINEAR
52696.3611367;18.394;0.292;LINEAR;LINEAR(CL);LINEAR
52696.3615026;18.376;0.279;LINEAR;LINEAR(CL);LINEAR
52696.3747754;18.066;0.406;LINEAR;LINEAR(CL);LINEAR
52696.4018786;18.425;0.368;LINEAR;LINEAR(CL);LINEAR
52696.4023319;18.17;0.3;LINEAR;LINEAR(CL);LINEAR
52712.2673393;18.151;0.597;LINEAR;LINEAR(CL);LINEAR
52712.2805542;18.314;0.474;LINEAR;LINEAR(CL);LINEAR
52712.294008;18.587;0.581;LINEAR;LINEAR(CL);LINEAR
52712.2943672;18.573;0.561;LINEAR;LINEAR(CL);LINEAR
52712.3073795;18.239;0.457;LINEAR;LINEAR(CL);LINEAR
52712.3077403;18.422;0.503;LINEAR;LINEAR(CL);LINEAR
52723.3344454;18.782;0.582;LINEAR;LINEAR(CL);LINEAR
52752.2401714;18.838;0.51;LINEAR;LINEAR(CL);LINEAR
52752.2405236;18.87;0.502;LINEAR;LINEAR(CL);LINEAR
52752.25087;18.685;0.46;LINEAR;LINEAR(CL);LINEAR
52752.2512225;18.837;0.488;LINEAR;LINEAR(CL);LINEAR
52752.2618891;18.459;0.356;LINEAR;LINEAR(CL);LINEAR
52752.2622422;18.465;0.335;LINEAR;LINEAR(CL);LINEAR
52752.2725305;18.504;0.381;LINEAR;LINEAR(CL);LINEAR
52752.2832625;18.533;0.399;LINEAR;LINEAR(CL);LINEAR
52752.2836148;18.397;0.34;LINEAR;LINEAR(CL);LINEAR
52771.2229248;18.446;0.649;LINEAR;LINEAR(CL);LINEAR
52771.2345711;18.169;0.507;LINEAR;LINEAR(CL);LINEAR
52771.2462765;18.05;0.461;LINEAR;LINEAR(CL);LINEAR
