MJD;Magnitude;Error;Facility;Filter;Observer
53169.30292395;20.203611;0.02481569;SDSS;SDSS(r);SDSS
53169.30375321;19.663473;0.021802856;SDSS;SDSS(i);SDSS
53169.30458248;23.886875;0.82872945;SDSS;SDSS(u);SDSS
53169.30541174;19.22494;0.051811468;SDSS;SDSS(z);SDSS
53169.30624101;21.824818;0.06325689;SDSS;SDSS(g);SDSS
53170.24984578;20.27907;0.02610957;SDSS;SDSS(r);SDSS
53170.25026041;20.281548;0.0250684;SDSS;SDSS(r);SDSS
53170.25067504;19.709156;0.024626164;SDSS;SDSS(i);SDSS
53170.25108968;19.709188;0.024293412;SDSS;SDSS(i);SDSS
53170.2515043099;23.469776;0.5043422;SDSS;SDSS(u);SDSS
53170.25191894;23.491436;0.5042357;SDSS;SDSS(u);SDSS
53170.25233357;19.315792;0.04732277;SDSS;SDSS(z);SDSS
53170.25274821;19.308502;0.047609847;SDSS;SDSS(z);SDSS
53170.25316284;21.790825;0.056191813;SDSS;SDSS(g);SDSS
53170.25357747;21.783815;0.05533069;SDSS;SDSS(g);SDSS
53469.38803921;20.084274;0.027188519;SDSS;SDSS(r);SDSS
53469.38886848;19.475819;0.02734246;SDSS;SDSS(i);SDSS
53469.38969774;22.83277;0.5113715;SDSS;SDSS(u);SDSS
53469.39052701;19.049677;0.053534802;SDSS;SDSS(z);SDSS
53469.39135627;21.76656;0.07123461;SDSS;SDSS(g);SDSS
53469.41614;18.69;0.15;CRTS;CRTS(CL);CRTS
53469.42579;20.07;0.29;CRTS;CRTS(CL);CRTS
53469.43548;19.91;0.27;CRTS;CRTS(CL);CRTS
53469.44519;19.25;0.19;CRTS;CRTS(CL);CRTS
53497.33002;19.93;0.26;CRTS;CRTS(CL);CRTS
53497.33658;19.8;0.25;CRTS;CRTS(CL);CRTS
53497.34315;19.21;0.19;CRTS;CRTS(CL);CRTS
53497.34969;19.31;0.19;CRTS;CRTS(CL);CRTS
53502.40717866;20.188187;0.02535453;SDSS;SDSS(r);SDSS
53502.40800792;19.60908;0.02543192;SDSS;SDSS(i);SDSS
53502.4088371901;24.103073;0.7883015;SDSS;SDSS(u);SDSS
53502.40966645;19.142872;0.052049875;SDSS;SDSS(z);SDSS
53502.41049572;21.836609;0.061305776;SDSS;SDSS(g);SDSS
53507.31645;19.5;0.23;CRTS;CRTS(CL);CRTS
53525.33886;19.67;0.24;CRTS;CRTS(CL);CRTS
53525.34531;19.25;0.2;CRTS;CRTS(CL);CRTS
53525.35819;19.51;0.22;CRTS;CRTS(CL);CRTS
53551.30443;19.58;0.23;CRTS;CRTS(CL);CRTS
53551.31237;19.58;0.23;CRTS;CRTS(CL);CRTS
53556.23531;19.58;0.23;CRTS;CRTS(CL);CRTS
53556.24169;19.69;0.24;CRTS;CRTS(CL);CRTS
53556.24809;19.71;0.24;CRTS;CRTS(CL);CRTS
53556.25454;19.2;0.19;CRTS;CRTS(CL);CRTS
53561.15995;19.6;0.23;CRTS;CRTS(CL);CRTS
53561.16477;19.42;0.21;CRTS;CRTS(CL);CRTS
53561.17438;19.35;0.2;CRTS;CRTS(CL);CRTS
53819.45972;19.59;0.23;CRTS;CRTS(CL);CRTS
53819.47805;19.58;0.23;CRTS;CRTS(CL);CRTS
53827.44516;19.46;0.22;CRTS;CRTS(CL);CRTS
53827.45281;19.11;0.18;CRTS;CRTS(CL);CRTS
53827.46045;20.1;0.31;CRTS;CRTS(CL);CRTS
