MJD;Magnitude;Error;Facility;Filter;Observer
51097.29879999999;13.857;0.078;2MASS;2MASS(K);2MASS
51097.29879999999;14.23;0.118;2MASS;2MASS(H);2MASS
51097.29879999999;14.991;0.083;2MASS;2MASS(J);2MASS
53627.4289;15.58;0.06;CRTS;CRTS(CL);CRTS
53627.43676;15.58;0.06;CRTS;CRTS(CL);CRTS
53627.44466;15.61;0.06;CRTS;CRTS(CL);CRTS
53627.45251;15.57;0.06;CRTS;CRTS(CL);CRTS
53650.37944;15.63;0.06;CRTS;CRTS(CL);CRTS
53650.38648;15.62;0.06;CRTS;CRTS(CL);CRTS
53650.39372;15.64;0.06;CRTS;CRTS(CL);CRTS
53650.40075;15.62;0.06;CRTS;CRTS(CL);CRTS
53670.3456;15.6;0.06;CRTS;CRTS(CL);CRTS
53670.35044;15.61;0.06;CRTS;CRTS(CL);CRTS
53670.35535;15.61;0.06;CRTS;CRTS(CL);CRTS
53670.36033;15.59;0.06;CRTS;CRTS(CL);CRTS
53675.31365;15.64;0.06;CRTS;CRTS(CL);CRTS
53675.32235;15.64;0.06;CRTS;CRTS(CL);CRTS
53675.33107;15.61;0.06;CRTS;CRTS(CL);CRTS
53675.33981;15.63;0.06;CRTS;CRTS(CL);CRTS
53703.20055;15.62;0.06;CRTS;CRTS(CL);CRTS
53703.20695;15.67;0.06;CRTS;CRTS(CL);CRTS
53703.2134;15.65;0.06;CRTS;CRTS(CL);CRTS
53703.21985;15.57;0.06;CRTS;CRTS(CL);CRTS
53710.24486;15.6;0.06;CRTS;CRTS(CL);CRTS
53710.25289;15.6;0.06;CRTS;CRTS(CL);CRTS
53710.26093;15.59;0.06;CRTS;CRTS(CL);CRTS
53710.26896;15.64;0.06;CRTS;CRTS(CL);CRTS
53729.2234;15.63;0.06;CRTS;CRTS(CL);CRTS
53729.23137;15.58;0.06;CRTS;CRTS(CL);CRTS
53729.23935;15.6;0.06;CRTS;CRTS(CL);CRTS
53729.24736;15.61;0.06;CRTS;CRTS(CL);CRTS
53740.20234;15.6;0.06;CRTS;CRTS(CL);CRTS
53740.21037;15.63;0.06;CRTS;CRTS(CL);CRTS
53740.21842;15.61;0.06;CRTS;CRTS(CL);CRTS
53740.22645;15.61;0.06;CRTS;CRTS(CL);CRTS
53763.12723;15.62;0.06;CRTS;CRTS(CL);CRTS
53763.1353;15.61;0.06;CRTS;CRTS(CL);CRTS
53763.14336;15.62;0.06;CRTS;CRTS(CL);CRTS
53763.15139;15.61;0.06;CRTS;CRTS(CL);CRTS
53996.36966;15.57;0.06;CRTS;CRTS(CL);CRTS
53996.37717;15.59;0.06;CRTS;CRTS(CL);CRTS
53996.38474;15.58;0.06;CRTS;CRTS(CL);CRTS
53996.39226;15.61;0.06;CRTS;CRTS(CL);CRTS
54004.44943;15.57;0.06;CRTS;CRTS(CL);CRTS
54004.45587;15.57;0.06;CRTS;CRTS(CL);CRTS
54004.4623;15.6;0.06;CRTS;CRTS(CL);CRTS
54004.46873;15.58;0.06;CRTS;CRTS(CL);CRTS
54025.32321;15.6;0.06;CRTS;CRTS(CL);CRTS
54025.33124;15.62;0.06;CRTS;CRTS(CL);CRTS
54025.34367;15.59;0.06;CRTS;CRTS(CL);CRTS
54025.34811;15.57;0.06;CRTS;CRTS(CL);CRTS
54025.35255;15.55;0.06;CRTS;CRTS(CL);CRTS
54025.35701;15.62;0.06;CRTS;CRTS(CL);CRTS
