MJD;Magnitude;Error;Facility;Filter;Observer
51011.24129999988;15.476;0.165;2MASS;2MASS(K);2MASS
51011.24129999988;16.245;0.196;2MASS;2MASS(H);2MASS
51011.24129999988;16.997;0.163;2MASS;2MASS(J);2MASS
53530.42813;17.88;0.11;CRTS;CRTS(CL);CRTS
53530.43414;17.86;0.11;CRTS;CRTS(CL);CRTS
53530.44018;17.86;0.11;CRTS;CRTS(CL);CRTS
53530.4462;17.81;0.11;CRTS;CRTS(CL);CRTS
53550.41961;17.77;0.11;CRTS;CRTS(CL);CRTS
53550.42607;17.98;0.12;CRTS;CRTS(CL);CRTS
53550.43253;17.79;0.11;CRTS;CRTS(CL);CRTS
53550.43901;17.89;0.11;CRTS;CRTS(CL);CRTS
53561.30294;17.76;0.12;CRTS;CRTS(CL);CRTS
53561.30939;17.92;0.12;CRTS;CRTS(CL);CRTS
53561.31588;17.88;0.12;CRTS;CRTS(CL);CRTS
53561.32237;17.99;0.12;CRTS;CRTS(CL);CRTS
53597.59399;17.75;0.22;CRTS;CRTS(CL);CRTS
53597.61181;17.81;0.23;CRTS;CRTS(CL);CRTS
53597.62031;18.35;0.3;CRTS;CRTS(CL);CRTS
53604.64254;18.0;0.25;CRTS;CRTS(CL);CRTS
53604.65135;17.8;0.23;CRTS;CRTS(CL);CRTS
53604.6597;18.57;0.34;CRTS;CRTS(CL);CRTS
53604.66804;18.11;0.27;CRTS;CRTS(CL);CRTS
53609.66778;18.02;0.3;CRTS;CRTS(CL);CRTS
53609.67568;17.87;0.28;CRTS;CRTS(CL);CRTS
53609.68345;17.98;0.29;CRTS;CRTS(CL);CRTS
53609.69122;17.86;0.28;CRTS;CRTS(CL);CRTS
53618.22624;17.9;0.12;CRTS;CRTS(CL);CRTS
53618.23475;17.76;0.11;CRTS;CRTS(CL);CRTS
53618.25226;17.7;0.11;CRTS;CRTS(CL);CRTS
53618.26197;17.5;0.11;CRTS;CRTS(CL);CRTS
53626.15194;17.9;0.12;CRTS;CRTS(CL);CRTS
53626.15893;17.88;0.11;CRTS;CRTS(CL);CRTS
53626.16591;17.49;0.1;CRTS;CRTS(CL);CRTS
53626.17293;17.89;0.11;CRTS;CRTS(CL);CRTS
53636.17602;17.73;0.11;CRTS;CRTS(CL);CRTS
53636.18253;17.6;0.1;CRTS;CRTS(CL);CRTS
53636.18907;17.7;0.11;CRTS;CRTS(CL);CRTS
53636.19552;17.88;0.11;CRTS;CRTS(CL);CRTS
53664.52542;18.15;0.33;CRTS;CRTS(CL);CRTS
53664.53398;17.9;0.29;CRTS;CRTS(CL);CRTS
53664.54251;17.82;0.28;CRTS;CRTS(CL);CRTS
53664.55107;17.79;0.28;CRTS;CRTS(CL);CRTS
53686.10379;18.07;0.12;CRTS;CRTS(CL);CRTS
53686.11021;17.92;0.11;CRTS;CRTS(CL);CRTS
53686.11662;17.92;0.11;CRTS;CRTS(CL);CRTS
53686.12305;17.83;0.11;CRTS;CRTS(CL);CRTS
53708.44966;17.97;0.27;CRTS;CRTS(CL);CRTS
53708.45564;17.79;0.25;CRTS;CRTS(CL);CRTS
53708.46157;17.73;0.24;CRTS;CRTS(CL);CRTS
53708.46748;17.97;0.28;CRTS;CRTS(CL);CRTS
53854.75954;17.77;0.2;CRTS;CRTS(CL);CRTS
53854.76612;17.91;0.22;CRTS;CRTS(CL);CRTS
53854.77268;17.73;0.2;CRTS;CRTS(CL);CRTS
53854.77927;17.71;0.2;CRTS;CRTS(CL);CRTS
53880.68657;17.77;0.17;CRTS;CRTS(CL);CRTS
53880.6975;17.85;0.18;CRTS;CRTS(CL);CRTS
53880.70844;17.83;0.17;CRTS;CRTS(CL);CRTS
53880.71934;17.92;0.18;CRTS;CRTS(CL);CRTS
53892.43799;18.06;0.34;CRTS;CRTS(CL);CRTS
53892.43897;17.69;0.27;CRTS;CRTS(CL);CRTS
53892.43996;17.71;0.26;CRTS;CRTS(CL);CRTS
53892.44094;17.59;0.26;CRTS;CRTS(CL);CRTS
53904.43095;17.92;0.3;CRTS;CRTS(CL);CRTS
53904.43196;17.64;0.26;CRTS;CRTS(CL);CRTS
53904.43296;18.09;0.33;CRTS;CRTS(CL);CRTS
53925.36458;17.98;0.3;CRTS;CRTS(CL);CRTS
53925.36604;17.56;0.24;CRTS;CRTS(CL);CRTS
53925.36759;17.98;0.3;CRTS;CRTS(CL);CRTS
53925.36915;18.21;0.34;CRTS;CRTS(CL);CRTS
53975.48726;17.97;0.25;CRTS;CRTS(CL);CRTS
53975.49627;17.91;0.24;CRTS;CRTS(CL);CRTS
53975.50542;18.05;0.26;CRTS;CRTS(CL);CRTS
54008.15151;17.55;0.1;CRTS;CRTS(CL);CRTS
54008.15962;17.78;0.11;CRTS;CRTS(CL);CRTS
54008.16773;17.84;0.11;CRTS;CRTS(CL);CRTS
54008.17586;17.76;0.11;CRTS;CRTS(CL);CRTS
54029.1453;17.94;0.11;CRTS;CRTS(CL);CRTS
54029.15458;17.99;0.11;CRTS;CRTS(CL);CRTS
54029.1656;17.78;0.1;CRTS;CRTS(CL);CRTS
54029.17496;17.81;0.1;CRTS;CRTS(CL);CRTS
54070.0639;18.28;0.17;CRTS;CRTS(CL);CRTS
54070.06724;18.11;0.16;CRTS;CRTS(CL);CRTS
54070.07055;17.76;0.14;CRTS;CRTS(CL);CRTS
54070.07387;17.79;0.14;CRTS;CRTS(CL);CRTS
54208.776;17.69;0.34;CRTS;CRTS(CL);CRTS
54208.78279;17.82;0.22;CRTS;CRTS(CL);CRTS
54208.78958;18.23;0.36;CRTS;CRTS(CL);CRTS
54233.71048;17.67;0.23;CRTS;CRTS(CL);CRTS
54233.71944;17.99;0.27;CRTS;CRTS(CL);CRTS
54233.72828;17.88;0.26;CRTS;CRTS(CL);CRTS
54233.73719;17.73;0.24;CRTS;CRTS(CL);CRTS
54247.44243;17.78;0.12;CRTS;CRTS(CL);CRTS
54247.44991;17.82;0.12;CRTS;CRTS(CL);CRTS
54247.45736;17.7;0.11;CRTS;CRTS(CL);CRTS
54247.4649;17.86;0.12;CRTS;CRTS(CL);CRTS
54259.41815;17.86;0.11;CRTS;CRTS(CL);CRTS
54259.42468;17.63;0.1;CRTS;CRTS(CL);CRTS
54259.43121;17.74;0.11;CRTS;CRTS(CL);CRTS
54259.43773;17.92;0.11;CRTS;CRTS(CL);CRTS
54278.36257;17.97;0.12;CRTS;CRTS(CL);CRTS
54278.36923;17.92;0.12;CRTS;CRTS(CL);CRTS
54278.37588;17.8;0.11;CRTS;CRTS(CL);CRTS
54278.38251;17.97;0.12;CRTS;CRTS(CL);CRTS
54347.26824;17.82;0.1;CRTS;CRTS(CL);CRTS
54347.27674;17.79;0.1;CRTS;CRTS(CL);CRTS
54347.28523;17.96;0.1;CRTS;CRTS(CL);CRTS
54347.29373;17.95;0.1;CRTS;CRTS(CL);CRTS
54357.21446;17.97;0.11;CRTS;CRTS(CL);CRTS
54357.2193;17.96;0.11;CRTS;CRTS(CL);CRTS
54357.22412;17.95;0.11;CRTS;CRTS(CL);CRTS
54357.22894;17.7;0.1;CRTS;CRTS(CL);CRTS
54375.47327;17.93;0.25;CRTS;CRTS(CL);CRTS
54375.48258;18.04;0.26;CRTS;CRTS(CL);CRTS
54375.4919;18.05;0.26;CRTS;CRTS(CL);CRTS
54375.50121;17.89;0.24;CRTS;CRTS(CL);CRTS
54383.17389;17.85;0.11;CRTS;CRTS(CL);CRTS
54383.17834;18.04;0.12;CRTS;CRTS(CL);CRTS
54383.18277;17.94;0.13;CRTS;CRTS(CL);CRTS
54439.05567;17.81;0.12;CRTS;CRTS(CL);CRTS
54439.05985;17.73;0.12;CRTS;CRTS(CL);CRTS
54439.06402;17.77;0.12;CRTS;CRTS(CL);CRTS
54439.0682;17.87;0.13;CRTS;CRTS(CL);CRTS
54445.43698;18.14;0.24;CRTS;CRTS(CL);CRTS
54445.44219;17.93;0.22;CRTS;CRTS(CL);CRTS
54445.44735;17.88;0.21;CRTS;CRTS(CL);CRTS
54445.45259;17.97;0.22;CRTS;CRTS(CL);CRTS
54594.71421;17.86;0.2;CRTS;CRTS(CL);CRTS
54594.72281;17.94;0.2;CRTS;CRTS(CL);CRTS
54594.73146;17.96;0.21;CRTS;CRTS(CL);CRTS
54594.74014;17.96;0.2;CRTS;CRTS(CL);CRTS
54675.69188;17.9;0.21;CRTS;CRTS(CL);CRTS
54675.70125;17.94;0.22;CRTS;CRTS(CL);CRTS
54675.71059;17.79;0.2;CRTS;CRTS(CL);CRTS
54675.72;17.96;0.22;CRTS;CRTS(CL);CRTS
54701.44476;17.98;0.22;CRTS;CRTS(CL);CRTS
54701.45315;17.93;0.21;CRTS;CRTS(CL);CRTS
54701.46156;17.69;0.19;CRTS;CRTS(CL);CRTS
54701.46997;17.8;0.2;CRTS;CRTS(CL);CRTS
54715.2224;17.67;0.1;CRTS;CRTS(CL);CRTS
54715.22957;17.8;0.1;CRTS;CRTS(CL);CRTS
54715.23673;17.78;0.1;CRTS;CRTS(CL);CRTS
54715.24384;17.68;0.1;CRTS;CRTS(CL);CRTS
54738.13154;17.78;0.1;CRTS;CRTS(CL);CRTS
54738.13882;17.84;0.11;CRTS;CRTS(CL);CRTS
54738.14597;17.76;0.1;CRTS;CRTS(CL);CRTS
54738.15332;17.72;0.1;CRTS;CRTS(CL);CRTS
54756.47981;17.97;0.23;CRTS;CRTS(CL);CRTS
54756.49088;18.09;0.26;CRTS;CRTS(CL);CRTS
54756.50149;17.82;0.23;CRTS;CRTS(CL);CRTS
54950.73353;17.88;0.17;CRTS;CRTS(CL);CRTS
54950.74441;18.04;0.18;CRTS;CRTS(CL);CRTS
54950.75536;17.83;0.17;CRTS;CRTS(CL);CRTS
54950.76634;17.79;0.16;CRTS;CRTS(CL);CRTS
54963.74352;18.18;0.21;CRTS;CRTS(CL);CRTS
54963.75499;18.1;0.2;CRTS;CRTS(CL);CRTS
54963.76644;17.88;0.18;CRTS;CRTS(CL);CRTS
55010.6291;17.93;0.23;CRTS;CRTS(CL);CRTS
55010.63759;17.87;0.22;CRTS;CRTS(CL);CRTS
55010.64626;18.14;0.26;CRTS;CRTS(CL);CRTS
55010.65493;17.77;0.21;CRTS;CRTS(CL);CRTS
55012.4149672;17.791542053222656;0.034759536385536194;PTF;PTF(R);PTF
55012.4516672;17.850919723510742;0.03545713424682617;PTF;PTF(R);PTF
55025.4947072;17.8292179107666;0.07059843093156815;PTF;PTF(R);PTF
55026.2964672;17.81271743774414;0.056996677070856094;PTF;PTF(R);PTF
55035.4291972;17.852121353149414;0.13316252827644348;PTF;PTF(R);PTF
55035.4494372;17.90069580078125;0.13311108946800232;PTF;PTF(R);PTF
55039.33463;17.71;0.11;CRTS;CRTS(CL);CRTS
55039.34242;17.81;0.11;CRTS;CRTS(CL);CRTS
55039.35034;17.84;0.11;CRTS;CRTS(CL);CRTS
55039.3582;17.81;0.11;CRTS;CRTS(CL);CRTS
55041.2579572;17.844655990600586;0.0407242588698864;PTF;PTF(R);PTF
55041.3224072;17.860288619995117;0.03411244973540306;PTF;PTF(R);PTF
55072.22102;17.78;0.13;CRTS;CRTS(CL);CRTS
55072.22836;17.86;0.13;CRTS;CRTS(CL);CRTS
55072.2356;17.69;0.12;CRTS;CRTS(CL);CRTS
55072.24298;17.94;0.14;CRTS;CRTS(CL);CRTS
55125.48365;17.97;0.34;CRTS;CRTS(CL);CRTS
55125.49277;18.54;0.36;CRTS;CRTS(CL);CRTS
55125.50183;18.07;0.2;CRTS;CRTS(CL);CRTS
55324.7889;17.83;0.22;CRTS;CRTS(CL);CRTS
55324.79973;18.29;0.28;CRTS;CRTS(CL);CRTS
55324.8221;18.32;0.28;CRTS;CRTS(CL);CRTS
55327.4074072;14.714;0.289;ALLWISE;WISE(W2);ALLWISE
55327.4074072;14.881;0.096;ALLWISE;WISE(W1);ALLWISE
55327.5397113;14.76;0.257;ALLWISE;WISE(W2);ALLWISE
55327.5397113;14.851;0.087;ALLWISE;WISE(W1);ALLWISE
55327.6720154;14.941;0.344;ALLWISE;WISE(W2);ALLWISE
55327.6720154;15.167;0.13;ALLWISE;WISE(W1);ALLWISE
55327.8043196;14.809;0.085;ALLWISE;WISE(W1);ALLWISE
55327.8043196;14.277;0.172;ALLWISE;WISE(W2);ALLWISE
55327.8705353;14.895;0.297;ALLWISE;WISE(W2);ALLWISE
55327.8705353;15.105;0.118;ALLWISE;WISE(W1);ALLWISE
55327.9366238;15.225;0.121;ALLWISE;WISE(W1);ALLWISE
55328.0028395;15.056;0.393;ALLWISE;WISE(W2);ALLWISE
55328.0028395;14.989;0.107;ALLWISE;WISE(W1);ALLWISE
55328.0689279;14.944;0.307;ALLWISE;WISE(W2);ALLWISE
55328.0689279;15.209;0.134;ALLWISE;WISE(W1);ALLWISE
55328.1351437;15.101;0.375;ALLWISE;WISE(W2);ALLWISE
55328.1351437;14.928;0.091;ALLWISE;WISE(W1);ALLWISE
55328.2674477;14.744;0.299;ALLWISE;WISE(W2);ALLWISE
55328.2674477;14.981;0.1;ALLWISE;WISE(W1);ALLWISE
55328.3997519;15.226;0.441;ALLWISE;WISE(W2);ALLWISE
55328.3997519;15.202;0.117;ALLWISE;WISE(W1);ALLWISE
55328.532056;15.064;0.108;ALLWISE;WISE(W1);ALLWISE
55328.532056;15.424;0.535;ALLWISE;WISE(W2);ALLWISE
55353.43092;17.9;0.11;CRTS;CRTS(CL);CRTS
55353.43791;17.8;0.11;CRTS;CRTS(CL);CRTS
55353.44491;17.68;0.1;CRTS;CRTS(CL);CRTS
55353.45185;17.82;0.11;CRTS;CRTS(CL);CRTS
55454.19915;17.72;0.1;CRTS;CRTS(CL);CRTS
55454.21412;17.92;0.11;CRTS;CRTS(CL);CRTS
55454.22161;17.83;0.11;CRTS;CRTS(CL);CRTS
55480.1514;17.85;0.11;CRTS;CRTS(CL);CRTS
55480.16177;17.9;0.11;CRTS;CRTS(CL);CRTS
55480.1669;17.95;0.11;CRTS;CRTS(CL);CRTS
55501.10059;17.76;0.1;CRTS;CRTS(CL);CRTS
55501.11094;17.91;0.11;CRTS;CRTS(CL);CRTS
55501.11612;17.83;0.11;CRTS;CRTS(CL);CRTS
55506.6873816;15.16;0.117;ALLWISE;WISE(W1);ALLWISE
55506.6873816;15.434;0.463;ALLWISE;WISE(W2);ALLWISE
55506.8196857;14.765;0.254;ALLWISE;WISE(W2);ALLWISE
55506.8196857;15.135;0.171;ALLWISE;WISE(W1);ALLWISE
55506.9518624;14.728;0.258;ALLWISE;WISE(W2);ALLWISE
55506.9518624;15.134;0.122;ALLWISE;WISE(W1);ALLWISE
55506.9519898;15.356;0.479;ALLWISE;WISE(W2);ALLWISE
55506.9519898;15.398;0.144;ALLWISE;WISE(W1);ALLWISE
55507.0180782;14.238;0.164;ALLWISE;WISE(W2);ALLWISE
55507.0180782;15.158;0.117;ALLWISE;WISE(W1);ALLWISE
55507.0841665;14.939;0.318;ALLWISE;WISE(W2);ALLWISE
55507.0841665;14.941;0.097;ALLWISE;WISE(W1);ALLWISE
55507.1503823;14.872;0.301;ALLWISE;WISE(W2);ALLWISE
55507.1503823;15.115;0.115;ALLWISE;WISE(W1);ALLWISE
55507.2164706;15.172;0.396;ALLWISE;WISE(W2);ALLWISE
55507.2164706;15.21;0.124;ALLWISE;WISE(W1);ALLWISE
55507.282559;14.746;0.26;ALLWISE;WISE(W2);ALLWISE
55507.282559;15.087;0.115;ALLWISE;WISE(W1);ALLWISE
55507.4148631;14.678;0.248;ALLWISE;WISE(W2);ALLWISE
55507.4148631;15.427;0.15;ALLWISE;WISE(W1);ALLWISE
55507.5471671;14.632;0.241;ALLWISE;WISE(W2);ALLWISE
55507.5471671;15.218;0.127;ALLWISE;WISE(W1);ALLWISE
55507.6793439;15.374;0.147;ALLWISE;WISE(W1);ALLWISE
55507.6793439;15.097;0.354;ALLWISE;WISE(W2);ALLWISE
55517.06598;17.82;0.13;CRTS;CRTS(CL);CRTS
55517.0767;18.02;0.14;CRTS;CRTS(CL);CRTS
55517.0821;17.68;0.12;CRTS;CRTS(CL);CRTS
55663.78522;17.71;0.19;CRTS;CRTS(CL);CRTS
55663.8047;17.64;0.18;CRTS;CRTS(CL);CRTS
55707.45126;17.88;0.11;CRTS;CRTS(CL);CRTS
55707.45473;17.85;0.11;CRTS;CRTS(CL);CRTS
55707.45825;17.95;0.12;CRTS;CRTS(CL);CRTS
55707.46175;17.81;0.11;CRTS;CRTS(CL);CRTS
55734.41038;17.77;0.11;CRTS;CRTS(CL);CRTS
55734.41569;17.9;0.11;CRTS;CRTS(CL);CRTS
55734.42104;17.83;0.11;CRTS;CRTS(CL);CRTS
55734.42639;18.0;0.12;CRTS;CRTS(CL);CRTS
55745.40669;17.7;0.11;CRTS;CRTS(CL);CRTS
55745.41412;17.67;0.11;CRTS;CRTS(CL);CRTS
55745.42172;17.69;0.11;CRTS;CRTS(CL);CRTS
55745.42931;17.8;0.11;CRTS;CRTS(CL);CRTS
55797.57383;17.82;0.14;CRTS;CRTS(CL);CRTS
55797.58661;17.83;0.14;CRTS;CRTS(CL);CRTS
55797.59945;18.09;0.16;CRTS;CRTS(CL);CRTS
55797.61236;18.05;0.15;CRTS;CRTS(CL);CRTS
55820.444;18.02;0.19;CRTS;CRTS(CL);CRTS
55820.45374;17.97;0.18;CRTS;CRTS(CL);CRTS
55820.46341;17.99;0.19;CRTS;CRTS(CL);CRTS
55820.47309;17.97;0.18;CRTS;CRTS(CL);CRTS
55830.1683;17.6;0.1;CRTS;CRTS(CL);CRTS
55830.17615;17.76;0.1;CRTS;CRTS(CL);CRTS
55830.18411;17.69;0.1;CRTS;CRTS(CL);CRTS
55830.19211;17.83;0.1;CRTS;CRTS(CL);CRTS
55853.15074;18.01;0.11;CRTS;CRTS(CL);CRTS
55853.15634;17.83;0.1;CRTS;CRTS(CL);CRTS
55853.16192;17.83;0.1;CRTS;CRTS(CL);CRTS
55853.16754;17.64;0.1;CRTS;CRTS(CL);CRTS
55861.08132;17.88;0.11;CRTS;CRTS(CL);CRTS
55861.09099;17.67;0.1;CRTS;CRTS(CL);CRTS
55861.10073;17.77;0.11;CRTS;CRTS(CL);CRTS
55861.11044;17.75;0.13;CRTS;CRTS(CL);CRTS
55862.10827;17.87;0.11;CRTS;CRTS(CL);CRTS
55862.11516;17.93;0.11;CRTS;CRTS(CL);CRTS
55862.12195;17.69;0.1;CRTS;CRTS(CL);CRTS
55862.12884;17.89;0.11;CRTS;CRTS(CL);CRTS
55866.375966;18.3414;0.00742;PS1;PS1(z);PS1
55881.0803;17.82;0.11;CRTS;CRTS(CL);CRTS
55881.08589;17.82;0.11;CRTS;CRTS(CL);CRTS
55881.0916;17.88;0.11;CRTS;CRTS(CL);CRTS
55881.09721;17.94;0.11;CRTS;CRTS(CL);CRTS
55886.2622739;19.2481;0.006136;PS1;PS1(g);PS1
55921.0033967;18.6604;0.004642;PS1;PS1(r);PS1
56033.75695;18.02;0.14;CRTS;CRTS(CL);CRTS
56033.77309;17.67;0.12;CRTS;CRTS(CL);CRTS
56033.78917;18.03;0.14;CRTS;CRTS(CL);CRTS
56033.8053;17.55;0.12;CRTS;CRTS(CL);CRTS
56065.73196;17.98;0.19;CRTS;CRTS(CL);CRTS
56065.74353;17.79;0.18;CRTS;CRTS(CL);CRTS
56065.75711;17.86;0.16;CRTS;CRTS(CL);CRTS
56065.76929;17.94;0.2;CRTS;CRTS(CL);CRTS
56097.78595;17.96;0.15;CRTS;CRTS(CL);CRTS
56097.80894;17.67;0.14;CRTS;CRTS(CL);CRTS
56097.82045;17.92;0.15;CRTS;CRTS(CL);CRTS
56099.42677;17.82;0.11;CRTS;CRTS(CL);CRTS
56099.4313;17.85;0.11;CRTS;CRTS(CL);CRTS
56099.43585;17.69;0.1;CRTS;CRTS(CL);CRTS
56099.4404;17.83;0.11;CRTS;CRTS(CL);CRTS
56126.3625;17.79;0.1;CRTS;CRTS(CL);CRTS
56126.37129;17.66;0.09;CRTS;CRTS(CL);CRTS
56126.38016;17.84;0.1;CRTS;CRTS(CL);CRTS
56126.38905;17.76;0.1;CRTS;CRTS(CL);CRTS
56151.33882;17.85;0.11;CRTS;CRTS(CL);CRTS
56151.3454;17.94;0.12;CRTS;CRTS(CL);CRTS
56151.35201;17.94;0.12;CRTS;CRTS(CL);CRTS
56151.35863;17.63;0.1;CRTS;CRTS(CL);CRTS
56151.59429;17.91;0.14;CRTS;CRTS(CL);CRTS
56151.60717;17.83;0.13;CRTS;CRTS(CL);CRTS
56151.62007;17.98;0.14;CRTS;CRTS(CL);CRTS
56151.63301;17.74;0.13;CRTS;CRTS(CL);CRTS
56164.22252;17.68;0.1;CRTS;CRTS(CL);CRTS
56164.22757;17.97;0.12;CRTS;CRTS(CL);CRTS
56164.23271;17.94;0.11;CRTS;CRTS(CL);CRTS
56164.2378;17.69;0.1;CRTS;CRTS(CL);CRTS
56187.2486;17.79;0.1;CRTS;CRTS(CL);CRTS
56187.25493;17.69;0.09;CRTS;CRTS(CL);CRTS
56187.26128;17.84;0.1;CRTS;CRTS(CL);CRTS
56187.26775;17.66;0.09;CRTS;CRTS(CL);CRTS
56209.13791;17.75;0.11;CRTS;CRTS(CL);CRTS
56209.14303;17.9;0.11;CRTS;CRTS(CL);CRTS
56209.14806;17.87;0.11;CRTS;CRTS(CL);CRTS
56209.15318;17.86;0.11;CRTS;CRTS(CL);CRTS
56227.10997;17.63;0.11;CRTS;CRTS(CL);CRTS
56227.11491;17.82;0.12;CRTS;CRTS(CL);CRTS
56227.1196;17.83;0.12;CRTS;CRTS(CL);CRTS
56227.12417;17.7;0.11;CRTS;CRTS(CL);CRTS
56238.07359;17.79;0.1;CRTS;CRTS(CL);CRTS
56238.07969;17.73;0.09;CRTS;CRTS(CL);CRTS
56238.08576;17.85;0.1;CRTS;CRTS(CL);CRTS
56238.09189;17.75;0.09;CRTS;CRTS(CL);CRTS
56255.06734;17.86;0.1;CRTS;CRTS(CL);CRTS
56255.07347;17.9;0.1;CRTS;CRTS(CL);CRTS
56255.07956;17.68;0.09;CRTS;CRTS(CL);CRTS
56255.08567;17.73;0.09;CRTS;CRTS(CL);CRTS
56398.76773;17.75;0.15;CRTS;CRTS(CL);CRTS
56398.77566;17.71;0.15;CRTS;CRTS(CL);CRTS
56398.78364;17.84;0.16;CRTS;CRTS(CL);CRTS
56398.79157;17.83;0.16;CRTS;CRTS(CL);CRTS
56445.79582;17.8;0.13;CRTS;CRTS(CL);CRTS
56445.80506;17.88;0.14;CRTS;CRTS(CL);CRTS
56445.81432;17.6;0.12;CRTS;CRTS(CL);CRTS
56445.82359;17.93;0.14;CRTS;CRTS(CL);CRTS
56447.42948;17.78;0.11;CRTS;CRTS(CL);CRTS
56447.43516;17.91;0.12;CRTS;CRTS(CL);CRTS
56447.44082;17.73;0.11;CRTS;CRTS(CL);CRTS
56447.44654;17.87;0.11;CRTS;CRTS(CL);CRTS
56456.42132;17.7;0.11;CRTS;CRTS(CL);CRTS
56456.42811;17.7;0.11;CRTS;CRTS(CL);CRTS
56456.43498;17.74;0.11;CRTS;CRTS(CL);CRTS
56456.44186;17.78;0.11;CRTS;CRTS(CL);CRTS
56463.41366;17.83;0.11;CRTS;CRTS(CL);CRTS
56463.4193;17.87;0.11;CRTS;CRTS(CL);CRTS
56463.42496;17.87;0.11;CRTS;CRTS(CL);CRTS
56463.43065;17.79;0.11;CRTS;CRTS(CL);CRTS
56481.6214;17.75;0.13;CRTS;CRTS(CL);CRTS
56481.63465;17.89;0.14;CRTS;CRTS(CL);CRTS
56481.64755;17.8;0.13;CRTS;CRTS(CL);CRTS
56481.6605;17.78;0.13;CRTS;CRTS(CL);CRTS
56483.6417676;18.5175;0.002832;PS1;PS1(i);PS1
56547.23001;17.85;0.11;CRTS;CRTS(CL);CRTS
56547.23656;17.67;0.11;CRTS;CRTS(CL);CRTS
56547.24331;17.77;0.11;CRTS;CRTS(CL);CRTS
56547.2501;17.66;0.11;CRTS;CRTS(CL);CRTS
56559.16069;17.78;0.11;CRTS;CRTS(CL);CRTS
56559.16901;17.7;0.1;CRTS;CRTS(CL);CRTS
56559.17742;17.67;0.1;CRTS;CRTS(CL);CRTS
56559.18588;17.57;0.1;CRTS;CRTS(CL);CRTS
56564.17933;17.88;0.1;CRTS;CRTS(CL);CRTS
56564.18541;17.74;0.09;CRTS;CRTS(CL);CRTS
56564.19148;17.96;0.1;CRTS;CRTS(CL);CRTS
56564.19758;17.84;0.1;CRTS;CRTS(CL);CRTS
56591.11794;17.78;0.11;CRTS;CRTS(CL);CRTS
56591.12556;17.74;0.1;CRTS;CRTS(CL);CRTS
56591.13321;17.65;0.1;CRTS;CRTS(CL);CRTS
56591.14085;17.72;0.1;CRTS;CRTS(CL);CRTS
56789.61534917;14.921;0.11;NEOWISE;WISE(W1);NEOWISE
56789.61534917;14.422;0.226;NEOWISE;WISE(W2);NEOWISE
56789.74701649;14.59;0.309;NEOWISE;WISE(W2);NEOWISE
56789.74701649;14.994;0.115;NEOWISE;WISE(W1);NEOWISE
56789.87855655;15.022;0.1;NEOWISE;WISE(W1);NEOWISE
56789.87855655;14.389;0.259;NEOWISE;WISE(W2);NEOWISE
56790.01022392;14.854;0.318;NEOWISE;WISE(W2);NEOWISE
56790.01022392;15.036;0.095;NEOWISE;WISE(W1);NEOWISE
56790.07593023;15.05;0.11;NEOWISE;WISE(W1);NEOWISE
56790.07593023;14.951;0.334;NEOWISE;WISE(W2);NEOWISE
56790.07605759;14.909;0.098;NEOWISE;WISE(W1);NEOWISE
56790.14176394;14.925;0.093;NEOWISE;WISE(W1);NEOWISE
56790.2075976;14.878;0.097;NEOWISE;WISE(W1);NEOWISE
56790.27343126;15.157;0.108;NEOWISE;WISE(W1);NEOWISE
56790.27343126;15.013;0.398;NEOWISE;WISE(W2);NEOWISE
56790.33926498;14.789;0.354;NEOWISE;WISE(W2);NEOWISE
56790.33926498;15.23;0.132;NEOWISE;WISE(W1);NEOWISE
56790.47080494;14.94;0.093;NEOWISE;WISE(W1);NEOWISE
56790.60247231;14.537;0.274;NEOWISE;WISE(W2);NEOWISE
56790.60247231;14.867;0.096;NEOWISE;WISE(W1);NEOWISE
56971.32937101;15.525;0.198;NEOWISE;WISE(W1);NEOWISE
56971.32937101;14.716;0.322;NEOWISE;WISE(W2);NEOWISE
56971.46091118;14.838;0.16;NEOWISE;WISE(W1);NEOWISE
56971.46091118;15.262;0.467;NEOWISE;WISE(W2);NEOWISE
56971.59245132;14.836;0.333;NEOWISE;WISE(W2);NEOWISE
56971.59245132;14.881;0.094;NEOWISE;WISE(W1);NEOWISE
56971.65815774;15.104;0.112;NEOWISE;WISE(W1);NEOWISE
56971.65815774;14.511;0.274;NEOWISE;WISE(W2);NEOWISE
56971.72386418;14.341;0.227;NEOWISE;WISE(W2);NEOWISE
