MJD;Magnitude;Error;Facility;Filter;Observer
55258.1181126;14.217;0.136;ALLWISE;WISE(W2);ALLWISE
55258.1181126;14.131;0.061;ALLWISE;WISE(W1);ALLWISE
55258.1181126;14.155;0.062;ALLWISE;WISE(W1);ALLWISE
55258.1181126;14.23;0.137;ALLWISE;WISE(W2);ALLWISE
55258.2504166;14.039;0.055;ALLWISE;WISE(W1);ALLWISE
55258.2504166;14.03;0.055;ALLWISE;WISE(W1);ALLWISE
55258.2504166;13.738;0.096;ALLWISE;WISE(W2);ALLWISE
55258.3827206;13.897;0.049;ALLWISE;WISE(W1);ALLWISE
55258.3827206;13.987;0.125;ALLWISE;WISE(W2);ALLWISE
55258.3827206;13.984;0.125;ALLWISE;WISE(W2);ALLWISE
55258.3827206;13.899;0.049;ALLWISE;WISE(W1);ALLWISE
55258.5150247;14.342;0.202;ALLWISE;WISE(W2);ALLWISE
55258.5150247;14.0;0.052;ALLWISE;WISE(W1);ALLWISE
55258.5150247;13.996;0.052;ALLWISE;WISE(W1);ALLWISE
55258.5150247;14.325;0.199;ALLWISE;WISE(W2);ALLWISE
55258.5812404;14.057;0.057;ALLWISE;WISE(W1);ALLWISE
55258.5812404;13.831;0.107;ALLWISE;WISE(W2);ALLWISE
55258.5812404;13.833;0.107;ALLWISE;WISE(W2);ALLWISE
55258.5812404;14.067;0.057;ALLWISE;WISE(W1);ALLWISE
55258.6473287;13.679;0.09;ALLWISE;WISE(W2);ALLWISE
55258.6473287;13.666;0.089;ALLWISE;WISE(W2);ALLWISE
55258.6473287;14.029;0.061;ALLWISE;WISE(W1);ALLWISE
55258.6473287;14.032;0.061;ALLWISE;WISE(W1);ALLWISE
55258.7135444;14.122;0.062;ALLWISE;WISE(W1);ALLWISE
55258.7135444;14.11;0.155;ALLWISE;WISE(W2);ALLWISE
55258.7135444;14.135;0.063;ALLWISE;WISE(W1);ALLWISE
55258.7135444;14.115;0.156;ALLWISE;WISE(W2);ALLWISE
55258.7796328;13.922;0.114;ALLWISE;WISE(W2);ALLWISE
55258.7796328;13.983;0.053;ALLWISE;WISE(W1);ALLWISE
55258.7796328;13.93;0.114;ALLWISE;WISE(W2);ALLWISE
55258.7796328;13.977;0.053;ALLWISE;WISE(W1);ALLWISE
55258.7797601;14.013;0.12;ALLWISE;WISE(W2);ALLWISE
55258.7797601;14.029;0.122;ALLWISE;WISE(W2);ALLWISE
55258.7797601;14.01;0.055;ALLWISE;WISE(W1);ALLWISE
55258.7797601;14.028;0.056;ALLWISE;WISE(W1);ALLWISE
55258.8458485;13.904;0.112;ALLWISE;WISE(W2);ALLWISE
55258.8458485;14.094;0.059;ALLWISE;WISE(W1);ALLWISE
55258.8458485;14.082;0.058;ALLWISE;WISE(W1);ALLWISE
55258.8458485;13.871;0.109;ALLWISE;WISE(W2);ALLWISE
55258.9120643;13.778;0.104;ALLWISE;WISE(W2);ALLWISE
55258.9120643;13.927;0.049;ALLWISE;WISE(W1);ALLWISE
55258.9120643;13.938;0.05;ALLWISE;WISE(W1);ALLWISE
55258.9120643;13.786;0.105;ALLWISE;WISE(W2);ALLWISE
55258.9781526;14.019;0.055;ALLWISE;WISE(W1);ALLWISE
55258.9781526;14.153;0.157;ALLWISE;WISE(W2);ALLWISE
55258.9781526;14.143;0.145;ALLWISE;WISE(W2);ALLWISE
55258.9781526;13.946;0.052;ALLWISE;WISE(W1);ALLWISE
55259.0443684;14.04;0.054;ALLWISE;WISE(W1);ALLWISE
55259.0443684;13.885;0.118;ALLWISE;WISE(W2);ALLWISE
55259.0443684;13.892;0.119;ALLWISE;WISE(W2);ALLWISE
55259.0443684;14.02;0.053;ALLWISE;WISE(W1);ALLWISE
55259.2428881;14.012;0.127;ALLWISE;WISE(W2);ALLWISE
55259.2428881;13.992;0.05;ALLWISE;WISE(W1);ALLWISE
55259.2428881;13.998;0.125;ALLWISE;WISE(W2);ALLWISE
55259.2428881;13.985;0.049;ALLWISE;WISE(W1);ALLWISE
55259.3089765;14.085;0.138;ALLWISE;WISE(W2);ALLWISE
55259.3089765;14.073;0.138;ALLWISE;WISE(W2);ALLWISE
55259.3089765;13.994;0.051;ALLWISE;WISE(W1);ALLWISE
55259.3089765;13.986;0.05;ALLWISE;WISE(W1);ALLWISE
55259.3751921;13.856;0.119;ALLWISE;WISE(W2);ALLWISE
55259.3751921;13.98;0.052;ALLWISE;WISE(W1);ALLWISE
55259.3751921;13.965;0.052;ALLWISE;WISE(W1);ALLWISE
55259.3751921;13.859;0.119;ALLWISE;WISE(W2);ALLWISE
55259.4412805;13.911;0.121;ALLWISE;WISE(W2);ALLWISE
55259.4412805;13.997;0.049;ALLWISE;WISE(W1);ALLWISE
55259.4412805;14.002;0.049;ALLWISE;WISE(W1);ALLWISE
55259.4412805;13.906;0.121;ALLWISE;WISE(W2);ALLWISE
