MJD;Magnitude;Error;Facility;Filter;Observer
51236.487999999896;15.079;0.128;2MASS;2MASS(K);2MASS
51236.487999999896;15.46;0.143;2MASS;2MASS(H);2MASS
51236.487999999896;16.0;0.089;2MASS;2MASS(J);2MASS
52636.451885;17.395;0.167;LINEAR;LINEAR(CL);LINEAR
52636.4671282;17.538;0.177;LINEAR;LINEAR(CL);LINEAR
52636.4817584;17.366;0.149;LINEAR;LINEAR(CL);LINEAR
52636.4967775;17.162;0.12;LINEAR;LINEAR(CL);LINEAR
52636.5116719;17.736;0.203;LINEAR;LINEAR(CL);LINEAR
52653.457343;17.46;0.134;LINEAR;LINEAR(CL);LINEAR
52653.4720787;17.359;0.122;LINEAR;LINEAR(CL);LINEAR
52653.4874816;17.345;0.117;LINEAR;LINEAR(CL);LINEAR
52653.5028691;17.339;0.127;LINEAR;LINEAR(CL);LINEAR
52653.518322;17.474;0.129;LINEAR;LINEAR(CL);LINEAR
52684.429464;17.806;0.267;LINEAR;LINEAR(CL);LINEAR
52684.4446444;17.6;0.216;LINEAR;LINEAR(CL);LINEAR
52693.3871623;17.485;0.16;LINEAR;LINEAR(CL);LINEAR
52693.4011805;17.466;0.158;LINEAR;LINEAR(CL);LINEAR
52693.4149852;17.531;0.167;LINEAR;LINEAR(CL);LINEAR
52693.4287273;17.674;0.19;LINEAR;LINEAR(CL);LINEAR
52693.4423922;17.566;0.177;LINEAR;LINEAR(CL);LINEAR
52708.42933149;18.36938;0.016973129;SDSS;SDSS(r);SDSS
52708.42933149;18.36938;0.016947424;SDSS;SDSS(r);SDSS
52708.42933149;18.369719;0.0169705;SDSS;SDSS(r);SDSS
52708.43016075;17.983503;0.018135332;SDSS;SDSS(i);SDSS
52708.43016075;17.983578;0.018138316;SDSS;SDSS(i);SDSS
52708.43016075;17.983591;0.018149706;SDSS;SDSS(i);SDSS
52708.43099002;20.858795;0.067889854;SDSS;SDSS(u);SDSS
52708.43099002;20.852768;0.06787051;SDSS;SDSS(u);SDSS
