MJD;Magnitude;Error;Facility;Filter;Observer
52665.4629948;18.178;0.292;LINEAR;LINEAR(CL);LINEAR
52665.4772891;19.009;0.607;LINEAR;LINEAR(CL);LINEAR
52665.4915879;18.787;0.464;LINEAR;LINEAR(CL);LINEAR
52665.5059971;18.367;0.305;LINEAR;LINEAR(CL);LINEAR
52665.5203173;18.474;0.322;LINEAR;LINEAR(CL);LINEAR
52677.4591646;18.74;0.5;LINEAR;LINEAR(CL);LINEAR
52677.4734354;18.746;0.483;LINEAR;LINEAR(CL);LINEAR
52677.5020431;18.791;0.477;LINEAR;LINEAR(CL);LINEAR
52677.5163299;18.889;0.514;LINEAR;LINEAR(CL);LINEAR
52706.4435718;18.375;0.292;LINEAR;LINEAR(CL);LINEAR
52724.416073;18.675;0.364;LINEAR;LINEAR(CL);LINEAR
52724.4278409;18.839;0.431;LINEAR;LINEAR(CL);LINEAR
52724.4393736;18.958;0.507;LINEAR;LINEAR(CL);LINEAR
52724.4509556;18.444;0.316;LINEAR;LINEAR(CL);LINEAR
52724.4625081;18.74;0.438;LINEAR;LINEAR(CL);LINEAR
52753.3224714;18.89;0.5;LINEAR;LINEAR(CL);LINEAR
52753.3344869;19.036;0.54;LINEAR;LINEAR(CL);LINEAR
52753.3465123;18.344;0.281;LINEAR;LINEAR(CL);LINEAR
52753.35855;18.885;0.47;LINEAR;LINEAR(CL);LINEAR
52753.3706264;18.701;0.39;LINEAR;LINEAR(CL);LINEAR
52787.2696531;18.647;0.353;LINEAR;LINEAR(CL);LINEAR
52787.2803821;19.11;0.546;LINEAR;LINEAR(CL);LINEAR
52787.2909921;18.458;0.315;LINEAR;LINEAR(CL);LINEAR
52787.3016259;18.798;0.438;LINEAR;LINEAR(CL);LINEAR
52787.3123644;18.963;0.512;LINEAR;LINEAR(CL);LINEAR
52797.2769219;18.663;0.535;LINEAR;LINEAR(CL);LINEAR
52797.3070592;18.579;0.442;LINEAR;LINEAR(CL);LINEAR
52811.226327;18.542;0.405;LINEAR;LINEAR(CL);LINEAR
52811.2361818;18.756;0.474;LINEAR;LINEAR(CL);LINEAR
52811.2459645;18.651;0.437;LINEAR;LINEAR(CL);LINEAR
52811.2557534;18.626;0.418;LINEAR;LINEAR(CL);LINEAR
52811.2655173;18.575;0.4;LINEAR;LINEAR(CL);LINEAR
52815.21827477;19.479763;0.021914538;SDSS;SDSS(r);SDSS
52815.21827477;19.477516;0.021943992;SDSS;SDSS(r);SDSS
52815.21827477;19.477386;0.021914845;SDSS;SDSS(r);SDSS
52815.21910404;19.144028;0.018512279;SDSS;SDSS(i);SDSS
52815.21910404;19.14132;0.018508034;SDSS;SDSS(i);SDSS
52815.21910404;19.141338;0.018554676;SDSS;SDSS(i);SDSS
52815.2199333;21.625414;0.11224294;SDSS;SDSS(u);SDSS
52815.2199333;21.605242;0.111029714;SDSS;SDSS(u);SDSS
52815.2199333;21.60523;0.11162513;SDSS;SDSS(u);SDSS
52815.22076257;18.96854;0.033217415;SDSS;SDSS(z);SDSS
52815.22076257;18.968538;0.03315895;SDSS;SDSS(z);SDSS
52815.22076257;18.97731;0.03322265;SDSS;SDSS(z);SDSS
52815.22159183;20.147402;0.023449989;SDSS;SDSS(g);SDSS
52815.22159183;20.146706;0.023421306;SDSS;SDSS(g);SDSS
52815.22159183;20.149937;0.02341508;SDSS;SDSS(g);SDSS
52826.2214125;18.447;0.398;LINEAR;LINEAR(CL);LINEAR
52826.2313153;18.424;0.377;LINEAR;LINEAR(CL);LINEAR
52826.2412239;18.581;0.438;LINEAR;LINEAR(CL);LINEAR
52826.2511875;18.657;0.472;LINEAR;LINEAR(CL);LINEAR
