MJD;Magnitude;Error;Facility;Filter;Observer
50904.361699999776;15.563;0.17;2MASS;2MASS(K);2MASS
50904.361699999776;15.82;0.139;2MASS;2MASS(H);2MASS
50904.361699999776;16.481;0.124;2MASS;2MASS(J);2MASS
52652.4876646;17.859;0.21;LINEAR;LINEAR(CL);LINEAR
52652.5028127;17.686;0.167;LINEAR;LINEAR(CL);LINEAR
52652.518031;17.724;0.165;LINEAR;LINEAR(CL);LINEAR
52681.4231662;17.949;0.208;LINEAR;LINEAR(CL);LINEAR
52681.4532762;17.797;0.167;LINEAR;LINEAR(CL);LINEAR
52681.4680228;17.802;0.175;LINEAR;LINEAR(CL);LINEAR
52681.4827385;17.848;0.205;LINEAR;LINEAR(CL);LINEAR
52722.29646137;18.866009;0.016101552;SDSS;SDSS(r);SDSS
52722.29646137;18.86551;0.016087687;SDSS;SDSS(r);SDSS
52722.29729063;18.511246;0.01629627;SDSS;SDSS(i);SDSS
52722.29729063;18.512383;0.016291408;SDSS;SDSS(i);SDSS
52722.2981199;20.494358;0.056769792;SDSS;SDSS(u);SDSS
52722.2981199;20.516785;0.057416193;SDSS;SDSS(u);SDSS
52722.29894916;18.192055;0.027324872;SDSS;SDSS(z);SDSS
52722.29894916;18.18785;0.027339388;SDSS;SDSS(z);SDSS
52722.29977843;19.406137;0.017173612;SDSS;SDSS(g);SDSS
52722.29977843;19.406355;0.017156366;SDSS;SDSS(g);SDSS
52723.3635098;18.146;0.546;LINEAR;LINEAR(CL);LINEAR
52723.4136069;18.119;0.238;LINEAR;LINEAR(CL);LINEAR
52724.4000275;19.059637;0.01559056;SDSS;SDSS(r);SDSS
52724.4000275;19.059942;0.01560139;SDSS;SDSS(r);SDSS
52724.40085676;18.608686;0.016356071;SDSS;SDSS(i);SDSS
52724.40085676;18.60704;0.016356641;SDSS;SDSS(i);SDSS
52724.40168603;20.736538;0.06880347;SDSS;SDSS(u);SDSS
52724.40168603;20.751678;0.082151376;SDSS;SDSS(u);SDSS
52724.4025152901;18.410631;0.02687298;SDSS;SDSS(z);SDSS
52724.4025152901;18.397741;0.02672774;SDSS;SDSS(z);SDSS
52724.40334456;19.495285;0.016550524;SDSS;SDSS(g);SDSS
52724.40334456;19.497591;0.016546413;SDSS;SDSS(g);SDSS
52752.3004167;17.892;0.219;LINEAR;LINEAR(CL);LINEAR
52752.3108463;18.493;0.441;LINEAR;LINEAR(CL);LINEAR
52752.3111984;17.839;0.21;LINEAR;LINEAR(CL);LINEAR
52752.3218339;18.155;0.276;LINEAR;LINEAR(CL);LINEAR
52752.3325867;18.173;0.279;LINEAR;LINEAR(CL);LINEAR
52752.3432682;18.142;0.269;LINEAR;LINEAR(CL);LINEAR
52772.3666169;17.489;0.279;LINEAR;LINEAR(CL);LINEAR
52772.3781543;17.547;0.251;LINEAR;LINEAR(CL);LINEAR
52797.3457233;18.986897;0.015985701;SDSS;SDSS(r);SDSS
52797.3457233;18.988438;0.0160043;SDSS;SDSS(r);SDSS
52797.34655257;18.55304;0.016682817;SDSS;SDSS(i);SDSS
52797.34655257;18.547789;0.016662039;SDSS;SDSS(i);SDSS
52797.34738183;20.685896;0.087390624;SDSS;SDSS(u);SDSS
52797.34738183;20.684113;0.07263485;SDSS;SDSS(u);SDSS
52797.3482111;18.47829;0.035164934;SDSS;SDSS(z);SDSS
52797.3482111;18.478771;0.035083584;SDSS;SDSS(z);SDSS
52797.34904036;19.45878;0.029487835;SDSS;SDSS(g);SDSS
52797.34904036;19.459522;0.029504301;SDSS;SDSS(g);SDSS
52800.2555067;17.676;0.414;LINEAR;LINEAR(CL);LINEAR
52810.2257489;17.802;0.251;LINEAR;LINEAR(CL);LINEAR
52810.2357795;17.891;0.261;LINEAR;LINEAR(CL);LINEAR
52810.2456876;17.569;0.172;LINEAR;LINEAR(CL);LINEAR
52811.2578951099;18.879414;0.015864955;SDSS;SDSS(r);SDSS
52811.2578951099;18.877117;0.015846247;SDSS;SDSS(r);SDSS
52811.25872437;18.519846;0.023484025;SDSS;SDSS(i);SDSS
52811.25872437;18.520288;0.023478655;SDSS;SDSS(i);SDSS
52811.25955364;20.633188;0.06366898;SDSS;SDSS(u);SDSS
52811.25955364;20.621058;0.06339664;SDSS;SDSS(u);SDSS
52811.2603829;18.366806;0.03017495;SDSS;SDSS(z);SDSS
52811.2603829;18.382807;0.030310987;SDSS;SDSS(z);SDSS
52811.26121217;19.420723;0.020570703;SDSS;SDSS(g);SDSS
52811.26121217;19.42037;0.02058073;SDSS;SDSS(g);SDSS
