MJD;Magnitude;Error;Facility;Filter;Observer
51866.18921518;19.771864;0.024070323;SDSS;SDSS(r);SDSS
51866.18921518;19.771914;0.024735438;SDSS;SDSS(r);SDSS
51866.19004444;19.191324;0.024333265;SDSS;SDSS(i);SDSS
51866.19004444;18.921162;0.021895997;SDSS;SDSS(i);SDSS
51866.19087371;23.075766;0.5120972;SDSS;SDSS(u);SDSS
51866.19087371;22.805046;0.41001672;SDSS;SDSS(u);SDSS
51866.19170297;18.945917;0.056962606;SDSS;SDSS(z);SDSS
51866.19170297;18.270317;0.033401836;SDSS;SDSS(z);SDSS
51866.19253224;21.341602;0.057184275;SDSS;SDSS(g);SDSS
51866.19253224;21.341536;0.055973347;SDSS;SDSS(g);SDSS
51868.2845481901;19.87716;0.030266844;SDSS;SDSS(r);SDSS
51868.2845481901;19.877218;0.03042006;SDSS;SDSS(r);SDSS
51868.28537746;19.03781;0.02164092;SDSS;SDSS(i);SDSS
51868.28537746;19.422945;0.024395552;SDSS;SDSS(i);SDSS
51868.28620672;23.601984;0.7412118;SDSS;SDSS(u);SDSS
51868.28620672;23.534111;0.70770335;SDSS;SDSS(u);SDSS
51868.28703599;18.951387;0.047885362;SDSS;SDSS(z);SDSS
51868.28703599;18.409662;0.03346431;SDSS;SDSS(z);SDSS
51868.28786525;21.361559;0.0600756;SDSS;SDSS(g);SDSS
51868.28786525;21.362324;0.060719807;SDSS;SDSS(g);SDSS
51874.31168314;19.84299;0.026761463;SDSS;SDSS(r);SDSS
51874.31168314;19.842978;0.02696398;SDSS;SDSS(r);SDSS
51874.3125124;19.344116;0.033778;SDSS;SDSS(i);SDSS
51874.3125124;18.999416;0.027419908;SDSS;SDSS(i);SDSS
51874.31334167;22.705076;0.50482947;SDSS;SDSS(u);SDSS
51874.31334167;22.768625;0.5329617;SDSS;SDSS(u);SDSS
51874.31417093;18.786753;0.05601311;SDSS;SDSS(z);SDSS
51874.31417093;18.2948;0.04034505;SDSS;SDSS(z);SDSS
51874.3150002;21.340475;0.06487671;SDSS;SDSS(g);SDSS
51874.3150002;21.340479;0.06558852;SDSS;SDSS(g);SDSS
51875.14280724;19.811436;0.03062953;SDSS;SDSS(r);SDSS
51875.14280724;19.81164;0.030903941;SDSS;SDSS(r);SDSS
51875.14363651;18.876932;0.029146586;SDSS;SDSS(i);SDSS
51875.14363651;19.17563;0.032179553;SDSS;SDSS(i);SDSS
51875.14446577;23.01449;0.9818724;SDSS;SDSS(u);SDSS
51875.14446577;22.779419;0.40724525;SDSS;SDSS(u);SDSS
51875.14529504;18.3149;0.041403294;SDSS;SDSS(z);SDSS
51875.14529504;18.949213;0.06611228;SDSS;SDSS(z);SDSS
51875.1461243;21.2786;0.05232615;SDSS;SDSS(g);SDSS
51875.1461243;21.280766;0.0529591;SDSS;SDSS(g);SDSS
51935.139089;19.919537;0.02427047;SDSS;SDSS(r);SDSS
51935.139089;19.919529;0.024040176;SDSS;SDSS(r);SDSS
51935.13991827;19.341637;0.021486742;SDSS;SDSS(i);SDSS
51935.13991827;19.017307;0.021258261;SDSS;SDSS(i);SDSS
51935.14074753;22.531906;0.35506758;SDSS;SDSS(u);SDSS
51935.14074753;22.429617;0.32531253;SDSS;SDSS(u);SDSS
51935.1415768;18.855095;0.052215517;SDSS;SDSS(z);SDSS
51935.1415768;18.360535;0.03578503;SDSS;SDSS(z);SDSS
51935.14240606;21.287638;0.05936013;SDSS;SDSS(g);SDSS
51935.14240606;21.287579;0.058789764;SDSS;SDSS(g);SDSS
53626.33161;18.94;0.18;CRTS;CRTS(CL);CRTS
53626.33975;19.48;0.23;CRTS;CRTS(CL);CRTS
53626.33975;19.34;0.22;CRTS;CRTS(CL);CRTS
53626.34791;19.44;0.23;CRTS;CRTS(CL);CRTS
53626.35602;19.03;0.19;CRTS;CRTS(CL);CRTS
53626.35602;19.23;0.2;CRTS;CRTS(CL);CRTS
53651.3457;19.35;0.22;CRTS;CRTS(CL);CRTS
53651.3457;18.94;0.18;CRTS;CRTS(CL);CRTS
53651.35212;19.49;0.24;CRTS;CRTS(CL);CRTS
53651.35212;18.92;0.18;CRTS;CRTS(CL);CRTS
53651.35852;19.04;0.19;CRTS;CRTS(CL);CRTS
53651.35852;19.56;0.24;CRTS;CRTS(CL);CRTS
53651.36494;19.03;0.19;CRTS;CRTS(CL);CRTS
53651.36494;19.55;0.24;CRTS;CRTS(CL);CRTS
53667.31231;19.2;0.19;CRTS;CRTS(CL);CRTS
53667.31231;18.99;0.17;CRTS;CRTS(CL);CRTS
53667.32085;18.58;0.14;CRTS;CRTS(CL);CRTS
53667.32085;19.4;0.21;CRTS;CRTS(CL);CRTS
53667.32953;19.18;0.19;CRTS;CRTS(CL);CRTS
53667.32953;19.12;0.18;CRTS;CRTS(CL);CRTS
53667.3384;18.18;0.12;CRTS;CRTS(CL);CRTS
53677.28595;19.03;0.18;CRTS;CRTS(CL);CRTS
53677.28595;19.06;0.18;CRTS;CRTS(CL);CRTS
53677.29235;18.55;0.14;CRTS;CRTS(CL);CRTS
53677.29877;18.93;0.17;CRTS;CRTS(CL);CRTS
53677.29877;19.35;0.21;CRTS;CRTS(CL);CRTS
53677.30517;18.75;0.16;CRTS;CRTS(CL);CRTS
53677.30517;19.36;0.21;CRTS;CRTS(CL);CRTS
53704.27195;19.01;0.18;CRTS;CRTS(CL);CRTS
53704.28052;19.17;0.19;CRTS;CRTS(CL);CRTS
53704.28052;18.9;0.17;CRTS;CRTS(CL);CRTS
53704.2891;19.05;0.18;CRTS;CRTS(CL);CRTS
53704.2891;19.22;0.2;CRTS;CRTS(CL);CRTS
53704.29768;19.21;0.2;CRTS;CRTS(CL);CRTS
53704.29768;18.86;0.17;CRTS;CRTS(CL);CRTS
53710.15901;19.03;0.17;CRTS;CRTS(CL);CRTS
53710.15901;19.19;0.19;CRTS;CRTS(CL);CRTS
53710.1649;19.56;0.22;CRTS;CRTS(CL);CRTS
53710.1649;19.47;0.21;CRTS;CRTS(CL);CRTS
53710.17081;18.71;0.15;CRTS;CRTS(CL);CRTS
53710.1767;19.96;0.28;CRTS;CRTS(CL);CRTS
53710.1767;19.41;0.21;CRTS;CRTS(CL);CRTS
53710.25650977;19.953106;0.024682391;SDSS;SDSS(r);SDSS
53710.25650977;19.95241;0.024432788;SDSS;SDSS(r);SDSS
53710.25733903;19.357779;0.027873376;SDSS;SDSS(i);SDSS
53710.25733903;18.995167;0.027663497;SDSS;SDSS(i);SDSS
53710.2581683;24.292934;1.0656279;SDSS;SDSS(u);SDSS
53710.2581683;25.046076;1.0343155;SDSS;SDSS(u);SDSS
53710.25899756;19.006483;0.046148937;SDSS;SDSS(z);SDSS
53710.25899756;18.455893;0.030314391;SDSS;SDSS(z);SDSS
53710.25982682;21.43088;0.054940406;SDSS;SDSS(g);SDSS
53710.25982682;21.433872;0.05444718;SDSS;SDSS(g);SDSS
53742.12446;19.38;0.2;CRTS;CRTS(CL);CRTS
53742.12446;18.89;0.16;CRTS;CRTS(CL);CRTS
53742.13293;18.43;0.13;CRTS;CRTS(CL);CRTS
53742.13293;18.9;0.16;CRTS;CRTS(CL);CRTS
53742.14141;19.2;0.19;CRTS;CRTS(CL);CRTS
53742.14141;18.64;0.15;CRTS;CRTS(CL);CRTS
53742.14989;18.95;0.17;CRTS;CRTS(CL);CRTS
53767.10485;18.8;0.16;CRTS;CRTS(CL);CRTS
53767.10485;19.35;0.21;CRTS;CRTS(CL);CRTS
53767.10966;18.46;0.14;CRTS;CRTS(CL);CRTS
53767.10966;19.5;0.23;CRTS;CRTS(CL);CRTS
53767.11447;18.31;0.13;CRTS;CRTS(CL);CRTS
53767.1193;19.05;0.18;CRTS;CRTS(CL);CRTS
53767.1193;19.32;0.21;CRTS;CRTS(CL);CRTS
54003.41792;18.67;0.14;CRTS;CRTS(CL);CRTS
54003.41792;19.39;0.2;CRTS;CRTS(CL);CRTS
54003.42745;18.85;0.15;CRTS;CRTS(CL);CRTS
54003.43701;18.36;0.12;CRTS;CRTS(CL);CRTS
54003.44659;19.33;0.19;CRTS;CRTS(CL);CRTS
54003.44659;19.15;0.18;CRTS;CRTS(CL);CRTS
54012.34872;18.62;0.14;CRTS;CRTS(CL);CRTS
54012.35406;19.27;0.19;CRTS;CRTS(CL);CRTS
54012.35406;19.68;0.23;CRTS;CRTS(CL);CRTS
54012.35948;19.12;0.17;CRTS;CRTS(CL);CRTS
54012.35948;19.28;0.19;CRTS;CRTS(CL);CRTS
54029.30616;19.47;0.2;CRTS;CRTS(CL);CRTS
54029.30616;19.19;0.18;CRTS;CRTS(CL);CRTS
54029.31695;19.0;0.16;CRTS;CRTS(CL);CRTS
54029.32779;19.97;0.26;CRTS;CRTS(CL);CRTS
54029.32779;19.29;0.19;CRTS;CRTS(CL);CRTS
54029.33857;18.45;0.13;CRTS;CRTS(CL);CRTS
54039.26299;19.38;0.2;CRTS;CRTS(CL);CRTS
54039.26299;18.69;0.14;CRTS;CRTS(CL);CRTS
54039.26952;18.99;0.16;CRTS;CRTS(CL);CRTS
54039.26952;19.07;0.17;CRTS;CRTS(CL);CRTS
54039.27605;18.85;0.15;CRTS;CRTS(CL);CRTS
54039.27605;19.17;0.18;CRTS;CRTS(CL);CRTS
54039.2826;19.7;0.23;CRTS;CRTS(CL);CRTS
54039.2826;18.52;0.13;CRTS;CRTS(CL);CRTS
54056.27287;19.02;0.16;CRTS;CRTS(CL);CRTS
54056.27287;18.99;0.16;CRTS;CRTS(CL);CRTS
54056.27931;18.69;0.14;CRTS;CRTS(CL);CRTS
54056.28572;19.17;0.18;CRTS;CRTS(CL);CRTS
54056.28572;19.71;0.23;CRTS;CRTS(CL);CRTS
54056.29217;19.52;0.21;CRTS;CRTS(CL);CRTS
54056.29217;19.2;0.18;CRTS;CRTS(CL);CRTS
