MJD;Magnitude;Error;Facility;Filter;Observer
53674.28132;20.92;0.15;CRTS;CRTS(CL);CRTS
53674.28665;21.35;0.17;CRTS;CRTS(CL);CRTS
53674.292;21.39;0.18;CRTS;CRTS(CL);CRTS
53674.29734;21.05;0.15;CRTS;CRTS(CL);CRTS
53675.27322;21.02;0.21;CRTS;CRTS(CL);CRTS
53675.28144;21.05;0.22;CRTS;CRTS(CL);CRTS
53675.28961;20.74;0.19;CRTS;CRTS(CL);CRTS
53675.29779;21.43;0.26;CRTS;CRTS(CL);CRTS
53704.20467;21.19;0.24;CRTS;CRTS(CL);CRTS
53704.21154;21.49;0.28;CRTS;CRTS(CL);CRTS
53704.21825;21.59;0.3;CRTS;CRTS(CL);CRTS
53704.22498;21.11;0.24;CRTS;CRTS(CL);CRTS
54025.26597;21.33;0.26;CRTS;CRTS(CL);CRTS
54025.28224;22.08;0.4;CRTS;CRTS(CL);CRTS
54055.29961;21.37;0.27;CRTS;CRTS(CL);CRTS
54055.30518;21.57;0.3;CRTS;CRTS(CL);CRTS
54055.31076;21.24;0.25;CRTS;CRTS(CL);CRTS
54055.31635;21.01;0.23;CRTS;CRTS(CL);CRTS
54095.10235;20.96;0.22;CRTS;CRTS(CL);CRTS
54095.10905;21.21;0.25;CRTS;CRTS(CL);CRTS
54095.11578;20.69;0.19;CRTS;CRTS(CL);CRTS
54095.12248;21.36;0.27;CRTS;CRTS(CL);CRTS
54148.11263;20.82;0.21;CRTS;CRTS(CL);CRTS
54148.11711;20.95;0.22;CRTS;CRTS(CL);CRTS
54357.40234;21.24;0.23;CRTS;CRTS(CL);CRTS
54357.40791;21.12;0.22;CRTS;CRTS(CL);CRTS
54357.41351;21.3;0.24;CRTS;CRTS(CL);CRTS
54357.41927;20.72;0.18;CRTS;CRTS(CL);CRTS
54382.36621;21.12;0.22;CRTS;CRTS(CL);CRTS
54382.373;20.79;0.19;CRTS;CRTS(CL);CRTS
54382.37981;20.88;0.2;CRTS;CRTS(CL);CRTS
54382.38659;21.16;0.23;CRTS;CRTS(CL);CRTS
54413.23685;21.44;0.26;CRTS;CRTS(CL);CRTS
54413.24286;21.41;0.25;CRTS;CRTS(CL);CRTS
54413.24891;21.03;0.21;CRTS;CRTS(CL);CRTS
54413.25494;20.79;0.19;CRTS;CRTS(CL);CRTS
54762.34095;21.41;0.26;CRTS;CRTS(CL);CRTS
54762.34807;20.58;0.17;CRTS;CRTS(CL);CRTS
54762.35525;21.09;0.22;CRTS;CRTS(CL);CRTS
54762.36232;21.24;0.24;CRTS;CRTS(CL);CRTS
54779.1275;20.55;0.17;CRTS;CRTS(CL);CRTS
54779.1329;21.55;0.28;CRTS;CRTS(CL);CRTS
54779.13842;21.73;0.31;CRTS;CRTS(CL);CRTS
54779.13842;21.33;0.25;CRTS;CRTS(CL);CRTS
54779.14381;19.79;0.12;CRTS;CRTS(CL);CRTS
54831.13813;21.31;0.24;CRTS;CRTS(CL);CRTS
54831.14641;20.9;0.2;CRTS;CRTS(CL);CRTS
54831.15473;20.99;0.21;CRTS;CRTS(CL);CRTS
54831.1631;20.83;0.19;CRTS;CRTS(CL);CRTS
55126.26468;21.13;0.24;CRTS;CRTS(CL);CRTS
55126.27097;21.0;0.23;CRTS;CRTS(CL);CRTS
55126.27728;20.94;0.22;CRTS;CRTS(CL);CRTS
55126.28338;20.75;0.2;CRTS;CRTS(CL);CRTS
55154.24036;21.28;0.26;CRTS;CRTS(CL);CRTS
55154.24556;21.18;0.25;CRTS;CRTS(CL);CRTS
55154.25079;21.23;0.26;CRTS;CRTS(CL);CRTS
55154.256;21.2;0.25;CRTS;CRTS(CL);CRTS
55209.13849;20.95;0.22;CRTS;CRTS(CL);CRTS
55209.14306;20.81;0.22;CRTS;CRTS(CL);CRTS
55209.14767;21.22;0.26;CRTS;CRTS(CL);CRTS
55209.15226;20.91;0.22;CRTS;CRTS(CL);CRTS
55214.9647496;16.656;0.393;ALLWISE;WISE(W1);ALLWISE
55215.1632704;16.809;0.453;ALLWISE;WISE(W1);ALLWISE
55215.295575;16.102;0.257;ALLWISE;WISE(W1);ALLWISE
55215.3616638;16.192;0.268;ALLWISE;WISE(W1);ALLWISE
55215.4278798;16.768;0.442;ALLWISE;WISE(W1);ALLWISE
55215.5601845;15.23;0.478;ALLWISE;WISE(W2);ALLWISE
55402.684696;15.025;0.319;ALLWISE;WISE(W2);ALLWISE
55402.6848233;16.868;0.475;ALLWISE;WISE(W1);ALLWISE
55402.8169998;16.998;0.542;ALLWISE;WISE(W1);ALLWISE
55403.0155192;16.535;0.367;ALLWISE;WISE(W1);ALLWISE
55403.0816074;15.452;0.52;ALLWISE;WISE(W2);ALLWISE
55403.147823;15.872;0.206;ALLWISE;WISE(W1);ALLWISE
55403.2139112;16.505;0.397;ALLWISE;WISE(W1);ALLWISE
55403.4123032;15.365;0.448;ALLWISE;WISE(W2);ALLWISE
55403.4124305;16.53;0.347;ALLWISE;WISE(W1);ALLWISE
55403.5446069;15.987;0.22;ALLWISE;WISE(W1);ALLWISE
55403.5447343;16.166;0.248;ALLWISE;WISE(W1);ALLWISE
55426.3849572;21.127243041992188;0.26022040843963623;PTF;PTF(R);PTF
55429.4335372;21.01913070678711;0.22410176694393158;PTF;PTF(R);PTF
55429.4774872;21.18489646911621;0.15492451190948486;PTF;PTF(R);PTF
55447.4458472;21.31336784362793;0.15243089199066162;PTF;PTF(R);PTF
55447.4892072;21.230213165283203;0.1491614431142807;PTF;PTF(R);PTF
