MJD;Magnitude;Error;Facility;Filter;Observer
51548.32409999985;14.395;0.081;2MASS;2MASS(K);2MASS
51548.32409999985;15.389;0.087;2MASS;2MASS(J);2MASS
51548.32409999985;14.789;0.099;2MASS;2MASS(H);2MASS
55285.7679962;13.617;0.046;ALLWISE;WISE(W1);ALLWISE
55285.7679962;13.571;0.088;ALLWISE;WISE(W2);ALLWISE
55285.9003003;13.688;0.05;ALLWISE;WISE(W1);ALLWISE
55285.9003003;13.524;0.091;ALLWISE;WISE(W2);ALLWISE
55286.0326043;13.593;0.095;ALLWISE;WISE(W2);ALLWISE
55286.0326043;13.75;0.052;ALLWISE;WISE(W1);ALLWISE
55286.1649083;13.444;0.083;ALLWISE;WISE(W2);ALLWISE
55286.1649083;13.633;0.046;ALLWISE;WISE(W1);ALLWISE
55286.1650357;13.598;0.117;ALLWISE;WISE(W2);ALLWISE
55286.1650357;13.612;0.045;ALLWISE;WISE(W1);ALLWISE
55286.2311241;13.554;0.043;ALLWISE;WISE(W1);ALLWISE
55286.2311241;13.643;0.097;ALLWISE;WISE(W2);ALLWISE
55286.2973398;13.545;0.088;ALLWISE;WISE(W2);ALLWISE
55286.2973398;13.637;0.048;ALLWISE;WISE(W1);ALLWISE
55286.3634281;13.503;0.093;ALLWISE;WISE(W2);ALLWISE
55286.3634281;13.632;0.042;ALLWISE;WISE(W1);ALLWISE
55286.4296439;13.561;0.042;ALLWISE;WISE(W1);ALLWISE
55286.4296439;13.472;0.094;ALLWISE;WISE(W2);ALLWISE
55286.4957322;13.643;0.042;ALLWISE;WISE(W1);ALLWISE
55286.4957322;13.572;0.096;ALLWISE;WISE(W2);ALLWISE
55286.5619479;13.502;0.089;ALLWISE;WISE(W2);ALLWISE
55286.5619479;13.595;0.045;ALLWISE;WISE(W1);ALLWISE
55286.6280363;13.693;0.047;ALLWISE;WISE(W1);ALLWISE
55286.6280363;13.844;0.124;ALLWISE;WISE(W2);ALLWISE
55286.7603403;13.525;0.091;ALLWISE;WISE(W2);ALLWISE
55286.7603403;13.558;0.046;ALLWISE;WISE(W1);ALLWISE
55286.7604677;13.594;0.054;ALLWISE;WISE(W1);ALLWISE
55286.7604677;13.563;0.095;ALLWISE;WISE(W2);ALLWISE
55286.8927717;13.582;0.047;ALLWISE;WISE(W1);ALLWISE
55286.8927717;13.547;0.082;ALLWISE;WISE(W2);ALLWISE
55477.4173781;13.711;0.094;ALLWISE;WISE(W2);ALLWISE
55477.4173781;13.601;0.05;ALLWISE;WISE(W1);ALLWISE
55477.4175054;13.628;0.041;ALLWISE;WISE(W1);ALLWISE
55477.4175054;13.719;0.096;ALLWISE;WISE(W2);ALLWISE
55477.549682;13.794;0.108;ALLWISE;WISE(W2);ALLWISE
55477.549682;13.653;0.04;ALLWISE;WISE(W1);ALLWISE
55477.681986;13.572;0.091;ALLWISE;WISE(W2);ALLWISE
55477.681986;13.614;0.041;ALLWISE;WISE(W1);ALLWISE
55477.81429;13.645;0.089;ALLWISE;WISE(W2);ALLWISE
55477.81429;13.527;0.041;ALLWISE;WISE(W1);ALLWISE
55477.8803784;13.722;0.045;ALLWISE;WISE(W1);ALLWISE
55477.8803784;13.794;0.1;ALLWISE;WISE(W2);ALLWISE
55477.9464667;13.62;0.042;ALLWISE;WISE(W1);ALLWISE
55477.9464667;13.591;0.084;ALLWISE;WISE(W2);ALLWISE
55478.0126824;13.615;0.089;ALLWISE;WISE(W2);ALLWISE
55478.0126824;13.653;0.042;ALLWISE;WISE(W1);ALLWISE
55478.0787707;13.661;0.089;ALLWISE;WISE(W2);ALLWISE
55478.0787707;13.662;0.045;ALLWISE;WISE(W1);ALLWISE
55478.144859;13.562;0.081;ALLWISE;WISE(W2);ALLWISE
55478.144859;13.738;0.045;ALLWISE;WISE(W1);ALLWISE
55478.2771629;13.714;0.094;ALLWISE;WISE(W2);ALLWISE
55478.2771629;13.874;0.156;ALLWISE;WISE(W1);ALLWISE
55478.4094669;13.657;0.116;ALLWISE;WISE(W2);ALLWISE
55478.4094669;13.643;0.045;ALLWISE;WISE(W1);ALLWISE
55478.5417709;13.634;0.048;ALLWISE;WISE(W1);ALLWISE
55478.5417709;13.471;0.087;ALLWISE;WISE(W2);ALLWISE
55889.3775572;16.583364486694336;0.026408130303025246;PTF;PTF(R);PTF
55889.4652172;16.544906616210938;0.02659791335463524;PTF;PTF(R);PTF
55891.4214472;16.58185577392578;0.03047730214893818;PTF;PTF(R);PTF
55892.4189272;16.550260543823242;0.03776607662439346;PTF;PTF(R);PTF
