MJD;Magnitude;Error;Facility;Filter;Observer
52585.49255869;18.83052;0.019300705;SDSS;SDSS(r);SDSS
52585.49255869;18.83052;0.019273989;SDSS;SDSS(r);SDSS
52585.49255869;18.830948;0.019270703;SDSS;SDSS(r);SDSS
52585.49338795;18.583965;0.014590536;SDSS;SDSS(i);SDSS
52585.49338795;18.585318;0.0145919705;SDSS;SDSS(i);SDSS
52585.49338795;18.583971;0.01466897;SDSS;SDSS(i);SDSS
52585.49421722;20.67209;0.06181469;SDSS;SDSS(u);SDSS
52585.49421722;20.68375;0.062419653;SDSS;SDSS(u);SDSS
52585.49421722;20.68375;0.06256136;SDSS;SDSS(u);SDSS
52585.49504648;18.385265;0.033254646;SDSS;SDSS(z);SDSS
52585.49504648;18.385262;0.03342294;SDSS;SDSS(z);SDSS
52585.49504648;18.390512;0.033314724;SDSS;SDSS(z);SDSS
52585.49587575;19.160852;0.034428664;SDSS;SDSS(g);SDSS
52585.49587575;19.158949;0.03443846;SDSS;SDSS(g);SDSS
52585.49587575;19.158936;0.03442907;SDSS;SDSS(g);SDSS
52620.4051214;17.691;0.494;LINEAR;LINEAR(CL);LINEAR
52620.4209212;17.951;0.248;LINEAR;LINEAR(CL);LINEAR
52620.436437;17.903;0.198;LINEAR;LINEAR(CL);LINEAR
52620.4515333;18.027;0.228;LINEAR;LINEAR(CL);LINEAR
52636.3626316;17.841;0.239;LINEAR;LINEAR(CL);LINEAR
52636.3767824;17.881;0.242;LINEAR;LINEAR(CL);LINEAR
52636.3909927;18.137;0.278;LINEAR;LINEAR(CL);LINEAR
52636.4051475;18.148;0.283;LINEAR;LINEAR(CL);LINEAR
52636.4193524;18.285;0.324;LINEAR;LINEAR(CL);LINEAR
52650.2884031;17.746;0.185;LINEAR;LINEAR(CL);LINEAR
52650.3053623;17.99;0.226;LINEAR;LINEAR(CL);LINEAR
52650.3198136;18.032;0.22;LINEAR;LINEAR(CL);LINEAR
52650.3340725;17.98;0.191;LINEAR;LINEAR(CL);LINEAR
52650.3483776;18.158;0.224;LINEAR;LINEAR(CL);LINEAR
52653.37962;17.946;0.242;LINEAR;LINEAR(CL);LINEAR
52653.3948529;18.224;0.3;LINEAR;LINEAR(CL);LINEAR
52653.4099736;18.304;0.305;LINEAR;LINEAR(CL);LINEAR
52653.4250962;18.174;0.266;LINEAR;LINEAR(CL);LINEAR
52653.4402203;18.001;0.207;LINEAR;LINEAR(CL);LINEAR
52680.2474325;18.325;0.315;LINEAR;LINEAR(CL);LINEAR
52680.2640494;18.126;0.254;LINEAR;LINEAR(CL);LINEAR
52680.2802207;18.2;0.282;LINEAR;LINEAR(CL);LINEAR
52680.3266958;18.2;0.246;LINEAR;LINEAR(CL);LINEAR
52680.3508892;17.936;0.18;LINEAR;LINEAR(CL);LINEAR
52680.403088;17.946;0.177;LINEAR;LINEAR(CL);LINEAR
52695.2541405;18.036;0.211;LINEAR;LINEAR(CL);LINEAR
52695.2710772;18.178;0.216;LINEAR;LINEAR(CL);LINEAR
52695.2868298;17.958;0.179;LINEAR;LINEAR(CL);LINEAR
52695.3033245;18.093;0.192;LINEAR;LINEAR(CL);LINEAR
52695.3198402;18.082;0.202;LINEAR;LINEAR(CL);LINEAR
52704.31013325;18.742981;0.025223019;SDSS;SDSS(r);SDSS
52704.31013325;18.742455;0.025226861;SDSS;SDSS(r);SDSS
52704.31013325;18.74243;0.025241528;SDSS;SDSS(r);SDSS
52704.31096252;18.551334;0.017571162;SDSS;SDSS(i);SDSS
52704.31096252;18.55255;0.017569836;SDSS;SDSS(i);SDSS
52704.31096252;18.55134;0.017649356;SDSS;SDSS(i);SDSS
52704.31179178;20.450138;0.0646832;SDSS;SDSS(u);SDSS
52704.31179178;20.450191;0.061111644;SDSS;SDSS(u);SDSS
52704.31179178;20.449825;0.06449312;SDSS;SDSS(u);SDSS
52704.31262105;18.381752;0.03211443;SDSS;SDSS(z);SDSS
52704.31262105;18.377016;0.032152463;SDSS;SDSS(z);SDSS
52704.31262105;18.376959;0.03211222;SDSS;SDSS(z);SDSS
52704.31345031;19.196487;0.014334885;SDSS;SDSS(g);SDSS
52704.31345031;19.196535;0.014363981;SDSS;SDSS(g);SDSS
52704.31345031;19.195574;0.014906629;SDSS;SDSS(g);SDSS
52722.2652285;18.059;0.179;LINEAR;LINEAR(CL);LINEAR
52722.2818003;18.085;0.181;LINEAR;LINEAR(CL);LINEAR
52722.2959198;18.044;0.179;LINEAR;LINEAR(CL);LINEAR
52722.3117703;18.18;0.202;LINEAR;LINEAR(CL);LINEAR
52722.3281022;18.205;0.226;LINEAR;LINEAR(CL);LINEAR
52751.190897;18.093;0.235;LINEAR;LINEAR(CL);LINEAR
52751.2028911;17.994;0.265;LINEAR;LINEAR(CL);LINEAR
52751.2145173;18.019;0.233;LINEAR;LINEAR(CL);LINEAR
52751.2322586;17.814;0.198;LINEAR;LINEAR(CL);LINEAR
52751.2439196;18.131;0.261;LINEAR;LINEAR(CL);LINEAR
52781.1578117;17.932;0.226;LINEAR;LINEAR(CL);LINEAR
52781.168633;17.99;0.24;LINEAR;LINEAR(CL);LINEAR
52781.1795292;17.943;0.231;LINEAR;LINEAR(CL);LINEAR
52781.1903623;18.149;0.285;LINEAR;LINEAR(CL);LINEAR
52781.2011744;17.904;0.235;LINEAR;LINEAR(CL);LINEAR
52977.3931055;17.789;0.213;LINEAR;LINEAR(CL);LINEAR
52977.4042195;17.806;0.2;LINEAR;LINEAR(CL);LINEAR
52977.4154386;17.916;0.201;LINEAR;LINEAR(CL);LINEAR
52977.4266406;17.86;0.177;LINEAR;LINEAR(CL);LINEAR
52977.4379552;17.732;0.155;LINEAR;LINEAR(CL);LINEAR
52978.3880723;18.13;0.322;LINEAR;LINEAR(CL);LINEAR
52978.4009041;17.985;0.268;LINEAR;LINEAR(CL);LINEAR
52978.4136673;17.978;0.265;LINEAR;LINEAR(CL);LINEAR
52978.4265286;17.814;0.216;LINEAR;LINEAR(CL);LINEAR
52978.4391102;18.091;0.265;LINEAR;LINEAR(CL);LINEAR
52988.3875545;17.894;0.224;LINEAR;LINEAR(CL);LINEAR
52988.4005119;17.903;0.233;LINEAR;LINEAR(CL);LINEAR
52988.4134676;17.511;0.196;LINEAR;LINEAR(CL);LINEAR
52988.4264165;17.59;0.228;LINEAR;LINEAR(CL);LINEAR
53008.3365057;17.884;0.265;LINEAR;LINEAR(CL);LINEAR
53008.368032;18.116;0.32;LINEAR;LINEAR(CL);LINEAR
53038.3342475;18.009;0.284;LINEAR;LINEAR(CL);LINEAR
53038.346653;18.598;0.549;LINEAR;LINEAR(CL);LINEAR
