MJD;Magnitude;Error;Facility;Filter;Observer
52665.4746327;17.369;0.139;LINEAR;LINEAR(CL);LINEAR
52665.5051577;18.847;0.502;LINEAR;LINEAR(CL);LINEAR
52677.4858091;16.485;0.071;LINEAR;LINEAR(CL);LINEAR
52677.501611;16.461;0.063;LINEAR;LINEAR(CL);LINEAR
52677.5164957;16.435;0.059;LINEAR;LINEAR(CL);LINEAR
52723.3657199;16.474;0.08;LINEAR;LINEAR(CL);LINEAR
52752.2917449;16.467;0.057;LINEAR;LINEAR(CL);LINEAR
52752.3019409;16.533;0.063;LINEAR;LINEAR(CL);LINEAR
52752.3121329;16.493;0.057;LINEAR;LINEAR(CL);LINEAR
52752.3223286;16.5;0.057;LINEAR;LINEAR(CL);LINEAR
52752.332649;16.532;0.057;LINEAR;LINEAR(CL);LINEAR
52755.3164395;16.404;0.104;LINEAR;LINEAR(CL);LINEAR
52755.3285939;16.38;0.096;LINEAR;LINEAR(CL);LINEAR
52755.3413564;16.387;0.092;LINEAR;LINEAR(CL);LINEAR
52755.3665172;16.457;0.094;LINEAR;LINEAR(CL);LINEAR
52772.2712633;16.517;0.113;LINEAR;LINEAR(CL);LINEAR
52772.2950168;16.489;0.107;LINEAR;LINEAR(CL);LINEAR
52787.2708833;16.542;0.064;LINEAR;LINEAR(CL);LINEAR
52787.2817153;16.536;0.064;LINEAR;LINEAR(CL);LINEAR
52787.2926374;16.419;0.059;LINEAR;LINEAR(CL);LINEAR
52787.3034681;16.509;0.064;LINEAR;LINEAR(CL);LINEAR
52787.3142803;16.519;0.066;LINEAR;LINEAR(CL);LINEAR
52811.225586;16.42;0.069;LINEAR;LINEAR(CL);LINEAR
52811.2353925;16.438;0.069;LINEAR;LINEAR(CL);LINEAR
52811.2452029;16.543;0.076;LINEAR;LINEAR(CL);LINEAR
52811.2550094;16.45;0.068;LINEAR;LINEAR(CL);LINEAR
52811.2648416;16.497;0.071;LINEAR;LINEAR(CL);LINEAR
52815.19920168;17.989412;0.019954626;SDSS;SDSS(r);SDSS
52815.19920168;17.989248;0.019953301;SDSS;SDSS(r);SDSS
52815.19920168;17.989412;0.019957066;SDSS;SDSS(r);SDSS
52815.20003094;17.78482;0.023305817;SDSS;SDSS(i);SDSS
52815.20003094;17.78482;0.023302004;SDSS;SDSS(i);SDSS
52815.20003094;17.785038;0.02330179;SDSS;SDSS(i);SDSS
52815.20086021;20.265507;0.04040937;SDSS;SDSS(u);SDSS
52815.20086021;20.262383;0.040434737;SDSS;SDSS(u);SDSS
52815.20086021;20.262383;0.040463544;SDSS;SDSS(u);SDSS
52815.20168947;17.558271;0.016750632;SDSS;SDSS(z);SDSS
52815.20168947;17.558893;0.016788626;SDSS;SDSS(z);SDSS
52815.20168947;17.558893;0.016774878;SDSS;SDSS(z);SDSS
52815.20251874;18.727932;0.013730142;SDSS;SDSS(g);SDSS
52815.20251874;18.727932;0.013732973;SDSS;SDSS(g);SDSS
52815.20251874;18.728079;0.01372726;SDSS;SDSS(g);SDSS
52826.2197219;16.466;0.068;LINEAR;LINEAR(CL);LINEAR
52826.2296411;16.504;0.068;LINEAR;LINEAR(CL);LINEAR
52826.2395335;16.497;0.068;LINEAR;LINEAR(CL);LINEAR
52826.249408;16.47;0.067;LINEAR;LINEAR(CL);LINEAR
52826.2593577;16.48;0.068;LINEAR;LINEAR(CL);LINEAR
52840.1683627;16.509;0.068;LINEAR;LINEAR(CL);LINEAR
52840.1783274;16.428;0.061;LINEAR;LINEAR(CL);LINEAR
52840.188288;16.546;0.067;LINEAR;LINEAR(CL);LINEAR
52840.1982372;16.455;0.063;LINEAR;LINEAR(CL);LINEAR
52840.2082161;16.462;0.065;LINEAR;LINEAR(CL);LINEAR
53035.4756236;16.475;0.052;LINEAR;LINEAR(CL);LINEAR
53035.4882994;16.526;0.054;LINEAR;LINEAR(CL);LINEAR
53035.5010288;16.474;0.052;LINEAR;LINEAR(CL);LINEAR
53035.5137092;16.428;0.05;LINEAR;LINEAR(CL);LINEAR
53035.5269305;16.485;0.05;LINEAR;LINEAR(CL);LINEAR
53050.3899006;16.425;0.115;LINEAR;LINEAR(CL);LINEAR
53050.4016226;16.32;0.072;LINEAR;LINEAR(CL);LINEAR
53050.4133062;16.513;0.05;LINEAR;LINEAR(CL);LINEAR
53050.4251252;16.468;0.044;LINEAR;LINEAR(CL);LINEAR
53050.4367676;16.467;0.044;LINEAR;LINEAR(CL);LINEAR
53078.3390516;16.525;0.054;LINEAR;LINEAR(CL);LINEAR
53078.349782;16.488;0.054;LINEAR;LINEAR(CL);LINEAR
53109.2997996;16.44;0.048;LINEAR;LINEAR(CL);LINEAR
53109.3105116;16.467;0.05;LINEAR;LINEAR(CL);LINEAR
53109.3212199;16.485;0.05;LINEAR;LINEAR(CL);LINEAR
53109.3320737;16.452;0.05;LINEAR;LINEAR(CL);LINEAR
53109.3428747;16.514;0.052;LINEAR;LINEAR(CL);LINEAR
53137.2527506;16.525;0.059;LINEAR;LINEAR(CL);LINEAR
53137.2626027;16.454;0.054;LINEAR;LINEAR(CL);LINEAR
53137.2724175;16.524;0.057;LINEAR;LINEAR(CL);LINEAR
53137.2822374;16.488;0.055;LINEAR;LINEAR(CL);LINEAR
53137.2920243;16.496;0.057;LINEAR;LINEAR(CL);LINEAR
53165.2351917;16.569;0.081;LINEAR;LINEAR(CL);LINEAR
53165.245192;16.529;0.057;LINEAR;LINEAR(CL);LINEAR
53165.2552889;16.518;0.055;LINEAR;LINEAR(CL);LINEAR
53165.2652849;16.461;0.059;LINEAR;LINEAR(CL);LINEAR
53242.1349317;16.586;0.081;LINEAR;LINEAR(CL);LINEAR
53242.1450327;16.769;0.101;LINEAR;LINEAR(CL);LINEAR
53242.1555572;16.611;0.089;LINEAR;LINEAR(CL);LINEAR
53242.1655182;16.603;0.094;LINEAR;LINEAR(CL);LINEAR
53242.175482;16.559;0.092;LINEAR;LINEAR(CL);LINEAR
53442.3199563;16.507;0.057;LINEAR;LINEAR(CL);LINEAR
53442.3307807;16.527;0.057;LINEAR;LINEAR(CL);LINEAR
53442.3416217;16.513;0.054;LINEAR;LINEAR(CL);LINEAR
53442.3524541;16.554;0.055;LINEAR;LINEAR(CL);LINEAR
53442.363558;16.494;0.052;LINEAR;LINEAR(CL);LINEAR
53470.35696;16.48;0.08;CRTS;CRTS(CL);CRTS
53470.36422;16.51;0.08;CRTS;CRTS(CL);CRTS
53470.3715;16.49;0.08;CRTS;CRTS(CL);CRTS
53470.37883;16.46;0.08;CRTS;CRTS(CL);CRTS
53473.4399515;16.463;0.057;LINEAR;LINEAR(CL);LINEAR
53473.4496541;16.534;0.063;LINEAR;LINEAR(CL);LINEAR
53473.4593087;16.499;0.063;LINEAR;LINEAR(CL);LINEAR
53479.34806;16.48;0.07;CRTS;CRTS(CL);CRTS
53479.35621;16.53;0.07;CRTS;CRTS(CL);CRTS
53479.36445;16.42;0.07;CRTS;CRTS(CL);CRTS
53479.37271;16.53;0.07;CRTS;CRTS(CL);CRTS
53496.27525;16.43;0.07;CRTS;CRTS(CL);CRTS
53496.2836;16.45;0.07;CRTS;CRTS(CL);CRTS
53496.29196;16.48;0.07;CRTS;CRTS(CL);CRTS
53496.30039;16.46;0.07;CRTS;CRTS(CL);CRTS
53498.3756516;16.524;0.055;LINEAR;LINEAR(CL);LINEAR
53498.387975;16.502;0.055;LINEAR;LINEAR(CL);LINEAR
53498.3993238;16.537;0.061;LINEAR;LINEAR(CL);LINEAR
53498.4102582;16.518;0.063;LINEAR;LINEAR(CL);LINEAR
53498.4203656;16.511;0.063;LINEAR;LINEAR(CL);LINEAR
53499.3339622;16.579;0.059;LINEAR;LINEAR(CL);LINEAR
53499.3496781;16.54;0.057;LINEAR;LINEAR(CL);LINEAR
53499.3604624;16.485;0.055;LINEAR;LINEAR(CL);LINEAR
53499.3704458;16.533;0.057;LINEAR;LINEAR(CL);LINEAR
53499.3805001;16.489;0.057;LINEAR;LINEAR(CL);LINEAR
53506.32507;16.4;0.07;CRTS;CRTS(CL);CRTS
53506.33283;16.51;0.08;CRTS;CRTS(CL);CRTS
53506.34068;16.45;0.08;CRTS;CRTS(CL);CRTS
53506.34846;16.49;0.08;CRTS;CRTS(CL);CRTS
53528.2297927;16.488;0.07;LINEAR;LINEAR(CL);LINEAR
53528.2406448;16.528;0.074;LINEAR;LINEAR(CL);LINEAR
53528.2511867;16.496;0.07;LINEAR;LINEAR(CL);LINEAR
53528.2619923;16.476;0.068;LINEAR;LINEAR(CL);LINEAR
53528.2723696;16.549;0.072;LINEAR;LINEAR(CL);LINEAR
53539.2218928;16.507;0.122;LINEAR;LINEAR(CL);LINEAR
53539.231469;16.435;0.111;LINEAR;LINEAR(CL);LINEAR
53539.241066;16.544;0.126;LINEAR;LINEAR(CL);LINEAR
53539.2506222;16.521;0.12;LINEAR;LINEAR(CL);LINEAR
53539.2601816;16.451;0.111;LINEAR;LINEAR(CL);LINEAR
53551.23275;16.49;0.07;CRTS;CRTS(CL);CRTS
53551.24042;16.49;0.07;CRTS;CRTS(CL);CRTS
53551.248;16.47;0.07;CRTS;CRTS(CL);CRTS
53551.25559;16.45;0.07;CRTS;CRTS(CL);CRTS
53553.2259462;16.512;0.072;LINEAR;LINEAR(CL);LINEAR
53553.236304;16.502;0.072;LINEAR;LINEAR(CL);LINEAR
53553.2467345;16.472;0.067;LINEAR;LINEAR(CL);LINEAR
53553.2570903;16.524;0.067;LINEAR;LINEAR(CL);LINEAR
53553.2674519;16.589;0.074;LINEAR;LINEAR(CL);LINEAR
53558.23904;16.51;0.07;CRTS;CRTS(CL);CRTS
53558.24439;16.48;0.07;CRTS;CRTS(CL);CRTS
53558.24975;16.47;0.07;CRTS;CRTS(CL);CRTS
53558.2551;16.54;0.08;CRTS;CRTS(CL);CRTS
53570.1732695;16.664;0.139;LINEAR;LINEAR(CL);LINEAR
53570.1838677;16.545;0.124;LINEAR;LINEAR(CL);LINEAR
53570.1944629;16.586;0.131;LINEAR;LINEAR(CL);LINEAR
53570.2050733;16.532;0.13;LINEAR;LINEAR(CL);LINEAR
53570.2156836;16.459;0.126;LINEAR;LINEAR(CL);LINEAR
53576.2028431;16.551;0.065;LINEAR;LINEAR(CL);LINEAR
53576.2138053;16.507;0.074;LINEAR;LINEAR(CL);LINEAR
53583.1637475;16.519;0.074;LINEAR;LINEAR(CL);LINEAR
53583.1750685;16.494;0.065;LINEAR;LINEAR(CL);LINEAR
53583.1863151;16.515;0.063;LINEAR;LINEAR(CL);LINEAR
