MJD;Magnitude;Error;Facility;Filter;Observer
51250.15879999986;14.803;0.114;2MASS;2MASS(K);2MASS
51250.15879999986;14.964;0.116;2MASS;2MASS(H);2MASS
51250.15879999986;15.695;0.086;2MASS;2MASS(J);2MASS
52621.3852689;16.675;0.073;LINEAR;LINEAR(CL);LINEAR
52621.4002593;16.64;0.071;LINEAR;LINEAR(CL);LINEAR
52621.4157135;16.619;0.069;LINEAR;LINEAR(CL);LINEAR
52621.4308572;16.576;0.066;LINEAR;LINEAR(CL);LINEAR
52635.381258;16.702;0.083;LINEAR;LINEAR(CL);LINEAR
52635.3957208;16.638;0.078;LINEAR;LINEAR(CL);LINEAR
52635.4108735;16.536;0.074;LINEAR;LINEAR(CL);LINEAR
52635.4253153;16.67;0.079;LINEAR;LINEAR(CL);LINEAR
52635.4403829;16.638;0.079;LINEAR;LINEAR(CL);LINEAR
52654.3268515;16.529;0.099;LINEAR;LINEAR(CL);LINEAR
52654.3418958;16.557;0.117;LINEAR;LINEAR(CL);LINEAR
52654.3567471;16.711;0.152;LINEAR;LINEAR(CL);LINEAR
52654.3722989;16.561;0.139;LINEAR;LINEAR(CL);LINEAR
52662.3438481;16.597;0.071;LINEAR;LINEAR(CL);LINEAR
52662.3598898;16.543;0.069;LINEAR;LINEAR(CL);LINEAR
52692.2512726;16.543;0.061;LINEAR;LINEAR(CL);LINEAR
52692.2650079;16.583;0.063;LINEAR;LINEAR(CL);LINEAR
52692.2652554;16.582;0.063;LINEAR;LINEAR(CL);LINEAR
52692.2799408;16.624;0.069;LINEAR;LINEAR(CL);LINEAR
52692.2801876;16.576;0.069;LINEAR;LINEAR(CL);LINEAR
52692.2953035;16.457;0.068;LINEAR;LINEAR(CL);LINEAR
52692.3091192;16.627;0.074;LINEAR;LINEAR(CL);LINEAR
52720.1978741;16.567;0.074;LINEAR;LINEAR(CL);LINEAR
52720.2099338;16.607;0.073;LINEAR;LINEAR(CL);LINEAR
52720.2101774;16.488;0.073;LINEAR;LINEAR(CL);LINEAR
52743.1811816;16.559;0.125;LINEAR;LINEAR(CL);LINEAR
52743.193089;16.678;0.144;LINEAR;LINEAR(CL);LINEAR
52743.2058542;16.689;0.144;LINEAR;LINEAR(CL);LINEAR
52743.2178563;16.805;0.167;LINEAR;LINEAR(CL);LINEAR
52743.23023;16.715;0.155;LINEAR;LINEAR(CL);LINEAR
52749.1923816;16.546;0.074;LINEAR;LINEAR(CL);LINEAR
52749.2034287;16.479;0.083;LINEAR;LINEAR(CL);LINEAR
52772.150206;16.676;0.124;LINEAR;LINEAR(CL);LINEAR
52772.1621637;16.621;0.12;LINEAR;LINEAR(CL);LINEAR
52772.1742041;16.556;0.13;LINEAR;LINEAR(CL);LINEAR
52772.1859772;16.628;0.13;LINEAR;LINEAR(CL);LINEAR
52772.1981033;16.609;0.157;LINEAR;LINEAR(CL);LINEAR
52926.4504154;16.744;0.144;LINEAR;LINEAR(CL);LINEAR
52926.4620722;16.722;0.144;LINEAR;LINEAR(CL);LINEAR
52926.4741596;16.712;0.135;LINEAR;LINEAR(CL);LINEAR
52926.4864504;16.692;0.133;LINEAR;LINEAR(CL);LINEAR
52926.4980511;16.701;0.131;LINEAR;LINEAR(CL);LINEAR
52935.47954148;18.109322;0.019540012;SDSS;SDSS(r);SDSS
52935.47954148;18.109314;0.019518455;SDSS;SDSS(r);SDSS
52935.47954148;18.110067;0.019518126;SDSS;SDSS(r);SDSS
52935.4803707401;17.848654;0.019007219;SDSS;SDSS(i);SDSS
52935.4803707401;17.848621;0.018940516;SDSS;SDSS(i);SDSS
52935.4803707401;17.8506;0.018943382;SDSS;SDSS(i);SDSS
52935.4812000099;20.100983;0.045759253;SDSS;SDSS(u);SDSS
52935.4812000099;20.099361;0.040230554;SDSS;SDSS(u);SDSS
52935.48202927;17.587997;0.023665505;SDSS;SDSS(z);SDSS
52935.48202927;17.587221;0.023488712;SDSS;SDSS(z);SDSS
52935.48202927;17.587963;0.023501132;SDSS;SDSS(z);SDSS
52935.4828585401;18.681795;0.022056656;SDSS;SDSS(g);SDSS
52935.4828585401;18.682053;0.02206311;SDSS;SDSS(g);SDSS
52935.4828585401;18.682035;0.022059092;SDSS;SDSS(g);SDSS
52949.4332787;16.765;0.094;LINEAR;LINEAR(CL);LINEAR
52949.4455101;16.751;0.091;LINEAR;LINEAR(CL);LINEAR
52949.4575381;16.787;0.087;LINEAR;LINEAR(CL);LINEAR
52949.4697857;16.835;0.083;LINEAR;LINEAR(CL);LINEAR
52949.481968;16.802;0.07;LINEAR;LINEAR(CL);LINEAR
52979.3810035;16.644;0.14;LINEAR;LINEAR(CL);LINEAR
52979.3922064;16.609;0.144;LINEAR;LINEAR(CL);LINEAR
52979.4034279;16.63;0.149;LINEAR;LINEAR(CL);LINEAR
52979.4239028;17.003;0.229;LINEAR;LINEAR(CL);LINEAR
53009.3706715;16.81;0.109;LINEAR;LINEAR(CL);LINEAR
53009.3851564;16.741;0.101;LINEAR;LINEAR(CL);LINEAR
53009.3996838;16.516;0.081;LINEAR;LINEAR(CL);LINEAR
53009.4155534;16.676;0.097;LINEAR;LINEAR(CL);LINEAR
53017.2744638;16.669;0.089;LINEAR;LINEAR(CL);LINEAR
53017.2869506;16.643;0.087;LINEAR;LINEAR(CL);LINEAR
53017.2995043;16.65;0.087;LINEAR;LINEAR(CL);LINEAR
53017.3120153;16.597;0.083;LINEAR;LINEAR(CL);LINEAR
53017.3244808;16.545;0.078;LINEAR;LINEAR(CL);LINEAR
53017.3895047;16.65;0.068;LINEAR;LINEAR(CL);LINEAR
53017.4057285;16.572;0.064;LINEAR;LINEAR(CL);LINEAR
53017.4236771;16.6;0.068;LINEAR;LINEAR(CL);LINEAR
53017.4436498;16.65;0.073;LINEAR;LINEAR(CL);LINEAR
53074.2264433;16.631;0.074;LINEAR;LINEAR(CL);LINEAR
53074.237883;16.597;0.071;LINEAR;LINEAR(CL);LINEAR
53074.2494912;16.652;0.078;LINEAR;LINEAR(CL);LINEAR
53074.2610187;16.598;0.076;LINEAR;LINEAR(CL);LINEAR
53074.2725051;16.565;0.076;LINEAR;LINEAR(CL);LINEAR
53097.1940435;16.515;0.165;LINEAR;LINEAR(CL);LINEAR
53104.1966901;16.613;0.059;LINEAR;LINEAR(CL);LINEAR
53104.2075366;16.661;0.063;LINEAR;LINEAR(CL);LINEAR
53104.2291735;16.655;0.064;LINEAR;LINEAR(CL);LINEAR
53104.2400487;16.682;0.069;LINEAR;LINEAR(CL);LINEAR
53133.1524671;16.718;0.12;LINEAR;LINEAR(CL);LINEAR
53133.1619199;16.742;0.089;LINEAR;LINEAR(CL);LINEAR
53133.171313;16.681;0.079;LINEAR;LINEAR(CL);LINEAR
53133.1804401;16.605;0.073;LINEAR;LINEAR(CL);LINEAR
53156.1633439;16.6;0.12;LINEAR;LINEAR(CL);LINEAR
53156.171791;16.875;0.16;LINEAR;LINEAR(CL);LINEAR
53156.1801659;16.481;0.114;LINEAR;LINEAR(CL);LINEAR
53156.1886104;16.664;0.137;LINEAR;LINEAR(CL);LINEAR
53156.1969957;16.506;0.117;LINEAR;LINEAR(CL);LINEAR
53275.4770382;16.765;0.165;LINEAR;LINEAR(CL);LINEAR
53280.439852;16.789;0.163;LINEAR;LINEAR(CL);LINEAR
53280.4508416;16.624;0.125;LINEAR;LINEAR(CL);LINEAR
53290.4183487;16.585;0.087;LINEAR;LINEAR(CL);LINEAR
53290.4295358;16.626;0.091;LINEAR;LINEAR(CL);LINEAR
53290.4409574;16.655;0.085;LINEAR;LINEAR(CL);LINEAR
53290.4521433;16.668;0.085;LINEAR;LINEAR(CL);LINEAR
53290.4633344;16.612;0.081;LINEAR;LINEAR(CL);LINEAR
53330.4377732;16.782;0.085;LINEAR;LINEAR(CL);LINEAR
53330.4502806;16.78;0.089;LINEAR;LINEAR(CL);LINEAR
53330.4628044;16.751;0.087;LINEAR;LINEAR(CL);LINEAR
53330.4753113;16.77;0.098;LINEAR;LINEAR(CL);LINEAR
53330.4878176;16.779;0.093;LINEAR;LINEAR(CL);LINEAR
53356.3864239;16.538;0.067;LINEAR;LINEAR(CL);LINEAR
53356.400289;16.553;0.068;LINEAR;LINEAR(CL);LINEAR
53356.4144531;16.568;0.065;LINEAR;LINEAR(CL);LINEAR
53356.4284065;16.581;0.068;LINEAR;LINEAR(CL);LINEAR
53356.4416007;16.57;0.068;LINEAR;LINEAR(CL);LINEAR
53358.3298157;16.589;0.058;LINEAR;LINEAR(CL);LINEAR
53358.3564434;16.621;0.061;LINEAR;LINEAR(CL);LINEAR
53358.3707542;16.681;0.066;LINEAR;LINEAR(CL);LINEAR
53358.3856239;16.637;0.063;LINEAR;LINEAR(CL);LINEAR
53442.168759;16.582;0.052;LINEAR;LINEAR(CL);LINEAR
53442.1796661;16.612;0.054;LINEAR;LINEAR(CL);LINEAR
53442.1905865;16.611;0.052;LINEAR;LINEAR(CL);LINEAR
53442.2014881;16.592;0.052;LINEAR;LINEAR(CL);LINEAR
53442.2252206;16.597;0.052;LINEAR;LINEAR(CL);LINEAR
53452.2173195;16.595;0.128;LINEAR;LINEAR(CL);LINEAR
53452.2280463;16.546;0.122;LINEAR;LINEAR(CL);LINEAR
53460.2189941;16.608;0.061;LINEAR;LINEAR(CL);LINEAR
53460.2294262;16.552;0.059;LINEAR;LINEAR(CL);LINEAR
53460.2399103;16.563;0.059;LINEAR;LINEAR(CL);LINEAR
53460.2508511;16.539;0.057;LINEAR;LINEAR(CL);LINEAR
53460.2615026;16.669;0.065;LINEAR;LINEAR(CL);LINEAR
53488.1892566;16.63;0.065;LINEAR;LINEAR(CL);LINEAR
53488.1993292;16.624;0.065;LINEAR;LINEAR(CL);LINEAR
53488.2093511;16.672;0.067;LINEAR;LINEAR(CL);LINEAR
53488.2196068;16.672;0.07;LINEAR;LINEAR(CL);LINEAR
53488.230531;16.697;0.072;LINEAR;LINEAR(CL);LINEAR
53637.4488677;16.528;0.141;LINEAR;LINEAR(CL);LINEAR
53637.4704734;16.458;0.117;LINEAR;LINEAR(CL);LINEAR
53665.4214846;16.746;0.155;LINEAR;LINEAR(CL);LINEAR
53665.4334776;16.937;0.183;LINEAR;LINEAR(CL);LINEAR
53688.3825831;16.542;0.109;LINEAR;LINEAR(CL);LINEAR
53688.3951283;16.678;0.12;LINEAR;LINEAR(CL);LINEAR
53688.4075133;16.711;0.168;LINEAR;LINEAR(CL);LINEAR
53688.419874;16.645;0.12;LINEAR;LINEAR(CL);LINEAR
53688.4322368;16.738;0.118;LINEAR;LINEAR(CL);LINEAR
53724.3333622;16.73;0.1;LINEAR;LINEAR(CL);LINEAR
53724.3463157;16.63;0.091;LINEAR;LINEAR(CL);LINEAR
53724.3592938;16.58;0.089;LINEAR;LINEAR(CL);LINEAR
53724.3722722;16.581;0.105;LINEAR;LINEAR(CL);LINEAR
53746.22294;16.54;0.08;CRTS;CRTS(CL);CRTS
53746.22461;16.57;0.08;CRTS;CRTS(CL);CRTS
53746.22792;16.6;0.08;CRTS;CRTS(CL);CRTS
53746.22955;16.3;0.07;CRTS;CRTS(CL);CRTS
53746.23287;16.59;0.08;CRTS;CRTS(CL);CRTS
53746.23449;16.68;0.08;CRTS;CRTS(CL);CRTS
53746.23778;16.67;0.08;CRTS;CRTS(CL);CRTS
53746.23941;16.68;0.08;CRTS;CRTS(CL);CRTS
53767.22793;16.51;0.07;CRTS;CRTS(CL);CRTS
53767.22956;16.67;0.08;CRTS;CRTS(CL);CRTS
53767.23287;16.59;0.08;CRTS;CRTS(CL);CRTS
53767.23452;16.63;0.08;CRTS;CRTS(CL);CRTS
53767.23781;16.58;0.08;CRTS;CRTS(CL);CRTS
53767.23942;16.6;0.08;CRTS;CRTS(CL);CRTS
53767.24272;16.57;0.08;CRTS;CRTS(CL);CRTS
53767.24437;16.66;0.08;CRTS;CRTS(CL);CRTS
53831.199036;16.571;0.099;LINEAR;LINEAR(CL);LINEAR
53831.2094093;16.453;0.091;LINEAR;LINEAR(CL);LINEAR
53831.2197129;16.474;0.091;LINEAR;LINEAR(CL);LINEAR
53831.2300074;16.54;0.096;LINEAR;LINEAR(CL);LINEAR
53831.2402858;16.566;0.097;LINEAR;LINEAR(CL);LINEAR
53860.1498124;16.474;0.104;LINEAR;LINEAR(CL);LINEAR
53860.1600816;16.496;0.097;LINEAR;LINEAR(CL);LINEAR
53860.1702659;16.613;0.124;LINEAR;LINEAR(CL);LINEAR
53860.1804299;16.556;0.096;LINEAR;LINEAR(CL);LINEAR
53860.1904821;16.575;0.097;LINEAR;LINEAR(CL);LINEAR
54013.4213298;16.5;0.178;LINEAR;LINEAR(CL);LINEAR
54013.4360959;16.632;0.168;LINEAR;LINEAR(CL);LINEAR
54013.4505893;16.681;0.172;LINEAR;LINEAR(CL);LINEAR
54013.4646639;16.579;0.102;LINEAR;LINEAR(CL);LINEAR
54013.4776917;16.574;0.092;LINEAR;LINEAR(CL);LINEAR
54049.4123092;16.649;0.17;LINEAR;LINEAR(CL);LINEAR
54049.4256959;16.661;0.172;LINEAR;LINEAR(CL);LINEAR
54049.4386559;16.557;0.152;LINEAR;LINEAR(CL);LINEAR
54061.44994;16.58;0.07;CRTS;CRTS(CL);CRTS
54061.45579;16.61;0.07;CRTS;CRTS(CL);CRTS
54061.46175;16.61;0.07;CRTS;CRTS(CL);CRTS
54061.46767;16.54;0.07;CRTS;CRTS(CL);CRTS
54062.39269;16.66;0.07;CRTS;CRTS(CL);CRTS
54062.3992;16.64;0.07;CRTS;CRTS(CL);CRTS
54062.40569;16.62;0.07;CRTS;CRTS(CL);CRTS
54062.41227;16.58;0.07;CRTS;CRTS(CL);CRTS
54070.3396;16.63;0.09;CRTS;CRTS(CL);CRTS
54070.34412;16.67;0.09;CRTS;CRTS(CL);CRTS
54070.3486;16.48;0.09;CRTS;CRTS(CL);CRTS
54070.35306;16.62;0.09;CRTS;CRTS(CL);CRTS
54070.37076;16.56;0.09;CRTS;CRTS(CL);CRTS
54070.37442;16.53;0.09;CRTS;CRTS(CL);CRTS
54070.37812;16.63;0.09;CRTS;CRTS(CL);CRTS
54070.38178;16.63;0.09;CRTS;CRTS(CL);CRTS
54078.3337061;16.639;0.107;LINEAR;LINEAR(CL);LINEAR
54078.3600333;16.573;0.104;LINEAR;LINEAR(CL);LINEAR
54078.373328;16.559;0.105;LINEAR;LINEAR(CL);LINEAR
54078.3863992;16.547;0.102;LINEAR;LINEAR(CL);LINEAR
54107.3558059;16.568;0.132;LINEAR;LINEAR(CL);LINEAR
54107.3687889;16.583;0.134;LINEAR;LINEAR(CL);LINEAR
54107.3821238;16.621;0.137;LINEAR;LINEAR(CL);LINEAR
54107.3949573;16.626;0.14;LINEAR;LINEAR(CL);LINEAR
54107.4078045;16.413;0.119;LINEAR;LINEAR(CL);LINEAR
54128.19068;16.57;0.07;CRTS;CRTS(CL);CRTS
54128.19177;16.6;0.07;CRTS;CRTS(CL);CRTS
54128.19735;16.49;0.07;CRTS;CRTS(CL);CRTS
54128.19844;16.57;0.07;CRTS;CRTS(CL);CRTS
54128.20404;16.56;0.07;CRTS;CRTS(CL);CRTS
54128.20514;16.7;0.08;CRTS;CRTS(CL);CRTS
54128.21073;16.54;0.07;CRTS;CRTS(CL);CRTS
54128.21183;16.66;0.07;CRTS;CRTS(CL);CRTS
54128.2852062;16.545;0.117;LINEAR;LINEAR(CL);LINEAR
54128.2978415;16.512;0.094;LINEAR;LINEAR(CL);LINEAR
54128.3104983;16.448;0.198;LINEAR;LINEAR(CL);LINEAR
54128.3231891;16.552;0.097;LINEAR;LINEAR(CL);LINEAR
54128.3363551;16.612;0.099;LINEAR;LINEAR(CL);LINEAR
54138.2343299;16.584;0.073;LINEAR;LINEAR(CL);LINEAR
54138.2466717;16.651;0.083;LINEAR;LINEAR(CL);LINEAR
54138.2595335;16.668;0.087;LINEAR;LINEAR(CL);LINEAR
54138.2717337;16.633;0.083;LINEAR;LINEAR(CL);LINEAR
54138.283978;16.646;0.084;LINEAR;LINEAR(CL);LINEAR
54144.22744;16.68;0.08;CRTS;CRTS(CL);CRTS
54144.22799;16.53;0.07;CRTS;CRTS(CL);CRTS
54144.23421;16.61;0.07;CRTS;CRTS(CL);CRTS
54144.23476;16.53;0.07;CRTS;CRTS(CL);CRTS
