MJD;Magnitude;Error;Facility;Filter;Observer
53360.43819189;20.397224;0.030007444;SDSS;SDSS(r);SDSS
53360.43902116;19.823492;0.027082045;SDSS;SDSS(i);SDSS
53360.43985042;24.700312;0.6669381;SDSS;SDSS(u);SDSS
53360.44067969;19.419254;0.061291132;SDSS;SDSS(z);SDSS
53360.44150895;21.690619;0.055658653;SDSS;SDSS(g);SDSS
53470.26082;19.76;0.26;CRTS;CRTS(CL);CRTS
53470.26812;19.91;0.28;CRTS;CRTS(CL);CRTS
53470.27543;19.77;0.26;CRTS;CRTS(CL);CRTS
53470.28272;20.5;0.39;CRTS;CRTS(CL);CRTS
53490.23534;19.15;0.18;CRTS;CRTS(CL);CRTS
53490.24348;19.84;0.25;CRTS;CRTS(CL);CRTS
53490.25162;19.49;0.21;CRTS;CRTS(CL);CRTS
53711.47639;19.59;0.22;CRTS;CRTS(CL);CRTS
53711.48666;19.77;0.25;CRTS;CRTS(CL);CRTS
53711.49703;19.93;0.27;CRTS;CRTS(CL);CRTS
53711.50753;19.64;0.23;CRTS;CRTS(CL);CRTS
53728.46929;19.62;0.24;CRTS;CRTS(CL);CRTS
53728.48547;19.42;0.22;CRTS;CRTS(CL);CRTS
53728.49355;20.01;0.29;CRTS;CRTS(CL);CRTS
53737.41639;19.49;0.21;CRTS;CRTS(CL);CRTS
53740.43819;20.04;0.28;CRTS;CRTS(CL);CRTS
53740.44679;19.91;0.26;CRTS;CRTS(CL);CRTS
53740.45533;20.37;0.33;CRTS;CRTS(CL);CRTS
53740.46391;20.08;0.29;CRTS;CRTS(CL);CRTS
53767.49984;19.94;0.27;CRTS;CRTS(CL);CRTS
53767.50471;20.72;0.41;CRTS;CRTS(CL);CRTS
53793.37938;20.34;0.33;CRTS;CRTS(CL);CRTS
53793.38578;19.61;0.23;CRTS;CRTS(CL);CRTS
53793.3922;19.61;0.23;CRTS;CRTS(CL);CRTS
53793.3986;19.76;0.25;CRTS;CRTS(CL);CRTS
53818.25107;19.77;0.26;CRTS;CRTS(CL);CRTS
53818.25774;19.98;0.28;CRTS;CRTS(CL);CRTS
53818.26443;19.5;0.22;CRTS;CRTS(CL);CRTS
53831.17055;19.67;0.25;CRTS;CRTS(CL);CRTS
53831.17716;20.25;0.34;CRTS;CRTS(CL);CRTS
53851.26712;20.62;0.41;CRTS;CRTS(CL);CRTS
53851.276;20.4;0.36;CRTS;CRTS(CL);CRTS
53851.28492;19.89;0.27;CRTS;CRTS(CL);CRTS
53851.29386;19.47;0.22;CRTS;CRTS(CL);CRTS
53860.21285;20.03;0.3;CRTS;CRTS(CL);CRTS
53860.21931;18.9;0.17;CRTS;CRTS(CL);CRTS
53860.22577;20.0;0.29;CRTS;CRTS(CL);CRTS
53860.23225;19.43;0.22;CRTS;CRTS(CL);CRTS
54062.48653;19.85;0.24;CRTS;CRTS(CL);CRTS
54062.49498;19.99;0.26;CRTS;CRTS(CL);CRTS
54062.50346;20.27;0.3;CRTS;CRTS(CL);CRTS
54062.51189;20.0;0.26;CRTS;CRTS(CL);CRTS
54096.34423;19.82;0.26;CRTS;CRTS(CL);CRTS
54096.35383;19.82;0.25;CRTS;CRTS(CL);CRTS
54096.36343;19.62;0.22;CRTS;CRTS(CL);CRTS
54096.37298;19.99;0.27;CRTS;CRTS(CL);CRTS
54115.30754;19.63;0.22;CRTS;CRTS(CL);CRTS
54115.32938;19.7;0.23;CRTS;CRTS(CL);CRTS
54115.3402;20.07;0.27;CRTS;CRTS(CL);CRTS
54129.40529;20.5;0.35;CRTS;CRTS(CL);CRTS
54129.41065;19.96;0.26;CRTS;CRTS(CL);CRTS
54129.42136;20.19;0.29;CRTS;CRTS(CL);CRTS
54141.37817;19.8;0.26;CRTS;CRTS(CL);CRTS
54141.38413;19.88;0.26;CRTS;CRTS(CL);CRTS
54141.39007;19.94;0.28;CRTS;CRTS(CL);CRTS
54141.39604;19.77;0.24;CRTS;CRTS(CL);CRTS
54156.25936;20.83;0.47;CRTS;CRTS(CL);CRTS
54156.26808;20.16;0.33;CRTS;CRTS(CL);CRTS
54156.27679;20.26;0.34;CRTS;CRTS(CL);CRTS
54156.28552;19.82;0.27;CRTS;CRTS(CL);CRTS
