MJD;Magnitude;Error;Facility;Filter;Observer
52639.3776153;18.796;0.433;LINEAR;LINEAR(CL);LINEAR
52639.3923897;19.178;0.603;LINEAR;LINEAR(CL);LINEAR
52639.4071161;18.752;0.42;LINEAR;LINEAR(CL);LINEAR
52639.4370999;18.913;0.451;LINEAR;LINEAR(CL);LINEAR
52646.4474552;18.95;0.548;LINEAR;LINEAR(CL);LINEAR
52649.4592062;18.29;0.272;LINEAR;LINEAR(CL);LINEAR
52649.4928079;18.575;0.355;LINEAR;LINEAR(CL);LINEAR
52649.5070564;19.003;0.551;LINEAR;LINEAR(CL);LINEAR
52677.3170258;18.346;0.287;LINEAR;LINEAR(CL);LINEAR
52701.3444594;18.817;0.441;LINEAR;LINEAR(CL);LINEAR
52706.3005571;18.872;0.418;LINEAR;LINEAR(CL);LINEAR
52706.3137103;18.749;0.374;LINEAR;LINEAR(CL);LINEAR
52706.3270888;18.908;0.424;LINEAR;LINEAR(CL);LINEAR
52706.3404272;18.823;0.394;LINEAR;LINEAR(CL);LINEAR
52706.3538807;18.647;0.342;LINEAR;LINEAR(CL);LINEAR
52724.2411714;18.989;0.477;LINEAR;LINEAR(CL);LINEAR
52724.2644257;18.611;0.326;LINEAR;LINEAR(CL);LINEAR
52724.2876401;18.746;0.372;LINEAR;LINEAR(CL);LINEAR
52733.2423754;18.861;0.482;LINEAR;LINEAR(CL);LINEAR
52733.2907988;18.48;0.467;LINEAR;LINEAR(CL);LINEAR
52753.1920432;18.277;0.274;LINEAR;LINEAR(CL);LINEAR
52753.2041257;18.562;0.366;LINEAR;LINEAR(CL);LINEAR
52753.2180889;18.456;0.337;LINEAR;LINEAR(CL);LINEAR
52992.4292725;19.247;0.572;LINEAR;LINEAR(CL);LINEAR
52992.4425827;19.365;0.574;LINEAR;LINEAR(CL);LINEAR
53001.4176742;19.367;0.378;LINEAR;LINEAR(CL);LINEAR
53001.4400381;19.821;0.597;LINEAR;LINEAR(CL);LINEAR
53001.4544444;19.738;0.52;LINEAR;LINEAR(CL);LINEAR
53001.4718889;18.852;0.224;LINEAR;LINEAR(CL);LINEAR
53001.4907416;18.969;0.249;LINEAR;LINEAR(CL);LINEAR
53003.3750204;19.578;0.574;LINEAR;LINEAR(CL);LINEAR
53003.3992555;19.443;0.601;LINEAR;LINEAR(CL);LINEAR
53034.3779254;19.198;0.611;LINEAR;LINEAR(CL);LINEAR
53051.2812865;18.952;0.385;LINEAR;LINEAR(CL);LINEAR
53051.2930177;19.374;0.561;LINEAR;LINEAR(CL);LINEAR
53051.3046947;18.845;0.342;LINEAR;LINEAR(CL);LINEAR
53051.3163903;18.776;0.318;LINEAR;LINEAR(CL);LINEAR
53051.3280668;18.932;0.377;LINEAR;LINEAR(CL);LINEAR
53078.3370779;19.048;0.551;LINEAR;LINEAR(CL);LINEAR
53087.2858413;18.861;0.297;LINEAR;LINEAR(CL);LINEAR
53087.2990851;19.189;0.406;LINEAR;LINEAR(CL);LINEAR
53087.3105406;19.458;0.515;LINEAR;LINEAR(CL);LINEAR
53087.3336153;19.135;0.409;LINEAR;LINEAR(CL);LINEAR
53089.2690321;19.293;0.495;LINEAR;LINEAR(CL);LINEAR
53089.2798887;19.421;0.541;LINEAR;LINEAR(CL);LINEAR
53149.1640239;19.079;0.555;LINEAR;LINEAR(CL);LINEAR
53149.1732129;18.545;0.351;LINEAR;LINEAR(CL);LINEAR
53149.1926096;18.779;0.453;LINEAR;LINEAR(CL);LINEAR
53149.2015383;18.97;0.562;LINEAR;LINEAR(CL);LINEAR
53357.4721782;18.741;0.417;LINEAR;LINEAR(CL);LINEAR
53439.3131588401;20.120537;0.02436463;SDSS;SDSS(r);SDSS
53439.3139881099;19.75739;0.0308478;SDSS;SDSS(i);SDSS
53439.31481737;21.82941;0.11823126;SDSS;SDSS(u);SDSS
53439.31564663;19.792694;0.06470472;SDSS;SDSS(z);SDSS
53439.3164759;20.881426;0.029932976;SDSS;SDSS(g);SDSS
53469.25564;19.47;0.21;CRTS;CRTS(CL);CRTS
53469.26375;19.38;0.2;CRTS;CRTS(CL);CRTS
53469.2719;19.46;0.21;CRTS;CRTS(CL);CRTS
53469.28003;19.59;0.22;CRTS;CRTS(CL);CRTS
53500.212217;18.669;0.431;LINEAR;LINEAR(CL);LINEAR
53500.2221361;18.701;0.444;LINEAR;LINEAR(CL);LINEAR
53500.23084;19.59;0.22;CRTS;CRTS(CL);CRTS
53500.23734;19.35;0.2;CRTS;CRTS(CL);CRTS
53500.24385;19.46;0.21;CRTS;CRTS(CL);CRTS
53500.25031;19.38;0.2;CRTS;CRTS(CL);CRTS
53528.1793462;18.137;0.413;LINEAR;LINEAR(CL);LINEAR
53673.48704;19.04;0.18;CRTS;CRTS(CL);CRTS
53673.49192;19.82;0.26;CRTS;CRTS(CL);CRTS
53673.49679;18.91;0.17;CRTS;CRTS(CL);CRTS
53673.50165;19.84;0.26;CRTS;CRTS(CL);CRTS
53703.4577904;19.025;0.548;LINEAR;LINEAR(CL);LINEAR
53703.4835501;18.897;0.477;LINEAR;LINEAR(CL);LINEAR
53703.4962227;18.843;0.448;LINEAR;LINEAR(CL);LINEAR
53710.4827;19.19;0.18;CRTS;CRTS(CL);CRTS
53710.49029;19.27;0.19;CRTS;CRTS(CL);CRTS
53710.4979;19.83;0.25;CRTS;CRTS(CL);CRTS
53710.50554;19.61;0.22;CRTS;CRTS(CL);CRTS
53728.44717;19.37;0.21;CRTS;CRTS(CL);CRTS
53728.45533;20.4;0.39;CRTS;CRTS(CL);CRTS
53728.46357;19.21;0.2;CRTS;CRTS(CL);CRTS
53736.44022;19.25;0.19;CRTS;CRTS(CL);CRTS
53736.4476;19.46;0.21;CRTS;CRTS(CL);CRTS
53736.45506;19.23;0.19;CRTS;CRTS(CL);CRTS
53736.46256;19.77;0.24;CRTS;CRTS(CL);CRTS
53740.4284608;18.723;0.377;LINEAR;LINEAR(CL);LINEAR
53740.4422658;19.255;0.599;LINEAR;LINEAR(CL);LINEAR
53740.455768;18.534;0.32;LINEAR;LINEAR(CL);LINEAR
53761.41639;19.29;0.19;CRTS;CRTS(CL);CRTS
53761.4228;19.42;0.21;CRTS;CRTS(CL);CRTS
53761.42924;19.41;0.2;CRTS;CRTS(CL);CRTS
53761.43567;19.21;0.19;CRTS;CRTS(CL);CRTS
53770.2904434;18.475;0.313;LINEAR;LINEAR(CL);LINEAR
53770.3034384;19.071;0.531;LINEAR;LINEAR(CL);LINEAR
53770.3165073;18.504;0.3;LINEAR;LINEAR(CL);LINEAR
53770.3306875;18.998;0.468;LINEAR;LINEAR(CL);LINEAR
53770.3443868;18.582;0.329;LINEAR;LINEAR(CL);LINEAR
53787.35384;18.79;0.15;CRTS;CRTS(CL);CRTS
53787.35976;19.51;0.22;CRTS;CRTS(CL);CRTS
53787.36566;19.34;0.2;CRTS;CRTS(CL);CRTS
53787.37154;19.25;0.19;CRTS;CRTS(CL);CRTS
53794.359;19.63;0.25;CRTS;CRTS(CL);CRTS
53794.36546;19.27;0.21;CRTS;CRTS(CL);CRTS
53794.37845;19.61;0.25;CRTS;CRTS(CL);CRTS
53803.22875;19.8;0.32;CRTS;CRTS(CL);CRTS
53803.24128;20.04;0.36;CRTS;CRTS(CL);CRTS
53819.21632;19.55;0.24;CRTS;CRTS(CL);CRTS
53819.22291;20.05;0.32;CRTS;CRTS(CL);CRTS
53819.22946;19.31;0.22;CRTS;CRTS(CL);CRTS
53819.23605;20.01;0.31;CRTS;CRTS(CL);CRTS
53824.26345;18.819;0.396;LINEAR;LINEAR(CL);LINEAR
53824.2685425;18.924;0.436;LINEAR;LINEAR(CL);LINEAR
53831.14085;19.63;0.24;CRTS;CRTS(CL);CRTS
53831.14709;19.4;0.21;CRTS;CRTS(CL);CRTS
53831.15342;18.93;0.17;CRTS;CRTS(CL);CRTS
53844.212;19.54;0.23;CRTS;CRTS(CL);CRTS
53844.22811;19.53;0.23;CRTS;CRTS(CL);CRTS
53844.23617;19.45;0.22;CRTS;CRTS(CL);CRTS
53851.12944;19.36;0.21;CRTS;CRTS(CL);CRTS
53851.13698;19.7;0.25;CRTS;CRTS(CL);CRTS
53851.14452;19.18;0.19;CRTS;CRTS(CL);CRTS
53851.15207;19.3;0.2;CRTS;CRTS(CL);CRTS
53859.19152;19.83;0.27;CRTS;CRTS(CL);CRTS
53859.20327;19.2;0.19;CRTS;CRTS(CL);CRTS
53878.1838;19.81;0.26;CRTS;CRTS(CL);CRTS
53878.1902;19.5;0.22;CRTS;CRTS(CL);CRTS
53878.19657;18.83;0.16;CRTS;CRTS(CL);CRTS
53878.20298;19.59;0.23;CRTS;CRTS(CL);CRTS
53885.16318;19.4;0.21;CRTS;CRTS(CL);CRTS
53885.17239;19.64;0.24;CRTS;CRTS(CL);CRTS
53885.18159;19.58;0.24;CRTS;CRTS(CL);CRTS
53885.19082;19.58;0.24;CRTS;CRTS(CL);CRTS
53887.2041746;17.023;0.246;LINEAR;LINEAR(CL);LINEAR
53902.21903;19.65;0.81;CRTS;CRTS(CL);CRTS
54035.50909;19.14;0.17;CRTS;CRTS(CL);CRTS
54035.51391;19.37;0.19;CRTS;CRTS(CL);CRTS
54035.51883;19.43;0.2;CRTS;CRTS(CL);CRTS
54035.52375;18.82;0.15;CRTS;CRTS(CL);CRTS
54056.45706;19.55;0.21;CRTS;CRTS(CL);CRTS
54056.46414;19.51;0.21;CRTS;CRTS(CL);CRTS
54056.47107;19.32;0.19;CRTS;CRTS(CL);CRTS
54056.47812;19.16;0.17;CRTS;CRTS(CL);CRTS
54062.45367;19.44;0.2;CRTS;CRTS(CL);CRTS
54062.46131;19.16;0.17;CRTS;CRTS(CL);CRTS
54062.46885;19.58;0.21;CRTS;CRTS(CL);CRTS
54062.47646;19.52;0.21;CRTS;CRTS(CL);CRTS
54094.38886;19.31;0.19;CRTS;CRTS(CL);CRTS
