MJD;Magnitude;Error;Facility;Filter;Observer
51112.0112999999;15.016;0.16;2MASS;2MASS(K);2MASS
51112.0112999999;15.915;0.238;2MASS;2MASS(H);2MASS
51112.0112999999;16.182;0.156;2MASS;2MASS(J);2MASS
53527.40903;17.0;0.09;CRTS;CRTS(CL);CRTS
53527.41789;16.92;0.08;CRTS;CRTS(CL);CRTS
53527.42662;16.97;0.08;CRTS;CRTS(CL);CRTS
53527.43539;17.08;0.09;CRTS;CRTS(CL);CRTS
53551.40841;17.02;0.09;CRTS;CRTS(CL);CRTS
53551.41597;16.98;0.08;CRTS;CRTS(CL);CRTS
53551.4235;17.14;0.09;CRTS;CRTS(CL);CRTS
53551.43105;16.92;0.08;CRTS;CRTS(CL);CRTS
53562.37062;17.05;0.09;CRTS;CRTS(CL);CRTS
53562.3789;16.98;0.09;CRTS;CRTS(CL);CRTS
53562.38712;17.04;0.09;CRTS;CRTS(CL);CRTS
53562.39535;16.92;0.09;CRTS;CRTS(CL);CRTS
53563.40636;16.96;0.09;CRTS;CRTS(CL);CRTS
53563.41286;16.95;0.09;CRTS;CRTS(CL);CRTS
53563.41937;17.1;0.09;CRTS;CRTS(CL);CRTS
53563.42585;17.04;0.09;CRTS;CRTS(CL);CRTS
53598.58133;16.8;0.15;CRTS;CRTS(CL);CRTS
53598.59082;16.95;0.16;CRTS;CRTS(CL);CRTS
53598.6;17.09;0.17;CRTS;CRTS(CL);CRTS
53598.60904;17.07;0.16;CRTS;CRTS(CL);CRTS
53618.28227;17.03;0.09;CRTS;CRTS(CL);CRTS
53618.28873;17.07;0.09;CRTS;CRTS(CL);CRTS
53618.29518;17.03;0.09;CRTS;CRTS(CL);CRTS
53618.30163;17.04;0.09;CRTS;CRTS(CL);CRTS
53636.2049;17.0;0.09;CRTS;CRTS(CL);CRTS
53636.21249;16.94;0.09;CRTS;CRTS(CL);CRTS
53636.22013;16.9;0.08;CRTS;CRTS(CL);CRTS
53636.22771;16.95;0.09;CRTS;CRTS(CL);CRTS
