MJD;Magnitude;Error;Facility;Filter;Observer
52345.36180628;19.300632;0.017185569;SDSS;SDSS(r);SDSS
52345.36180628;19.314339;0.01800364;SDSS;SDSS(r);SDSS
52345.36222092;19.274693;0.019408103;SDSS;SDSS(r);SDSS
52345.36222092;19.274693;0.019594984;SDSS;SDSS(r);SDSS
52345.36263555;18.897284;0.017068459;SDSS;SDSS(i);SDSS
52345.36263555;18.90974;0.01933763;SDSS;SDSS(i);SDSS
52345.36305018;18.858383;0.017666427;SDSS;SDSS(i);SDSS
52345.36346481;21.90518;0.1712142;SDSS;SDSS(u);SDSS
52345.36346481;22.05867;0.19521259;SDSS;SDSS(u);SDSS
52345.3638794401;21.91539;0.17152596;SDSS;SDSS(u);SDSS
52345.36429408;18.321173;0.029520692;SDSS;SDSS(z);SDSS
52345.36429408;18.347656;0.031017331;SDSS;SDSS(z);SDSS
52345.36470871;18.348488;0.02895701;SDSS;SDSS(z);SDSS
52345.36512334;20.062902;0.022326536;SDSS;SDSS(g);SDSS
52345.36512334;20.096094;0.022168979;SDSS;SDSS(g);SDSS
52345.36553797;20.082403;0.024553174;SDSS;SDSS(g);SDSS
52666.4669267;18.217;0.305;LINEAR;LINEAR(CL);LINEAR
52666.4823962;17.98;0.213;LINEAR;LINEAR(CL);LINEAR
52676.3696542;18.007;0.307;LINEAR;LINEAR(CL);LINEAR
52676.3998444;17.705;0.195;LINEAR;LINEAR(CL);LINEAR
52676.4151442;17.665;0.196;LINEAR;LINEAR(CL);LINEAR
52698.4008398;17.903;0.203;LINEAR;LINEAR(CL);LINEAR
52698.4162157;17.843;0.191;LINEAR;LINEAR(CL);LINEAR
52698.4308297;17.843;0.198;LINEAR;LINEAR(CL);LINEAR
52698.445907;17.738;0.19;LINEAR;LINEAR(CL);LINEAR
52698.4604218;18.097;0.259;LINEAR;LINEAR(CL);LINEAR
52711.3098618;17.891;0.256;LINEAR;LINEAR(CL);LINEAR
52711.3228673;17.871;0.252;LINEAR;LINEAR(CL);LINEAR
52711.3364188;17.754;0.224;LINEAR;LINEAR(CL);LINEAR
52711.3495809;18.006;0.269;LINEAR;LINEAR(CL);LINEAR
52711.3626361;17.956;0.249;LINEAR;LINEAR(CL);LINEAR
52725.3748946;17.888;0.272;LINEAR;LINEAR(CL);LINEAR
52725.3751355;18.096;0.24;LINEAR;LINEAR(CL);LINEAR
52725.3888397;17.701;0.144;LINEAR;LINEAR(CL);LINEAR
52725.3890793;18.209;0.181;LINEAR;LINEAR(CL);LINEAR
52725.4021947;17.965;0.187;LINEAR;LINEAR(CL);LINEAR
52725.4024365;18.146;0.176;LINEAR;LINEAR(CL);LINEAR
52725.4147601;17.992;0.192;LINEAR;LINEAR(CL);LINEAR
52725.4149997;18.055;0.167;LINEAR;LINEAR(CL);LINEAR
52725.4271756;17.827;0.165;LINEAR;LINEAR(CL);LINEAR
52725.4274173;18.004;0.159;LINEAR;LINEAR(CL);LINEAR
52738.30282;17.848;0.183;LINEAR;LINEAR(CL);LINEAR
52738.3158315;18.061;0.214;LINEAR;LINEAR(CL);LINEAR
52738.3296918;17.99;0.196;LINEAR;LINEAR(CL);LINEAR
52738.3431161;18.087;0.21;LINEAR;LINEAR(CL);LINEAR
52738.3555053;17.925;0.183;LINEAR;LINEAR(CL);LINEAR
52739.2995368;17.679;0.18;LINEAR;LINEAR(CL);LINEAR
52739.3111872;17.969;0.233;LINEAR;LINEAR(CL);LINEAR
52739.3230793;17.725;0.186;LINEAR;LINEAR(CL);LINEAR
52739.3346941;17.841;0.206;LINEAR;LINEAR(CL);LINEAR
52739.3463265;17.884;0.228;LINEAR;LINEAR(CL);LINEAR
52754.262134;17.923;0.192;LINEAR;LINEAR(CL);LINEAR
52754.2750188;18.009;0.216;LINEAR;LINEAR(CL);LINEAR
52754.2875244;17.821;0.178;LINEAR;LINEAR(CL);LINEAR
52754.30165;18.086;0.228;LINEAR;LINEAR(CL);LINEAR
52754.3139327;18.145;0.229;LINEAR;LINEAR(CL);LINEAR
52757.21893543;19.55659;0.023525603;SDSS;SDSS(r);SDSS
52757.21893543;19.562279;0.023664886;SDSS;SDSS(r);SDSS
52757.21893543;19.556833;0.023514044;SDSS;SDSS(r);SDSS
52757.2197647;19.137703;0.0324241;SDSS;SDSS(i);SDSS
52757.2197647;19.137793;0.032431345;SDSS;SDSS(i);SDSS
52757.2197647;19.143736;0.032523584;SDSS;SDSS(i);SDSS
52757.22059396;22.29808;0.18709528;SDSS;SDSS(u);SDSS
52757.22059396;21.806421;0.17507431;SDSS;SDSS(u);SDSS
52757.22059396;22.350351;0.20463082;SDSS;SDSS(u);SDSS
52757.22142323;18.68355;0.030642563;SDSS;SDSS(z);SDSS
52757.22142323;18.678192;0.030169444;SDSS;SDSS(z);SDSS
52757.22142323;18.673927;0.030124443;SDSS;SDSS(z);SDSS
52757.2222524901;20.439442;0.02279922;SDSS;SDSS(g);SDSS
52757.2222524901;20.43349;0.022597829;SDSS;SDSS(g);SDSS
52757.2222524901;20.41981;0.022369323;SDSS;SDSS(g);SDSS
52769.2191207;18.468;0.523;LINEAR;LINEAR(CL);LINEAR
52769.2309688;18.2;0.426;LINEAR;LINEAR(CL);LINEAR
52769.2424523;18.231;0.416;LINEAR;LINEAR(CL);LINEAR
52769.2545677;17.968;0.348;LINEAR;LINEAR(CL);LINEAR
52769.266124;18.022;0.384;LINEAR;LINEAR(CL);LINEAR
52794.2194064;17.781;0.226;LINEAR;LINEAR(CL);LINEAR
52794.2297227;17.735;0.216;LINEAR;LINEAR(CL);LINEAR
52794.2402396;17.835;0.236;LINEAR;LINEAR(CL);LINEAR
52794.2507596;17.562;0.195;LINEAR;LINEAR(CL);LINEAR
52794.2615056;17.824;0.246;LINEAR;LINEAR(CL);LINEAR
52797.2290576;18.382;0.596;LINEAR;LINEAR(CL);LINEAR
52797.2396912;17.993;0.431;LINEAR;LINEAR(CL);LINEAR
52813.1807664;17.818;0.281;LINEAR;LINEAR(CL);LINEAR
52813.1906223;17.829;0.267;LINEAR;LINEAR(CL);LINEAR
52813.2103464;17.8;0.284;LINEAR;LINEAR(CL);LINEAR
52813.2201942;17.932;0.332;LINEAR;LINEAR(CL);LINEAR
52824.1746261;17.829;0.224;LINEAR;LINEAR(CL);LINEAR
52824.1749057;19.037;0.518;LINEAR;LINEAR(CL);LINEAR
52824.1846046;18.132;0.3;LINEAR;LINEAR(CL);LINEAR
52824.1944529;17.941;0.25;LINEAR;LINEAR(CL);LINEAR
52824.1947269;18.503;0.329;LINEAR;LINEAR(CL);LINEAR
52824.2043399;17.963;0.27;LINEAR;LINEAR(CL);LINEAR
52824.2046269;18.678;0.396;LINEAR;LINEAR(CL);LINEAR
52824.2142329;17.937;0.253;LINEAR;LINEAR(CL);LINEAR
52824.2145037;18.92;0.453;LINEAR;LINEAR(CL);LINEAR
52993.4619196;17.815;0.161;LINEAR;LINEAR(CL);LINEAR
52993.4620957;18.406;0.237;LINEAR;LINEAR(CL);LINEAR
