MJD;Magnitude;Error;Facility;Filter;Observer
52612.4736316;18.712;0.416;LINEAR;LINEAR(CL);LINEAR
52612.5040979;19.254;0.657;LINEAR;LINEAR(CL);LINEAR
52620.4632933;18.918;0.474;LINEAR;LINEAR(CL);LINEAR
52620.4784337;19.067;0.575;LINEAR;LINEAR(CL);LINEAR
52622.4839845;18.942;0.586;LINEAR;LINEAR(CL);LINEAR
52665.4220217;19.012;0.52;LINEAR;LINEAR(CL);LINEAR
52812.2024018;18.514;0.516;LINEAR;LINEAR(CL);LINEAR
52977.4520148;19.098;0.535;LINEAR;LINEAR(CL);LINEAR
52977.4764749;19.277;0.601;LINEAR;LINEAR(CL);LINEAR
52977.501211;19.162;0.536;LINEAR;LINEAR(CL);LINEAR
52991.4993953;19.023;0.411;LINEAR;LINEAR(CL);LINEAR
52991.5120087;19.015;0.411;LINEAR;LINEAR(CL);LINEAR
53035.3917438;19.25;0.566;LINEAR;LINEAR(CL);LINEAR
53035.4043938;19.472;0.638;LINEAR;LINEAR(CL);LINEAR
53107.2667226;19.107;0.528;LINEAR;LINEAR(CL);LINEAR
53319.4768219;18.729;0.551;LINEAR;LINEAR(CL);LINEAR
53349.4907933;18.728;0.512;LINEAR;LINEAR(CL);LINEAR
53354.45548392;20.05651;0.032561596;SDSS;SDSS(r);SDSS
53354.4563131901;19.742887;0.02470386;SDSS;SDSS(i);SDSS
53354.45714245;22.22192;0.18751593;SDSS;SDSS(u);SDSS
53354.45797172;19.456812;0.0696128;SDSS;SDSS(z);SDSS
53354.45880098;20.707426;0.030186653;SDSS;SDSS(g);SDSS
53389.5071255;19.512;0.633;LINEAR;LINEAR(CL);LINEAR
53389.5231108;19.447;0.594;LINEAR;LINEAR(CL);LINEAR
53470.26178;19.5;0.23;CRTS;CRTS(CL);CRTS
53470.26908;19.61;0.24;CRTS;CRTS(CL);CRTS
53470.27638;19.89;0.29;CRTS;CRTS(CL);CRTS
53470.28368;19.48;0.23;CRTS;CRTS(CL);CRTS
53474.2889012;19.218;0.662;LINEAR;LINEAR(CL);LINEAR
53490.22501;19.71;0.24;CRTS;CRTS(CL);CRTS
53490.23316;19.52;0.22;CRTS;CRTS(CL);CRTS
53490.24134;19.64;0.23;CRTS;CRTS(CL);CRTS
53490.24947;19.36;0.2;CRTS;CRTS(CL);CRTS
53506.19514;19.33;0.22;CRTS;CRTS(CL);CRTS
53506.20283;19.07;0.19;CRTS;CRTS(CL);CRTS
53506.21052;19.63;0.26;CRTS;CRTS(CL);CRTS
53506.21821;18.99;0.19;CRTS;CRTS(CL);CRTS
53527.24456;19.12;0.18;CRTS;CRTS(CL);CRTS
53527.25468;19.65;0.24;CRTS;CRTS(CL);CRTS
53527.26469;19.04;0.18;CRTS;CRTS(CL);CRTS
53527.27474;19.39;0.21;CRTS;CRTS(CL);CRTS
53711.47368;19.52;0.22;CRTS;CRTS(CL);CRTS
53711.484;19.92;0.27;CRTS;CRTS(CL);CRTS
53711.49428;19.13;0.18;CRTS;CRTS(CL);CRTS
53711.50478;19.78;0.25;CRTS;CRTS(CL);CRTS
53728.47248;19.24;0.2;CRTS;CRTS(CL);CRTS
53728.49675;19.43;0.22;CRTS;CRTS(CL);CRTS
53737.41276;19.42;0.21;CRTS;CRTS(CL);CRTS
53737.42195;19.55;0.22;CRTS;CRTS(CL);CRTS
53740.43981;19.69;0.24;CRTS;CRTS(CL);CRTS
53740.4484;19.75;0.24;CRTS;CRTS(CL);CRTS
53740.45694;19.82;0.25;CRTS;CRTS(CL);CRTS
53740.46553;19.46;0.21;CRTS;CRTS(CL);CRTS
53741.4257021;19.446;0.551;LINEAR;LINEAR(CL);LINEAR
53767.49227;19.71;0.24;CRTS;CRTS(CL);CRTS
53767.4971;19.82;0.25;CRTS;CRTS(CL);CRTS
53767.502;19.4;0.21;CRTS;CRTS(CL);CRTS
53767.50687;20.44;0.35;CRTS;CRTS(CL);CRTS
53793.37832;19.81;0.25;CRTS;CRTS(CL);CRTS
53793.38472;19.53;0.22;CRTS;CRTS(CL);CRTS
53793.39113;20.14;0.3;CRTS;CRTS(CL);CRTS
53793.39753;19.7;0.24;CRTS;CRTS(CL);CRTS
53817.38262;19.93;0.27;CRTS;CRTS(CL);CRTS
53817.39213;19.64;0.24;CRTS;CRTS(CL);CRTS
53817.40164;19.1;0.18;CRTS;CRTS(CL);CRTS
53817.41121;19.45;0.22;CRTS;CRTS(CL);CRTS
53851.2687;19.96;0.28;CRTS;CRTS(CL);CRTS
53851.27759;19.48;0.22;CRTS;CRTS(CL);CRTS
53851.28652;19.42;0.22;CRTS;CRTS(CL);CRTS
53851.29545;19.51;0.23;CRTS;CRTS(CL);CRTS
53860.21442;19.22;0.2;CRTS;CRTS(CL);CRTS
53860.2209;20.33;0.35;CRTS;CRTS(CL);CRTS
53860.22737;19.34;0.21;CRTS;CRTS(CL);CRTS
53860.23383;19.65;0.24;CRTS;CRTS(CL);CRTS
54096.38266;19.26;0.19;CRTS;CRTS(CL);CRTS
54096.39084;19.44;0.21;CRTS;CRTS(CL);CRTS
54096.39909;19.54;0.22;CRTS;CRTS(CL);CRTS
54096.40726;19.48;0.21;CRTS;CRTS(CL);CRTS
54116.39805;19.51;0.21;CRTS;CRTS(CL);CRTS
54116.40613;19.7;0.23;CRTS;CRTS(CL);CRTS
54116.41411;18.69;0.14;CRTS;CRTS(CL);CRTS
54116.42206;19.86;0.25;CRTS;CRTS(CL);CRTS
54123.3432691;19.384;0.568;LINEAR;LINEAR(CL);LINEAR
54141.41027;19.62;0.23;CRTS;CRTS(CL);CRTS
54141.4157;19.46;0.24;CRTS;CRTS(CL);CRTS
54141.42116;19.07;0.19;CRTS;CRTS(CL);CRTS
54156.26128;19.57;0.24;CRTS;CRTS(CL);CRTS
54156.27;20.19;0.33;CRTS;CRTS(CL);CRTS
54156.2787;19.16;0.19;CRTS;CRTS(CL);CRTS
54156.28744;19.51;0.23;CRTS;CRTS(CL);CRTS
54174.37264;19.86;0.25;CRTS;CRTS(CL);CRTS
54174.38214;19.48;0.21;CRTS;CRTS(CL);CRTS
54174.39162;20.2;0.3;CRTS;CRTS(CL);CRTS
54174.40111;19.52;0.21;CRTS;CRTS(CL);CRTS
54185.24862;19.45;0.21;CRTS;CRTS(CL);CRTS
54185.2573;19.9;0.26;CRTS;CRTS(CL);CRTS
54185.266;19.32;0.19;CRTS;CRTS(CL);CRTS
54201.255658;19.35;0.52;LINEAR;LINEAR(CL);LINEAR
54235.24692;19.94;0.29;CRTS;CRTS(CL);CRTS
54235.2508;19.53;0.23;CRTS;CRTS(CL);CRTS
54235.25468;19.64;0.24;CRTS;CRTS(CL);CRTS
54270.19216;19.47;0.15;CRTS;CRTS(CL);CRTS
54270.20022;18.83;0.12;CRTS;CRTS(CL);CRTS
54270.20828;19.75;0.18;CRTS;CRTS(CL);CRTS
54270.21639;19.67;0.17;CRTS;CRTS(CL);CRTS
54451.46373;19.49;0.21;CRTS;CRTS(CL);CRTS
54451.47118;19.89;0.25;CRTS;CRTS(CL);CRTS
54451.47862;19.47;0.2;CRTS;CRTS(CL);CRTS
54451.48603;19.6;0.22;CRTS;CRTS(CL);CRTS
54480.31757;19.61;0.22;CRTS;CRTS(CL);CRTS
54480.32588;19.69;0.23;CRTS;CRTS(CL);CRTS
54480.33418;19.79;0.24;CRTS;CRTS(CL);CRTS
54480.34246;19.46;0.21;CRTS;CRTS(CL);CRTS
54497.35799;20.05;0.36;CRTS;CRTS(CL);CRTS
54504.30694;19.52;0.21;CRTS;CRTS(CL);CRTS
54504.31367;19.53;0.21;CRTS;CRTS(CL);CRTS
54504.32037;19.6;0.22;CRTS;CRTS(CL);CRTS
54504.32709;19.9;0.25;CRTS;CRTS(CL);CRTS
54508.3785184;18.97;0.388;LINEAR;LINEAR(CL);LINEAR
54514.2208;19.61;0.23;CRTS;CRTS(CL);CRTS
54514.22632;19.41;0.21;CRTS;CRTS(CL);CRTS
54525.3151;20.21;0.34;CRTS;CRTS(CL);CRTS
54525.33255;19.37;0.23;CRTS;CRTS(CL);CRTS
54525.34062;19.78;0.28;CRTS;CRTS(CL);CRTS
54532.46455;19.71;0.24;CRTS;CRTS(CL);CRTS
54532.46896;19.94;0.26;CRTS;CRTS(CL);CRTS
54532.47645;19.71;0.23;CRTS;CRTS(CL);CRTS
54532.49145;20.19;0.3;CRTS;CRTS(CL);CRTS
54557.29701;19.5;0.21;CRTS;CRTS(CL);CRTS
54557.30509;19.73;0.23;CRTS;CRTS(CL);CRTS
54557.31318;19.53;0.21;CRTS;CRTS(CL);CRTS
54557.32131;19.79;0.24;CRTS;CRTS(CL);CRTS
54564.3567;19.4;0.2;CRTS;CRTS(CL);CRTS
54564.36359;19.7;0.24;CRTS;CRTS(CL);CRTS
54564.37045;19.05;0.17;CRTS;CRTS(CL);CRTS
54564.37739;19.74;0.24;CRTS;CRTS(CL);CRTS
54587.13377;19.79;0.24;CRTS;CRTS(CL);CRTS
54587.13921;19.15;0.18;CRTS;CRTS(CL);CRTS
54587.14468;19.25;0.19;CRTS;CRTS(CL);CRTS
54587.15009;19.95;0.26;CRTS;CRTS(CL);CRTS
54627.18188;20.17;0.31;CRTS;CRTS(CL);CRTS
54627.19267;19.61;0.23;CRTS;CRTS(CL);CRTS
54627.19802;19.48;0.22;CRTS;CRTS(CL);CRTS
54641.17968;19.24;0.19;CRTS;CRTS(CL);CRTS
54641.18718;19.38;0.21;CRTS;CRTS(CL);CRTS
54641.19587;19.49;0.22;CRTS;CRTS(CL);CRTS
54641.2033;20.34;0.35;CRTS;CRTS(CL);CRTS
54641.21067;19.28;0.2;CRTS;CRTS(CL);CRTS
54806.4451;19.94;0.26;CRTS;CRTS(CL);CRTS
54806.44895;19.52;0.21;CRTS;CRTS(CL);CRTS
54806.45534;20.41;0.33;CRTS;CRTS(CL);CRTS
54806.46181;20.69;0.39;CRTS;CRTS(CL);CRTS
54806.46827;19.65;0.22;CRTS;CRTS(CL);CRTS
54860.45414;19.58;0.21;CRTS;CRTS(CL);CRTS
54860.45937;19.62;0.22;CRTS;CRTS(CL);CRTS
54860.46469;19.65;0.22;CRTS;CRTS(CL);CRTS
54860.46996;19.12;0.17;CRTS;CRTS(CL);CRTS
54866.36628;19.99;0.26;CRTS;CRTS(CL);CRTS
54866.37723;19.37;0.19;CRTS;CRTS(CL);CRTS
54866.38812;19.51;0.21;CRTS;CRTS(CL);CRTS
54866.39921;19.41;0.2;CRTS;CRTS(CL);CRTS
54884.2983;19.87;0.25;CRTS;CRTS(CL);CRTS
54884.30384;19.7;0.23;CRTS;CRTS(CL);CRTS
54884.30927;19.44;0.2;CRTS;CRTS(CL);CRTS
54884.31478;19.49;0.21;CRTS;CRTS(CL);CRTS
54892.3224;19.57;0.24;CRTS;CRTS(CL);CRTS
54892.3291;19.94;0.29;CRTS;CRTS(CL);CRTS
54892.33589;19.29;0.21;CRTS;CRTS(CL);CRTS
54892.34264;19.72;0.26;CRTS;CRTS(CL);CRTS
54903.4617772;20.34479141235352;0.1693679392337799;PTF;PTF(R);PTF
54904.3846272;19.60540580749512;0.0884177088737487;PTF;PTF(R);PTF
54908.3979272;19.56778717041016;0.0899356231093406;PTF;PTF(R);PTF
54909.27678;19.88;0.25;CRTS;CRTS(CL);CRTS
54909.28439;19.2;0.18;CRTS;CRTS(CL);CRTS
54909.29196;19.49;0.2;CRTS;CRTS(CL);CRTS
54909.29954;19.66;0.22;CRTS;CRTS(CL);CRTS
54916.41189;19.74;0.24;CRTS;CRTS(CL);CRTS
54916.41864;19.44;0.21;CRTS;CRTS(CL);CRTS
54916.42548;19.84;0.26;CRTS;CRTS(CL);CRTS
54916.43239;19.51;0.22;CRTS;CRTS(CL);CRTS
54923.18647;19.25;0.18;CRTS;CRTS(CL);CRTS
54923.19253;19.67;0.23;CRTS;CRTS(CL);CRTS
54923.19862;20.42;0.34;CRTS;CRTS(CL);CRTS
54923.20455;19.12;0.17;CRTS;CRTS(CL);CRTS
54951.31979;19.4;0.2;CRTS;CRTS(CL);CRTS
54951.32774;19.43;0.21;CRTS;CRTS(CL);CRTS
54951.33564;19.54;0.22;CRTS;CRTS(CL);CRTS
54951.34363;19.15;0.18;CRTS;CRTS(CL);CRTS
54969.19735;20.04;0.31;CRTS;CRTS(CL);CRTS
54969.2035;19.38;0.21;CRTS;CRTS(CL);CRTS
54969.2095;20.24;0.33;CRTS;CRTS(CL);CRTS
55004.18439;19.32;0.2;CRTS;CRTS(CL);CRTS
55004.19169;20.4;0.34;CRTS;CRTS(CL);CRTS
55004.19901;19.07;0.17;CRTS;CRTS(CL);CRTS
55004.20627;19.92;0.27;CRTS;CRTS(CL);CRTS
55143.5004;19.54;0.22;CRTS;CRTS(CL);CRTS
55143.50908;20.27;0.33;CRTS;CRTS(CL);CRTS
55143.51341;19.52;0.22;CRTS;CRTS(CL);CRTS
55159.47887;19.87;0.26;CRTS;CRTS(CL);CRTS
55159.48674;19.41;0.2;CRTS;CRTS(CL);CRTS
55159.50243;19.29;0.19;CRTS;CRTS(CL);CRTS
55184.47806;19.63;0.22;CRTS;CRTS(CL);CRTS
55184.48615;19.5;0.21;CRTS;CRTS(CL);CRTS
55184.50268;19.14;0.17;CRTS;CRTS(CL);CRTS
55211.43073;19.65;0.22;CRTS;CRTS(CL);CRTS
55211.43828;19.53;0.21;CRTS;CRTS(CL);CRTS
55211.4458;19.91;0.26;CRTS;CRTS(CL);CRTS
55211.45327;19.33;0.19;CRTS;CRTS(CL);CRTS
55244.35393;19.55;0.22;CRTS;CRTS(CL);CRTS
55244.36033;20.06;0.28;CRTS;CRTS(CL);CRTS
55244.36686;19.86;0.25;CRTS;CRTS(CL);CRTS
55244.37354;19.82;0.25;CRTS;CRTS(CL);CRTS
55259.50109;19.42;0.21;CRTS;CRTS(CL);CRTS
55269.24586;20.1;0.29;CRTS;CRTS(CL);CRTS
55269.25207;19.56;0.22;CRTS;CRTS(CL);CRTS
55269.25839;18.99;0.17;CRTS;CRTS(CL);CRTS
55269.26472;19.48;0.21;CRTS;CRTS(CL);CRTS
55276.25099;19.41;0.2;CRTS;CRTS(CL);CRTS
55276.25974;19.86;0.26;CRTS;CRTS(CL);CRTS
55276.26855;19.39;0.2;CRTS;CRTS(CL);CRTS
55276.27742;19.64;0.23;CRTS;CRTS(CL);CRTS
55302.15135;19.57;0.23;CRTS;CRTS(CL);CRTS
55302.15819;19.52;0.23;CRTS;CRTS(CL);CRTS
55302.16507;19.2;0.25;CRTS;CRTS(CL);CRTS
55327.28824;19.63;0.23;CRTS;CRTS(CL);CRTS
55327.2953;19.74;0.25;CRTS;CRTS(CL);CRTS
55327.30267;19.72;0.24;CRTS;CRTS(CL);CRTS
55327.3103;19.49;0.22;CRTS;CRTS(CL);CRTS
55341.26654;19.68;0.24;CRTS;CRTS(CL);CRTS
55341.27364;19.03;0.17;CRTS;CRTS(CL);CRTS
55341.27944;19.41;0.21;CRTS;CRTS(CL);CRTS
55341.28526;19.62;0.23;CRTS;CRTS(CL);CRTS
55346.6283933;16.391;0.311;ALLWISE;WISE(W1);ALLWISE
55346.7606971;16.807;0.44;ALLWISE;WISE(W1);ALLWISE
55346.893001;16.617;0.36;ALLWISE;WISE(W1);ALLWISE
55347.091521;16.618;0.37;ALLWISE;WISE(W1);ALLWISE
55347.1576092;15.365;0.47;ALLWISE;WISE(W2);ALLWISE
55347.1576092;16.521;0.336;ALLWISE;WISE(W1);ALLWISE
55347.2238248;16.985;0.507;ALLWISE;WISE(W1);ALLWISE
55347.289913;16.583;0.354;ALLWISE;WISE(W1);ALLWISE
55347.3561286;16.294;0.274;ALLWISE;WISE(W1);ALLWISE
55347.4884324;16.919;0.496;ALLWISE;WISE(W1);ALLWISE
55347.6207362;15.916;0.197;ALLWISE;WISE(W1);ALLWISE
55347.75304;16.631;0.354;ALLWISE;WISE(W1);ALLWISE
55536.6748658;16.838;0.469;ALLWISE;WISE(W1);ALLWISE
55536.6748658;15.512;0.506;ALLWISE;WISE(W2);ALLWISE
55537.1377399;16.461;0.363;ALLWISE;WISE(W1);ALLWISE
55537.2700442;16.823;0.439;ALLWISE;WISE(W1);ALLWISE
55537.4022212;16.285;0.27;ALLWISE;WISE(W1);ALLWISE
55577.39159;19.55;0.28;CRTS;CRTS(CL);CRTS
55577.39885;18.97;0.2;CRTS;CRTS(CL);CRTS
55577.40616;20.67;0.51;CRTS;CRTS(CL);CRTS
55618.31851;19.42;0.21;CRTS;CRTS(CL);CRTS
55618.32598;19.52;0.22;CRTS;CRTS(CL);CRTS
55618.33349;20.0;0.28;CRTS;CRTS(CL);CRTS
55618.34092;19.41;0.21;CRTS;CRTS(CL);CRTS
55625.31041;19.41;0.16;CRTS;CRTS(CL);CRTS
55625.31955;19.73;0.18;CRTS;CRTS(CL);CRTS
