MJD;Magnitude;Error;Facility;Filter;Observer
53594.78087;17.19;0.19;CRTS;CRTS(CL);CRTS
53594.78935;16.96;0.17;CRTS;CRTS(CL);CRTS
53594.79802;17.12;0.18;CRTS;CRTS(CL);CRTS
53594.80673;17.21;0.19;CRTS;CRTS(CL);CRTS
53618.79163;16.97;0.14;CRTS;CRTS(CL);CRTS
53618.79643;17.05;0.15;CRTS;CRTS(CL);CRTS
53618.80127;16.97;0.14;CRTS;CRTS(CL);CRTS
53618.80593;16.85;0.13;CRTS;CRTS(CL);CRTS
53655.74638;17.01;0.15;CRTS;CRTS(CL);CRTS
53655.75297;16.95;0.14;CRTS;CRTS(CL);CRTS
53655.75955;17.09;0.15;CRTS;CRTS(CL);CRTS
53655.76614;16.91;0.14;CRTS;CRTS(CL);CRTS
53670.72036;17.04;0.18;CRTS;CRTS(CL);CRTS
53670.72899;16.84;0.16;CRTS;CRTS(CL);CRTS
53670.73759;16.97;0.17;CRTS;CRTS(CL);CRTS
53670.74633;17.07;0.18;CRTS;CRTS(CL);CRTS
53690.62146;17.6;0.21;CRTS;CRTS(CL);CRTS
53690.63009;17.23;0.17;CRTS;CRTS(CL);CRTS
53690.63876;17.31;0.18;CRTS;CRTS(CL);CRTS
53690.64736;17.41;0.19;CRTS;CRTS(CL);CRTS
53708.61015;17.31;0.18;CRTS;CRTS(CL);CRTS
53708.62009;16.89;0.15;CRTS;CRTS(CL);CRTS
53708.63;16.96;0.16;CRTS;CRTS(CL);CRTS
53708.63997;16.99;0.16;CRTS;CRTS(CL);CRTS
53717.56515;17.12;0.16;CRTS;CRTS(CL);CRTS
53717.5719;17.0;0.15;CRTS;CRTS(CL);CRTS
53717.57857;17.42;0.19;CRTS;CRTS(CL);CRTS
53717.58525;17.17;0.17;CRTS;CRTS(CL);CRTS
53734.59474;17.2;0.17;CRTS;CRTS(CL);CRTS
53734.60158;17.1;0.17;CRTS;CRTS(CL);CRTS
53734.60841;17.14;0.17;CRTS;CRTS(CL);CRTS
53734.61524;17.18;0.17;CRTS;CRTS(CL);CRTS
53756.54603;17.03;0.14;CRTS;CRTS(CL);CRTS
53756.55696;16.97;0.13;CRTS;CRTS(CL);CRTS
53756.56792;17.15;0.14;CRTS;CRTS(CL);CRTS
53756.57889;17.04;0.14;CRTS;CRTS(CL);CRTS
53819.41166;16.98;0.14;CRTS;CRTS(CL);CRTS
53819.41723;16.93;0.14;CRTS;CRTS(CL);CRTS
53819.42281;17.05;0.14;CRTS;CRTS(CL);CRTS
