MJD;Magnitude;Error;Facility;Filter;Observer
52614.4973043;18.878;0.546;LINEAR;LINEAR(CL);LINEAR
52646.4062386;18.683;0.459;LINEAR;LINEAR(CL);LINEAR
52646.4219967;18.374;0.328;LINEAR;LINEAR(CL);LINEAR
52646.4369647;18.165;0.272;LINEAR;LINEAR(CL);LINEAR
52646.4520764;18.577;0.394;LINEAR;LINEAR(CL);LINEAR
52646.4670609;18.542;0.386;LINEAR;LINEAR(CL);LINEAR
52649.4724264;18.547;0.355;LINEAR;LINEAR(CL);LINEAR
52649.4874913;18.179;0.252;LINEAR;LINEAR(CL);LINEAR
52666.4186412;19.104;0.57;LINEAR;LINEAR(CL);LINEAR
52672.3935305;18.646;0.408;LINEAR;LINEAR(CL);LINEAR
52701.374638;18.813;0.454;LINEAR;LINEAR(CL);LINEAR
52701.4228067;18.808;0.5;LINEAR;LINEAR(CL);LINEAR
52706.330096;18.59;0.326;LINEAR;LINEAR(CL);LINEAR
52710.3057846;18.755;0.482;LINEAR;LINEAR(CL);LINEAR
52710.3339081;18.783;0.477;LINEAR;LINEAR(CL);LINEAR
52710.3469992;18.994;0.594;LINEAR;LINEAR(CL);LINEAR
52710.3603447;18.812;0.487;LINEAR;LINEAR(CL);LINEAR
52724.2477595;19.07;0.538;LINEAR;LINEAR(CL);LINEAR
52724.2718571;18.705;0.388;LINEAR;LINEAR(CL);LINEAR
52724.2972054;19.033;0.523;LINEAR;LINEAR(CL);LINEAR
52733.2461772;18.526;0.348;LINEAR;LINEAR(CL);LINEAR
52733.2584094;18.595;0.388;LINEAR;LINEAR(CL);LINEAR
52733.282555;18.847;0.478;LINEAR;LINEAR(CL);LINEAR
52733.2946595;18.377;0.48;LINEAR;LINEAR(CL);LINEAR
52753.2014289;18.606;0.427;LINEAR;LINEAR(CL);LINEAR
52753.252807;18.898;0.582;LINEAR;LINEAR(CL);LINEAR
52992.517433;18.601;0.414;LINEAR;LINEAR(CL);LINEAR
53002.4889209;19.08;0.297;LINEAR;LINEAR(CL);LINEAR
53034.3391762;18.761;0.487;LINEAR;LINEAR(CL);LINEAR
53034.3749508;18.919;0.502;LINEAR;LINEAR(CL);LINEAR
53034.3869074;18.923;0.495;LINEAR;LINEAR(CL);LINEAR
53064.3041309;18.829;0.401;LINEAR;LINEAR(CL);LINEAR
53064.31663;18.671;0.317;LINEAR;LINEAR(CL);LINEAR
53064.3289174;18.708;0.332;LINEAR;LINEAR(CL);LINEAR
53065.3559962;18.775;0.407;LINEAR;LINEAR(CL);LINEAR
