MJD;Magnitude;Error;Facility;Filter;Observer
52047.29612618;19.78254;0.020374717;SDSS;SDSS(r);SDSS
52047.29695544;19.294823;0.021170905;SDSS;SDSS(i);SDSS
52047.29778471;22.38921;0.20997694;SDSS;SDSS(u);SDSS
52047.29861397;18.883768;0.041238565;SDSS;SDSS(z);SDSS
52047.29944324;21.202833;0.041260768;SDSS;SDSS(g);SDSS
52052.38712814;19.912113;0.019368008;SDSS;SDSS(r);SDSS
52052.38712814;19.912111;0.019349515;SDSS;SDSS(r);SDSS
52052.3879574;19.444342;0.01967448;SDSS;SDSS(i);SDSS
52052.3879574;19.444338;0.019600006;SDSS;SDSS(i);SDSS
52052.38878667;22.31359;0.19075099;SDSS;SDSS(u);SDSS
52052.38878667;22.313618;0.19075547;SDSS;SDSS(u);SDSS
52052.38961593;19.036919;0.036041323;SDSS;SDSS(z);SDSS
52052.38961593;19.036911;0.036002595;SDSS;SDSS(z);SDSS
52052.3904452;21.228844;0.037856113;SDSS;SDSS(g);SDSS
52052.3904452;21.228846;0.037938528;SDSS;SDSS(g);SDSS
52434.29313572;19.91488;0.024984756;SDSS;SDSS(r);SDSS
52434.2939649901;19.434954;0.025159273;SDSS;SDSS(i);SDSS
52434.29479425;22.239864;0.18140954;SDSS;SDSS(u);SDSS
52434.29562352;19.082916;0.042476993;SDSS;SDSS(z);SDSS
52434.29645278;21.205338;0.04046821;SDSS;SDSS(g);SDSS
52723.4213311;18.924;0.52;LINEAR;LINEAR(CL);LINEAR
52723.4340449;18.467;0.513;LINEAR;LINEAR(CL);LINEAR
52812.2950961;19.277;0.647;LINEAR;LINEAR(CL);LINEAR
53023.4852873;19.144;0.568;LINEAR;LINEAR(CL);LINEAR
53023.497306;19.266;0.576;LINEAR;LINEAR(CL);LINEAR
53023.5093786;19.058;0.487;LINEAR;LINEAR(CL);LINEAR
53035.480269;18.657;0.449;LINEAR;LINEAR(CL);LINEAR
53046.4829008;18.985;0.636;LINEAR;LINEAR(CL);LINEAR
53107.3529601;19.382;0.609;LINEAR;LINEAR(CL);LINEAR
53107.3639743;19.149;0.5;LINEAR;LINEAR(CL);LINEAR
53107.3756001;19.102;0.498;LINEAR;LINEAR(CL);LINEAR
53107.3866233;19.213;0.566;LINEAR;LINEAR(CL);LINEAR
53107.397642;18.999;0.505;LINEAR;LINEAR(CL);LINEAR
53136.3112631;18.759;0.427;LINEAR;LINEAR(CL);LINEAR
53136.3300349;18.894;0.468;LINEAR;LINEAR(CL);LINEAR
53154.2966507;18.976;0.631;LINEAR;LINEAR(CL);LINEAR
53154.3054879;18.988;0.64;LINEAR;LINEAR(CL);LINEAR
53154.3142601;18.966;0.603;LINEAR;LINEAR(CL);LINEAR
53154.3230938;18.79;0.527;LINEAR;LINEAR(CL);LINEAR
53154.3318777;19.051;0.664;LINEAR;LINEAR(CL);LINEAR
53526.30884;19.26;0.19;CRTS;CRTS(CL);CRTS
53526.31949;19.38;0.2;CRTS;CRTS(CL);CRTS
53526.32984;19.21;0.18;CRTS;CRTS(CL);CRTS
53526.34011;19.01;0.17;CRTS;CRTS(CL);CRTS
53534.31797;19.3;0.19;CRTS;CRTS(CL);CRTS
53534.3265;19.18;0.18;CRTS;CRTS(CL);CRTS
53534.33489;19.16;0.18;CRTS;CRTS(CL);CRTS
53534.34326;19.17;0.18;CRTS;CRTS(CL);CRTS
53549.25388;19.27;0.2;CRTS;CRTS(CL);CRTS
53549.26049;19.51;0.22;CRTS;CRTS(CL);CRTS
53549.26708;19.08;0.18;CRTS;CRTS(CL);CRTS
53549.27365;19.11;0.18;CRTS;CRTS(CL);CRTS
53557.32593;19.47;0.21;CRTS;CRTS(CL);CRTS
53557.33004;19.43;0.21;CRTS;CRTS(CL);CRTS
53557.33418;19.37;0.2;CRTS;CRTS(CL);CRTS
53557.33834;19.25;0.19;CRTS;CRTS(CL);CRTS
53562.24598;19.51;0.21;CRTS;CRTS(CL);CRTS
53562.25304;19.56;0.22;CRTS;CRTS(CL);CRTS
53562.26014;18.97;0.17;CRTS;CRTS(CL);CRTS
53562.26718;19.15;0.18;CRTS;CRTS(CL);CRTS
53627.14876;19.56;0.26;CRTS;CRTS(CL);CRTS
53627.15578;20.37;0.4;CRTS;CRTS(CL);CRTS
53627.16278;20.36;0.4;CRTS;CRTS(CL);CRTS
53627.16981;19.36;0.23;CRTS;CRTS(CL);CRTS
53644.13425;19.37;0.21;CRTS;CRTS(CL);CRTS
53644.14082;19.39;0.22;CRTS;CRTS(CL);CRTS
53644.14735;19.5;0.23;CRTS;CRTS(CL);CRTS
53644.1539;19.24;0.2;CRTS;CRTS(CL);CRTS
53657.11578;18.85;0.17;CRTS;CRTS(CL);CRTS
53657.13503;19.2;0.21;CRTS;CRTS(CL);CRTS
53673.07683;19.47;0.22;CRTS;CRTS(CL);CRTS
53673.08173;19.07;0.18;CRTS;CRTS(CL);CRTS
53673.08662;19.61;0.23;CRTS;CRTS(CL);CRTS
53673.09151;19.47;0.22;CRTS;CRTS(CL);CRTS
53686.05844;19.93;0.35;CRTS;CRTS(CL);CRTS
53686.06268;19.34;0.26;CRTS;CRTS(CL);CRTS
53772.5120391;18.864;0.516;LINEAR;LINEAR(CL);LINEAR
53772.5248506;18.369;0.327;LINEAR;LINEAR(CL);LINEAR
53796.47343;19.34;0.2;CRTS;CRTS(CL);CRTS
53796.47985;19.1;0.18;CRTS;CRTS(CL);CRTS
53796.48632;19.45;0.21;CRTS;CRTS(CL);CRTS
53796.49281;19.56;0.22;CRTS;CRTS(CL);CRTS
53825.3954069;18.335;0.403;LINEAR;LINEAR(CL);LINEAR
53843.3636648;18.286;0.496;LINEAR;LINEAR(CL);LINEAR
53851.43132;19.37;0.21;CRTS;CRTS(CL);CRTS
53851.43778;19.2;0.19;CRTS;CRTS(CL);CRTS
