MJD;Magnitude;Error;Facility;Filter;Observer
53556.51391;17.49;0.21;CRTS;CRTS(CL);CRTS
53556.52028;18.25;0.31;CRTS;CRTS(CL);CRTS
53556.52664;18.35;0.33;CRTS;CRTS(CL);CRTS
53556.533;17.89;0.26;CRTS;CRTS(CL);CRTS
53576.50748;17.85;0.22;CRTS;CRTS(CL);CRTS
53576.51403;18.31;0.29;CRTS;CRTS(CL);CRTS
53588.43368;17.98;0.2;CRTS;CRTS(CL);CRTS
53588.44188;18.3;0.23;CRTS;CRTS(CL);CRTS
53588.44991;18.11;0.21;CRTS;CRTS(CL);CRTS
53588.45786;18.11;0.21;CRTS;CRTS(CL);CRTS
53605.40855;18.04;0.24;CRTS;CRTS(CL);CRTS
53605.41532;18.41;0.3;CRTS;CRTS(CL);CRTS
53605.42199;18.01;0.24;CRTS;CRTS(CL);CRTS
53605.42865;18.39;0.3;CRTS;CRTS(CL);CRTS
53613.42529;18.58;0.46;CRTS;CRTS(CL);CRTS
53613.43386;18.1;0.35;CRTS;CRTS(CL);CRTS
53613.44247;17.98;0.33;CRTS;CRTS(CL);CRTS
53613.45104;18.79;0.58;CRTS;CRTS(CL);CRTS
53772.70066;18.19;0.31;CRTS;CRTS(CL);CRTS
53772.70935;18.16;0.3;CRTS;CRTS(CL);CRTS
53772.71803;18.14;0.3;CRTS;CRTS(CL);CRTS
53772.72644;18.12;0.29;CRTS;CRTS(CL);CRTS
53804.68366;18.0;0.24;CRTS;CRTS(CL);CRTS
53804.68968;18.02;0.24;CRTS;CRTS(CL);CRTS
53804.69618;18.44;0.3;CRTS;CRTS(CL);CRTS
53804.70241;18.07;0.25;CRTS;CRTS(CL);CRTS
53820.65649;18.09;0.24;CRTS;CRTS(CL);CRTS
53820.66773;18.03;0.23;CRTS;CRTS(CL);CRTS
53820.67899;17.74;0.34;CRTS;CRTS(CL);CRTS
53820.68977;18.63;0.81;CRTS;CRTS(CL);CRTS
53831.59628;17.85;0.22;CRTS;CRTS(CL);CRTS
53831.60409;18.16;0.25;CRTS;CRTS(CL);CRTS
53831.61209;18.38;0.28;CRTS;CRTS(CL);CRTS
53831.62012;17.81;0.21;CRTS;CRTS(CL);CRTS
53854.69502;18.3;0.28;CRTS;CRTS(CL);CRTS
53854.70233;18.05;0.24;CRTS;CRTS(CL);CRTS
53854.70961;18.21;0.27;CRTS;CRTS(CL);CRTS
53854.71689;18.15;0.26;CRTS;CRTS(CL);CRTS
53863.55931;18.27;0.27;CRTS;CRTS(CL);CRTS
53863.57122;18.39;0.29;CRTS;CRTS(CL);CRTS
53863.58283;18.33;0.28;CRTS;CRTS(CL);CRTS
53863.59446;17.99;0.23;CRTS;CRTS(CL);CRTS
53872.59726;18.22;0.27;CRTS;CRTS(CL);CRTS
53872.60694;18.32;0.28;CRTS;CRTS(CL);CRTS
