MJD;Magnitude;Error;Facility;Filter;Observer
52723.2675408;18.383;0.313;LINEAR;LINEAR(CL);LINEAR
52977.4495087;18.318;0.305;LINEAR;LINEAR(CL);LINEAR
52977.4740751;18.013;0.228;LINEAR;LINEAR(CL);LINEAR
52977.4988889;18.016;0.228;LINEAR;LINEAR(CL);LINEAR
53139.20179231;19.870506;0.03081562;SDSS;SDSS(r);SDSS
53139.20262157;19.554354;0.039286386;SDSS;SDSS(i);SDSS
53139.2034508401;22.609285;0.28753987;SDSS;SDSS(u);SDSS
53139.2042801;19.202522;0.055240035;SDSS;SDSS(z);SDSS
53139.20510937;20.728241;0.035818513;SDSS;SDSS(g);SDSS
53331.4508199;17.865;0.265;LINEAR;LINEAR(CL);LINEAR
53349.464002;17.995;0.283;LINEAR;LINEAR(CL);LINEAR
53349.5143197;18.121;0.331;LINEAR;LINEAR(CL);LINEAR
53355.4962434;17.948;0.222;LINEAR;LINEAR(CL);LINEAR
53385.498873;18.882;0.509;LINEAR;LINEAR(CL);LINEAR
53415.4204704;17.84;0.194;LINEAR;LINEAR(CL);LINEAR
53415.4341001;17.373;0.387;LINEAR;LINEAR(CL);LINEAR
53521.2004537;17.777;0.311;LINEAR;LINEAR(CL);LINEAR
53742.4113681;18.465;0.285;LINEAR;LINEAR(CL);LINEAR
53742.4370602;18.174;0.205;LINEAR;LINEAR(CL);LINEAR
53843.2819375;18.282;0.422;LINEAR;LINEAR(CL);LINEAR
54186.2495437;18.364;0.47;LINEAR;LINEAR(CL);LINEAR
54589.2086498;17.994;0.198;LINEAR;LINEAR(CL);LINEAR
54589.2397053;18.453;0.276;LINEAR;LINEAR(CL);LINEAR
55336.1761382;15.569;0.513;ALLWISE;WISE(W2);ALLWISE
55336.3084422;16.313;0.28;ALLWISE;WISE(W1);ALLWISE
55336.3084422;15.182;0.387;ALLWISE;WISE(W2);ALLWISE
55336.4407461;16.553;0.433;ALLWISE;WISE(W1);ALLWISE
55336.5730476;16.909;0.477;ALLWISE;WISE(W1);ALLWISE
55336.6391359;16.528;0.354;ALLWISE;WISE(W1);ALLWISE
55336.7053515;16.07;0.23;ALLWISE;WISE(W1);ALLWISE
55336.7714399;16.557;0.359;ALLWISE;WISE(W1);ALLWISE
55336.8376555;16.617;0.387;ALLWISE;WISE(W1);ALLWISE
55336.9037438;15.729;0.191;ALLWISE;WISE(W1);ALLWISE
55337.0360477;16.428;0.331;ALLWISE;WISE(W1);ALLWISE
55338.5576066;16.698;0.423;ALLWISE;WISE(W1);ALLWISE
55338.6899105;16.098;0.242;ALLWISE;WISE(W1);ALLWISE
55338.8222145;16.487;0.325;ALLWISE;WISE(W1);ALLWISE
55338.9545185;15.146;0.473;ALLWISE;WISE(W2);ALLWISE
55339.2191263;15.984;0.249;ALLWISE;WISE(W1);ALLWISE
55339.2852146;16.76;0.471;ALLWISE;WISE(W1);ALLWISE
55339.4175185;16.462;0.356;ALLWISE;WISE(W1);ALLWISE
55339.5498224;15.357;0.467;ALLWISE;WISE(W2);ALLWISE
55339.5498224;16.165;0.249;ALLWISE;WISE(W1);ALLWISE
55339.6821263;16.091;0.236;ALLWISE;WISE(W1);ALLWISE
55526.4908701;16.636;0.388;ALLWISE;WISE(W1);ALLWISE
55526.623047;14.998;0.329;ALLWISE;WISE(W2);ALLWISE
55526.623047;16.812;0.439;ALLWISE;WISE(W1);ALLWISE
55526.8876555;16.736;0.462;ALLWISE;WISE(W1);ALLWISE
55527.1521367;15.981;0.272;ALLWISE;WISE(W1);ALLWISE
55527.2183525;16.686;0.432;ALLWISE;WISE(W1);ALLWISE
55527.3505294;16.208;0.292;ALLWISE;WISE(W1);ALLWISE
55527.4828337;15.774;0.176;ALLWISE;WISE(W1);ALLWISE
55529.1361912;16.864;0.481;ALLWISE;WISE(W1);ALLWISE
55529.5329766;16.794;0.508;ALLWISE;WISE(W1);ALLWISE
55529.8636735;16.204;0.257;ALLWISE;WISE(W1);ALLWISE
55529.9958505;16.753;0.435;ALLWISE;WISE(W1);ALLWISE
55529.9959778;15.234;0.413;ALLWISE;WISE(W2);ALLWISE
55918.5520715;19.1448;0.014175;PS1;PS1(z);PS1
55937.292051;20.5645;0.017182;PS1;PS1(g);PS1
56036.1078915;19.5029;0.011022;PS1;PS1(i);PS1
56305.2893572;19.809001922607425;0.1620652973651886;PTF;PTF(R);PTF
56305.3492072;19.685699462890625;0.1248533800244331;PTF;PTF(R);PTF
56305.3979372;19.43199157714844;0.1234710812568664;PTF;PTF(R);PTF
56306.4339072;19.750843048095703;0.0855394080281257;PTF;PTF(R);PTF
56307.3352872;19.55196189880371;0.1028630584478378;PTF;PTF(R);PTF
56307.3838472;19.52263069152832;0.112208604812622;PTF;PTF(R);PTF
56307.4399772;19.461153030395508;0.088032953441143;PTF;PTF(R);PTF
56308.3441672;19.83963966369629;0.1280008405447006;PTF;PTF(R);PTF
56308.4620272;19.53037452697754;0.0933607444167137;PTF;PTF(R);PTF
56308.5104272;19.58182144165039;0.0744582414627075;PTF;PTF(R);PTF
56311.2699172;19.905553817749023;0.1330389231443405;PTF;PTF(R);PTF
56313.3310872;19.704561233520508;0.1024321988224983;PTF;PTF(R);PTF
56313.3820772;19.789459228515625;0.0984291583299636;PTF;PTF(R);PTF
56313.4293372;19.587709426879883;0.0931235030293464;PTF;PTF(R);PTF
56314.3788172;19.873233795166016;0.1023060828447341;PTF;PTF(R);PTF
56314.4273372;19.84436798095703;0.0992392525076866;PTF;PTF(R);PTF
56323.3644372;19.670793533325195;0.118794098496437;PTF;PTF(R);PTF
56323.4128872;19.833837509155277;0.1257911473512649;PTF;PTF(R);PTF
56323.4607472;19.69332504272461;0.1324013173580169;PTF;PTF(R);PTF
56328.2475872;19.489452362060547;0.0634884238243103;PTF;PTF(R);PTF
56328.2957672;19.601268768310547;0.059713527560234;PTF;PTF(R);PTF
56328.3460372;19.607471466064453;0.0595615357160568;PTF;PTF(R);PTF
56330.2514572;19.306211471557617;0.0779622867703437;PTF;PTF(R);PTF
56330.2991772;19.46867561340332;0.0655171424150466;PTF;PTF(R);PTF
56330.3537472;19.66557502746582;0.065823420882225;PTF;PTF(R);PTF
56366.2211172;19.41534996032715;0.1128875389695167;PTF;PTF(R);PTF
56366.2323172;19.58550453186035;0.1112285926938057;PTF;PTF(R);PTF
56366.2441172;19.50399780273437;0.1151421517133712;PTF;PTF(R);PTF
56366.2559972;19.579517364501957;0.1093576252460479;PTF;PTF(R);PTF
56385.1925572;19.64982795715332;0.1061228215694427;PTF;PTF(R);PTF
56385.2210872;19.50349998474121;0.1038432568311691;PTF;PTF(R);PTF
56385.2510972;19.63722038269043;0.1033379584550857;PTF;PTF(R);PTF
56468.9154859;19.822;0.006866;PS1;PS1(r);PS1
56751.2472872;19.6733455657959;0.1360538899898529;PTF;PTF(R);PTF
