MJD;Magnitude;Error;Facility;Filter;Observer
53644.40524;19.81;0.28;CRTS;CRTS(CL);CRTS
53644.41336;20.23;0.36;CRTS;CRTS(CL);CRTS
53644.42155;19.44;0.23;CRTS;CRTS(CL);CRTS
53644.42977;20.24;0.36;CRTS;CRTS(CL);CRTS
53652.3348;19.52;0.27;CRTS;CRTS(CL);CRTS
53653.38647;19.66;0.21;CRTS;CRTS(CL);CRTS
53653.39414;19.69;0.21;CRTS;CRTS(CL);CRTS
53653.4018;19.84;0.23;CRTS;CRTS(CL);CRTS
53653.40947;19.64;0.21;CRTS;CRTS(CL);CRTS
53654.44707933;20.64978;0.04629729;SDSS;SDSS(r);SDSS
53654.44707933;20.543135;0.035679214;SDSS;SDSS(r);SDSS
53654.4479085901;20.206839;0.048775684;SDSS;SDSS(i);SDSS
53654.4479085901;20.109612;0.035489418;SDSS;SDSS(i);SDSS
53654.44873786;22.079994;0.24229401;SDSS;SDSS(u);SDSS
53654.44873786;22.143513;0.24175167;SDSS;SDSS(u);SDSS
53654.44956712;19.683235;0.105258726;SDSS;SDSS(z);SDSS
53654.44956712;19.608316;0.09212399;SDSS;SDSS(z);SDSS
53654.45039638;21.561329;0.06540052;SDSS;SDSS(g);SDSS
53654.45039638;21.44133;0.05387339;SDSS;SDSS(g);SDSS
53655.44010618;20.653147;0.033562534;SDSS;SDSS(r);SDSS
53655.44010618;20.690802;0.03981097;SDSS;SDSS(r);SDSS
53655.44093545;20.117695;0.029885665;SDSS;SDSS(i);SDSS
53655.44093545;20.158955;0.036600858;SDSS;SDSS(i);SDSS
53655.4417647099;22.189423;0.22944027;SDSS;SDSS(u);SDSS
53655.4417647099;22.229465;0.229052;SDSS;SDSS(u);SDSS
53655.44259398;19.72664;0.07379422;SDSS;SDSS(z);SDSS
53655.44259398;19.803791;0.088655114;SDSS;SDSS(z);SDSS
53655.44342324;21.693819;0.05669228;SDSS;SDSS(g);SDSS
53655.44342324;21.75006;0.06379973;SDSS;SDSS(g);SDSS
53671.2461;19.8;0.29;CRTS;CRTS(CL);CRTS
