MJD;Magnitude;Error;Facility;Filter;Observer
53537.40532;19.07;0.19;CRTS;CRTS(CL);CRTS
53537.41121;18.58;0.15;CRTS;CRTS(CL);CRTS
53537.41712;18.77;0.16;CRTS;CRTS(CL);CRTS
53537.42302;18.71;0.16;CRTS;CRTS(CL);CRTS
53642.24344;18.69;0.16;CRTS;CRTS(CL);CRTS
53642.24998;18.85;0.17;CRTS;CRTS(CL);CRTS
53642.25651;18.77;0.16;CRTS;CRTS(CL);CRTS
53642.26301;18.97;0.18;CRTS;CRTS(CL);CRTS
53657.17901;18.96;0.18;CRTS;CRTS(CL);CRTS
53657.18963;18.95;0.18;CRTS;CRTS(CL);CRTS
53657.19492;18.53;0.15;CRTS;CRTS(CL);CRTS
53668.17882;18.6;0.14;CRTS;CRTS(CL);CRTS
53668.18047;18.89;0.16;CRTS;CRTS(CL);CRTS
53668.19774;18.74;0.15;CRTS;CRTS(CL);CRTS
53668.20637;18.76;0.15;CRTS;CRTS(CL);CRTS
53676.2722;18.67;0.16;CRTS;CRTS(CL);CRTS
53676.27875;18.54;0.15;CRTS;CRTS(CL);CRTS
53695.16377;18.57;0.14;CRTS;CRTS(CL);CRTS
53695.17686;18.83;0.16;CRTS;CRTS(CL);CRTS
53695.18338;18.73;0.15;CRTS;CRTS(CL);CRTS
53709.16164;18.77;0.15;CRTS;CRTS(CL);CRTS
53709.16753;18.59;0.14;CRTS;CRTS(CL);CRTS
53729.18925;18.87;0.16;CRTS;CRTS(CL);CRTS
53729.20499;18.93;0.16;CRTS;CRTS(CL);CRTS
53729.21265;18.62;0.15;CRTS;CRTS(CL);CRTS
53735.12455;18.73;0.15;CRTS;CRTS(CL);CRTS
53735.13096;18.79;0.16;CRTS;CRTS(CL);CRTS
53735.13737;18.62;0.15;CRTS;CRTS(CL);CRTS
53735.14379;18.77;0.17;CRTS;CRTS(CL);CRTS
53768.11129;18.91;0.17;CRTS;CRTS(CL);CRTS
53768.11634;18.65;0.15;CRTS;CRTS(CL);CRTS
53768.12137;18.77;0.16;CRTS;CRTS(CL);CRTS
53768.1262;18.52;0.14;CRTS;CRTS(CL);CRTS
53995.41253;18.45;0.13;CRTS;CRTS(CL);CRTS
53995.42432;18.59;0.14;CRTS;CRTS(CL);CRTS
53995.43614;18.77;0.15;CRTS;CRTS(CL);CRTS
53995.44799;18.66;0.14;CRTS;CRTS(CL);CRTS
54006.31561;18.77;0.15;CRTS;CRTS(CL);CRTS
54006.3227;18.61;0.14;CRTS;CRTS(CL);CRTS
54006.32979;18.57;0.14;CRTS;CRTS(CL);CRTS
54006.3369;18.85;0.15;CRTS;CRTS(CL);CRTS
54027.21681;18.68;0.14;CRTS;CRTS(CL);CRTS
54027.22597;18.69;0.14;CRTS;CRTS(CL);CRTS
54027.23509;18.67;0.14;CRTS;CRTS(CL);CRTS
54027.24425;18.69;0.14;CRTS;CRTS(CL);CRTS
54035.19986;18.69;0.14;CRTS;CRTS(CL);CRTS
54035.20773;18.65;0.14;CRTS;CRTS(CL);CRTS
54035.21554;18.69;0.14;CRTS;CRTS(CL);CRTS
54035.22332;18.79;0.15;CRTS;CRTS(CL);CRTS
54055.17358;19.01;0.15;CRTS;CRTS(CL);CRTS
54055.18515;18.48;0.12;CRTS;CRTS(CL);CRTS
54055.19675;18.79;0.14;CRTS;CRTS(CL);CRTS
54055.20839;18.51;0.12;CRTS;CRTS(CL);CRTS
54061.17419;18.75;0.15;CRTS;CRTS(CL);CRTS
54061.18383;18.87;0.15;CRTS;CRTS(CL);CRTS
54061.19344;18.87;0.15;CRTS;CRTS(CL);CRTS
54061.20303;18.57;0.14;CRTS;CRTS(CL);CRTS
