MJD;Magnitude;Error;Facility;Filter;Observer
51661.31864689;17.89562;0.019328916;SDSS;SDSS(r);SDSS
51661.31864689;17.89562;0.019334318;SDSS;SDSS(r);SDSS
51661.31864689;17.894548;0.019327618;SDSS;SDSS(r);SDSS
51661.31947616;17.592669;0.018155595;SDSS;SDSS(i);SDSS
51661.31947616;17.592669;0.018147927;SDSS;SDSS(i);SDSS
51661.31947616;17.592823;0.018147478;SDSS;SDSS(i);SDSS
51661.32030542;20.4028;0.04487006;SDSS;SDSS(u);SDSS
51661.32030542;20.40024;0.04464687;SDSS;SDSS(u);SDSS
51661.32030542;20.4028;0.04485411;SDSS;SDSS(u);SDSS
51661.3211346901;17.32786;0.033479758;SDSS;SDSS(z);SDSS
51661.3211346901;17.32786;0.033473376;SDSS;SDSS(z);SDSS
51661.3211346901;17.32853;0.033465434;SDSS;SDSS(z);SDSS
51661.32196395;18.677893;0.019193647;SDSS;SDSS(g);SDSS
51661.32196395;18.677893;0.019189063;SDSS;SDSS(g);SDSS
51661.32196395;18.67773;0.019185822;SDSS;SDSS(g);SDSS
52662.4771916;16.775;0.096;LINEAR;LINEAR(CL);LINEAR
52662.4926551;16.858;0.096;LINEAR;LINEAR(CL);LINEAR
52662.5078657;16.927;0.104;LINEAR;LINEAR(CL);LINEAR
52693.4531106;16.852;0.097;LINEAR;LINEAR(CL);LINEAR
52693.4672113;16.851;0.097;LINEAR;LINEAR(CL);LINEAR
52693.4808776;16.734;0.086;LINEAR;LINEAR(CL);LINEAR
52693.4954485;16.903;0.101;LINEAR;LINEAR(CL);LINEAR
52693.5093133;16.971;0.106;LINEAR;LINEAR(CL);LINEAR
52721.3635498;17.011;0.107;LINEAR;LINEAR(CL);LINEAR
52721.3762202;16.921;0.099;LINEAR;LINEAR(CL);LINEAR
52721.3890201;16.942;0.099;LINEAR;LINEAR(CL);LINEAR
52721.4011424;16.826;0.091;LINEAR;LINEAR(CL);LINEAR
52721.4132646;16.836;0.092;LINEAR;LINEAR(CL);LINEAR
52750.3038419;16.888;0.102;LINEAR;LINEAR(CL);LINEAR
52750.3153239;16.833;0.112;LINEAR;LINEAR(CL);LINEAR
52750.3262324;17.035;0.137;LINEAR;LINEAR(CL);LINEAR
52750.3378853;16.841;0.106;LINEAR;LINEAR(CL);LINEAR
52750.348839;16.974;0.134;LINEAR;LINEAR(CL);LINEAR
52781.3044908;16.766;0.096;LINEAR;LINEAR(CL);LINEAR
52842.1775064;17.023;0.136;LINEAR;LINEAR(CL);LINEAR
52842.187453;16.697;0.12;LINEAR;LINEAR(CL);LINEAR
52842.2175342;16.433;0.231;LINEAR;LINEAR(CL);LINEAR
52926.0968591;16.998;0.107;LINEAR;LINEAR(CL);LINEAR
52926.1085417;16.951;0.117;LINEAR;LINEAR(CL);LINEAR
52926.1199168;16.865;0.124;LINEAR;LINEAR(CL);LINEAR
52926.1314177;16.936;0.144;LINEAR;LINEAR(CL);LINEAR
52926.1431993;16.842;0.148;LINEAR;LINEAR(CL);LINEAR
53044.4218912;17.034;0.2;LINEAR;LINEAR(CL);LINEAR
53074.3917485;16.883;0.127;LINEAR;LINEAR(CL);LINEAR
53074.402854;16.913;0.163;LINEAR;LINEAR(CL);LINEAR
53074.4140012;16.822;0.15;LINEAR;LINEAR(CL);LINEAR
53074.4250859;16.868;0.152;LINEAR;LINEAR(CL);LINEAR
53074.4361456;17.03;0.145;LINEAR;LINEAR(CL);LINEAR
53104.3145599;16.802;0.109;LINEAR;LINEAR(CL);LINEAR
53104.3255807;16.962;0.125;LINEAR;LINEAR(CL);LINEAR
53104.3365172;16.724;0.097;LINEAR;LINEAR(CL);LINEAR
53104.3578691;16.852;0.111;LINEAR;LINEAR(CL);LINEAR
53126.2895544;16.948;0.127;LINEAR;LINEAR(CL);LINEAR
53126.2993706;16.937;0.124;LINEAR;LINEAR(CL);LINEAR
53126.3091453;16.815;0.109;LINEAR;LINEAR(CL);LINEAR
53126.3286659;16.873;0.114;LINEAR;LINEAR(CL);LINEAR
53133.2948467;16.757;0.147;LINEAR;LINEAR(CL);LINEAR
53156.2522055;16.918;0.127;LINEAR;LINEAR(CL);LINEAR
53156.2689716;17.03;0.142;LINEAR;LINEAR(CL);LINEAR
53156.2773566;16.85;0.12;LINEAR;LINEAR(CL);LINEAR
53156.2856881;16.857;0.12;LINEAR;LINEAR(CL);LINEAR
53162.2727368;16.739;0.109;LINEAR;LINEAR(CL);LINEAR
53162.2823931;16.923;0.137;LINEAR;LINEAR(CL);LINEAR
53162.2920459;16.755;0.119;LINEAR;LINEAR(CL);LINEAR
53162.301754;16.96;0.147;LINEAR;LINEAR(CL);LINEAR
53192.2192831;16.768;0.079;LINEAR;LINEAR(CL);LINEAR
53192.2290093;16.877;0.091;LINEAR;LINEAR(CL);LINEAR
53192.2383652;16.871;0.104;LINEAR;LINEAR(CL);LINEAR
53192.2477867;16.896;0.111;LINEAR;LINEAR(CL);LINEAR
53192.2569975;16.759;0.106;LINEAR;LINEAR(CL);LINEAR
53222.2179672;16.738;0.086;LINEAR;LINEAR(CL);LINEAR
53222.2274367;16.725;0.087;LINEAR;LINEAR(CL);LINEAR
53222.2372019;16.794;0.097;LINEAR;LINEAR(CL);LINEAR
53222.2470115;16.717;0.101;LINEAR;LINEAR(CL);LINEAR
53245.1356839;16.77;0.125;LINEAR;LINEAR(CL);LINEAR
53245.1462777;16.85;0.137;LINEAR;LINEAR(CL);LINEAR
53245.1675085;16.652;0.117;LINEAR;LINEAR(CL);LINEAR
53245.1782512;16.973;0.172;LINEAR;LINEAR(CL);LINEAR
53251.1284434;16.887;0.083;LINEAR;LINEAR(CL);LINEAR
53251.1504724;16.868;0.084;LINEAR;LINEAR(CL);LINEAR
53251.1612815;16.823;0.092;LINEAR;LINEAR(CL);LINEAR
53251.172396;16.954;0.117;LINEAR;LINEAR(CL);LINEAR
53275.0998343;16.746;0.119;LINEAR;LINEAR(CL);LINEAR
53275.1131454;16.81;0.134;LINEAR;LINEAR(CL);LINEAR
53275.1255986;16.936;0.152;LINEAR;LINEAR(CL);LINEAR
53275.1381992;16.747;0.139;LINEAR;LINEAR(CL);LINEAR
53275.1506917;16.777;0.15;LINEAR;LINEAR(CL);LINEAR
53280.1049585;16.611;0.074;LINEAR;LINEAR(CL);LINEAR
53390.4720193;16.833;0.076;LINEAR;LINEAR(CL);LINEAR
53390.4847278;16.902;0.085;LINEAR;LINEAR(CL);LINEAR
53390.4974217;16.838;0.074;LINEAR;LINEAR(CL);LINEAR
53390.5101178;16.931;0.08;LINEAR;LINEAR(CL);LINEAR
53390.5232813;16.873;0.076;LINEAR;LINEAR(CL);LINEAR
53400.4356217;16.718;0.093;LINEAR;LINEAR(CL);LINEAR
53400.4481229;16.856;0.1;LINEAR;LINEAR(CL);LINEAR
53400.4605567;16.841;0.096;LINEAR;LINEAR(CL);LINEAR
53429.3871291;16.882;0.104;LINEAR;LINEAR(CL);LINEAR
53429.3984107;16.801;0.094;LINEAR;LINEAR(CL);LINEAR
53429.4097124;16.861;0.1;LINEAR;LINEAR(CL);LINEAR
53429.4209964;16.875;0.1;LINEAR;LINEAR(CL);LINEAR
53429.4322849;16.89;0.1;LINEAR;LINEAR(CL);LINEAR
53476.3294317;16.798;0.085;LINEAR;LINEAR(CL);LINEAR
53476.339806;16.809;0.081;LINEAR;LINEAR(CL);LINEAR
53476.3506175;16.849;0.08;LINEAR;LINEAR(CL);LINEAR
53476.3609869;16.874;0.078;LINEAR;LINEAR(CL);LINEAR
53476.3717529;16.966;0.08;LINEAR;LINEAR(CL);LINEAR
