MJD;Magnitude;Error;Facility;Filter;Observer
54007.14538;18.92;0.07;CRTS;CRTS(CL);CRTS
54007.14538;18.92;0.11;CRTS;CRTS(CL);CRTS
54007.15543;18.8;0.1;CRTS;CRTS(CL);CRTS
54007.15543;18.8;0.06;CRTS;CRTS(CL);CRTS
54008.11689;19.01;0.06;CRTS;CRTS(CL);CRTS
54008.11689;19.01;0.1;CRTS;CRTS(CL);CRTS
54008.12248;18.76;0.05;CRTS;CRTS(CL);CRTS
54008.12248;18.76;0.1;CRTS;CRTS(CL);CRTS
54008.12814;18.56;0.05;CRTS;CRTS(CL);CRTS
54008.12814;18.56;0.09;CRTS;CRTS(CL);CRTS
54348.20003;18.69;0.05;CRTS;CRTS(CL);CRTS
54348.20003;18.69;0.09;CRTS;CRTS(CL);CRTS
54348.20557;18.62;0.05;CRTS;CRTS(CL);CRTS
54348.20557;18.62;0.09;CRTS;CRTS(CL);CRTS
54348.21099;18.59;0.09;CRTS;CRTS(CL);CRTS
54348.21099;18.59;0.05;CRTS;CRTS(CL);CRTS
54348.21643;18.66;0.09;CRTS;CRTS(CL);CRTS
54348.21643;18.66;0.05;CRTS;CRTS(CL);CRTS
54388.08993;18.73;0.05;CRTS;CRTS(CL);CRTS
54388.08993;18.73;0.09;CRTS;CRTS(CL);CRTS
54388.09936;18.75;0.09;CRTS;CRTS(CL);CRTS
54388.09936;18.75;0.05;CRTS;CRTS(CL);CRTS
54388.11824;18.95;0.1;CRTS;CRTS(CL);CRTS
54388.11824;18.95;0.05;CRTS;CRTS(CL);CRTS
54406.06782;18.62;0.04;CRTS;CRTS(CL);CRTS
54406.06782;18.62;0.09;CRTS;CRTS(CL);CRTS
54406.07336;18.72;0.05;CRTS;CRTS(CL);CRTS
54406.07336;18.72;0.09;CRTS;CRTS(CL);CRTS
54406.07886;18.55;0.04;CRTS;CRTS(CL);CRTS
54406.07886;18.55;0.08;CRTS;CRTS(CL);CRTS
54406.08436;18.58;0.09;CRTS;CRTS(CL);CRTS
54406.08436;18.58;0.04;CRTS;CRTS(CL);CRTS
54733.10142;18.88;0.06;CRTS;CRTS(CL);CRTS
54733.10142;18.88;0.1;CRTS;CRTS(CL);CRTS
54733.10645;18.76;0.05;CRTS;CRTS(CL);CRTS
54733.10645;18.76;0.09;CRTS;CRTS(CL);CRTS
54733.11141;18.89;0.1;CRTS;CRTS(CL);CRTS
54733.11141;18.89;0.06;CRTS;CRTS(CL);CRTS
54733.11637;18.71;0.05;CRTS;CRTS(CL);CRTS
54733.11637;18.71;0.09;CRTS;CRTS(CL);CRTS
54980.41342;18.73;0.06;CRTS;CRTS(CL);CRTS
54980.41342;18.73;0.1;CRTS;CRTS(CL);CRTS
54980.41892;18.64;0.1;CRTS;CRTS(CL);CRTS
54980.41892;18.64;0.05;CRTS;CRTS(CL);CRTS
54980.42448;18.49;0.09;CRTS;CRTS(CL);CRTS
54980.42448;18.49;0.05;CRTS;CRTS(CL);CRTS
54980.42997;18.71;0.06;CRTS;CRTS(CL);CRTS
54980.42997;18.71;0.1;CRTS;CRTS(CL);CRTS
55095.12519;18.77;0.06;CRTS;CRTS(CL);CRTS
55095.12519;18.77;0.1;CRTS;CRTS(CL);CRTS
55095.13377;18.79;0.06;CRTS;CRTS(CL);CRTS
