MJD;Magnitude;Error;Facility;Filter;Observer
53496.27858;17.17;0.09;CRTS;CRTS(CL);CRTS
53496.28698;17.14;0.09;CRTS;CRTS(CL);CRTS
53496.29536;17.12;0.09;CRTS;CRTS(CL);CRTS
53496.30375;17.23;0.09;CRTS;CRTS(CL);CRTS
53525.30814;17.14;0.09;CRTS;CRTS(CL);CRTS
53525.31628;17.04;0.09;CRTS;CRTS(CL);CRTS
53525.32442;17.15;0.09;CRTS;CRTS(CL);CRTS
53525.33253;16.96;0.09;CRTS;CRTS(CL);CRTS
53768.48093;17.16;0.09;CRTS;CRTS(CL);CRTS
53768.48748;17.16;0.09;CRTS;CRTS(CL);CRTS
53768.4941;17.1;0.09;CRTS;CRTS(CL);CRTS
53768.50062;17.19;0.09;CRTS;CRTS(CL);CRTS
53791.47883;17.17;0.09;CRTS;CRTS(CL);CRTS
53791.48531;17.13;0.09;CRTS;CRTS(CL);CRTS
53791.49177;17.15;0.09;CRTS;CRTS(CL);CRTS
53791.49825;17.11;0.09;CRTS;CRTS(CL);CRTS
53844.40285;17.13;0.09;CRTS;CRTS(CL);CRTS
53844.41341;17.1;0.09;CRTS;CRTS(CL);CRTS
53844.42401;17.06;0.09;CRTS;CRTS(CL);CRTS
53844.43463;17.07;0.09;CRTS;CRTS(CL);CRTS
53855.33997;17.1;0.09;CRTS;CRTS(CL);CRTS
53855.34759;17.12;0.09;CRTS;CRTS(CL);CRTS
53855.35519;17.14;0.09;CRTS;CRTS(CL);CRTS
53855.3628;17.11;0.09;CRTS;CRTS(CL);CRTS
53862.27275;17.28;0.1;CRTS;CRTS(CL);CRTS
53862.28047;17.26;0.1;CRTS;CRTS(CL);CRTS
53862.28832;17.08;0.09;CRTS;CRTS(CL);CRTS
53862.29581;17.04;0.09;CRTS;CRTS(CL);CRTS
53875.30765;17.2;0.09;CRTS;CRTS(CL);CRTS
53875.3151;17.17;0.09;CRTS;CRTS(CL);CRTS
53875.32253;17.1;0.09;CRTS;CRTS(CL);CRTS
53875.32997;17.23;0.09;CRTS;CRTS(CL);CRTS
53881.33922;17.14;0.09;CRTS;CRTS(CL);CRTS
53881.3493;17.2;0.09;CRTS;CRTS(CL);CRTS
53881.35938;17.13;0.09;CRTS;CRTS(CL);CRTS
53881.36949;17.12;0.09;CRTS;CRTS(CL);CRTS
53890.34707;17.15;0.1;CRTS;CRTS(CL);CRTS
53890.35352;17.22;0.1;CRTS;CRTS(CL);CRTS
53890.35993;17.12;0.1;CRTS;CRTS(CL);CRTS
53890.36637;17.21;0.1;CRTS;CRTS(CL);CRTS
53903.32209;17.2;0.22;CRTS;CRTS(CL);CRTS
53903.32308;17.46;0.25;CRTS;CRTS(CL);CRTS
53903.32409;17.44;0.25;CRTS;CRTS(CL);CRTS
53903.32508;17.04;0.2;CRTS;CRTS(CL);CRTS
53937.2078;17.07;0.09;CRTS;CRTS(CL);CRTS
53937.21424;17.07;0.09;CRTS;CRTS(CL);CRTS
53937.22062;17.21;0.1;CRTS;CRTS(CL);CRTS
53937.22704;17.24;0.1;CRTS;CRTS(CL);CRTS
54128.50931;17.13;0.09;CRTS;CRTS(CL);CRTS
54128.51596;17.14;0.09;CRTS;CRTS(CL);CRTS
54128.52263;17.15;0.09;CRTS;CRTS(CL);CRTS
54128.52929;17.13;0.09;CRTS;CRTS(CL);CRTS
54156.43887;17.19;0.09;CRTS;CRTS(CL);CRTS
54156.44132;17.24;0.09;CRTS;CRTS(CL);CRTS
54156.45106;17.12;0.09;CRTS;CRTS(CL);CRTS
54156.46098;17.23;0.09;CRTS;CRTS(CL);CRTS
54156.47087;17.12;0.09;CRTS;CRTS(CL);CRTS
54175.42438;17.25;0.09;CRTS;CRTS(CL);CRTS
54175.43149;17.15;0.09;CRTS;CRTS(CL);CRTS
54175.4386;17.23;0.09;CRTS;CRTS(CL);CRTS
54175.44567;17.2;0.09;CRTS;CRTS(CL);CRTS
54184.44629;17.11;0.09;CRTS;CRTS(CL);CRTS
54184.45117;17.15;0.09;CRTS;CRTS(CL);CRTS
54184.456;17.18;0.09;CRTS;CRTS(CL);CRTS
54184.46096;17.12;0.09;CRTS;CRTS(CL);CRTS
54205.37218;17.13;0.09;CRTS;CRTS(CL);CRTS
54205.37755;17.12;0.09;CRTS;CRTS(CL);CRTS
54205.3829;17.13;0.09;CRTS;CRTS(CL);CRTS
54205.3883;17.17;0.09;CRTS;CRTS(CL);CRTS
54212.37898;17.22;0.09;CRTS;CRTS(CL);CRTS
54212.38773;17.14;0.09;CRTS;CRTS(CL);CRTS
54212.39652;17.01;0.09;CRTS;CRTS(CL);CRTS
54212.40526;17.12;0.09;CRTS;CRTS(CL);CRTS
54215.34666;17.46;0.02;CRTS;CRTS(CL);CRTS
54215.34666;19.03;0.06;CRTS;CRTS(CL);CRTS
54215.34666;19.06;0.06;CRTS;CRTS(CL);CRTS
54215.34666;19.03;0.1;CRTS;CRTS(CL);CRTS
54215.34666;19.06;0.1;CRTS;CRTS(CL);CRTS
54215.35275;19.35;0.11;CRTS;CRTS(CL);CRTS
54215.35275;18.86;0.05;CRTS;CRTS(CL);CRTS
54215.35275;17.47;0.02;CRTS;CRTS(CL);CRTS
54215.35275;18.86;0.09;CRTS;CRTS(CL);CRTS
54215.35275;19.35;0.07;CRTS;CRTS(CL);CRTS
54215.35885;19.72;0.1;CRTS;CRTS(CL);CRTS
54215.35885;17.41;0.02;CRTS;CRTS(CL);CRTS
54215.35885;18.91;0.05;CRTS;CRTS(CL);CRTS
54215.35885;18.91;0.09;CRTS;CRTS(CL);CRTS
54215.35885;19.72;0.12;CRTS;CRTS(CL);CRTS
54215.36495;19.38;0.11;CRTS;CRTS(CL);CRTS
54215.36495;17.43;0.02;CRTS;CRTS(CL);CRTS
54215.36495;19.38;0.07;CRTS;CRTS(CL);CRTS
54215.36495;18.72;0.05;CRTS;CRTS(CL);CRTS
54215.36495;18.72;0.09;CRTS;CRTS(CL);CRTS
54229.3759;17.19;0.09;CRTS;CRTS(CL);CRTS
54229.38501;17.09;0.09;CRTS;CRTS(CL);CRTS
54229.39415;17.05;0.09;CRTS;CRTS(CL);CRTS
54229.4033;17.23;0.09;CRTS;CRTS(CL);CRTS
54235.30912;17.05;0.06;CRTS;CRTS(CL);CRTS
54235.30912;17.05;0.02;CRTS;CRTS(CL);CRTS
54235.31561;17.11;0.02;CRTS;CRTS(CL);CRTS
54235.31561;19.28;0.08;CRTS;CRTS(CL);CRTS
54235.31561;19.28;0.12;CRTS;CRTS(CL);CRTS
54235.32211;17.01;0.02;CRTS;CRTS(CL);CRTS
54235.32211;17.01;0.06;CRTS;CRTS(CL);CRTS
54235.3288;18.9;0.05;CRTS;CRTS(CL);CRTS
54235.3288;17.25;0.02;CRTS;CRTS(CL);CRTS
54235.3288;18.9;0.1;CRTS;CRTS(CL);CRTS
54237.31503;17.11;0.09;CRTS;CRTS(CL);CRTS
54237.32147;17.13;0.09;CRTS;CRTS(CL);CRTS
54237.32789;17.16;0.09;CRTS;CRTS(CL);CRTS
54237.33431;17.17;0.09;CRTS;CRTS(CL);CRTS
54244.30073;17.13;0.09;CRTS;CRTS(CL);CRTS
54244.30687;17.16;0.09;CRTS;CRTS(CL);CRTS
54244.31301;17.0;0.09;CRTS;CRTS(CL);CRTS
54244.3191;17.2;0.09;CRTS;CRTS(CL);CRTS
54256.28106;16.97;0.09;CRTS;CRTS(CL);CRTS
54256.28748;17.15;0.09;CRTS;CRTS(CL);CRTS
54256.29389;17.08;0.09;CRTS;CRTS(CL);CRTS
54256.30032;17.34;0.1;CRTS;CRTS(CL);CRTS
54266.2032;17.16;0.09;CRTS;CRTS(CL);CRTS
54266.2121;17.2;0.09;CRTS;CRTS(CL);CRTS
54266.22099;17.15;0.09;CRTS;CRTS(CL);CRTS
54266.22986;17.2;0.09;CRTS;CRTS(CL);CRTS
54476.49275;17.1;0.09;CRTS;CRTS(CL);CRTS
54476.49968;17.21;0.09;CRTS;CRTS(CL);CRTS
54476.50522;17.09;0.09;CRTS;CRTS(CL);CRTS
54476.51083;17.11;0.09;CRTS;CRTS(CL);CRTS
54503.49935;17.25;0.09;CRTS;CRTS(CL);CRTS
54503.50695;17.18;0.09;CRTS;CRTS(CL);CRTS
54503.51453;17.12;0.09;CRTS;CRTS(CL);CRTS
54503.52212;17.1;0.09;CRTS;CRTS(CL);CRTS
54509.47746;17.13;0.09;CRTS;CRTS(CL);CRTS
54509.48453;17.03;0.08;CRTS;CRTS(CL);CRTS
54509.49168;17.12;0.09;CRTS;CRTS(CL);CRTS
54509.49889;17.15;0.09;CRTS;CRTS(CL);CRTS
54530.44248;17.11;0.09;CRTS;CRTS(CL);CRTS
54530.4527;17.13;0.09;CRTS;CRTS(CL);CRTS
54530.46291;17.19;0.09;CRTS;CRTS(CL);CRTS
54530.47313;17.06;0.09;CRTS;CRTS(CL);CRTS
54554.46233;17.17;0.42;CRTS;CRTS(CL);CRTS
54554.4653;17.76;0.6;CRTS;CRTS(CL);CRTS
54554.4686;18.22;0.79;CRTS;CRTS(CL);CRTS
54554.4716;17.56;0.4;CRTS;CRTS(CL);CRTS
54554.48116;17.09;0.09;CRTS;CRTS(CL);CRTS
54554.48827;17.07;0.09;CRTS;CRTS(CL);CRTS
54554.49544;17.01;0.08;CRTS;CRTS(CL);CRTS
54554.50256;17.19;0.09;CRTS;CRTS(CL);CRTS
54557.44629;18.79;0.05;CRTS;CRTS(CL);CRTS
54557.44629;19.14;0.07;CRTS;CRTS(CL);CRTS
54557.44629;17.52;0.02;CRTS;CRTS(CL);CRTS
54557.44629;19.14;0.11;CRTS;CRTS(CL);CRTS
54557.44629;18.79;0.09;CRTS;CRTS(CL);CRTS
54557.45197;19.79;0.13;CRTS;CRTS(CL);CRTS
54557.45197;19.32;0.08;CRTS;CRTS(CL);CRTS
54557.45197;19.79;0.11;CRTS;CRTS(CL);CRTS
54557.45197;17.31;0.02;CRTS;CRTS(CL);CRTS
54557.45197;19.32;0.11;CRTS;CRTS(CL);CRTS
54557.4576;19.26;0.11;CRTS;CRTS(CL);CRTS
54557.4576;19.26;0.07;CRTS;CRTS(CL);CRTS
54557.4576;19.27;0.07;CRTS;CRTS(CL);CRTS
54557.4576;19.27;0.11;CRTS;CRTS(CL);CRTS
54557.4576;17.38;0.02;CRTS;CRTS(CL);CRTS
54557.46324;19.09;0.1;CRTS;CRTS(CL);CRTS
54557.46324;18.86;0.1;CRTS;CRTS(CL);CRTS
54557.46324;19.09;0.06;CRTS;CRTS(CL);CRTS
54557.46324;18.86;0.05;CRTS;CRTS(CL);CRTS
