MJD;Magnitude;Error;Facility;Filter;Observer
55218.9427252;13.528;0.04;ALLWISE;WISE(W1);ALLWISE
55218.9427252;13.391;0.088;ALLWISE;WISE(W2);ALLWISE
55219.0750295;13.616;0.045;ALLWISE;WISE(W1);ALLWISE
55219.0750295;13.449;0.1;ALLWISE;WISE(W2);ALLWISE
55219.2073338;13.613;0.046;ALLWISE;WISE(W1);ALLWISE
55219.2073338;13.477;0.091;ALLWISE;WISE(W2);ALLWISE
55219.2735496;13.639;0.046;ALLWISE;WISE(W1);ALLWISE
55219.2735496;13.366;0.083;ALLWISE;WISE(W2);ALLWISE
55219.3397654;13.627;0.047;ALLWISE;WISE(W1);ALLWISE
55219.3397654;13.309;0.08;ALLWISE;WISE(W2);ALLWISE
55219.4720698;13.5;0.042;ALLWISE;WISE(W1);ALLWISE
55219.4720698;13.282;0.085;ALLWISE;WISE(W2);ALLWISE
55220.9277996;13.545;0.045;ALLWISE;WISE(W1);ALLWISE
55220.9277996;13.414;0.114;ALLWISE;WISE(W2);ALLWISE
55221.060104;13.567;0.044;ALLWISE;WISE(W1);ALLWISE
55221.060104;13.49;0.116;ALLWISE;WISE(W2);ALLWISE
55221.1924083;13.548;0.041;ALLWISE;WISE(W1);ALLWISE
55221.1924083;13.403;0.09;ALLWISE;WISE(W2);ALLWISE
55221.2586241;13.532;0.094;ALLWISE;WISE(W2);ALLWISE
55221.2586241;13.568;0.043;ALLWISE;WISE(W1);ALLWISE
55221.3247126;13.466;0.085;ALLWISE;WISE(W2);ALLWISE
55221.3247126;13.55;0.044;ALLWISE;WISE(W1);ALLWISE
55221.3248399;13.388;0.088;ALLWISE;WISE(W2);ALLWISE
55221.3248399;13.545;0.046;ALLWISE;WISE(W1);ALLWISE
55221.3909284;13.434;0.095;ALLWISE;WISE(W2);ALLWISE
55221.3909284;13.685;0.047;ALLWISE;WISE(W1);ALLWISE
55221.4571443;13.592;0.043;ALLWISE;WISE(W1);ALLWISE
55221.4571443;13.454;0.083;ALLWISE;WISE(W2);ALLWISE
55221.5232327;13.569;0.046;ALLWISE;WISE(W1);ALLWISE
55221.5232327;13.378;0.08;ALLWISE;WISE(W2);ALLWISE
55221.5894485;13.583;0.046;ALLWISE;WISE(W1);ALLWISE
55221.5894485;13.341;0.078;ALLWISE;WISE(W2);ALLWISE
55221.6556643;13.551;0.043;ALLWISE;WISE(W1);ALLWISE
55221.6556643;13.346;0.09;ALLWISE;WISE(W2);ALLWISE
55221.7879686;13.512;0.041;ALLWISE;WISE(W1);ALLWISE
55221.7879686;13.411;0.093;ALLWISE;WISE(W2);ALLWISE
55221.9202729;13.579;0.047;ALLWISE;WISE(W1);ALLWISE
55221.9202729;13.447;0.097;ALLWISE;WISE(W2);ALLWISE
55407.7040882;13.58;0.042;ALLWISE;WISE(W1);ALLWISE
55407.7040882;13.608;0.102;ALLWISE;WISE(W2);ALLWISE
55407.9686959;13.607;0.043;ALLWISE;WISE(W1);ALLWISE
55407.9686959;13.395;0.084;ALLWISE;WISE(W2);ALLWISE
55408.0347841;13.52;0.045;ALLWISE;WISE(W1);ALLWISE
55408.0347841;13.413;0.092;ALLWISE;WISE(W2);ALLWISE
55408.1009996;13.414;0.085;ALLWISE;WISE(W2);ALLWISE
55408.1009996;13.521;0.039;ALLWISE;WISE(W1);ALLWISE
55408.1670879;13.537;0.04;ALLWISE;WISE(W1);ALLWISE
55408.1670879;13.552;0.097;ALLWISE;WISE(W2);ALLWISE
55408.2333034;13.488;0.088;ALLWISE;WISE(W2);ALLWISE
55408.2333034;13.611;0.044;ALLWISE;WISE(W1);ALLWISE
55408.2993916;13.638;0.042;ALLWISE;WISE(W1);ALLWISE
55408.2993916;13.29;0.074;ALLWISE;WISE(W2);ALLWISE
55408.3656071;13.361;0.077;ALLWISE;WISE(W2);ALLWISE
55408.3656071;13.581;0.046;ALLWISE;WISE(W1);ALLWISE
55408.4316954;13.599;0.042;ALLWISE;WISE(W1);ALLWISE
55408.4316954;13.355;0.086;ALLWISE;WISE(W2);ALLWISE
55408.5639992;13.679;0.046;ALLWISE;WISE(W1);ALLWISE
55408.5639992;13.364;0.081;ALLWISE;WISE(W2);ALLWISE
55408.9609106;13.629;0.044;ALLWISE;WISE(W1);ALLWISE
55408.9609106;13.56;0.096;ALLWISE;WISE(W2);ALLWISE
55411.474428;13.602;0.046;ALLWISE;WISE(W1);ALLWISE
55411.474428;13.434;0.091;ALLWISE;WISE(W2);ALLWISE
55584.9957622;13.679;0.053;ALLWISE;WISE(W1);ALLWISE
55584.9957622;13.391;0.084;ALLWISE;WISE(W2);ALLWISE
55585.1280665;13.616;0.044;ALLWISE;WISE(W1);ALLWISE
55585.1280665;13.715;0.117;ALLWISE;WISE(W2);ALLWISE
55585.2603707;13.557;0.043;ALLWISE;WISE(W1);ALLWISE
55585.2603707;13.427;0.086;ALLWISE;WISE(W2);ALLWISE
55585.3264592;13.69;0.046;ALLWISE;WISE(W1);ALLWISE
55585.3264592;13.555;0.09;ALLWISE;WISE(W2);ALLWISE
55585.3925476;13.448;0.092;ALLWISE;WISE(W2);ALLWISE
55585.3925476;13.597;0.046;ALLWISE;WISE(W1);ALLWISE
55585.4587635;13.51;0.049;ALLWISE;WISE(W1);ALLWISE
55585.4587635;13.543;0.091;ALLWISE;WISE(W2);ALLWISE
55585.5248519;13.658;0.047;ALLWISE;WISE(W1);ALLWISE
55585.5248519;13.252;0.079;ALLWISE;WISE(W2);ALLWISE
55585.5909404;13.548;0.045;ALLWISE;WISE(W1);ALLWISE
55585.5909404;13.324;0.088;ALLWISE;WISE(W2);ALLWISE
55585.6571562;13.707;0.049;ALLWISE;WISE(W1);ALLWISE
55585.6571562;13.555;0.097;ALLWISE;WISE(W2);ALLWISE
55585.7232447;13.538;0.104;ALLWISE;WISE(W2);ALLWISE
55585.7232447;13.616;0.042;ALLWISE;WISE(W1);ALLWISE
55585.7893332;13.664;0.046;ALLWISE;WISE(W1);ALLWISE
55585.7893332;13.503;0.09;ALLWISE;WISE(W2);ALLWISE
55585.855549;13.442;0.04;ALLWISE;WISE(W1);ALLWISE
55585.855549;13.446;0.086;ALLWISE;WISE(W2);ALLWISE
55585.987726;13.56;0.042;ALLWISE;WISE(W1);ALLWISE
55585.987726;13.564;0.112;ALLWISE;WISE(W2);ALLWISE
55586.1200303;13.539;0.098;ALLWISE;WISE(W2);ALLWISE
55586.1200303;13.567;0.044;ALLWISE;WISE(W1);ALLWISE
55602.1061272;17.512500762939453;0.0495765879750251;PTF;PTF(g);PTF
55719.4232972;17.501420974731445;0.0332752466201782;PTF;PTF(g);PTF
55719.4663772;17.503602981567383;0.036654807627201;PTF;PTF(g);PTF
56042.7662617;17.9082;0.004693;PS1;PS1(z);PS1
56092.538034;19.1801;0.00935;PS1;PS1(g);PS1
56198.4538618;18.5543;0.004329;PS1;PS1(r);PS1
56391.3748937;18.178;0.00287;PS1;PS1(i);PS1
56682.72454763;13.494;0.054;NEOWISE;WISE(W1);NEOWISE
56682.72454763;13.483;0.1;NEOWISE;WISE(W2);NEOWISE
56682.85634258;13.375;0.102;NEOWISE;WISE(W2);NEOWISE
56682.85634258;13.58;0.041;NEOWISE;WISE(W1);NEOWISE
56682.98813752;13.667;0.133;NEOWISE;WISE(W2);NEOWISE
56682.98813752;13.578;0.041;NEOWISE;WISE(W1);NEOWISE
56683.11980573;13.632;0.04;NEOWISE;WISE(W1);NEOWISE
56683.11980573;13.546;0.101;NEOWISE;WISE(W2);NEOWISE
56683.18576683;13.601;0.04;NEOWISE;WISE(W1);NEOWISE
56683.18576683;13.361;0.094;NEOWISE;WISE(W2);NEOWISE
56683.25160058;13.477;0.101;NEOWISE;WISE(W2);NEOWISE
56683.25160058;13.62;0.039;NEOWISE;WISE(W1);NEOWISE
56683.31743436;13.464;0.044;NEOWISE;WISE(W1);NEOWISE
56683.31743436;13.362;0.089;NEOWISE;WISE(W2);NEOWISE
56683.38339552;13.553;0.037;NEOWISE;WISE(W1);NEOWISE
56683.38339552;13.32;0.091;NEOWISE;WISE(W2);NEOWISE
56683.44922932;13.395;0.086;NEOWISE;WISE(W2);NEOWISE
56683.44922932;13.551;0.041;NEOWISE;WISE(W1);NEOWISE
56683.5150631;13.667;0.042;NEOWISE;WISE(W1);NEOWISE
56683.5150631;13.547;0.091;NEOWISE;WISE(W2);NEOWISE
56683.51519043;13.505;0.087;NEOWISE;WISE(W2);NEOWISE
56683.51519043;13.514;0.074;NEOWISE;WISE(W1);NEOWISE
56683.58102421;13.565;0.04;NEOWISE;WISE(W1);NEOWISE
56683.58102421;13.259;0.1;NEOWISE;WISE(W2);NEOWISE
56683.71269185;13.493;0.044;NEOWISE;WISE(W1);NEOWISE
56683.71269185;13.436;0.089;NEOWISE;WISE(W2);NEOWISE
56683.71281921;13.322;0.094;NEOWISE;WISE(W2);NEOWISE
56683.71281921;13.611;0.046;NEOWISE;WISE(W1);NEOWISE
56683.84448679;13.428;0.095;NEOWISE;WISE(W2);NEOWISE
56683.84448679;13.558;0.038;NEOWISE;WISE(W1);NEOWISE
56872.37526543;13.563;0.109;NEOWISE;WISE(W2);NEOWISE
56872.37526543;13.591;0.039;NEOWISE;WISE(W1);NEOWISE
56872.50693263;13.511;0.038;NEOWISE;WISE(W1);NEOWISE
56872.50693263;13.418;0.105;NEOWISE;WISE(W2);NEOWISE
56872.63847241;13.332;0.107;NEOWISE;WISE(W2);NEOWISE
56872.63847241;13.68;0.047;NEOWISE;WISE(W1);NEOWISE
56872.70417867;13.357;0.089;NEOWISE;WISE(W2);NEOWISE
56872.70417867;13.571;0.039;NEOWISE;WISE(W1);NEOWISE
56872.77001229;13.376;0.09;NEOWISE;WISE(W2);NEOWISE
56872.77001229;13.611;0.041;NEOWISE;WISE(W1);NEOWISE
56872.83584587;13.556;0.038;NEOWISE;WISE(W1);NEOWISE
56872.83584587;13.286;0.075;NEOWISE;WISE(W2);NEOWISE
56872.90155213;13.412;0.096;NEOWISE;WISE(W2);NEOWISE
56872.90155213;13.607;0.044;NEOWISE;WISE(W1);NEOWISE
56872.96738575;13.212;0.083;NEOWISE;WISE(W2);NEOWISE
56872.96738575;13.588;0.04;NEOWISE;WISE(W1);NEOWISE
56873.03309201;13.568;0.045;NEOWISE;WISE(W1);NEOWISE
56873.03309201;13.634;0.117;NEOWISE;WISE(W2);NEOWISE
56873.09892562;13.28;0.082;NEOWISE;WISE(W2);NEOWISE
56873.09892562;13.596;0.039;NEOWISE;WISE(W1);NEOWISE
56873.1647592;13.534;0.088;NEOWISE;WISE(W2);NEOWISE
56873.1647592;13.572;0.043;NEOWISE;WISE(W1);NEOWISE
56873.23046546;13.423;0.091;NEOWISE;WISE(W2);NEOWISE
56873.23046546;13.636;0.045;NEOWISE;WISE(W1);NEOWISE
56873.36200521;13.383;0.107;NEOWISE;WISE(W2);NEOWISE
56873.36200521;13.513;0.046;NEOWISE;WISE(W1);NEOWISE
56873.49367242;13.562;0.114;NEOWISE;WISE(W2);NEOWISE
56873.49367242;13.568;0.044;NEOWISE;WISE(W1);NEOWISE
57008.29962780001;15.541760753485637;0.0218806539910857;ASASSN;ASASSN(V);ASASSN
57009.29934810009;15.489036928173253;0.0144085117983084;ASASSN;ASASSN(V);ASASSN
57010.29528590012;15.696800391992046;0.0667062673986738;ASASSN;ASASSN(V);ASASSN
57011.2889707;15.40563052558449;0.0182640433573953;ASASSN;ASASSN(V);ASASSN
57012.28518649982;15.512019661763215;0.0188197663132655;ASASSN;ASASSN(V);ASASSN
57021.26743659983;15.467898835885666;0.0348767717143649;ASASSN;ASASSN(V);ASASSN
57037.24436749984;15.430282871725904;0.0165624604355792;ASASSN;ASASSN(V);ASASSN
57042.21537580015;15.42308724180014;0.0188795169136924;ASASSN;ASASSN(V);ASASSN
