MJD;Magnitude;Error;Facility;Filter;Observer
53648.26059;17.82;0.11;CRTS;CRTS(CL);CRTS
53648.267;17.84;0.11;CRTS;CRTS(CL);CRTS
53648.27342;17.91;0.11;CRTS;CRTS(CL);CRTS
53648.27982;17.86;0.11;CRTS;CRTS(CL);CRTS
53655.30674;17.82;0.11;CRTS;CRTS(CL);CRTS
53655.31235;17.69;0.11;CRTS;CRTS(CL);CRTS
53655.31796;17.82;0.11;CRTS;CRTS(CL);CRTS
53655.32358;17.76;0.11;CRTS;CRTS(CL);CRTS
53672.23369;17.81;0.11;CRTS;CRTS(CL);CRTS
53672.24314;17.96;0.11;CRTS;CRTS(CL);CRTS
53672.25264;17.78;0.11;CRTS;CRTS(CL);CRTS
53672.2622;17.85;0.11;CRTS;CRTS(CL);CRTS
53678.32353;17.82;0.11;CRTS;CRTS(CL);CRTS
53678.32889;17.83;0.11;CRTS;CRTS(CL);CRTS
53678.33426;17.66;0.1;CRTS;CRTS(CL);CRTS
53678.33962;17.84;0.11;CRTS;CRTS(CL);CRTS
53696.19248;17.84;0.11;CRTS;CRTS(CL);CRTS
53696.19943;17.64;0.1;CRTS;CRTS(CL);CRTS
53696.20586;17.75;0.1;CRTS;CRTS(CL);CRTS
53696.21233;17.88;0.11;CRTS;CRTS(CL);CRTS
53702.17743;17.78;0.11;CRTS;CRTS(CL);CRTS
53702.18338;17.74;0.1;CRTS;CRTS(CL);CRTS
53702.1893;17.62;0.1;CRTS;CRTS(CL);CRTS
53702.19526;17.89;0.11;CRTS;CRTS(CL);CRTS
53708.2773;18.06;0.12;CRTS;CRTS(CL);CRTS
53708.2773;19.22;0.19;CRTS;CRTS(CL);CRTS
53708.28361;17.83;0.11;CRTS;CRTS(CL);CRTS
53708.28995;17.68;0.1;CRTS;CRTS(CL);CRTS
53708.29631;17.84;0.11;CRTS;CRTS(CL);CRTS
53733.07576;17.66;0.1;CRTS;CRTS(CL);CRTS
53733.08323;17.74;0.1;CRTS;CRTS(CL);CRTS
53733.09071;17.71;0.1;CRTS;CRTS(CL);CRTS
53733.09819;17.9;0.11;CRTS;CRTS(CL);CRTS
53760.12705;17.66;0.1;CRTS;CRTS(CL);CRTS
53760.13183;17.93;0.11;CRTS;CRTS(CL);CRTS
53760.13662;17.95;0.11;CRTS;CRTS(CL);CRTS
53760.14141;17.84;0.11;CRTS;CRTS(CL);CRTS
53994.40524;17.78;0.1;CRTS;CRTS(CL);CRTS
53994.41139;17.92;0.11;CRTS;CRTS(CL);CRTS
53994.41753;17.82;0.1;CRTS;CRTS(CL);CRTS
53994.42367;17.79;0.1;CRTS;CRTS(CL);CRTS
54006.24942;17.64;0.1;CRTS;CRTS(CL);CRTS
54006.25594;18.0;0.11;CRTS;CRTS(CL);CRTS
54006.25594;19.29;0.19;CRTS;CRTS(CL);CRTS
54006.26245;17.8;0.1;CRTS;CRTS(CL);CRTS
54006.26893;17.63;0.1;CRTS;CRTS(CL);CRTS
54027.2184;17.78;0.1;CRTS;CRTS(CL);CRTS
54027.22756;17.82;0.1;CRTS;CRTS(CL);CRTS
54027.23668;17.94;0.11;CRTS;CRTS(CL);CRTS
54027.24585;17.74;0.1;CRTS;CRTS(CL);CRTS
54030.26427;17.94;0.11;CRTS;CRTS(CL);CRTS
54030.26699;17.99;0.11;CRTS;CRTS(CL);CRTS
54030.26972;17.71;0.1;CRTS;CRTS(CL);CRTS
54030.27244;17.85;0.1;CRTS;CRTS(CL);CRTS
54035.28496;17.91;0.11;CRTS;CRTS(CL);CRTS
54035.29221;17.93;0.11;CRTS;CRTS(CL);CRTS
54035.29221;19.39;0.2;CRTS;CRTS(CL);CRTS
54035.29944;17.73;0.1;CRTS;CRTS(CL);CRTS
54035.30665;17.86;0.1;CRTS;CRTS(CL);CRTS
54054.15577;17.8;0.1;CRTS;CRTS(CL);CRTS
54054.16229;17.82;0.1;CRTS;CRTS(CL);CRTS
54054.1688;17.75;0.1;CRTS;CRTS(CL);CRTS
54054.17534;17.73;0.1;CRTS;CRTS(CL);CRTS
54062.14286;17.76;0.1;CRTS;CRTS(CL);CRTS
54062.15064;17.64;0.1;CRTS;CRTS(CL);CRTS
54062.15841;17.76;0.1;CRTS;CRTS(CL);CRTS
54062.16617;19.56;0.21;CRTS;CRTS(CL);CRTS
54062.16617;18.17;0.12;CRTS;CRTS(CL);CRTS
54084.12878;17.74;0.1;CRTS;CRTS(CL);CRTS
54084.13413;17.61;0.11;CRTS;CRTS(CL);CRTS
54084.13951;19.58;0.24;CRTS;CRTS(CL);CRTS
54084.13951;18.18;0.13;CRTS;CRTS(CL);CRTS
54084.14486;17.77;0.11;CRTS;CRTS(CL);CRTS
54095.16662;17.66;0.1;CRTS;CRTS(CL);CRTS
54095.17601;17.8;0.1;CRTS;CRTS(CL);CRTS
54095.1854;17.67;0.1;CRTS;CRTS(CL);CRTS
54095.19482;17.83;0.11;CRTS;CRTS(CL);CRTS
54117.13913;17.79;0.1;CRTS;CRTS(CL);CRTS
54117.1456;17.96;0.11;CRTS;CRTS(CL);CRTS
54117.15216;17.71;0.1;CRTS;CRTS(CL);CRTS
54117.15864;17.76;0.1;CRTS;CRTS(CL);CRTS
54363.2625;17.57;0.1;CRTS;CRTS(CL);CRTS
54363.2696;17.83;0.1;CRTS;CRTS(CL);CRTS
54363.28378;17.52;0.09;CRTS;CRTS(CL);CRTS
54381.30297;17.86;0.1;CRTS;CRTS(CL);CRTS
54381.31049;17.83;0.1;CRTS;CRTS(CL);CRTS
54381.31801;17.98;0.11;CRTS;CRTS(CL);CRTS
54381.32561;17.9;0.11;CRTS;CRTS(CL);CRTS
54387.24523;17.69;0.1;CRTS;CRTS(CL);CRTS
54387.255;17.86;0.1;CRTS;CRTS(CL);CRTS
54387.26474;17.83;0.1;CRTS;CRTS(CL);CRTS
54387.27451;17.82;0.1;CRTS;CRTS(CL);CRTS
54394.17146;17.8;0.11;CRTS;CRTS(CL);CRTS
54394.1812;17.82;0.1;CRTS;CRTS(CL);CRTS
54394.19201;17.75;0.1;CRTS;CRTS(CL);CRTS
54394.20283;17.73;0.1;CRTS;CRTS(CL);CRTS
54394.21364;17.92;0.11;CRTS;CRTS(CL);CRTS
54405.20536;17.97;0.11;CRTS;CRTS(CL);CRTS
54405.2119;17.96;0.11;CRTS;CRTS(CL);CRTS
54405.21905;17.74;0.1;CRTS;CRTS(CL);CRTS
54405.22559;17.85;0.11;CRTS;CRTS(CL);CRTS
54413.27788;18.27;0.12;CRTS;CRTS(CL);CRTS
54413.27788;19.45;0.21;CRTS;CRTS(CL);CRTS
54413.28435;17.84;0.1;CRTS;CRTS(CL);CRTS
54413.29086;17.99;0.11;CRTS;CRTS(CL);CRTS
54413.29737;17.73;0.1;CRTS;CRTS(CL);CRTS
54422.13819;17.7;0.1;CRTS;CRTS(CL);CRTS
54422.14518;17.8;0.1;CRTS;CRTS(CL);CRTS
54422.15216;17.63;0.1;CRTS;CRTS(CL);CRTS
54422.15914;17.76;0.1;CRTS;CRTS(CL);CRTS
54498.10491;17.71;0.1;CRTS;CRTS(CL);CRTS
54498.10983;17.92;0.11;CRTS;CRTS(CL);CRTS
54498.11474;17.85;0.11;CRTS;CRTS(CL);CRTS
54498.11964;17.73;0.1;CRTS;CRTS(CL);CRTS
54718.30252;17.84;0.1;CRTS;CRTS(CL);CRTS
54718.30849;17.95;0.11;CRTS;CRTS(CL);CRTS
54718.31442;17.89;0.11;CRTS;CRTS(CL);CRTS
54718.32034;18.1;0.11;CRTS;CRTS(CL);CRTS
54731.40151;17.74;0.1;CRTS;CRTS(CL);CRTS
54731.40873;17.79;0.1;CRTS;CRTS(CL);CRTS
54731.41601;19.91;0.26;CRTS;CRTS(CL);CRTS
54731.41601;17.97;0.11;CRTS;CRTS(CL);CRTS
54731.42319;18.02;0.11;CRTS;CRTS(CL);CRTS
54731.42319;19.51;0.21;CRTS;CRTS(CL);CRTS
54737.38228;17.8;0.1;CRTS;CRTS(CL);CRTS
54737.38986;19.62;0.22;CRTS;CRTS(CL);CRTS
54737.38986;17.99;0.11;CRTS;CRTS(CL);CRTS
54737.39746;17.74;0.1;CRTS;CRTS(CL);CRTS
54737.40505;17.9;0.11;CRTS;CRTS(CL);CRTS
54763.28592;17.74;0.1;CRTS;CRTS(CL);CRTS
54763.29765;17.78;0.1;CRTS;CRTS(CL);CRTS
54763.30941;17.85;0.1;CRTS;CRTS(CL);CRTS
54763.32111;17.77;0.1;CRTS;CRTS(CL);CRTS
54772.15313;17.82;0.1;CRTS;CRTS(CL);CRTS
54772.16175;17.8;0.1;CRTS;CRTS(CL);CRTS
54772.1704;17.88;0.11;CRTS;CRTS(CL);CRTS
54772.17911;17.77;0.1;CRTS;CRTS(CL);CRTS
54778.10784;18.05;0.11;CRTS;CRTS(CL);CRTS
54778.11391;17.71;0.1;CRTS;CRTS(CL);CRTS
54778.11998;18.01;0.11;CRTS;CRTS(CL);CRTS
54778.12611;17.85;0.1;CRTS;CRTS(CL);CRTS
54791.16227;17.77;0.1;CRTS;CRTS(CL);CRTS
54791.17005;17.85;0.11;CRTS;CRTS(CL);CRTS
54791.17782;17.9;0.11;CRTS;CRTS(CL);CRTS
54805.16104;17.69;0.1;CRTS;CRTS(CL);CRTS
54805.16592;17.94;0.11;CRTS;CRTS(CL);CRTS
54805.17078;17.73;0.1;CRTS;CRTS(CL);CRTS
54805.17558;18.08;0.11;CRTS;CRTS(CL);CRTS
54805.17558;19.11;0.17;CRTS;CRTS(CL);CRTS
54821.13639;17.91;0.11;CRTS;CRTS(CL);CRTS
54821.14295;17.78;0.1;CRTS;CRTS(CL);CRTS
54821.14967;17.89;0.11;CRTS;CRTS(CL);CRTS
54821.14967;19.6;0.22;CRTS;CRTS(CL);CRTS
54821.15639;17.86;0.1;CRTS;CRTS(CL);CRTS
54857.15088813;18.79317;0.016901037;SDSS;SDSS(r);SDSS
54857.15088813;18.79317;0.016882347;SDSS;SDSS(r);SDSS
54857.1517174;18.466526;0.014824845;SDSS;SDSS(i);SDSS
54857.1517174;18.722166;0.016205467;SDSS;SDSS(i);SDSS
54857.1525466599;21.040123;0.1220717;SDSS;SDSS(u);SDSS
54857.15337593;18.350433;0.032773886;SDSS;SDSS(z);SDSS
54857.15337593;18.32614;0.032380078;SDSS;SDSS(z);SDSS
54857.15420519;19.445755;0.030375477;SDSS;SDSS(g);SDSS
54857.15420519;19.445751;0.030452585;SDSS;SDSS(g);SDSS
55058.44334;17.76;0.1;CRTS;CRTS(CL);CRTS
55058.45062;17.66;0.1;CRTS;CRTS(CL);CRTS
55058.45792;17.77;0.1;CRTS;CRTS(CL);CRTS
55058.46511;17.84;0.11;CRTS;CRTS(CL);CRTS
55066.4579672;18.09061622619629;0.0376421995460987;PTF;PTF(R);PTF
55066.5016872;18.12631225585937;0.0381411127746105;PTF;PTF(R);PTF
55085.38157;17.97;0.11;CRTS;CRTS(CL);CRTS
55085.38157;19.24;0.19;CRTS;CRTS(CL);CRTS
55085.38745;17.8;0.11;CRTS;CRTS(CL);CRTS
55085.39357;17.57;0.1;CRTS;CRTS(CL);CRTS
55085.39956;19.59;0.24;CRTS;CRTS(CL);CRTS
55085.39956;18.02;0.12;CRTS;CRTS(CL);CRTS
55088.3585672;18.09860038757324;0.0393933989107608;PTF;PTF(R);PTF
55088.4020772;18.118799209594727;0.0396504960954189;PTF;PTF(R);PTF
55096.34463;18.04;0.1;CRTS;CRTS(CL);CRTS
55113.40136;17.63;0.1;CRTS;CRTS(CL);CRTS
55113.4099;18.02;0.12;CRTS;CRTS(CL);CRTS
55113.41899;17.82;0.11;CRTS;CRTS(CL);CRTS
55113.42766;17.68;0.1;CRTS;CRTS(CL);CRTS
55139.3234272;18.159711837768555;0.0810455083847045;PTF;PTF(R);PTF
55141.29395;17.92;0.12;CRTS;CRTS(CL);CRTS
55141.30153;19.64;0.27;CRTS;CRTS(CL);CRTS
55141.30153;17.88;0.12;CRTS;CRTS(CL);CRTS
55141.30912;17.63;0.11;CRTS;CRTS(CL);CRTS
55141.31669;17.72;0.11;CRTS;CRTS(CL);CRTS
55143.3148372;18.079702377319336;0.224980428814888;PTF;PTF(R);PTF
55143.3618772;18.164350509643555;0.2302544564008712;PTF;PTF(R);PTF
55154.18463;17.58;0.1;CRTS;CRTS(CL);CRTS
55154.19127;17.81;0.11;CRTS;CRTS(CL);CRTS
55154.19785;17.87;0.11;CRTS;CRTS(CL);CRTS
55154.20457;17.8;0.11;CRTS;CRTS(CL);CRTS
55161.10355;17.7;0.1;CRTS;CRTS(CL);CRTS
55161.11805;17.37;0.09;CRTS;CRTS(CL);CRTS
55176.1421;17.88;0.11;CRTS;CRTS(CL);CRTS
