MJD;Magnitude;Error;Facility;Filter;Observer
54960.1851272;19.712825775146484;0.3054777979850769;PTF;PTF(R);PTF
54960.2509472;19.3912410736084;0.2988548278808594;PTF;PTF(R);PTF
54960.3181972;19.35029602050781;0.2985813021659851;PTF;PTF(R);PTF
54960.4029472;19.59893226623535;0.3005416393280029;PTF;PTF(R);PTF
54960.4670072;19.48685646057129;0.3014350831508636;PTF;PTF(R);PTF
54967.1902272;19.463523864746094;0.0630355179309845;PTF;PTF(R);PTF
54967.3276072;19.64512634277344;0.0639548227190971;PTF;PTF(R);PTF
54971.1933172;19.609134674072266;0.1647324115037918;PTF;PTF(R);PTF
54971.2761772;19.623449325561523;0.1663616150617599;PTF;PTF(R);PTF
55005.3536972;19.447093963623047;0.0682998225092887;PTF;PTF(R);PTF
55006.3304672;19.3967342376709;0.0830001160502433;PTF;PTF(R);PTF
55009.2881672;19.46322059631348;0.0680202096700668;PTF;PTF(R);PTF
55011.2819372;19.36554718017578;0.0936846509575843;PTF;PTF(R);PTF
55011.3799172;19.50899124145508;0.0905313938856124;PTF;PTF(R);PTF
55021.2853272;19.413312911987305;0.0853364467620849;PTF;PTF(R);PTF
55021.3564972;19.658803939819336;0.1284064054489135;PTF;PTF(R);PTF
55033.2284072;19.44088554382324;0.0703454613685607;PTF;PTF(R);PTF
55033.3208472;19.32976722717285;0.0691503956913948;PTF;PTF(R);PTF
55046.2925572;19.5009765625;0.1090556681156158;PTF;PTF(R);PTF
55050.1771972;19.725645065307617;0.1042370498180389;PTF;PTF(R);PTF
55050.2702572;19.45585823059082;0.1533525586128235;PTF;PTF(R);PTF
55056.3123872;19.508434295654297;0.1052750423550605;PTF;PTF(R);PTF
55058.1866672;20.057567596435547;0.0995856374502182;PTF;PTF(R);PTF
55059.1980072;19.96500587463379;0.1148770526051521;PTF;PTF(R);PTF
55067.1975472;19.76118278503418;0.1940759122371673;PTF;PTF(R);PTF
55067.2628772;19.58348655700684;0.1965721398591995;PTF;PTF(R);PTF
55088.1443772;18.7673454284668;0.0580035857856273;PTF;PTF(R);PTF
55088.1886872;19.631423950195312;0.0687585920095443;PTF;PTF(R);PTF
55301.4309472;19.53272247314453;0.1433481723070144;PTF;PTF(R);PTF
55301.4752072;19.506013870239254;0.1530135422945022;PTF;PTF(R);PTF
55310.4784872;19.49126434326172;0.062142077833414;PTF;PTF(R);PTF
55311.1674072;19.77793312072754;0.1284253001213073;PTF;PTF(R);PTF
55311.2107872;19.48504638671875;0.127388596534729;PTF;PTF(R);PTF
55316.4910172;19.81632804870605;0.1313986480236053;PTF;PTF(R);PTF
55319.4496772;19.474618911743164;0.1006782948970794;PTF;PTF(R);PTF
55320.3629572;19.61972999572754;0.0934501439332962;PTF;PTF(R);PTF
55320.4062472;19.423974990844727;0.0932448953390121;PTF;PTF(R);PTF
