MJD;Magnitude;Error;Facility;Filter;Observer
53171.38388703;19.992228;0.017926935;SDSS;SDSS(r);SDSS
53171.38388703;19.99214;0.017943341;SDSS;SDSS(r);SDSS
53171.38471629;18.934988;0.017476788;SDSS;SDSS(i);SDSS
53171.38471629;19.602549;0.021673476;SDSS;SDSS(i);SDSS
53171.38554556;21.984476;0.16711746;SDSS;SDSS(u);SDSS
53171.38554556;21.984476;0.16345005;SDSS;SDSS(u);SDSS
53171.38637482;18.156143;0.028654251;SDSS;SDSS(z);SDSS
53171.38637482;19.193089;0.056030698;SDSS;SDSS(z);SDSS
53171.38720409;20.66997;0.023683606;SDSS;SDSS(g);SDSS
53171.38720409;20.669968;0.023671323;SDSS;SDSS(g);SDSS
53527.36534;18.76;0.15;CRTS;CRTS(CL);CRTS
53527.37405;19.39;0.2;CRTS;CRTS(CL);CRTS
53527.37405;19.76;0.24;CRTS;CRTS(CL);CRTS
53527.38294;18.88;0.16;CRTS;CRTS(CL);CRTS
53527.39155;19.52;0.21;CRTS;CRTS(CL);CRTS
53527.39155;19.68;0.23;CRTS;CRTS(CL);CRTS
53534.34827;19.85;0.25;CRTS;CRTS(CL);CRTS
53534.34827;19.79;0.25;CRTS;CRTS(CL);CRTS
53534.35643;19.0;0.17;CRTS;CRTS(CL);CRTS
53534.36458;19.28;0.19;CRTS;CRTS(CL);CRTS
53534.36458;19.43;0.2;CRTS;CRTS(CL);CRTS
53534.37273;18.9;0.16;CRTS;CRTS(CL);CRTS
53557.3023;18.85;0.16;CRTS;CRTS(CL);CRTS
53557.30883;18.64;0.14;CRTS;CRTS(CL);CRTS
53557.31533;19.62;0.23;CRTS;CRTS(CL);CRTS
53557.31533;19.54;0.22;CRTS;CRTS(CL);CRTS
53557.32186;19.03;0.17;CRTS;CRTS(CL);CRTS
53562.27836;18.92;0.16;CRTS;CRTS(CL);CRTS
53562.28489;19.17;0.18;CRTS;CRTS(CL);CRTS
53562.29145;18.76;0.15;CRTS;CRTS(CL);CRTS
53562.29798;18.89;0.16;CRTS;CRTS(CL);CRTS
53627.16492;18.74;0.17;CRTS;CRTS(CL);CRTS
53627.17198;19.16;0.21;CRTS;CRTS(CL);CRTS
53646.09995;19.66;0.26;CRTS;CRTS(CL);CRTS
53646.09995;19.44;0.23;CRTS;CRTS(CL);CRTS
53646.10533;19.33;0.21;CRTS;CRTS(CL);CRTS
53646.10533;19.45;0.22;CRTS;CRTS(CL);CRTS
53646.11071;18.77;0.16;CRTS;CRTS(CL);CRTS
53646.11616;19.75;0.26;CRTS;CRTS(CL);CRTS
53646.11616;19.74;0.26;CRTS;CRTS(CL);CRTS
53656.17059;19.31;0.21;CRTS;CRTS(CL);CRTS
53669.07358;18.75;0.15;CRTS;CRTS(CL);CRTS
53669.0795;19.89;0.26;CRTS;CRTS(CL);CRTS
53669.0795;19.52;0.22;CRTS;CRTS(CL);CRTS
53669.08544;18.85;0.16;CRTS;CRTS(CL);CRTS
53669.09135;18.85;0.16;CRTS;CRTS(CL);CRTS
53675.07781;19.13;0.18;CRTS;CRTS(CL);CRTS
53675.08223;19.33;0.2;CRTS;CRTS(CL);CRTS
53675.08664;18.77;0.15;CRTS;CRTS(CL);CRTS
53675.09104;18.61;0.14;CRTS;CRTS(CL);CRTS
53797.5114;18.83;0.16;CRTS;CRTS(CL);CRTS
53797.51829;19.12;0.21;CRTS;CRTS(CL);CRTS
53797.52515;20.08;0.37;CRTS;CRTS(CL);CRTS
53797.53197;18.75;0.2;CRTS;CRTS(CL);CRTS
53851.45567;20.25;0.32;CRTS;CRTS(CL);CRTS
53851.45567;19.41;0.21;CRTS;CRTS(CL);CRTS
53851.45998;19.0;0.17;CRTS;CRTS(CL);CRTS
53851.46426;18.81;0.16;CRTS;CRTS(CL);CRTS
53851.46853;19.63;0.23;CRTS;CRTS(CL);CRTS
53851.46853;19.46;0.21;CRTS;CRTS(CL);CRTS
53886.37003;19.74;0.25;CRTS;CRTS(CL);CRTS
53886.37003;19.6;0.23;CRTS;CRTS(CL);CRTS
53886.37916;19.08;0.18;CRTS;CRTS(CL);CRTS
53886.38827;18.71;0.15;CRTS;CRTS(CL);CRTS
53886.39738;19.52;0.22;CRTS;CRTS(CL);CRTS
53886.39738;19.57;0.23;CRTS;CRTS(CL);CRTS
53996.11862;19.77;0.23;CRTS;CRTS(CL);CRTS
53996.11862;19.72;0.22;CRTS;CRTS(CL);CRTS
53996.12416;19.07;0.16;CRTS;CRTS(CL);CRTS
53996.12962;18.77;0.14;CRTS;CRTS(CL);CRTS
53996.1351;19.11;0.17;CRTS;CRTS(CL);CRTS
54007.14355;20.38;0.53;CRTS;CRTS(CL);CRTS
54007.14499;18.67;0.21;CRTS;CRTS(CL);CRTS
54007.14644;19.73;0.37;CRTS;CRTS(CL);CRTS
54007.14644;20.03;0.43;CRTS;CRTS(CL);CRTS
54037.09198;18.97;0.16;CRTS;CRTS(CL);CRTS
54037.09678;19.11;0.17;CRTS;CRTS(CL);CRTS
54037.10163;20.2;0.29;CRTS;CRTS(CL);CRTS
54037.10163;19.61;0.22;CRTS;CRTS(CL);CRTS
54037.10647;19.45;0.2;CRTS;CRTS(CL);CRTS
54055.06413;19.46;0.3;CRTS;CRTS(CL);CRTS
54055.06703;19.24;0.27;CRTS;CRTS(CL);CRTS
54055.06703;19.44;0.3;CRTS;CRTS(CL);CRTS
54055.06993;18.97;0.23;CRTS;CRTS(CL);CRTS
54157.49242;18.99;0.16;CRTS;CRTS(CL);CRTS
54157.50274;19.11;0.17;CRTS;CRTS(CL);CRTS
54157.51311;18.81;0.15;CRTS;CRTS(CL);CRTS
54157.5234;19.01;0.16;CRTS;CRTS(CL);CRTS
54177.47312;19.06;0.17;CRTS;CRTS(CL);CRTS
54177.48242;19.69;0.23;CRTS;CRTS(CL);CRTS
54177.48242;19.68;0.23;CRTS;CRTS(CL);CRTS
54177.49178;18.84;0.15;CRTS;CRTS(CL);CRTS
54177.50203;19.01;0.16;CRTS;CRTS(CL);CRTS
54235.28644;19.46;0.22;CRTS;CRTS(CL);CRTS
54235.29134;18.71;0.16;CRTS;CRTS(CL);CRTS
54235.29623;19.45;0.23;CRTS;CRTS(CL);CRTS
54235.30112;19.7;0.25;CRTS;CRTS(CL);CRTS
54235.30112;19.34;0.21;CRTS;CRTS(CL);CRTS
54258.3891;19.04;0.17;CRTS;CRTS(CL);CRTS
54258.39565;18.95;0.16;CRTS;CRTS(CL);CRTS
54258.40224;19.07;0.17;CRTS;CRTS(CL);CRTS
54258.40875;18.84;0.15;CRTS;CRTS(CL);CRTS
54270.35781;18.58;0.14;CRTS;CRTS(CL);CRTS
54270.36533;18.87;0.16;CRTS;CRTS(CL);CRTS
54270.37286;19.6;0.23;CRTS;CRTS(CL);CRTS
54270.37286;19.44;0.21;CRTS;CRTS(CL);CRTS
54270.38037;19.45;0.21;CRTS;CRTS(CL);CRTS
54270.38037;19.8;0.25;CRTS;CRTS(CL);CRTS
54290.25602;19.29;0.22;CRTS;CRTS(CL);CRTS
54290.25931;19.0;0.2;CRTS;CRTS(CL);CRTS
54290.2626;18.97;0.19;CRTS;CRTS(CL);CRTS
54290.26586;19.0;0.2;CRTS;CRTS(CL);CRTS
54358.16402;19.54;0.22;CRTS;CRTS(CL);CRTS
54358.16402;20.09;0.29;CRTS;CRTS(CL);CRTS
54358.16888;19.48;0.21;CRTS;CRTS(CL);CRTS
54358.16888;19.54;0.21;CRTS;CRTS(CL);CRTS
54358.17377;18.72;0.15;CRTS;CRTS(CL);CRTS
54358.17863;19.5;0.22;CRTS;CRTS(CL);CRTS
54358.17863;19.47;0.21;CRTS;CRTS(CL);CRTS
54386.10253;19.32;0.18;CRTS;CRTS(CL);CRTS
54386.10807;19.68;0.23;CRTS;CRTS(CL);CRTS
54386.10807;19.78;0.24;CRTS;CRTS(CL);CRTS
54386.11362;18.87;0.15;CRTS;CRTS(CL);CRTS
54386.11916;19.97;0.26;CRTS;CRTS(CL);CRTS
54386.11916;19.7;0.23;CRTS;CRTS(CL);CRTS
54408.07809;19.8;0.31;CRTS;CRTS(CL);CRTS
54408.07809;20.04;0.35;CRTS;CRTS(CL);CRTS
54408.08229;19.59;0.28;CRTS;CRTS(CL);CRTS
54408.0865;19.23;0.23;CRTS;CRTS(CL);CRTS
54408.09071;19.06;0.21;CRTS;CRTS(CL);CRTS
54418.05569;19.9;0.25;CRTS;CRTS(CL);CRTS
54418.06058;18.52;0.13;CRTS;CRTS(CL);CRTS
54418.06544;19.5;0.21;CRTS;CRTS(CL);CRTS
54418.07033;19.53;0.21;CRTS;CRTS(CL);CRTS
54418.07033;19.75;0.24;CRTS;CRTS(CL);CRTS
54525.51061;19.81;0.27;CRTS;CRTS(CL);CRTS
54525.51061;20.05;0.31;CRTS;CRTS(CL);CRTS
54525.51662;19.38;0.22;CRTS;CRTS(CL);CRTS
54525.51662;19.77;0.27;CRTS;CRTS(CL);CRTS
54525.52256;18.9;0.17;CRTS;CRTS(CL);CRTS
54525.52859;18.85;0.17;CRTS;CRTS(CL);CRTS
54531.43936;19.08;0.17;CRTS;CRTS(CL);CRTS
54531.44843;19.09;0.17;CRTS;CRTS(CL);CRTS
54531.45748;18.85;0.16;CRTS;CRTS(CL);CRTS
54531.46655;19.66;0.23;CRTS;CRTS(CL);CRTS
54531.46655;19.23;0.18;CRTS;CRTS(CL);CRTS
54559.4234;18.77;0.15;CRTS;CRTS(CL);CRTS
54559.4289;18.82;0.15;CRTS;CRTS(CL);CRTS
54559.43437;18.85;0.15;CRTS;CRTS(CL);CRTS
54559.43977;18.95;0.16;CRTS;CRTS(CL);CRTS
54567.44917;19.01;0.16;CRTS;CRTS(CL);CRTS
54567.45697;19.2;0.18;CRTS;CRTS(CL);CRTS
54567.46476;19.14;0.18;CRTS;CRTS(CL);CRTS
54567.47257;19.65;0.22;CRTS;CRTS(CL);CRTS
54567.47257;19.49;0.21;CRTS;CRTS(CL);CRTS
54573.40724;18.96;0.16;CRTS;CRTS(CL);CRTS
54573.41649;19.32;0.19;CRTS;CRTS(CL);CRTS
54573.42576;18.57;0.14;CRTS;CRTS(CL);CRTS
54573.43504;19.11;0.17;CRTS;CRTS(CL);CRTS
54583.35982;18.73;0.15;CRTS;CRTS(CL);CRTS
54583.36737;18.97;0.17;CRTS;CRTS(CL);CRTS
54583.37489;19.43;0.21;CRTS;CRTS(CL);CRTS
54583.38246;19.82;0.25;CRTS;CRTS(CL);CRTS
54583.38246;19.15;0.18;CRTS;CRTS(CL);CRTS
54589.42102;19.56;0.21;CRTS;CRTS(CL);CRTS
54589.42102;19.67;0.22;CRTS;CRTS(CL);CRTS
54589.42658;19.45;0.2;CRTS;CRTS(CL);CRTS
54589.42658;20.01;0.27;CRTS;CRTS(CL);CRTS
54589.43213;18.97;0.16;CRTS;CRTS(CL);CRTS
54589.43769;18.96;0.16;CRTS;CRTS(CL);CRTS
