MJD;Magnitude;Error;Facility;Filter;Observer
54062.4329047;19.465364;2.0986114;SDSS;SDSS(r);SDSS
54062.43373396;19.077984;1.5871687;SDSS;SDSS(i);SDSS
54062.43456323;22.026453;0.17940491;SDSS;SDSS(u);SDSS
54062.4353924901;18.911083;1.4125259;SDSS;SDSS(z);SDSS
54062.4362217599;20.650656;0.048628256;SDSS;SDSS(g);SDSS
54861.26290012;19.550648;0.01529401;SDSS;SDSS(r);SDSS
54861.26372939;19.227331;0.01640812;SDSS;SDSS(i);SDSS
54861.26455865;21.976547;0.14289218;SDSS;SDSS(u);SDSS
54861.26538792;18.836567;0.037564047;SDSS;SDSS(z);SDSS
54861.26621718;20.38536;0.019333914;SDSS;SDSS(g);SDSS
55987.4212872;18.8463;0.01077;PS1;PS1(z);PS1
56236.5476451;20.0511;0.01338;PS1;PS1(g);PS1
56259.5948967;19.1448;0.008316;PS1;PS1(i);PS1
56523.895979;19.3364;0.011022;PS1;PS1(r);PS1
56938.81676213;15.257;0.129;NEOWISE;WISE(W1);NEOWISE
56938.81676213;14.765;0.342;NEOWISE;WISE(W2);NEOWISE
56939.014136;15.382;0.125;NEOWISE;WISE(W1);NEOWISE
56939.40862889;15.239;0.142;NEOWISE;WISE(W1);NEOWISE
57277.599227;19.06;0.287;ATLAS;ATLAS(c);ATLAS
57277.618293;18.986;0.257;ATLAS;ATLAS(c);ATLAS
57277.637422;19.021;0.616;ATLAS;ATLAS(c);ATLAS
57303.61898006;15.418;0.38;NEOWISE;WISE(W1);NEOWISE
57303.61898006;15.184;0.414;NEOWISE;WISE(W2);NEOWISE
57313.603117;18.325;0.141;ATLAS;ATLAS(c);ATLAS
57313.625845;17.941;0.108;ATLAS;ATLAS(c);ATLAS
57313.645776;18.534;0.233;ATLAS;ATLAS(c);ATLAS
57319.527353;18.931;0.419;ATLAS;ATLAS(o);ATLAS
57319.550447;18.951;0.604;ATLAS;ATLAS(o);ATLAS
57319.578218;17.926;0.132;ATLAS;ATLAS(o);ATLAS
57319.60316;18.0;0.119;ATLAS;ATLAS(o);ATLAS
57323.608454;18.732;0.425;ATLAS;ATLAS(o);ATLAS
57334.632946;20.032;0.604;ATLAS;ATLAS(c);ATLAS
57342.550908;19.711;0.403;ATLAS;ATLAS(c);ATLAS
57342.57618;19.335;0.286;ATLAS;ATLAS(c);ATLAS
57366.481881;17.89;0.118;ATLAS;ATLAS(o);ATLAS
57366.500364;17.96;0.101;ATLAS;ATLAS(o);ATLAS
57366.516604;18.644;0.205;ATLAS;ATLAS(o);ATLAS
57388.422432;18.551;0.217;ATLAS;ATLAS(o);ATLAS
57388.426827;18.466;0.179;ATLAS;ATLAS(o);ATLAS
57390.39907;19.346;0.292;ATLAS;ATLAS(c);ATLAS
57390.426912;18.833;0.192;ATLAS;ATLAS(c);ATLAS
57390.439993;19.867;0.465;ATLAS;ATLAS(c);ATLAS
57390.443181;19.105;0.183;ATLAS;ATLAS(c);ATLAS
57391.394136;19.523;0.308;ATLAS;ATLAS(c);ATLAS
57391.428878;19.938;0.462;ATLAS;ATLAS(c);ATLAS
57392.386717;19.159;0.275;ATLAS;ATLAS(c);ATLAS
57392.403988;18.501;0.161;ATLAS;ATLAS(c);ATLAS
57392.420593;19.964;0.454;ATLAS;ATLAS(c);ATLAS
57392.433657;18.391;0.129;ATLAS;ATLAS(c);ATLAS
57422.467613;20.076;0.451;ATLAS;ATLAS(c);ATLAS
57434.415706;18.265;0.231;ATLAS;ATLAS(c);ATLAS
57460.373886;19.792;0.477;ATLAS;ATLAS(c);ATLAS
57480.356147;19.177;0.279;ATLAS;ATLAS(c);ATLAS
57511.287489;19.621;0.636;ATLAS;ATLAS(c);ATLAS
57667.49485556;15.214;0.18;NEOWISE;WISE(W1);NEOWISE
57667.95340416;15.094;0.135;NEOWISE;WISE(W1);NEOWISE
57667.95340416;15.109;0.486;NEOWISE;WISE(W2);NEOWISE
57668.01885617;15.14;0.41;NEOWISE;WISE(W2);NEOWISE
57668.01885617;15.269;0.13;NEOWISE;WISE(W1);NEOWISE
57716.580059;19.26;0.288;ATLAS;ATLAS(c);ATLAS
57716.595538;20.217;0.701;ATLAS;ATLAS(c);ATLAS
57716.612091;18.116;0.112;ATLAS;ATLAS(c);ATLAS
57716.628642;18.755;0.255;ATLAS;ATLAS(c);ATLAS
57716.644851;18.005;0.358;ATLAS;ATLAS(c);ATLAS
57720.569567;18.813;0.159;ATLAS;ATLAS(c);ATLAS
57720.590085;20.754;0.983;ATLAS;ATLAS(c);ATLAS
57720.601054;19.853;0.448;ATLAS;ATLAS(c);ATLAS
57806.308556;15.52;0.719;ATLAS;ATLAS(o);ATLAS
57806.324192;13.826;0.625;ATLAS;ATLAS(o);ATLAS
57816.344167;19.56;0.452;ATLAS;ATLAS(c);ATLAS
57832.229143;19.756;0.732;ATLAS;ATLAS(o);ATLAS
57832.286559;19.236;0.37;ATLAS;ATLAS(o);ATLAS
57836.364407;19.918;0.734;ATLAS;ATLAS(c);ATLAS
57848.225634;16.8;0.149;ATLAS;ATLAS(o);ATLAS
57848.226156;16.706;0.129;ATLAS;ATLAS(o);ATLAS
58055.590265;20.261;0.503;ATLAS;ATLAS(o);ATLAS
58055.599538;20.758;0.739;ATLAS;ATLAS(o);ATLAS
58077.53309;18.422;0.158;ATLAS;ATLAS(o);ATLAS
58077.538742;18.549;0.147;ATLAS;ATLAS(o);ATLAS
58099.506182;19.694;0.484;ATLAS;ATLAS(o);ATLAS
58099.528383;20.502;0.736;ATLAS;ATLAS(o);ATLAS
58101.485066;20.554;0.817;ATLAS;ATLAS(o);ATLAS
58111.590542;19.434;0.27;ATLAS;ATLAS(o);ATLAS
58111.602944;20.368;0.554;ATLAS;ATLAS(o);ATLAS
58111.615161;19.786;0.359;ATLAS;ATLAS(o);ATLAS
58111.627611;20.58;0.734;ATLAS;ATLAS(o);ATLAS
58127.442105;20.142;0.387;ATLAS;ATLAS(o);ATLAS
58127.475641;21.164;0.98;ATLAS;ATLAS(o);ATLAS
58131.480099;21.056;0.93;ATLAS;ATLAS(o);ATLAS
58131.492404;19.936;0.315;ATLAS;ATLAS(o);ATLAS
58131.504939;19.784;0.311;ATLAS;ATLAS(o);ATLAS
58143.488237;14.983;0.583;ATLAS;ATLAS(o);ATLAS
58163.455572;14.087;0.692;ATLAS;ATLAS(c);ATLAS
58165.510991;17.609;0.197;ATLAS;ATLAS(o);ATLAS
58185.346281;19.354;0.32;ATLAS;ATLAS(o);ATLAS
58185.357125;19.645;0.561;ATLAS;ATLAS(o);ATLAS
58185.367773;19.926;0.604;ATLAS;ATLAS(o);ATLAS
58185.378616;19.855;0.569;ATLAS;ATLAS(o);ATLAS
58204.1514236;19.9166317;0.0933601856;ZTF;ZTF(zg);ZTF
58204.1514236;19.9166317;0.0931887999;ZTF;ZTF(zg);ZTF
58204.1966782;19.4325542;0.0667379275;ZTF;ZTF(zg);ZTF
58204.1966782;19.4325542;0.0668593422;ZTF;ZTF(zg);ZTF
58205.2378588;19.6421623;0.0772797465;ZTF;ZTF(zg);ZTF
58205.2378588;19.6421623;0.0774171278;ZTF;ZTF(zg);ZTF
58206.2375579;19.8099976;0.0867329016;ZTF;ZTF(zg);ZTF
58206.2375579;19.8099976;0.0868888423;ZTF;ZTF(zg);ZTF
58206.325532;19.924;0.944;ATLAS;ATLAS(o);ATLAS
58217.1568981;19.0748634;0.0598129444;ZTF;ZTF(zr);ZTF
58217.1568981;19.0748634;0.0596487671;ZTF;ZTF(zr);ZTF
58218.1548495;18.9837036;0.0559429191;ZTF;ZTF(zr);ZTF
58218.1548495;18.9837036;0.0557840541;ZTF;ZTF(zr);ZTF
58223.1409144;19.1747932;0.0643803179;ZTF;ZTF(zr);ZTF
58223.1409144;19.1747932;0.0642109364;ZTF;ZTF(zr);ZTF
58223.1734259;19.1654549;0.0637696832;ZTF;ZTF(zr);ZTF
58223.1734259;19.1654549;0.0639386103;ZTF;ZTF(zr);ZTF
58227.1444097;19.10606;0.0612015203;ZTF;ZTF(zr);ZTF
58227.1444097;19.10606;0.0610356331;ZTF;ZTF(zr);ZTF
58227.187338;20.1214066;0.106447048;ZTF;ZTF(zg);ZTF
58227.187338;20.1214066;0.106658928;ZTF;ZTF(zg);ZTF
58231.1428356;19.3082066;0.0708634555;ZTF;ZTF(zr);ZTF
58231.1428356;19.3082066;0.0710382015;ZTF;ZTF(zr);ZTF
58243.271387;19.504;0.343;ATLAS;ATLAS(o);ATLAS
58361.5151505;19.1349392;0.0623495057;ZTF;ZTF(zr);ZTF
58361.5151505;19.1349392;0.0625169128;ZTF;ZTF(zr);ZTF
58368.4714468;19.1732578;0.0643074736;ZTF;ZTF(zr);ZTF
58368.4714468;19.1732578;0.0641381741;ZTF;ZTF(zr);ZTF
58368.5056481;20.0247879;0.100254297;ZTF;ZTF(zg);ZTF
58368.5056481;20.0247879;0.100063555;ZTF;ZTF(zg);ZTF
58371.4739699;19.039259;0.0581064336;ZTF;ZTF(zr);ZTF
58371.4739699;19.039259;0.0582685955;ZTF;ZTF(zr);ZTF
58371.5170486;19.8098736;0.0867256001;ZTF;ZTF(zg);ZTF
58371.5170486;19.8098736;0.0868815258;ZTF;ZTF(zg);ZTF
58374.4647569;19.9291229;0.0939666331;ZTF;ZTF(zg);ZTF
58374.4647569;19.9291229;0.0941400453;ZTF;ZTF(zg);ZTF
58374.5177199;19.0449085;0.058348313;ZTF;ZTF(zr);ZTF
58374.5177199;19.0449085;0.058510799;ZTF;ZTF(zr);ZTF
58377.4634144;19.0652103;0.0593900457;ZTF;ZTF(zr);ZTF
58377.4634144;19.0652103;0.0592264086;ZTF;ZTF(zr);ZTF
58377.5042708;19.8972397;0.0921583176;ZTF;ZTF(zg);ZTF
58377.5042708;19.8972397;0.0919899866;ZTF;ZTF(zg);ZTF
58383.4972106;19.748848;0.0833344385;ZTF;ZTF(zg);ZTF
58383.4972106;19.748848;0.0831859857;ZTF;ZTF(zg);ZTF
58389.5199074;19.1006222;0.0609570555;ZTF;ZTF(zr);ZTF
58389.5199074;19.1006222;0.0607914589;ZTF;ZTF(zr);ZTF
58397.4801505;19.8941154;0.0919656903;ZTF;ZTF(zg);ZTF
58397.4801505;19.8941154;0.0917978436;ZTF;ZTF(zg);ZTF
58397.5180556;19.0540047;0.0587400422;ZTF;ZTF(zr);ZTF
