MJD;Magnitude;Error;Facility;Filter;Observer
55283.2509083;16.231;0.353;ALLWISE;WISE(W1);ALLWISE
55283.3832124;16.025;0.231;ALLWISE;WISE(W1);ALLWISE
55283.5155164;14.709;0.287;ALLWISE;WISE(W2);ALLWISE
55283.5155164;16.503;0.345;ALLWISE;WISE(W1);ALLWISE
55283.6478204;15.943;0.206;ALLWISE;WISE(W1);ALLWISE
55283.7801244;16.19;0.252;ALLWISE;WISE(W1);ALLWISE
55283.7801244;15.542;0.53;ALLWISE;WISE(W2);ALLWISE
55283.8463401;15.627;0.202;ALLWISE;WISE(W1);ALLWISE
55283.9124285;16.266;0.322;ALLWISE;WISE(W1);ALLWISE
55283.9786442;15.774;0.176;ALLWISE;WISE(W1);ALLWISE
55284.1109483;15.656;0.165;ALLWISE;WISE(W1);ALLWISE
55284.2432523;15.876;0.197;ALLWISE;WISE(W1);ALLWISE
55474.9074237;16.799;0.424;ALLWISE;WISE(W1);ALLWISE
55475.0397277;16.499;0.352;ALLWISE;WISE(W1);ALLWISE
55475.1720317;16.063;0.305;ALLWISE;WISE(W1);ALLWISE
55475.3042084;16.131;0.233;ALLWISE;WISE(W1);ALLWISE
55475.3704241;15.549;0.506;ALLWISE;WISE(W2);ALLWISE
55475.4365124;15.142;0.321;ALLWISE;WISE(W2);ALLWISE
55475.4365124;16.236;0.255;ALLWISE;WISE(W1);ALLWISE
55475.5026007;15.327;0.379;ALLWISE;WISE(W2);ALLWISE
55475.5688163;16.333;0.263;ALLWISE;WISE(W1);ALLWISE
55475.5688163;15.457;0.461;ALLWISE;WISE(W2);ALLWISE
55475.6349047;16.14;0.223;ALLWISE;WISE(W1);ALLWISE
55475.7672087;15.93;0.187;ALLWISE;WISE(W1);ALLWISE
55475.8995127;15.52;0.167;ALLWISE;WISE(W1);ALLWISE
56157.4694931;19.9036;0.01847;PS1;PS1(z);PS1
56262.6891132;21.6193;0.046149;PS1;PS1(g);PS1
56544.5222851;20.517;0.018532;PS1;PS1(r);PS1
56606.3052698;20.0347;0.009069;PS1;PS1(i);PS1
56745.41934955;16.047;0.247;NEOWISE;WISE(W1);NEOWISE
56745.55101685;16.341;0.355;NEOWISE;WISE(W1);NEOWISE
56745.68268411;15.912;0.294;NEOWISE;WISE(W1);NEOWISE
56745.74851779;16.266;0.269;NEOWISE;WISE(W1);NEOWISE
56745.74851779;14.879;0.395;NEOWISE;WISE(W2);NEOWISE
56745.88018514;16.215;0.303;NEOWISE;WISE(W1);NEOWISE
56745.88018514;14.907;0.531;NEOWISE;WISE(W2);NEOWISE
56745.94601882;16.851;0.515;NEOWISE;WISE(W1);NEOWISE
56746.01185255;16.408;0.325;NEOWISE;WISE(W1);NEOWISE
56746.1435199;15.819;0.186;NEOWISE;WISE(W1);NEOWISE
56746.1514172;19.88750648498535;0.3817945122718811;PTF;PTF(R);PTF
56746.2751872;16.41;0.342;NEOWISE;WISE(W1);NEOWISE
56746.2751872;15.106;0.41;NEOWISE;WISE(W2);NEOWISE
56746.40685455;15.521;0.225;NEOWISE;WISE(W1);NEOWISE
56748.1420272;20.20591926574707;0.1311604082584381;PTF;PTF(R);PTF
