MJD;Magnitude;Error;Facility;Filter;Observer
52696.4046219;17.424;0.12;LINEAR;LINEAR(CL);LINEAR
52696.4193477;17.398;0.117;LINEAR;LINEAR(CL);LINEAR
52696.4321341;17.07;0.133;LINEAR;LINEAR(CL);LINEAR
52723.3603647;17.387;0.126;LINEAR;LINEAR(CL);LINEAR
52752.2866537;17.624;0.157;LINEAR;LINEAR(CL);LINEAR
52752.296867;17.525;0.141;LINEAR;LINEAR(CL);LINEAR
52752.3070473;17.497;0.141;LINEAR;LINEAR(CL);LINEAR
52752.3172524;17.493;0.139;LINEAR;LINEAR(CL);LINEAR
52752.3274339;17.654;0.163;LINEAR;LINEAR(CL);LINEAR
52771.2192788;17.863;0.377;LINEAR;LINEAR(CL);LINEAR
52771.23095;17.778;0.305;LINEAR;LINEAR(CL);LINEAR
52771.2426309;17.497;0.231;LINEAR;LINEAR(CL);LINEAR
52771.254295;17.687;0.276;LINEAR;LINEAR(CL);LINEAR
52771.266138;17.715;0.283;LINEAR;LINEAR(CL);LINEAR
52787.2229342;17.43;0.13;LINEAR;LINEAR(CL);LINEAR
52787.2338289;17.584;0.147;LINEAR;LINEAR(CL);LINEAR
52787.2446651;17.634;0.15;LINEAR;LINEAR(CL);LINEAR
52787.2556106;17.624;0.152;LINEAR;LINEAR(CL);LINEAR
52787.2664157;17.475;0.137;LINEAR;LINEAR(CL);LINEAR
52811.2218924;17.519;0.17;LINEAR;LINEAR(CL);LINEAR
52811.2316925;17.627;0.186;LINEAR;LINEAR(CL);LINEAR
52811.2415063;17.646;0.196;LINEAR;LINEAR(CL);LINEAR
52811.2513125;17.719;0.21;LINEAR;LINEAR(CL);LINEAR
52811.261143;17.507;0.17;LINEAR;LINEAR(CL);LINEAR
52826.1754724;17.557;0.213;LINEAR;LINEAR(CL);LINEAR
52826.1854543;17.469;0.198;LINEAR;LINEAR(CL);LINEAR
52826.1954602;17.711;0.25;LINEAR;LINEAR(CL);LINEAR
52826.2053105;17.723;0.25;LINEAR;LINEAR(CL);LINEAR
52826.2151761;17.687;0.233;LINEAR;LINEAR(CL);LINEAR
52840.1645735;17.711;0.209;LINEAR;LINEAR(CL);LINEAR
52840.174528;17.75;0.216;LINEAR;LINEAR(CL);LINEAR
52840.1844789;17.601;0.185;LINEAR;LINEAR(CL);LINEAR
52840.1944379;17.761;0.218;LINEAR;LINEAR(CL);LINEAR
52840.2044119;17.967;0.268;LINEAR;LINEAR(CL);LINEAR
53035.4295225;17.582;0.172;LINEAR;LINEAR(CL);LINEAR
53035.4419704;17.63;0.148;LINEAR;LINEAR(CL);LINEAR
53035.4548685;17.742;0.15;LINEAR;LINEAR(CL);LINEAR
53035.4689271;17.742;0.154;LINEAR;LINEAR(CL);LINEAR
53049.3907278;17.641;0.131;LINEAR;LINEAR(CL);LINEAR
53049.4026088;17.568;0.126;LINEAR;LINEAR(CL);LINEAR
53049.4144919;17.759;0.157;LINEAR;LINEAR(CL);LINEAR
53049.426405;17.534;0.13;LINEAR;LINEAR(CL);LINEAR
53049.4383539;17.656;0.144;LINEAR;LINEAR(CL);LINEAR
53094.3400673;17.491;0.104;LINEAR;LINEAR(CL);LINEAR
53094.3504794;17.55;0.109;LINEAR;LINEAR(CL);LINEAR
53094.3613463;17.381;0.098;LINEAR;LINEAR(CL);LINEAR
53094.371655;17.409;0.098;LINEAR;LINEAR(CL);LINEAR
53094.3819519;17.393;0.096;LINEAR;LINEAR(CL);LINEAR
53107.2871908;17.606;0.137;LINEAR;LINEAR(CL);LINEAR
53107.2975405;17.581;0.13;LINEAR;LINEAR(CL);LINEAR
