MJD;Magnitude;Error;Facility;Filter;Observer
55282.8613817;15.741;0.52;ALLWISE;WISE(W2);ALLWISE
55282.8613817;15.587;0.158;ALLWISE;WISE(W1);ALLWISE
55282.9936858;16.072;0.254;ALLWISE;WISE(W1);ALLWISE
55282.9938132;16.197;0.292;ALLWISE;WISE(W1);ALLWISE
55283.1261173;15.419;0.123;ALLWISE;WISE(W1);ALLWISE
55283.1922056;15.867;0.196;ALLWISE;WISE(W1);ALLWISE
55283.2584213;16.44;0.343;ALLWISE;WISE(W1);ALLWISE
55283.3245096;15.665;0.168;ALLWISE;WISE(W1);ALLWISE
55283.3907254;16.137;0.225;ALLWISE;WISE(W1);ALLWISE
55283.5230293;15.979;0.216;ALLWISE;WISE(W1);ALLWISE
55283.589245;15.687;0.153;ALLWISE;WISE(W1);ALLWISE
55283.6553334;15.698;0.161;ALLWISE;WISE(W1);ALLWISE
55283.7215491;16.001;0.228;ALLWISE;WISE(W1);ALLWISE
55283.7215491;15.179;0.34;ALLWISE;WISE(W2);ALLWISE
55283.7876374;16.271;0.261;ALLWISE;WISE(W1);ALLWISE
55283.8538531;16.93;0.524;ALLWISE;WISE(W1);ALLWISE
55283.9199415;16.626;0.362;ALLWISE;WISE(W1);ALLWISE
55283.9861573;15.836;0.21;ALLWISE;WISE(W1);ALLWISE
55284.0522456;15.735;0.173;ALLWISE;WISE(W1);ALLWISE
55284.1184613;16.301;0.266;ALLWISE;WISE(W1);ALLWISE
55284.1184613;15.557;0.476;ALLWISE;WISE(W2);ALLWISE
55284.2507653;15.735;0.174;ALLWISE;WISE(W1);ALLWISE
55284.3830694;16.207;0.273;ALLWISE;WISE(W1);ALLWISE
55284.3830694;15.543;0.461;ALLWISE;WISE(W2);ALLWISE
55284.5153734;15.688;0.15;ALLWISE;WISE(W1);ALLWISE
55474.5031261;16.262;0.247;ALLWISE;WISE(W1);ALLWISE
55474.63543;16.227;0.235;ALLWISE;WISE(W1);ALLWISE
55474.63543;15.741;0.493;ALLWISE;WISE(W2);ALLWISE
55474.7676067;15.454;0.116;ALLWISE;WISE(W1);ALLWISE
55474.8999107;15.786;0.169;ALLWISE;WISE(W1);ALLWISE
55474.9659991;15.533;0.131;ALLWISE;WISE(W1);ALLWISE
55474.9659991;15.722;0.47;ALLWISE;WISE(W2);ALLWISE
55474.9661264;16.224;0.224;ALLWISE;WISE(W1);ALLWISE
55475.0322148;15.942;0.197;ALLWISE;WISE(W1);ALLWISE
55475.1645187;16.42;0.327;ALLWISE;WISE(W1);ALLWISE
55475.230607;15.722;0.161;ALLWISE;WISE(W1);ALLWISE
55475.2966954;16.701;0.503;ALLWISE;WISE(W1);ALLWISE
55475.362911;15.832;0.163;ALLWISE;WISE(W1);ALLWISE
55475.4289994;15.979;0.186;ALLWISE;WISE(W1);ALLWISE
55475.4289994;15.61;0.423;ALLWISE;WISE(W2);ALLWISE
55475.4950877;15.797;0.179;ALLWISE;WISE(W1);ALLWISE
55475.5613033;15.644;0.133;ALLWISE;WISE(W1);ALLWISE
55475.5613033;15.601;0.425;ALLWISE;WISE(W2);ALLWISE
55475.6273916;15.738;0.463;ALLWISE;WISE(W2);ALLWISE
55475.6273916;15.688;0.141;ALLWISE;WISE(W1);ALLWISE
55475.6934799;15.391;0.372;ALLWISE;WISE(W2);ALLWISE
55475.6934799;15.921;0.195;ALLWISE;WISE(W1);ALLWISE
55475.7596956;16.108;0.242;ALLWISE;WISE(W1);ALLWISE
55475.825784;16.034;0.187;ALLWISE;WISE(W1);ALLWISE
55475.8918723;16.076;0.199;ALLWISE;WISE(W1);ALLWISE
55475.8918723;15.445;0.38;ALLWISE;WISE(W2);ALLWISE
55475.8919997;15.535;0.128;ALLWISE;WISE(W1);ALLWISE
55476.0241763;16.531;0.314;ALLWISE;WISE(W1);ALLWISE
55476.1564803;16.0;0.185;ALLWISE;WISE(W1);ALLWISE
55914.9970544;19.1001;0.012474;PS1;PS1(z);PS1
56326.2255932;19.1506;0.012489;PS1;PS1(i);PS1
56378.7523445;20.0575;0.016167;PS1;PS1(g);PS1
56391.4930049;19.349;0.010926;PS1;PS1(r);PS1
56744.90019315;16.106;0.234;NEOWISE;WISE(W1);NEOWISE
56744.90019315;15.536;0.478;NEOWISE;WISE(W2);NEOWISE
56745.0318605;16.007;0.206;NEOWISE;WISE(W1);NEOWISE
56745.1635278;15.491;0.133;NEOWISE;WISE(W1);NEOWISE
56745.29519515;15.601;0.154;NEOWISE;WISE(W1);NEOWISE
56745.29519515;15.383;0.442;NEOWISE;WISE(W2);NEOWISE
56745.36102883;15.518;0.14;NEOWISE;WISE(W1);NEOWISE
56745.42686255;15.534;0.145;NEOWISE;WISE(W1);NEOWISE
56745.55852986;15.804;0.257;NEOWISE;WISE(W1);NEOWISE
56745.62436348;15.612;0.221;NEOWISE;WISE(W1);NEOWISE
56745.69019716;16.317;0.272;NEOWISE;WISE(W1);NEOWISE
56745.75603079;15.481;0.164;NEOWISE;WISE(W1);NEOWISE
56745.82186447;16.166;0.23;NEOWISE;WISE(W1);NEOWISE
56745.82186447;15.005;0.374;NEOWISE;WISE(W2);NEOWISE
56745.88769814;15.292;0.45;NEOWISE;WISE(W2);NEOWISE
56745.88769814;15.959;0.308;NEOWISE;WISE(W1);NEOWISE
56746.0193655;15.408;0.466;NEOWISE;WISE(W2);NEOWISE
56746.0193655;15.993;0.191;NEOWISE;WISE(W1);NEOWISE
56746.08519917;15.652;0.173;NEOWISE;WISE(W1);NEOWISE
56746.15103285;15.526;0.143;NEOWISE;WISE(W1);NEOWISE
56746.21686653;15.737;0.17;NEOWISE;WISE(W1);NEOWISE
56746.2827002;15.942;0.192;NEOWISE;WISE(W1);NEOWISE
56746.4143676;15.751;0.195;NEOWISE;WISE(W1);NEOWISE
56746.54603486;15.851;0.191;NEOWISE;WISE(W1);NEOWISE
56936.56810153;16.213;0.235;NEOWISE;WISE(W1);NEOWISE
56936.56810153;15.242;0.348;NEOWISE;WISE(W2);NEOWISE
56936.69964167;15.819;0.206;NEOWISE;WISE(W1);NEOWISE
56936.83118175;15.384;0.454;NEOWISE;WISE(W2);NEOWISE
56936.83118175;15.833;0.181;NEOWISE;WISE(W1);NEOWISE
56936.96272189;15.699;0.154;NEOWISE;WISE(W1);NEOWISE
56937.02855557;15.415;0.193;NEOWISE;WISE(W1);NEOWISE
56937.09426192;15.616;0.149;NEOWISE;WISE(W1);NEOWISE
56937.15996833;15.545;0.169;NEOWISE;WISE(W1);NEOWISE
56937.16009565;16.272;0.325;NEOWISE;WISE(W1);NEOWISE
56937.22580201;15.583;0.137;NEOWISE;WISE(W1);NEOWISE
56937.22580201;15.101;0.384;NEOWISE;WISE(W2);NEOWISE
56937.29150838;15.789;0.174;NEOWISE;WISE(W1);NEOWISE
56937.3573421;15.655;0.158;NEOWISE;WISE(W1);NEOWISE
56937.55458851;15.97;0.19;NEOWISE;WISE(W1);NEOWISE
56937.62042218;15.736;0.164;NEOWISE;WISE(W1);NEOWISE
56937.68612859;15.58;0.151;NEOWISE;WISE(W1);NEOWISE
56937.68612859;14.982;0.34;NEOWISE;WISE(W2);NEOWISE
56937.75183495;15.637;0.182;NEOWISE;WISE(W1);NEOWISE
56937.75196231;15.369;0.392;NEOWISE;WISE(W2);NEOWISE
56937.75196231;15.457;0.164;NEOWISE;WISE(W1);NEOWISE
56937.81766868;15.602;0.201;NEOWISE;WISE(W1);NEOWISE
56937.88337508;15.667;0.181;NEOWISE;WISE(W1);NEOWISE
56937.94920881;15.933;0.255;NEOWISE;WISE(W1);NEOWISE
56938.0807489;16.406;0.293;NEOWISE;WISE(W1);NEOWISE
56938.21228894;15.976;0.229;NEOWISE;WISE(W1);NEOWISE
57103.92849872;15.882;0.271;NEOWISE;WISE(W1);NEOWISE
57104.05978475;14.179;0.231;NEOWISE;WISE(W2);NEOWISE
57104.05978475;16.159;0.252;NEOWISE;WISE(W1);NEOWISE
57104.19107017;16.286;0.32;NEOWISE;WISE(W1);NEOWISE
57104.32248296;15.303;0.465;NEOWISE;WISE(W2);NEOWISE
57104.32248296;15.639;0.162;NEOWISE;WISE(W1);NEOWISE
57104.38806201;15.346;0.525;NEOWISE;WISE(W2);NEOWISE
57104.38806201;16.023;0.205;NEOWISE;WISE(W1);NEOWISE
57104.45376844;15.857;0.301;NEOWISE;WISE(W1);NEOWISE
57104.58505389;15.526;0.143;NEOWISE;WISE(W1);NEOWISE
57104.65076031;16.158;0.24;NEOWISE;WISE(W1);NEOWISE
57104.71633932;16.016;0.318;NEOWISE;WISE(W1);NEOWISE
57104.71633932;15.309;0.392;NEOWISE;WISE(W2);NEOWISE
57104.78204573;15.653;0.176;NEOWISE;WISE(W1);NEOWISE
57104.84775215;15.492;0.146;NEOWISE;WISE(W1);NEOWISE
57104.9133312;15.715;0.163;NEOWISE;WISE(W1);NEOWISE
57104.9133312;15.697;0.511;NEOWISE;WISE(W2);NEOWISE
57104.97903763;15.92;0.209;NEOWISE;WISE(W1);NEOWISE
57105.04474409;16.038;0.215;NEOWISE;WISE(W1);NEOWISE
57105.17602956;15.643;0.154;NEOWISE;WISE(W1);NEOWISE
57105.17602956;14.87;0.335;NEOWISE;WISE(W2);NEOWISE
57105.30731493;15.717;0.185;NEOWISE;WISE(W1);NEOWISE
57105.43860045;15.518;0.154;NEOWISE;WISE(W1);NEOWISE
57105.43860045;14.909;0.286;NEOWISE;WISE(W2);NEOWISE
57105.43872777;16.032;0.37;NEOWISE;WISE(W1);NEOWISE
57105.43872777;15.704;0.529;NEOWISE;WISE(W2);NEOWISE
57105.57001329;15.866;0.183;NEOWISE;WISE(W1);NEOWISE
57105.57001329;15.442;0.446;NEOWISE;WISE(W2);NEOWISE
57109.1813242;15.93;0.282;NEOWISE;WISE(W1);NEOWISE
57109.1813242;15.211;0.424;NEOWISE;WISE(W2);NEOWISE
57109.24703061;15.604;0.163;NEOWISE;WISE(W1);NEOWISE
57298.35902683;16.03;0.212;NEOWISE;WISE(W1);NEOWISE
57298.62134322;15.168;0.355;NEOWISE;WISE(W2);NEOWISE
57298.62134322;16.058;0.217;NEOWISE;WISE(W1);NEOWISE
57298.62147053;15.746;0.224;NEOWISE;WISE(W1);NEOWISE
57298.75262869;15.897;0.189;NEOWISE;WISE(W1);NEOWISE
57298.81820782;15.763;0.158;NEOWISE;WISE(W1);NEOWISE
57298.88378691;15.547;0.17;NEOWISE;WISE(W1);NEOWISE
57298.94936604;16.215;0.26;NEOWISE;WISE(W1);NEOWISE
57299.01494513;15.13;0.352;NEOWISE;WISE(W2);NEOWISE
57299.01494513;16.42;0.427;NEOWISE;WISE(W1);NEOWISE
57299.08052478;16.147;0.252;NEOWISE;WISE(W1);NEOWISE
57299.21168295;15.526;0.513;NEOWISE;WISE(W2);NEOWISE
57299.21168295;15.958;0.206;NEOWISE;WISE(W1);NEOWISE
